Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Event next week looking at Electric Vehicle market http://t.co/k8rSw1Ve -- TiE Energy - Electric Avenue: EVs Charge into $200B Market!,Tue Aug 07 22:11:31 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
Upcoming event looking at Electric Vehicle market http://t.co/k8rSw1Ve -- TiE Energy - Electric Avenue: EVs Charge into $200B Market!,Tue Aug 07 22:08:09 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
"Added new panelist, Cliff Federspiel, to tomorrow's event highlighting new, exciting cleantech 2.0 start-ups. https://t.co/BmmpNx56",Tue Jun 26 16:43:36 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
Upcoming event on energy startups https://t.co/BmmpNx56,Wed Jun 20 19:21:06 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
@PFChangs Where do I send you my email address?,Tue May 29 16:45:10 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
"@PFChangs I called it in about one week ago: reservation for 9 at Nbrook location at 5:30 pm. At arrival, no reservation was found.",Tue May 29 15:52:20 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
"@PFChangs Visited Northbrook, IL restaurant over weekend. Second time in two weeks that reservation was messed up. Mgmt indifferent.",Tue May 29 15:28:26 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
Good article about China mfg and solar production: Comparative advantage: The boomerang effect | The Economist http://t.co/myC0bx9g,Fri Apr 27 18:38:12 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
Thanks for inviting me.  #tiechat,Wed Apr 18 19:31:05 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
A4b: The price of NG favors fuel cell companies like Bloom Energy and ClearEdge Power that use NG as an input. Trucks may use NG. #tiechat,Wed Apr 18 19:28:45 +0000 2012,en,1,False,0,False,,Armando Pauker,ArmandoPauker
A4a: The price of oil makes EV potentially more interesting for businesses and consumers. Biofuels also become more attractive. #tiechat,Wed Apr 18 19:27:47 +0000 2012,en,1,False,0,False,,Armando Pauker,ArmandoPauker
A4: Cloud helps in being able to host and process large data sets to make better energy-related decisions. FirstFuel is example. #tiechat,Wed Apr 18 19:26:41 +0000 2012,en,1,False,0,False,,Armando Pauker,ArmandoPauker
"A3a: I don't know if I agree. I see Sentilla doing great work with BMC and SAP, for example. #tiechat",Wed Apr 18 19:26:24 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
"Real time is one part, but now you can aggregate weather, building energy usage, building management systems, pricing too. #tiechat",Wed Apr 18 19:26:03 +0000 2012,en,1,False,0,False,,Armando Pauker,ArmandoPauker
A3b: It is a huge role. We see the next generation of innovation being driven by software analytics and all kinds of data. #tiechat,Wed Apr 18 19:23:38 +0000 2012,en,1,False,0,False,,Armando Pauker,ArmandoPauker
"Fuel cell research is going forward, but there are no specific callouts for incentives to deploy. #tiechat",Wed Apr 18 19:19:57 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
Thermal management across the whole battery pack is now important for batteries in EV design. Battery chemistry important too. #tiechat,Wed Apr 18 19:18:39 +0000 2012,en,1,False,0,False,,Armando Pauker,ArmandoPauker
A3: Big mrkt. Data center electricity consumption is large expense item. APPL just announced a new 20MW data center in N. Carolina #tiechat,Wed Apr 18 19:17:41 +0000 2012,en,1,False,0,False,,Armando Pauker,ArmandoPauker
"Biofuel scaling will be highly dependent on continued high price of oil. If oil prices drop, it will be hard to scale production. #tiechat",Wed Apr 18 19:17:01 +0000 2012,en,1,False,0,False,,Armando Pauker,ArmandoPauker
Auto design requires some changes. The engine and power source are tightly connected to design. Battery mgmt now very key. #tiechat,Wed Apr 18 19:15:36 +0000 2012,en,1,False,0,False,,Armando Pauker,ArmandoPauker
A2b: Energy efficiency: it is much less capital intensive than energy deals in late 2000s. See interesting software-based deals. #tiechat,Wed Apr 18 19:14:34 +0000 2012,en,0,False,0,False,,Armando Pauker,ArmandoPauker
Biofuels is certainly getting lots of interest now. Low cost feedstock is a major driver to success. It may be possible. #tiechat,Wed Apr 18 19:13:48 +0000 2012,en,1,False,0,False,,Armando Pauker,ArmandoPauker
