Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @cmschroed: If you don't know about crispr you'd better. @reidhoffman @CarnegieEndow here you go: https://t.co/thj3dZNpWO,Thu May 12 13:23:19 +0000 2016,en,22,False,0,False,,Ben Narasin,BNarasin
RT @jatorre: Nice launch from @enigma_io on #ParseKit Cant wait to have a @cartoDB connector to it https://t.co/adZgSPenBt :),Thu May 12 13:22:17 +0000 2016,en,8,False,0,False,,Ben Narasin,BNarasin
Portfolio pride. Great to see Enigma launch ParseKit at TechCrunch Disrupt as a returning winner n https://t.co/ZYwI47o1Y8,Wed May 11 19:10:22 +0000 2016,en,2,False,1,False,,Ben Narasin,BNarasin
RT @enigma_io: Battlefield alumn @merinids boasts broadest array of data to help the most sophisticated orgs solve todays data challenges…,Wed May 11 19:00:53 +0000 2016,en,1,False,0,False,,Ben Narasin,BNarasin
RT @enigma_io: @merinids asks what's next?Answer requires massive orchestration &amp; data to flow in pipelines - enter #ParseKit #TCDisrupt,Wed May 11 19:00:50 +0000 2016,en,1,False,0,False,,Ben Narasin,BNarasin
RT @enigma_io: .@merinids says thousands of data sets being refreshed daily at @enigma_io. #ParseKit was built by us for us - now available…,Wed May 11 19:00:49 +0000 2016,en,4,False,0,False,,Ben Narasin,BNarasin
"RT @enigma_io: Introducing #ParseKit, our new infrastructure for building and managing data pipelines: https://t.co/s0DtTqmroo https://t.co…",Wed May 11 19:00:29 +0000 2016,en,13,False,0,False,,Ben Narasin,BNarasin
My post meeting view doing email from Brooklyn https://t.co/WQtgIMR1os,Tue May 10 18:17:13 +0000 2016,en,0,False,3,False,,Ben Narasin,BNarasin
Shepard Fairy. New install in Dumbo https://t.co/PDzzWQ8lxi,Tue May 10 18:00:47 +0000 2016,en,0,False,0,False,,Ben Narasin,BNarasin
Intelligence without ambition is a bird without wings. @d https://t.co/p82gzn4FXP,Tue May 10 15:19:54 +0000 2016,en,4,False,5,False,,Ben Narasin,BNarasin
@ciscospark gave me power.,Tue May 10 13:30:01 +0000 2016,en,0,False,0,False,,Ben Narasin,BNarasin
RT @rosenbergann: Thanks @BASES for inviting #SAP to #startup judges panel @stanford w/sponsors @Morgenthaler_V @noahventure @bnarasin http…,Tue May 10 13:22:07 +0000 2016,en,4,False,0,False,,Ben Narasin,BNarasin
To measure is to know. -Kelvin,Mon May 09 17:03:14 +0000 2016,en,0,False,0,False,,Ben Narasin,BNarasin
Watch “Seed Vs. Series A - Summary” on @Vimeo https://t.co/KaL1LHzJUg,Mon May 09 15:24:50 +0000 2016,en,0,False,2,False,,Ben Narasin,BNarasin
“Silicon Valley Has a Vulnerability Problem” by @marenkate https://t.co/ey0MvgIppo,Fri May 06 19:38:09 +0000 2016,es,1,False,1,False,,Ben Narasin,BNarasin
RT @mavenvc: Winter brings opportunities for the wise and frugal by @BNarasin https://t.co/00LKXaqsnx,Fri May 06 19:06:45 +0000 2016,en,1,False,0,False,,Ben Narasin,BNarasin
"Made me smile, but not laugh. i-d-10-t error style. https://t.co/UlbSbasP0K via youtube",Fri May 06 05:41:05 +0000 2016,en,0,False,1,False,,Ben Narasin,BNarasin
"RT @BoweryCapital: Startups are disrupting the road haulage industry, esp. @transfixIO! - https://t.co/6pAUnmb19F  via @TheEconomist https:…",Thu May 05 21:45:52 +0000 2016,en,3,False,0,False,,Ben Narasin,BNarasin
"You never forget the pain, so try to avoid it https://t.co/yu4o1nydyD via techcrunch",Thu May 05 01:08:19 +0000 2016,en,0,False,1,False,,Ben Narasin,BNarasin
"RT @mattermarkdaily: In today's @MattermarkDaily: must-read posts by @bfeld, @bnarasin, @henrysward, @ndewilde, @schlaf &amp; more https://t.co…",Thu May 05 01:07:17 +0000 2016,en,2,False,0,False,,Ben Narasin,BNarasin
My newest for @TechCrunch Winter brings oppurtunities for the wise and frugal https://t.co/g9KtoGBuCa via techcrunch,Wed May 04 20:14:43 +0000 2016,en,0,False,2,False,,Ben Narasin,BNarasin
TapFwd Partners with Twine to Add 200+ Million Mobile Data Points to TapFwd’s Mobile-First Data https://t.co/tq7jnOyOts,Wed May 04 02:05:11 +0000 2016,en,0,False,0,False,,Ben Narasin,BNarasin
"Like and respect can come vicariously. Trust only comes from experience and, likely, hardship.",Tue May 03 20:40:52 +0000 2016,en,0,False,3,False,,Ben Narasin,BNarasin
"What we observe is not nature itself, but nature exposed to our method of questioning. - Werner Heisenberg.",Sun May 01 16:46:21 +0000 2016,en,1,False,0,False,,Ben Narasin,BNarasin
Use the normal force to engage; use the extraordinary to win. Sun-Tzu. The Art of War,Sun May 01 16:41:33 +0000 2016,en,1,False,0,False,,Ben Narasin,BNarasin
"In being a founder or CEO, if you aren't scared some of the time, you either aren't doing it right or aren't doing anything that matters.",Sat Apr 30 14:33:15 +0000 2016,en,3,False,10,False,,Ben Narasin,BNarasin
No need to teach an old dog new tricks if the old ones still get the job done. Singer &amp; Cole,Sat Apr 30 14:30:56 +0000 2016,en,0,False,1,False,,Ben Narasin,BNarasin
"Gotta love the rank of ""fabulous.""  Thanks @treehcapital  https://t.co/Z1uUtGq1TJ",Thu Apr 28 16:37:57 +0000 2016,en,0,False,0,False,,Ben Narasin,BNarasin
