Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@angelcustodio patético quería decir,Fri May 13 19:29:39 +0000 2016,es,0,False,0,False,,Carlos Domingo,carlosdomingo
@angelcustodio very different!! Patwyiu,Fri May 13 19:29:28 +0000 2016,cy,0,False,0,False,,Carlos Domingo,carlosdomingo
@angelcustodio flipo que lleve siendo ilegal desde hace más de diez años y nadie haya hecho nada,Fri May 13 19:28:36 +0000 2016,es,0,False,0,False,,Carlos Domingo,carlosdomingo
Impresionante el cementerio de neumáticos ilegal desde hace 10 años que se ha quemado.https://t.co/IB03eZdvw3,Fri May 13 19:19:59 +0000 2016,es,2,False,1,False,,Carlos Domingo,carlosdomingo
@Aitor_goy @amartino @Wayra @Telefonica has dicho Wayra y no Open Future. Blasfemo.,Fri May 13 19:09:02 +0000 2016,es,0,False,1,False,,Carlos Domingo,carlosdomingo
@KrITIK4L el App nos lo ha hecho una empresa española que es partner de Microsoft,Fri May 13 11:08:28 +0000 2016,es,0,False,0,False,,Carlos Domingo,carlosdomingo
@KrITIK4L nosotros hemos hecho contenido en 360 también con una empresa local del hijo del jeque,Fri May 13 11:06:33 +0000 2016,es,0,False,0,False,,Carlos Domingo,carlosdomingo
@KrITIK4L hablan de du o no hablan de du?,Fri May 13 11:01:50 +0000 2016,tr,0,False,0,False,,Carlos Domingo,carlosdomingo
"The risks of the Internet of Things  ""Swedish bus stop advertisement hacked with hardcore porn"" https://t.co/wtykVB1e0x",Tue May 10 17:49:00 +0000 2016,en,1,False,0,False,,Carlos Domingo,carlosdomingo
"Today I got a job request from a Pakistani saying ""you do not chose to be born poor but you chose to die poor"". The guy has got my attention",Tue May 10 17:46:11 +0000 2016,en,2,False,6,False,,Carlos Domingo,carlosdomingo
"So far I am holding pretty much spoiler free about GoT except the occasional ""awesome"" ""they kill many people"". Binge on!",Tue May 10 17:14:27 +0000 2016,en,0,False,0,False,,Carlos Domingo,carlosdomingo
Great conference!!  https://t.co/ou4y1ayqFk,Tue May 10 10:18:06 +0000 2016,en,1,False,4,False,,Carlos Domingo,carlosdomingo
".@somospostpc AMP instead of IA will work as well but I do not want it in Moments, I want it in the links within the app like Facebook does",Mon May 09 12:11:31 +0000 2016,en,0,False,0,False,,Carlos Domingo,carlosdomingo
"Wow ""GoPro hitched a ride on a rocket and the video is incredible"" https://t.co/rGN4Jy1VOH",Mon May 09 04:29:28 +0000 2016,en,5,False,1,False,,Carlos Domingo,carlosdomingo
Twitter should adopt Instant Articles if they do not want to become irrelevant as a sharing platform.,Sun May 08 19:01:51 +0000 2016,en,1,False,3,False,,Carlos Domingo,carlosdomingo
RT @delossantos_h: @amartino @carlosdomingo si es la blanca siempre puedes pintarle una rayas rojas y en el futuro otras azules y todo...,Sun May 08 18:57:35 +0000 2016,es,2,False,0,False,,Carlos Domingo,carlosdomingo
"@amartino @delossantos_h de blanco, como la temporada anterior y con suerte esta",Sun May 08 18:52:47 +0000 2016,es,0,False,0,False,,Carlos Domingo,carlosdomingo
@amartino saber sufrir es de grandes. A Guido eso le curtira,Sun May 08 18:51:24 +0000 2016,es,0,False,1,False,,Carlos Domingo,carlosdomingo
@amartino aún queda un partido!! Yo no respiro hasta que el Barça gane la Liga y el Mandril pierda la Champions,Sun May 08 18:49:25 +0000 2016,es,0,False,1,False,,Carlos Domingo,carlosdomingo
"Isn't this movie coming like 3 years late? ‘The Angry Birds Movie’ Review: A Fun, Feather-Light Family Surprise https://t.co/9qV2rqgDpE",Sat May 07 19:44:55 +0000 2016,en,0,False,0,False,,Carlos Domingo,carlosdomingo
"They will never have the same software though. ""Huawei Just Copied the iPhone—Down to the Last Screw"" https://t.co/6ZWatJwJwx",Sat May 07 17:39:03 +0000 2016,en,1,False,3,False,,Carlos Domingo,carlosdomingo
I opened Instagram for the first time in a while. I was not aware it had so many ads now. Total spam.,Fri May 06 17:22:22 +0000 2016,en,1,False,2,False,,Carlos Domingo,carlosdomingo
Menos del 5% de los españoles en el extranjero consiguen votar. Yo me temo que seré de los que no consiga hacerlo.  https://t.co/alFq1kzBHy,Thu May 05 11:49:52 +0000 2016,es,2,False,0,False,,Carlos Domingo,carlosdomingo
@JulioAlonso si no te inscribes no te beneficias de la exención fiscal.,Thu May 05 11:00:12 +0000 2016,es,0,False,0,False,,Carlos Domingo,carlosdomingo
@JulioAlonso no inscrito solo un año pero por la carta de la embajada ese el proceso que me aplica,Thu May 05 10:58:56 +0000 2016,es,0,False,0,False,,Carlos Domingo,carlosdomingo
@JulioAlonso el problema es de España que en un país donde el 90% de los españoles están en Dubai no tienen ni consulado aquí. Todo en AD,Thu May 05 10:58:22 +0000 2016,es,0,False,0,False,,Carlos Domingo,carlosdomingo
@JulioAlonso llevo dos años aquí...,Thu May 05 10:57:32 +0000 2016,es,0,False,0,False,,Carlos Domingo,carlosdomingo
@JulioAlonso yo soy residente de aqui y esta información sale de la carta que me ha mandado la embajada Española,Thu May 05 10:55:14 +0000 2016,es,0,False,0,False,,Carlos Domingo,carlosdomingo
@JulioAlonso además ya estoy inscrito en la emanadas pero hay que ir a comprobar si estás en el censo.,Thu May 05 10:43:50 +0000 2016,es,0,False,0,False,,Carlos Domingo,carlosdomingo
