Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"""In hosting the Sochi Games, sports officials could control antidoping lab results....Getting into bottles was key."" https://t.co/HVeiuQuJQn",Fri May 13 00:34:41 +0000 2016,en,0,False,0,False,,Chung-Man Tam,Chung
Man vs. Marathon...how hard should we push to break the 2 hr barrier? https://t.co/CWIrh1ph5a,Wed May 11 20:30:55 +0000 2016,en,0,False,1,False,,Chung-Man Tam,Chung
"""Triathlete Says She Didn’t Cheat. Video Suggests Otherwise."" https://t.co/H92Rjlt8mX",Wed Apr 27 19:36:02 +0000 2016,en,0,False,0,False,,Chung-Man Tam,Chung
How Neuroscientists Explain the Mind-Clearing Magic of Running: https://t.co/I9jhbMWoQ6,Tue Apr 26 17:38:57 +0000 2016,en,0,False,0,False,,Chung-Man Tam,Chung
"Now, put DC/Jones 2 on the co-main and we're talking. https://t.co/OxJnk79Hpg",Mon Apr 25 06:44:04 +0000 2016,en,0,False,0,False,,Chung-Man Tam,Chung
"Hey UFC, let me watch a 100% hermit/warrior Mac.  Got 200 pre-ordered.  McGregor not retired, pursuing UFC 200 fight https://t.co/TPsHsskG2E",Thu Apr 21 15:49:43 +0000 2016,en,0,False,0,False,,Chung-Man Tam,Chung
Wot? https://t.co/RyNdwOjJib,Wed Apr 20 00:41:40 +0000 2016,und,0,False,0,False,,Chung-Man Tam,Chung
"Honor code rules, right?  ""Swim. Bike. Cheat?"" https://t.co/GzlPosaPwQ",Fri Apr 08 22:34:20 +0000 2016,en,0,False,3,False,,Chung-Man Tam,Chung
RT @shabihr: @aunkurarya Was a special place. So many great memories and lifelong friends. @smakani @claykellogg @Chung... https://t.co/4Di…,Sat Apr 02 02:01:31 +0000 2016,en,1,False,0,False,,Chung-Man Tam,Chung
I love how easy @StoryWorth makes it to capture family stories.  https://t.co/noKxqveUNn,Fri Apr 01 23:55:38 +0000 2016,en,0,False,2,False,,Chung-Man Tam,Chung
Calvin Klein vs @ThirdLove!? Very proud of company as an investor and Heidi as a friend https://t.co/pPLAIptoii #MoreThanMyUnderwear,Tue Mar 22 18:35:38 +0000 2016,en,0,False,3,False,,Chung-Man Tam,Chung
RT @JackSlackMMA: Weight classes folks. They exist for a reason.,Sun Mar 06 06:13:24 +0000 2016,en,89,False,0,False,,Chung-Man Tam,Chung
RT @arielhelwani: McGregor: I took the chance going at 170... I'm humble in victory or defeat. He was efficient. I wasn't efficient. These …,Sun Mar 06 06:12:46 +0000 2016,en,466,False,0,False,,Chung-Man Tam,Chung
RT @BaronDavis: Big O .... That's enuff.. We love u but... U need to order the League Pass... #apologize2datman,Sun Feb 28 19:24:05 +0000 2016,en,2701,False,0,False,,Chung-Man Tam,Chung
Resistance training vs HIIT vs endurance. Which Type of Exercise Is Best for the Brain? https://t.co/1rGJ3GVuzs,Wed Feb 17 19:26:05 +0000 2016,en,0,False,1,False,,Chung-Man Tam,Chung
"RT @Stanford: Final score of the 102nd #RoseBowl Game: @StanfordFball 45, Iowa 16. #GoStanford https://t.co/JMtrVfFCkJ",Sat Jan 02 01:42:14 +0000 2016,en,272,False,0,False,,Chung-Man Tam,Chung
great video edit. https://t.co/BLX0KnDXMB,Tue Dec 15 07:37:41 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
RT @ESPNNBA: IMPORTANT UPDATE:  Jeremy Lin has changed his hair from the mohawk to whatever this is. https://t.co/paKyA6Qs7D,Thu Dec 10 00:47:34 +0000 2015,en,2360,False,0,False,,Chung-Man Tam,Chung
"@clickbyclick No joy on WS100.  Next year, I guess.  Great race out there on Sat!  Recovery going well?",Mon Dec 07 06:17:34 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
"@clickbyclick also, have to stay by the computer for the results of ws100 lottery!",Sat Dec 05 06:15:08 +0000 2015,en,0,False,1,False,,Chung-Man Tam,Chung
@clickbyclick ignorance is bliss. Enjoy the course tomorrow. I had to downgrade to half. Sick for most of October.,Sat Dec 05 06:13:37 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
@clickbyclick 50m?,Sat Dec 05 05:29:20 +0000 2015,und,0,False,0,False,,Chung-Man Tam,Chung
I'm digging these '96-'97 Bulls highlights. SC Throwback: Bulls put on a dunk show https://t.co/QtQ9QZTMeO,Wed Dec 02 17:14:26 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
72-10: Reliving the 1995-96 Bulls https://t.co/AKHFOeUSew,Fri Nov 27 23:52:19 +0000 2015,en,0,False,1,False,,Chung-Man Tam,Chung
Hooray!  @ZachLowe_NBA 's Lowe Post podcast lives.,Fri Nov 20 00:09:30 +0000 2015,en,0,False,1,False,,Chung-Man Tam,Chung
RIP Vineman 1990-2015 https://t.co/Xv3WDuzpdd.  Tris feels more and more elitist with each local race going away.,Tue Nov 17 19:30:02 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
had a feeling... https://t.co/47701SaJX3,Sun Nov 15 06:25:25 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
What happens to your body during an ultramarathon https://t.co/64jaDVBKiO via @postgraphics,Wed Nov 11 00:45:54 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
Relax. It’s no longer your San Francisco anyway… (via @Pocket) #longreads https://t.co/JVtspJjTHI,Tue Nov 10 05:39:25 +0000 2015,en,0,False,1,False,,Chung-Man Tam,Chung
Athletes React on Twitter to WADA Report on Russian Doping  https://t.co/krwKpV42ff,Mon Nov 09 22:16:28 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
"On the Longest Hiking Trails, a Woman Finds Equal Footing (via @Pocket) #longreads https://t.co/0eyrheOjEH",Thu Nov 05 05:24:42 +0000 2015,en,1,False,0,False,,Chung-Man Tam,Chung
"Bummer...one of my daily visits on the interwebs.  Goodbye Grantland, ESPN’s Home for Actual Sports Journalism https://t.co/x8qUaqfCMl",Mon Nov 02 17:36:30 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
RT @ZDNet: ZenPayroll is now Gusto as startup expands into benefits http://t.co/3jdNBCj1NX by @natalienoell,Thu Sep 24 06:27:08 +0000 2015,en,19,False,0,False,,Chung-Man Tam,Chung
Hidden motors for road bikes exist — here’s how they work (via @Pocket) http://t.co/t2h9z60AiK,Mon Sep 07 05:24:00 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
"Kudos @ZenPayroll on opening a Denver office! Love that they choose a location which exemplified their #SMB ethos:
http://t.co/kPVjZGye13",Tue Jul 28 21:10:18 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
‘The Soul of Google’: What the Return of Omid Kordestani Says About the Mountain View Monolith  #longreads http://t.co/qN1xXZzhmK,Tue Jul 21 17:57:56 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
"""The Ecstasy and Agony of Robbie Lawler versus Rory MacDonald""  http://t.co/OhpsxVqC3u",Wed Jul 15 03:52:56 +0000 2015,en,0,False,1,False,,Chung-Man Tam,Chung
"RT @iRunFar: Here was Rob Krar sharing the lead at mile 38 a bit ago. Water, water, everyone wants cold water on them. #WS100 http://t.co/c…",Sat Jun 27 19:13:06 +0000 2015,en,32,False,0,False,,Chung-Man Tam,Chung
"RT @iRunFar: Among the top 15 at mile 38, EVERY man is concerned with cooling off. It's not record heat out here, but the sun feels so stro…",Sat Jun 27 19:11:55 +0000 2015,en,4,False,0,False,,Chung-Man Tam,Chung
"RT @iRunFar: Leader Stephanie Howe taking on liquids and mile 38. She's in and out very quietly, looks so solid. #WS100 http://t.co/xGSD0AE…",Sat Jun 27 19:11:31 +0000 2015,en,19,False,0,False,,Chung-Man Tam,Chung
RT @NBA: The @warriors are Western Conference champs and advance to the NBA Finals! http://t.co/vczrQAI7Yf,Thu May 28 03:58:13 +0000 2015,en,5310,False,0,False,,Chung-Man Tam,Chung
RT @Chartboost: Great article from @VentureBeat 's @deantak today on our new services to help game developers maximize their revenue http:/…,Thu May 21 19:59:24 +0000 2015,en,2,False,0,False,,Chung-Man Tam,Chung
"RT @Chartboost: Another great article from @adexchanger on how we're leveling The playing field for game devs, http://t.co/FqyK75kaqC by @O…",Thu May 21 19:59:16 +0000 2015,en,1,False,0,False,,Chung-Man Tam,Chung
Announcing 3 New Tools to Empower Mobile Game Developers with Data https://t.co/IYZ9uUchzx via @chartboost,Thu May 21 17:49:48 +0000 2015,en,0,False,1,False,,Chung-Man Tam,Chung
RT @ZenPayroll: Whoa. We've made @CNBC's ultimate list of disruptive companies! Thanks! #Disruptor50 http://t.co/iTne39mbPx 🎈🎉😊 http://t.co…,Thu May 14 01:20:50 +0000 2015,en,22,False,0,False,,Chung-Man Tam,Chung
RT @gamasutra: Get to Know Your Mobile Game Players Before It's Too Late http://t.co/tMNy3JTn9d,Tue May 12 23:06:22 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
"RT @SportsCenter: Many of nights Derrick Rose hit game winning shots in the streets of Chicago, but none bigger than this. 
VIDEO: http://t…",Sat May 09 04:08:46 +0000 2015,en,4286,False,0,False,,Chung-Man Tam,Chung
Get to Know Your Mobile Game Players Before It's Too Late https://t.co/0uuIMahnxa via @chartboost,Fri May 08 20:40:58 +0000 2015,en,0,False,1,False,,Chung-Man Tam,Chung
cool project by @javasoze...play with lucene from command line. https://t.co/w44VSrxfKL,Fri Apr 10 05:55:54 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
Congrats @ZenPayroll on raising $60M Series B! Love their focus on people as most important part of every business: http://t.co/qqhz0Ej2qE,Mon Apr 06 19:15:04 +0000 2015,en,0,False,1,False,,Chung-Man Tam,Chung
RT @gamasutra: 3 Monetization Metrics to Track Every Single Day http://t.co/z8TI8gU2U6,Thu Apr 02 23:19:20 +0000 2015,en,0,False,0,False,,Chung-Man Tam,Chung
