Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
&amp; Barolo's 1st ever single vyd wine was spectacular @vietti_vino @PElena_Vietti @AntonioGalloni @VinousMedia https://t.co/5tiCK0UCtB,Thu May 12 11:21:47 +0000 2016,en,0,False,1,False,,Ed Zimmerman,EdGrapeNutZimm
Amazing evening @vietti_vino Grazie mille @AntonioGalloni @VinousMedia #DrinkingHistory https://t.co/nLjVArRqAS,Thu May 12 10:49:53 +0000 2016,en,0,False,2,False,,Ed Zimmerman,EdGrapeNutZimm
Now announced @ #tcdisrupt: @enigma_io launches new infrastructure for scaling data operations #Parsekit https://t.co/t1peOyKfAk @merinids,Wed May 11 19:08:27 +0000 2016,en,1,False,2,False,,Ed Zimmerman,EdGrapeNutZimm
"Commerce event @GGVCapital @jrichlive @ryan_darnell_ w/ @percolate @heyitsnoah ""Brand comes out at a dinner party"" https://t.co/DV63bGstvs",Wed May 11 18:55:22 +0000 2016,en,5,False,16,False,,Ed Zimmerman,EdGrapeNutZimm
#Respect for the brilliant Senator @elizabethforma with the courage to loudly declare who and what the donald is https://t.co/RuRtdKWMDf,Sun May 08 11:13:25 +0000 2016,en,0,False,5,False,,Ed Zimmerman,EdGrapeNutZimm
happy mom's day: “It is dismaying that ‘being the only woman in the room’ is still a thing.” — @juliejorgensen https://t.co/t69GiZI7WC,Sun May 08 10:55:44 +0000 2016,en,0,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
@_LaCompagnie I'm very much hoping all goes smoothly today,Sat May 07 07:01:34 +0000 2016,en,0,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
@_LaCompagnie now nobody at desk and we are all waiting but nobody is sure why???? https://t.co/xus0ZPWE0K,Fri May 06 13:55:24 +0000 2016,en,0,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
@_LaCompagnie so I don't need to wait on this insanely slow line?,Fri May 06 13:53:16 +0000 2016,en,0,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
@_LaCompagnie and why must we wait on another line to confirm tomorrow? We can't do that online? Process So poorly managed,Fri May 06 13:50:46 +0000 2016,en,0,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
@_LaCompagnie people in the lounge are angry that nobody has told us anything and we all know that the flight is canceled.,Fri May 06 13:21:05 +0000 2016,en,0,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
@_LaCompagnie still no help on the ground. I'd love to get my luggage to see if I can make the net flight. Any help? This is a real problem,Fri May 06 13:16:19 +0000 2016,en,0,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
@_LaCompagnie how soon can we collect bags and make other arrangements?,Fri May 06 13:10:15 +0000 2016,en,0,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
@_LaCompagnie you've got to be kidding!,Fri May 06 13:06:25 +0000 2016,en,0,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
@_LaCompagnie understood but now almost four hours since we've boarded&amp;2since we deplaned &amp; no update. Any update?,Fri May 06 13:00:13 +0000 2016,en,0,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
"@_LaCompagnie now that you've deplaned #flight100 to EWR, any chance we can go through security now rather than all being rushed thu later?",Fri May 06 11:21:16 +0000 2016,en,0,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
Important @LiveIntent business with @davehendricks https://t.co/VpdBtawrkT,Wed May 04 08:27:35 +0000 2016,en,1,False,3,False,,Ed Zimmerman,EdGrapeNutZimm
He's letting me in so I can start punching as I train to fight Apollo Creed https://t.co/CXJ3qHBKiH,Mon May 02 20:41:24 +0000 2016,en,0,False,5,False,,Ed Zimmerman,EdGrapeNutZimm
"""God of the poor man
this is how the day began
8 codefendants, I, daniel berrigan...""
@DarWilliamsTour https://t.co/x7wBYM4lVC",Sun May 01 06:09:47 +0000 2016,en,0,False,2,False,,Ed Zimmerman,EdGrapeNutZimm
RT @VentureCrushNY: Interested in work at the intersection btw VC &amp; engineering? Check out @645Ventures Venture Engineering Fellowship http…,Tue Apr 26 00:21:55 +0000 2016,en,6,False,0,False,,Ed Zimmerman,EdGrapeNutZimm
"Thx @AlleyWatch cool column on @karaswisher @christhile @reginabenjamin ""Tech Titans Gather @VentureCrushNY "" https://t.co/1sSjXGfUPY",Mon Apr 25 17:07:05 +0000 2016,en,4,False,7,False,,Ed Zimmerman,EdGrapeNutZimm
