Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@bettercallharry Possible for you to post the story online about the couple without phone service? They are my parents and I live in NY.,Thu Dec 03 14:35:28 +0000 2015,en,0,False,0,False,,Adam Schwartz,GetAdam
@LagDoctorGolf Hi Clay - can you follow me back. I've got a proposal I want to run past you.,Mon Oct 19 11:47:18 +0000 2015,en,0,False,0,False,,Adam Schwartz,GetAdam
@Chrisgould1 Recently ate at your restaurant. You're killing it man. Great stuff.,Sat Aug 08 13:11:33 +0000 2015,en,0,False,0,False,,Adam Schwartz,GetAdam
@vanillaice Thx much for being so cool to my son at the park today. You even took time from b-ball to sign his hat. You're a real class act.,Sat May 23 20:48:36 +0000 2015,en,0,False,0,False,,Adam Schwartz,GetAdam
@MacMerge Weird. Me too. Right before getting into Minor Threat. #foreverchanged,Tue May 19 02:40:26 +0000 2015,en,0,False,0,False,,Adam Schwartz,GetAdam
@MacMerge Loving Non-Believers. Might possibly become my summer album. And the KB solo on Our Way Free reminds me of Styx! (In a good way.),Tue May 19 02:23:57 +0000 2015,en,0,False,0,False,,Adam Schwartz,GetAdam
Great to return to Amangiri. I love how the concrete architecture frames the desert. @ Amangiri https://t.co/G4Fmclb6hW,Fri May 15 19:53:11 +0000 2015,en,1,False,3,False,"{'coordinates': [-111.61115326, 37.01435514], 'type': 'Point'}",Adam Schwartz,GetAdam
"@WLNGRadio do you still have a webcam there? On the page it says ""Missing Webcam.""",Mon May 04 17:19:32 +0000 2015,en,0,False,1,False,,Adam Schwartz,GetAdam
"Yo, Japandroids, Where You at, Dawgs? http://t.co/a2GfWSDY2h",Wed Apr 29 12:03:22 +0000 2015,en,0,False,0,False,,Adam Schwartz,GetAdam
"WARNING - there are actually TWO red tic tac flavors. Wild Cherry and Cinnamon Spice. Be careful, they are both red and look similar.",Tue Apr 28 19:14:41 +0000 2015,en,1,False,3,False,,Adam Schwartz,GetAdam
Sagaponack is special. https://t.co/mR0w4GI3Rr,Sun Apr 26 18:09:10 +0000 2015,en,0,False,2,False,,Adam Schwartz,GetAdam
Happy 10th birthday Tucker! Enjoying it in Tokyo. @ Aman Tokyo https://t.co/SkUjd49FrI,Wed Apr 08 11:25:46 +0000 2015,en,0,False,3,False,"{'coordinates': [139.76524826, 35.68533649], 'type': 'Point'}",Adam Schwartz,GetAdam
Tokyo nights @ Shinjuku Tokyo Japan https://t.co/V0LTDBE162,Wed Apr 08 10:43:09 +0000 2015,tl,0,False,1,False,"{'coordinates': [139.70395747, 35.69984733], 'type': 'Point'}",Adam Schwartz,GetAdam
"1,200 moss-covered statues like these in this holy garden. #kyoto @ Tenryū-ji https://t.co/YJmMWMG0Y5",Thu Apr 02 11:59:11 +0000 2015,en,0,False,2,False,"{'coordinates': [135.67361111, 35.01555556], 'type': 'Point'}",Adam Schwartz,GetAdam
