Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Welcome back to @Instagram, @rihanna! http://t.co/SttlKJOkoa",Sun Nov 02 17:02:19 +0000 2014,en,439,False,811,False,,Kevin S.,kevin
RT @instagram: Join the Instagram Team — We’re Hiring! http://t.co/u9a84Qjr25,Wed Jun 05 21:42:23 +0000 2013,en,771,False,0,False,,Kevin S.,kevin
"RT @instagram: Over the past weeks, Instagrammers around the world gathered for photo walks. Will you host your own this weekend? http:/ ...",Tue Apr 02 16:47:22 +0000 2013,en,307,False,0,False,,Kevin S.,kevin
"RT @instagram: Thank you, and we're listening: http://t.co/vKE83WFM",Tue Dec 18 22:13:59 +0000 2012,en,10703,False,0,False,,Kevin S.,kevin
RT @instagram: Announcing Instagram Profiles on the Web! http://t.co/kO4oxmEf,Mon Nov 05 19:36:54 +0000 2012,en,2352,False,0,False,,Kevin S.,kevin
Instagram 3.0: Photo Maps &amp; more. So proud of the @instagram team for pulling this off.  @ Instagram HQ http://t.co/U2YLUfbj,Thu Aug 16 16:55:53 +0000 2012,en,91,False,108,False,,Kevin S.,kevin
"RT @justcreative: Wow, this snap really sums up the storm over #NYC. Taken from a plane out at LGA.  http://t.co/rAJzz4d9",Wed Jul 18 22:50:55 +0000 2012,en,335,False,0,False,,Kevin S.,kevin
@GooseGanderNapa I said hi to Scott - great cocktails thanks!!!,Sun Jul 15 07:43:30 +0000 2012,en,5,False,31,False,,Kevin S.,kevin
Very excited for Steve and team at Brewster ... big things ahead! http://t.co/MIxSZlk1,Thu Jul 12 23:21:28 +0000 2012,en,3482,False,59,False,,Kevin S.,kevin
Sometimes you need an axe.  @ Instagram HQ http://t.co/4HICa8mL,Wed Jul 11 20:34:46 +0000 2012,en,11,False,43,False,,Kevin S.,kevin
I'm looking for an amazing executive asst to join our team here at Instagram. If you're interested email ea-job at instagram dot com,Tue Jul 10 02:34:26 +0000 2012,en,89,False,98,False,,Kevin S.,kevin
What up Rob Lowe?  @ The Tasting Kitchen http://t.co/mv7qMVD5,Sun Jun 10 00:59:43 +0000 2012,en,6,False,32,False,"{'coordinates': [-118.46317828, 33.98965683], 'type': 'Point'}",Kevin S.,kevin
#supermoon http://t.co/7Aqw0LxV,Sun May 06 08:57:21 +0000 2012,und,19,False,36,False,,Kevin S.,kevin
Instagram cake!!!  @ Instagram HQ http://t.co/TAB2AjPp,Fri May 04 21:36:05 +0000 2012,en,55,False,67,False,,Kevin S.,kevin
My new favorite toy in the office: a new @jambox  @ Instagram HQ http://t.co/MDX6AaOr,Thu May 03 22:00:31 +0000 2012,en,6,False,26,False,"{'coordinates': [-122.39486142, 37.78107157], 'type': 'Point'}",Kevin S.,kevin
@rmstein @mikeyk @grex thanks dude,Tue Apr 03 21:17:41 +0000 2012,en,4,False,16,False,,Kevin S.,kevin
@bryce 60m?!? We're gonna need a bigger boat.,Tue Apr 03 20:54:05 +0000 2012,en,12,False,20,False,,Kevin S.,kevin
RT @instagram: Instagram for Android — Available Now. http://t.co/paDHsKAp,Tue Apr 03 17:17:32 +0000 2012,en,18539,False,0,False,,Kevin S.,kevin
@kevinrose @summertomato thats two proposals on Instagram I've seen in my feed so far. Awesome! cc @sacca,Tue Apr 03 07:20:23 +0000 2012,en,5,False,20,False,,Kevin S.,kevin
Spent this entire weekend paying for food and trains with my phone and card. Cash and coins are starting to feel old fashioned.,Mon Apr 02 11:42:27 +0000 2012,en,25,False,33,False,,Kevin S.,kevin
@dens after this weekend I don't blame you at all!,Mon Apr 02 11:39:00 +0000 2012,en,1,False,7,False,,Kevin S.,kevin
@jamieoliver and all our friends having dinner. This guy knows his Instagram!  @ Barbecoa http://t.co/kIRTc8CN,Thu Mar 29 20:05:24 +0000 2012,en,4,False,14,False,"{'coordinates': [-0.096377, 51.513711], 'type': 'Point'}",Kevin S.,kevin
RT @instagram: Want to be first in line for @instagram on #Android? Sign up here http://t.co/XkiOlV7y,Sat Mar 24 21:26:18 +0000 2012,en,3717,False,0,False,,Kevin S.,kevin
@shawnroller @jayzombie would know,Sat Mar 24 16:13:46 +0000 2012,en,3,False,4,False,,Kevin S.,kevin
Today is #worldwaterday and I'm pledging to give my next birthday to @charitywater. Join me http://t.co/s9j0KUOY,Thu Mar 22 18:40:55 +0000 2012,en,5,False,13,False,,Kevin S.,kevin
@deveryjohnson amazing stuff! great meeting you too,Thu Mar 22 02:23:03 +0000 2012,en,0,False,4,False,,Kevin S.,kevin
"@TiffanyAndCo you all have an amazing story to tell, and I'm so glad Instagram is lucky enough to be the place where you tell it.",Thu Mar 22 02:14:55 +0000 2012,en,2,False,7,False,,Kevin S.,kevin
@MusaTariq Thanks! You guys are doing some amazing stuff over there. Keep it up!,Thu Mar 22 02:12:28 +0000 2012,en,0,False,6,False,,Kevin S.,kevin
@davegilboa totally! you guys rock,Thu Mar 22 02:11:30 +0000 2012,en,0,False,3,False,,Kevin S.,kevin
How lucky are we to have this? Amazing. http://t.co/bATPi6DC,Thu Mar 22 01:49:52 +0000 2012,en,5,False,9,False,,Kevin S.,kevin
I can has new friend? http://t.co/a4G2N1TF,Sat Mar 17 20:24:24 +0000 2012,en,12,False,14,False,,Kevin S.,kevin
@TheVegasFoodie @MandalayBay hah! Amazing. Yep that was me. Should have said hello. Was only there for dinner then flew out,Tue Mar 13 06:06:56 +0000 2012,en,2,False,4,False,,Kevin S.,kevin
Nom  @ franklin barbecue http://t.co/LVOrLXEQ,Sun Mar 11 16:52:11 +0000 2012,da,0,False,7,False,"{'coordinates': [-97.73127437, 30.27008516], 'type': 'Point'}",Kevin S.,kevin
Sxsw! My first panel. Hope people enjoy!  @ SXSW Interactive Festival http://t.co/nQEf6QIX,Sun Mar 11 14:33:52 +0000 2012,en,4,False,10,False,"{'coordinates': [-97.7386811, 30.2649102], 'type': 'Point'}",Kevin S.,kevin
@kevinrose No problem! Happy drinkin'!,Sat Feb 25 22:22:00 +0000 2012,en,0,False,6,False,,Kevin S.,kevin
@Youngthegiant absolutely - saw you guys at the vmas,Sun Feb 19 04:29:26 +0000 2012,en,0,False,6,False,,Kevin S.,kevin
@Youngthegiant thanks guys - next time you're in town drop me a line,Sun Feb 19 02:38:18 +0000 2012,en,0,False,4,False,,Kevin S.,kevin
"Hello, Utah.  @ Powder Mountain http://t.co/WiKiYxaY",Sat Feb 18 22:56:06 +0000 2012,in,6,False,10,False,"{'coordinates': [-111.76463053, 41.36971451], 'type': 'Point'}",Kevin S.,kevin
"Landscape  @ Park City, Utah http://t.co/EyDjeDlq",Sat Feb 18 16:53:06 +0000 2012,en,1,False,6,False,"{'coordinates': [-111.48661244, 40.68077396], 'type': 'Point'}",Kevin S.,kevin
Goal: spend more time outside  @ Squaw Valley Ski Resort http://t.co/W1XEtOEX,Sat Feb 11 19:44:09 +0000 2012,en,0,False,6,False,"{'coordinates': [-120.23506165, 39.19637614], 'type': 'Point'}",Kevin S.,kevin
#lux  @ Squaw Valley Ski Resort http://t.co/l2o1pvja,Sat Feb 11 19:21:39 +0000 2012,en,2,False,5,False,"{'coordinates': [-120.23506165, 39.19637614], 'type': 'Point'}",Kevin S.,kevin
RT @BradBirdsall: Wanna watch a live feed of @instagram photos from the superbowl? Check out what @brdrck and I put together: http://t.c ...,Mon Feb 06 00:48:19 +0000 2012,en,11,False,0,False,,Kevin S.,kevin
