Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @Foodora_FR: @Foodora_FR parmi les #startups les plus prometteuses d'Europe ! Merci @EmmanuelMacron. Bientôt livré au Ministère ? https:…,Fri May 13 12:46:21 +0000 2016,fr,9,False,0,False,,Kolja Hebenstreit,Kolja
Brainly raises $15 million https://t.co/9yiaK7h26T @PointNineCap,Wed May 11 15:45:03 +0000 2016,en,1,False,3,False,,Kolja Hebenstreit,Kolja
RT @oberholz: Yeah! Our cook Boris and Store Manager Hidaka prepared the first #Foodora order of our new #StOberholz meals: https://t.co/LS…,Tue May 10 23:23:38 +0000 2016,en,1,False,0,False,,Kolja Hebenstreit,Kolja
"RT @oberholz: If you are hungry at #rpTEN, you could order our new delicious meals with #Foodora if you like: https://t.co/W4RqreLvlj",Tue May 10 23:20:52 +0000 2016,en,2,False,0,False,,Kolja Hebenstreit,Kolja
RT @b_mittermueller: Live from the French-German EUnicorns Day: #EmmanuelMacron mentioning #foodora as one of the most promising start-ups…,Mon May 09 20:23:39 +0000 2016,en,5,False,0,False,,Kolja Hebenstreit,Kolja
"RT @Bill_Gross: ""VC is funding 0.2% of the US economy, it’s 11% of US jobs, and 21% of US economic output!"" Juan Enriquez #MIGlobal https:/…",Mon May 09 09:53:41 +0000 2016,en,235,False,0,False,,Kolja Hebenstreit,Kolja
"RT @FreeseChristian: ""Mit #uberPOOL werden Verkehre in der Stadt gebündelt, hoffentlich bald auch in #Berlin"" https://t.co/l0J3fOAlan @Uber…",Mon May 09 09:22:45 +0000 2016,de,6,False,0,False,,Kolja Hebenstreit,Kolja
RT @Kroker: Comeback in Berlin: #Uber will mit neuem Fahrdienst die Hauptstadt zurück erobern (t3n) - https://t.co/hDgPKK62V6,Mon May 09 09:18:59 +0000 2016,de,2,False,0,False,,Kolja Hebenstreit,Kolja
M29 - Berlins Buslinie der großen Unterschiede https://t.co/JHtWnOobOO #berlin,Fri Apr 29 15:34:51 +0000 2016,de,0,False,1,False,,Kolja Hebenstreit,Kolja
"RT @chrija: In case you've missed it, we're on a hiring spree.
1) Associate
2) Analyst
3) Legal Assistant
https://t.co/lxQk5NpkSE
Referrals…",Wed Apr 27 23:41:21 +0000 2016,en,9,False,0,False,,Kolja Hebenstreit,Kolja
RT @businessinsider: Tim Cook on the declining smartphone market: 'This too shall pass' https://t.co/Ug3JjVcWmM https://t.co/5gNw3UgCrK,Tue Apr 26 23:22:17 +0000 2016,en,17,False,0,False,,Kolja Hebenstreit,Kolja
RT @EconoScribe: The first rule of pricing is: you do not talk about pricing https://t.co/0xRwZdQJJI https://t.co/9QaR5HfkeD,Mon Apr 25 11:17:47 +0000 2016,en,2,False,0,False,,Kolja Hebenstreit,Kolja
"RT @IEdotF: Heute im Handelsblatt, FAZ und Die Welt: unsere 7 Punkte für ein digitales Deutschland. https://t.co/W8Qt9lGQlP",Mon Apr 25 09:31:15 +0000 2016,de,5,False,0,False,,Kolja Hebenstreit,Kolja
RT @deliveryherocom: New Milestone in Food Delivery: Two Michelin Star Restaurant Signed by Foodora https://t.co/kTJG41HbPA,Fri Apr 22 23:44:03 +0000 2016,en,6,False,0,False,,Kolja Hebenstreit,Kolja
5 huge challenges that self-driving cars still have to overcome @voxdotcom  https://t.co/MB4FtYgcUm,Fri Apr 22 05:00:45 +0000 2016,en,4,False,2,False,,Kolja Hebenstreit,Kolja
Weniger private Vorsorge: Warum junge Deutsche der Riesterrente misstrauen https://t.co/nFTWl4bvvS,Fri Apr 22 03:53:53 +0000 2016,de,0,False,0,False,,Kolja Hebenstreit,Kolja
RT @IEdotF: Pressemitteilung der IE.F zu #Google und #Android Verfahren der @EU_Commission: https://t.co/SLKEytXVOt,Thu Apr 21 16:02:10 +0000 2016,de,4,False,0,False,,Kolja Hebenstreit,Kolja
RT @IEdotF: Wichtiger Schritt für fairen Wettbewerb im Internet - die IE.F begrüßt das SO der @EU_Commission zum #Google #Android Verfahren,Thu Apr 21 16:02:04 +0000 2016,de,2,False,0,False,,Kolja Hebenstreit,Kolja
RT @VentureBeat: How SaaS is bringing B2B marketplaces back https://t.co/HBkpLHcI5J https://t.co/kxO9S1s2y3,Thu Apr 21 12:24:02 +0000 2016,en,28,False,0,False,,Kolja Hebenstreit,Kolja
Grundeinkommen: Gleiches Geld für alle - das Experiment @SPIEGELONLINE  https://t.co/0QPxpTVFRR,Thu Apr 21 11:46:00 +0000 2016,de,0,False,1,False,,Kolja Hebenstreit,Kolja
@JensT @tj_tweets @Prof_Kollmann Ich bin großer Zeit Audio Fan,Thu Apr 21 11:30:28 +0000 2016,de,0,False,1,False,,Kolja Hebenstreit,Kolja
Not smart: Should surge pricing for cabs be banned? India is giving it a go https://t.co/mQsgV7m1f8,Thu Apr 21 04:56:49 +0000 2016,en,0,False,0,False,,Kolja Hebenstreit,Kolja
RT @EconoScribe: The European Commission goes after Google again (by me) https://t.co/ykMYbBUCu5 https://t.co/RQJojU9RE0,Thu Apr 21 04:35:58 +0000 2016,en,1,False,0,False,,Kolja Hebenstreit,Kolja
Google's Android OS just hit a major problem in Europe https://t.co/9yaUZwzxdF,Thu Apr 21 04:09:47 +0000 2016,en,1,False,0,False,,Kolja Hebenstreit,Kolja
Facebook might soon let you earn money from your posts https://t.co/hVoulzdjRt,Thu Apr 21 04:07:51 +0000 2016,en,1,False,0,False,,Kolja Hebenstreit,Kolja
"RT @BizDatabase: The future of food delivery https://t.co/ci9Lwz0PwQ Niklas Östberg, CEO of Delivery Hero, talks about the potential for gr…",Wed Apr 20 21:52:41 +0000 2016,en,2,False,0,False,,Kolja Hebenstreit,Kolja
US-Wahlkampf: Bill Gates attackiert Trumps Abschirm-Rhetorik https://t.co/IOdX5zkHQM,Wed Apr 20 06:02:51 +0000 2016,de,0,False,1,False,,Kolja Hebenstreit,Kolja
RT @businessinsider: Uber has hit a road bump in its quest to conquer food delivery https://t.co/wW2ByNv3ky https://t.co/NjXERzZdae,Tue Apr 19 00:49:37 +0000 2016,en,21,False,0,False,,Kolja Hebenstreit,Kolja
Unternehmer gründen Internet-Stiftung https://t.co/NEWZg7AKz0 @IEdotF @manager_magazin,Tue Apr 19 00:47:18 +0000 2016,de,0,False,0,False,,Kolja Hebenstreit,Kolja
„Deutschland braucht einen Internet-Minister“ @IEdotF  https://t.co/HkFA59dL3A,Mon Apr 18 19:30:55 +0000 2016,de,1,False,2,False,,Kolja Hebenstreit,Kolja
„Wir dürfen nicht länger warten“ Ralph Dommermuth über die @IEdotF im @handelsblatt,Mon Apr 18 19:10:11 +0000 2016,de,1,False,2,False,,Kolja Hebenstreit,Kolja
RT @businessinsider: Amazon still can't crack the grocery industry — via @TheMotleyFool https://t.co/8iR6lE8z9h https://t.co/1Ck8nZb5cp,Mon Apr 18 01:22:50 +0000 2016,en,28,False,0,False,,Kolja Hebenstreit,Kolja
Ich freue mich die Internet Economy Foundation @IEdotF zu unterstützen https://t.co/UkDcM9KCm6 @gruenderszene,Fri Apr 15 16:26:59 +0000 2016,de,1,False,3,False,,Kolja Hebenstreit,Kolja
RT @Bfly: Rocket's Samwer brothers are holding out for a Delivery Hero https://t.co/9XGS3BJnqp https://t.co/w6vXDXtfpi,Fri Apr 15 02:43:13 +0000 2016,en,1,False,0,False,,Kolja Hebenstreit,Kolja
RT @sixtus: Impfgegner ist ein viel zu negativer Begriff. Wir sollten das positiv ausdrücken: Seuchenbefürworter.,Thu Apr 14 23:04:02 +0000 2016,de,768,False,0,False,,Kolja Hebenstreit,Kolja
@wirminghaus @Groupon @PIABO @handelsblatt Und einige Firmen fehlen,Thu Apr 14 17:29:01 +0000 2016,de,0,False,0,False,,Kolja Hebenstreit,Kolja
RT @WIRED_Germany: #Studie: Unterschiedliches #Design von #Emojis führt zu Missverständnissen in Kommunikation https://t.co/gf9YvA8SVY http…,Thu Apr 14 04:41:37 +0000 2016,de,22,False,0,False,,Kolja Hebenstreit,Kolja
RT @soliver: Messenger Platform: Introducing new tools to help you build your bot  https://t.co/THsv1541tU #bots #facebook  #f82016,Tue Apr 12 23:04:15 +0000 2016,en,2,False,0,False,,Kolja Hebenstreit,Kolja
RT @jeffjarvis: Readers are 70% less likely to abandon an Instant Article. They share IA 30% more than web articles. #f82016,Tue Apr 12 23:04:08 +0000 2016,en,17,False,0,False,,Kolja Hebenstreit,Kolja
RT @johnsheehan: Great advice on decision making from Bezos https://t.co/FbYO91J05Z,Mon Apr 11 21:21:07 +0000 2016,en,1602,False,0,False,,Kolja Hebenstreit,Kolja
"RT @MartinUMueller: Wow, 77 Interessenten in München auf eine Mietwohnung. Die Titelgeschichte zum Thema: https://t.co/f3QncPh6oD https://t…",Sun Apr 10 23:34:22 +0000 2016,de,20,False,0,False,,Kolja Hebenstreit,Kolja
"RT @KenRoth: #PanamaPapers remind us of ill-gotten gains, tax evasion. What will governments do about it? https://t.co/Xeop1vfJly https://t…",Thu Apr 07 07:42:31 +0000 2016,en,177,False,0,False,,Kolja Hebenstreit,Kolja
"RT @chrija: From earlier today:
Truffle pig reloaded – Point Nine is looking for an Associate
https://t.co/HFezA8IrWL",Wed Apr 06 23:20:54 +0000 2016,en,5,False,0,False,,Kolja Hebenstreit,Kolja
Only electric cars should be sold in Netherlands from 2025 https://t.co/AscQ80it9S,Mon Apr 04 21:50:56 +0000 2016,en,3,False,2,False,,Kolja Hebenstreit,Kolja
RT @crackr: Was für eine Enthüllungsstory: Süddeutscher Zeitung @SZ gelingt größter #Datenleak-Coup aller Zeiten #PanamaPapers https://t.co…,Mon Apr 04 00:02:46 +0000 2016,de,2,False,0,False,,Kolja Hebenstreit,Kolja
"RT @martinvars: Wikileaks showed how unethical the US government can be, #panamapapers shows how corrupt many leaders around the world are.",Sun Apr 03 23:48:41 +0000 2016,en,43,False,0,False,,Kolja Hebenstreit,Kolja
Just donated for @ICIJorg. Great work! https://t.co/lpY7CHI5pr #PanamaPapers,Sun Apr 03 23:45:54 +0000 2016,en,1,False,3,False,,Kolja Hebenstreit,Kolja
RT @ryankcroft: 10 bikes = 1 car parking spot on a Soho street in London #SmartCities http://t.co/kU2lyAfQ83,Sun Apr 03 11:01:57 +0000 2016,en,239,False,0,False,,Kolja Hebenstreit,Kolja
"RT @MartinUMueller: Kluger Kommentar von @HasnainKazim für den @DLF: Warum #Erdogan glaubt, in der Türkei herrsche Pressefreiheit https://t…",Sat Apr 02 13:26:35 +0000 2016,de,1,False,0,False,,Kolja Hebenstreit,Kolja
"Want to join @PointNineCap? Jobs: Truffle pig, AKA Associate (m/f) https://t.co/o5TfSlY1NN",Thu Mar 31 23:34:18 +0000 2016,en,0,False,2,False,,Kolja Hebenstreit,Kolja
RT @TiloBonow: Streisand-Effekt #Erdogan #Pressefreiheit https://t.co/cmJJNsbNfE,Tue Mar 29 15:19:55 +0000 2016,no,2,False,0,False,,Kolja Hebenstreit,Kolja
