Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Keep up with all the latest news @PlugandPlayTC, they take all the best pictures of me at events",Tue Mar 29 17:21:32 +0000 2016,en,0,False,2,False,,SaeedAmidi,SaeedAmidi
I get updates from @ProductPlayInc about how they are helping #engagement via #videos for brands and retailers! https://t.co/YfOG2d8Lxs,Mon Mar 28 23:48:29 +0000 2016,en,0,False,7,False,,SaeedAmidi,SaeedAmidi
"RT @PlugandPlayTC: Proud to have @TheScottRob talking about future of #bitcoin alongside CIOs of @Citi, @NASDAQ, and @BNYMellon https://t.c…",Thu Oct 29 19:44:54 +0000 2015,en,11,False,0,False,,SaeedAmidi,SaeedAmidi
RT @innov8tr: Great event last week at @PlugandPlayTC FinTech &amp; Retail EXPO. Stoked to have been part of it. Here's a quick wrap https://t.…,Wed Oct 28 18:23:49 +0000 2015,en,9,False,0,False,,SaeedAmidi,SaeedAmidi
RT @PlugandPlayTC: Here are highlights from our #FinTech #NYC Event w/ @DeutscheBank http://t.co/LbwLQkEaLZ @TheScottRob @SaeedAmidi @Deloi…,Thu Sep 24 18:20:08 +0000 2015,en,5,False,0,False,,SaeedAmidi,SaeedAmidi
"RT @Falchy: Congrats @SaeedAmidi of @PlugandPlayTC, one of the world’s top #100 #accelerator leaders via @HottopicsHT http://t.co/IBSzElkrwI",Tue Aug 18 00:27:26 +0000 2015,en,6,False,0,False,,SaeedAmidi,SaeedAmidi
"RT @money2020: Pleased to have @SaeedAmidi , Founder &amp; CEO, @PlugandPlayTC as a #money2020speaker http://t.co/MfieeJSVOO",Tue Jul 21 20:54:48 +0000 2015,en,6,False,0,False,,SaeedAmidi,SaeedAmidi
"RT @TheScottRob: Full room for our #FinTech #Startup #Selection Day w partners @Citi, @DeutscheBank, @USAA, @CapitalOne &amp; more #Plugin http…",Wed Jul 08 22:26:55 +0000 2015,en,9,False,0,False,,SaeedAmidi,SaeedAmidi
RT @NedaAmidi: My aunt on stage right now @PlugandPlayTC EXPO! @PNPIoT #Plugin @SaeedAmidi @BaharehAmidi #soproud #letsunplug http://t.co/M…,Thu Jun 25 23:33:57 +0000 2015,en,1,False,0,False,,SaeedAmidi,SaeedAmidi
RT @NedaAmidi: @SaeedAmidi telling us @PlugandPlayTC story #matchinghispic #iot http://t.co/e8mv6Kg4kJ,Thu Jun 25 20:20:02 +0000 2015,en,1,False,0,False,,SaeedAmidi,SaeedAmidi
RT @GabrielaDow: Water app selected at #Ideator pitch. More #InfrastructureInnovation @PlugAndPlaySD @sdstartupweek @SaeedAmidi @NedaAmidi …,Sat Jun 20 01:40:42 +0000 2015,en,2,False,0,False,,SaeedAmidi,SaeedAmidi
"RT @TheScottRob: Only 2 days left to apply to @pnpfintech! Work with @DeutscheBank, @Citi, @CapitalOne, @USAA &amp; more! Apply: https://t.co/9…",Sat Jun 13 15:54:25 +0000 2015,en,7,False,0,False,,SaeedAmidi,SaeedAmidi
"RT @TEFSiliconV: #FeTNA2015 is less than a month away! Looking forward 2 @SaeedAmidi, founder of @PlugandPlayTC speak @ the Tamil #Entrepre…",Sat Jun 13 15:54:05 +0000 2015,en,1,False,0,False,,SaeedAmidi,SaeedAmidi
RT @NedaAmidi: So excited for iBridge #startups #iran @avatech_ir @SaeedAmidi #technology,Thu Jun 04 14:17:11 +0000 2015,en,3,False,0,False,,SaeedAmidi,SaeedAmidi
"RT @PlugandPlayTC: Missed our @pnpfintech &amp; @PNPRetail EXPO? Take a look at event highlights from @SaeedAmidi, @Citi &amp; @LendingClub! http:/…",Wed May 27 23:27:56 +0000 2015,en,3,False,0,False,,SaeedAmidi,SaeedAmidi
RT @chraynaud: .@LendingClub #RenaudLaplanche in a fireside chat with @SaeedAmidi @PlugandPlayTC where he started http://t.co/Kk9rPI9jfV vi…,Wed May 27 23:27:44 +0000 2015,en,2,False,0,False,,SaeedAmidi,SaeedAmidi
RT @TheScottRob: .@SVBizCrom -- cc: @MikeJudge: when is #PiedPiper coming by to pitch @PlugandPlayTC? :) @SiliconHBO http://t.co/NI5173Ijnr,Fri May 22 21:02:08 +0000 2015,en,7,False,0,False,,SaeedAmidi,SaeedAmidi
"RT @MarcFuseki: Discussing #Fintech, #Curation and Hummingbirds with the best. Thank you @BiddRocket, @Scobleizer &amp; @SaeedAmidi! http://t.c…",Fri May 22 19:18:26 +0000 2015,en,3,False,0,False,,SaeedAmidi,SaeedAmidi
RT @NedaAmidi: T -75 mins till expo starts @PlugandPlayTC @PNPRetail @pnpfintech #itsgametime @SaeedAmidi @TheScottRob http://t.co/htXyLbGH…,Thu May 21 16:06:49 +0000 2015,en,5,False,0,False,,SaeedAmidi,SaeedAmidi
RT @PlugandPlayTC: Wondering which Silicon Valley #VC's were the most active in 2014? Story via @SVbizjournal: http://t.co/L8DHhupYvJ http:…,Sat May 16 04:06:34 +0000 2015,en,9,False,0,False,,SaeedAmidi,SaeedAmidi
RT @ProductPlayInc: Thanks @PlugandPlayTC and @SaeedAmidi for encouraging the most number of Startups and Entrepreneurs in 2014!. http://t.…,Sat May 16 04:06:07 +0000 2015,en,3,False,0,False,,SaeedAmidi,SaeedAmidi
