Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @qz: Soon ‘natural’ and ‘healthy’ claims on food labels may actually mean something https://t.co/8e5yXfah9Y,Fri May 13 15:40:01 +0000 2016,en,10,False,0,False,,Steve Case,SteveCase
"Thanks, John. I enjoyed it as well. Thanks for your leadership in Congress. #ThirdWaveBook https://t.co/qUCMUGUaGl https://t.co/OCs4uIbnwA",Fri May 13 14:48:02 +0000 2016,en,1,False,3,False,,Steve Case,SteveCase
RT @kadavy: My conversation w/ @SteveCase was the #1 podcast on @ProductHunt yesterday. Thank you for your support. https://t.co/wj53fcge5Q,Fri May 13 14:27:29 +0000 2016,en,3,False,0,False,,Steve Case,SteveCase
RT @McKinsey: The average age of #tech going public in 2014 was 11 yrs—private funding generates #unicorns https://t.co/NMhz4Rrub8 https://…,Fri May 13 13:49:00 +0000 2016,en,33,False,0,False,,Steve Case,SteveCase
RT @indyfromspace: Oh HI @NatGeo June 2016 issue. Big story about to drop folks... @NatGeoExplorers @TEDPrize https://t.co/QoPnOiX2gH,Fri May 13 13:41:11 +0000 2016,en,21,False,0,False,,Steve Case,SteveCase
RT @villagecapital: In Richmond on May 26 we’re hosting a fireside chat on #innovation &amp; #entrepreneurship with @SteveCase &amp; @GovernorVA ht…,Fri May 13 12:46:04 +0000 2016,en,6,False,0,False,,Steve Case,SteveCase
RT @Folkways: Breaking news - Smithsonian Folkways acquires the revered Arhoolie Records! https://t.co/vdeMRHlaQ9 https://t.co/nivstPVb9Z,Fri May 13 01:42:10 +0000 2016,en,44,False,0,False,,Steve Case,SteveCase
"RT @NatGeo: Our newest blog, All Over the Map, celebrates the magic of cartography. Take a look: https://t.co/cQh3edNYcw",Fri May 13 00:49:08 +0000 2016,en,336,False,0,False,,Steve Case,SteveCase
RT @TheAtlantic: Why the biggest big-box stores survive https://t.co/Ujuo0w55Zb https://t.co/uOhlLhThFd,Thu May 12 23:42:06 +0000 2016,en,14,False,0,False,,Steve Case,SteveCase
"RT @FastCompany: Your brain has a ""delete"" button—here's how to use it https://t.co/7xnvqOpyt8 https://t.co/F9qOu8HevC",Thu May 12 22:48:09 +0000 2016,en,86,False,0,False,,Steve Case,SteveCase
"Thanks, Fortune Magazine, for including #ThirdWaveBook on your summer reading list!… https://t.co/JFqs8DI5r5",Thu May 12 22:23:40 +0000 2016,en,1,False,16,False,,Steve Case,SteveCase
"Why Facebook Scares the Media—and the Government https://t.co/SwTiUbMWCk ""Facebook is a media company, but more than that, it is a utility""",Thu May 12 21:47:07 +0000 2016,en,8,False,17,False,,Steve Case,SteveCase
RT @RonaldKlain: Innnovation That MATTERS -- a great report by @dharrisindc and the team at @1776!  https://t.co/B5Mzjf4ZuI,Thu May 12 20:43:02 +0000 2016,en,6,False,0,False,,Steve Case,SteveCase
RT @revolution: .@SteveCase on why corporate America needs to be more paranoid @LinkedIn https://t.co/NJPwKR4PzG #ThirdWaveBook,Thu May 12 19:42:07 +0000 2016,en,6,False,0,False,,Steve Case,SteveCase
RT @_theplugdaily: Miami accelerator launches to add $17 million to black tech businesses - https://t.co/RQ8tGFvC0O,Thu May 12 18:42:01 +0000 2016,en,7,False,0,False,,Steve Case,SteveCase
"A first look inside the @Smithsonian’s African American museum: Stunning views, grand scale https://t.co/rRPtXfrhlh @NMAAHC",Thu May 12 17:47:07 +0000 2016,en,10,False,8,False,,Steve Case,SteveCase
"RT @evacolen: ""People closest to problems that our society faces might have great ideas, but often aren’t close to resources"" https://t.co/…",Thu May 12 16:40:10 +0000 2016,en,5,False,0,False,,Steve Case,SteveCase
"RT @generalelectric: We're at the forefront of a new Machine Age, built on the Industrial Internet. https://t.co/n7vsRx0CVh https://t.co/6x…",Thu May 12 15:40:09 +0000 2016,en,49,False,0,False,,Steve Case,SteveCase
"Could the Next Bill Gates Hail From Africa? https://t.co/05vyGOpjOi ""Africa’s future now in hands of Africa"" #RiseOfRest @AshishJThakkar",Thu May 12 14:48:10 +0000 2016,en,12,False,14,False,,Steve Case,SteveCase
"RT @kadavy: It was an honor to interview @SteveCase (AOL founder). Learn how to persevere in ""The Third Wave"" https://t.co/FnuShQeT1X",Thu May 12 14:37:19 +0000 2016,en,6,False,0,False,,Steve Case,SteveCase
RT @FortuneMagazine: Larry Ellison just cut a $200M check to fund cancer treatment https://t.co/F0mBCEjGWm https://t.co/zPDxcGVIZa,Thu May 12 13:46:08 +0000 2016,en,42,False,0,False,,Steve Case,SteveCase
"RT @mahinckley: Trouble at Lending Club, Zenefits, and Theranos. Supports @SteveCase re: Third Wave. Partnerships/compliance req'd. https:/…",Thu May 12 12:46:00 +0000 2016,en,5,False,0,False,,Steve Case,SteveCase
RT @Benioff: Congratulations @larryellison on your $200M gift to @USC and @DavidAgus!  https://t.co/3xFWGMZBon,Thu May 12 05:55:05 +0000 2016,en,130,False,0,False,,Steve Case,SteveCase
"RT @elonmusk: Definitely
https://t.co/7gEkc0mt9O",Thu May 12 05:31:21 +0000 2016,en,849,False,0,False,,Steve Case,SteveCase
RT @jnovogratz: At the @wef in Kigali speaking act energy (1.2B ppl lack access to reliable energy). Off-grid solar is a chance to leapfrog…,Thu May 12 05:28:22 +0000 2016,en,9,False,0,False,,Steve Case,SteveCase
RT @vrse: ICYMI – @Milk was on @PBS to chat #VR w/ @CharlieRose &amp; fellow experts. https://t.co/et56rFQ3Xn via @CharlieRoseShow https://t.co…,Thu May 12 04:46:50 +0000 2016,en,16,False,0,False,,Steve Case,SteveCase
"On bouncing back from 'devastating' moments https://t.co/hcZNidHgCG @ev: ""I was exhausted"" @twitter @medium https://t.co/gGLHepPqgT",Thu May 12 04:21:34 +0000 2016,en,9,False,23,False,,Steve Case,SteveCase
"More, Less, Stop https://t.co/jdYu8qWKsV @joshlinkner: ""More time. Higher impact. Focused creativity. Deeper connections.""",Thu May 12 01:42:18 +0000 2016,en,2,False,6,False,,Steve Case,SteveCase
RT @JohnAByrne: In Defense of Millennial MBAs -- Debunking the myths https://t.co/1nK4KlBUnz https://t.co/wt74rwwPU1,Thu May 12 00:49:17 +0000 2016,en,13,False,0,False,,Steve Case,SteveCase
Half of Your Friends Probably Don’t Think of You As a Friend https://t.co/gGpFcoQeAK https://t.co/zglKonoA4c,Wed May 11 23:42:03 +0000 2016,en,9,False,13,False,,Steve Case,SteveCase
RT @CaseFoundation: See how the new B Impact Assessment helps businesses improve impact. https://t.co/joGidhy0L4 #impinv #MIE16 https://t.c…,Wed May 11 22:48:12 +0000 2016,en,27,False,0,False,,Steve Case,SteveCase
"🌄
Just landed in Boulder. Looking forward to @Techstars book event tomorrow. See you there! https://t.co/FuFYrXlWnP #ThirdWaveBook",Wed May 11 22:26:24 +0000 2016,en,4,False,10,False,,Steve Case,SteveCase
The steroid era of startups is over — here's what 8 top VCs think will happen next https://t.co/9GsHBPn4y6 https://t.co/QzzRyhtnJz,Wed May 11 21:47:11 +0000 2016,en,32,False,36,False,,Steve Case,SteveCase
RT @1776: 1776 Report: Innovation That Matters ranks 25 US cities' readiness for the digital economy https://t.co/jRbTSL2BFi https://t.co/f…,Wed May 11 20:43:00 +0000 2016,en,68,False,0,False,,Steve Case,SteveCase
"""Facebook’s potential is without precedent. But its public scrutiny will be unprecedented, too."" https://t.co/a1YSJWj3Ku #ThirdWaveBook",Wed May 11 19:42:10 +0000 2016,en,9,False,11,False,,Steve Case,SteveCase
"RT @NatGeo: Swim with bears, tour a volcanic eruption, and ride a waterfall with these awesome 360° videos: https://t.co/Obw9okrFZH",Wed May 11 18:42:16 +0000 2016,en,71,False,0,False,,Steve Case,SteveCase
"Thanks, Bob! I enjoyed our discussion. And congrats on a great @SunTrust conference for entrepreneurs &amp; investors!  https://t.co/W5rLixWAMf",Wed May 11 18:31:30 +0000 2016,en,2,False,7,False,,Steve Case,SteveCase
