Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @jimmytwiz: Interesting - Company seeks to test self-driving delivery robots in #DC https://t.co/cuVk5LuKvw

#deliveryrobots #6C7 @Stars…",Wed Mar 23 06:11:32 +0000 2016,en,2,False,0,False,,Ahti Heinla,ahtih
"RT @StarshipRobots: Welcome, buddy https://t.co/FkSAXNMSmZ ! You look great, #DRU, but phew, 190kg? Here is a little suggestion https://t.c…",Fri Mar 18 09:07:47 +0000 2016,en,8,False,0,False,,Ahti Heinla,ahtih
"RT @EuromaidanPR: Support Euromaidan - now in Dogecoin, letcoin, and bitcoin! http://t.co/RB12jtUnRE PR| #euromaidan #kyiv #ukraine",Sun Jan 26 19:07:27 +0000 2014,en,6,False,0,False,,Ahti Heinla,ahtih
"My answer to Do you learn something new every time you code, or does it get repetitive often? http://t.co/HZtS8oJLrU",Mon Dec 09 13:27:35 +0000 2013,en,0,False,4,False,,Ahti Heinla,ahtih
@jkaljundi's startup Weekdone http://t.co/iw9y9pIzTm,Wed Oct 02 14:26:41 +0000 2013,en,1,False,1,False,,Ahti Heinla,ahtih
"@davemcclure @teller Slides here: ""Why Silicon Valley will never succeed"" http://t.co/j3qPf6nu #goap #estonianmafia",Mon Sep 24 14:36:28 +0000 2012,en,4,False,1,False,,Ahti Heinla,ahtih
@eileentso Absolutely... But then we already knew the world was doomed.,Sun Aug 26 21:17:35 +0000 2012,en,0,False,0,False,,Ahti Heinla,ahtih
"After Apple/Samsung case, US should abolish its jury system, where incompetents decide on complex stuff. But obviously this will not happen.",Sun Aug 26 20:54:08 +0000 2012,en,2,False,5,False,,Ahti Heinla,ahtih
"@overdrev Coding in vi is a bit extreme though. Otherwise, to each his own!",Fri Mar 16 18:50:45 +0000 2012,en,0,False,0,False,,Ahti Heinla,ahtih
RT @amartinson: Message to entrepreneurs: Most incubators are ghetto. Think twice before joining them #agree http://t.co/7ULohDTZ via @k ...,Thu Jan 05 14:17:09 +0000 2012,en,3,False,0,False,,Ahti Heinla,ahtih
Anti-piracy groups in Netherlands found to be pirates themselves: http://t.co/O0Fjdirl,Fri Dec 02 12:19:23 +0000 2011,en,0,False,0,False,,Ahti Heinla,ahtih
"I'd like to live in a house like this: http://t.co/k5xkygOw ""Bosco Verticale in Milan Will Be the World’s First Vertical Forest""",Mon Oct 17 15:39:09 +0000 2011,en,0,False,0,False,,Ahti Heinla,ahtih
