Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
TEDTalks (audio): We can reprogram life. How to do it wisely | Juan Enriquez https://t.co/6qYV548ZNa,Fri May 13 19:47:15 +0000 2016,en,1,False,0,False,,Auren Hoffman,auren
Mark Penn wants to shake up Madison Avenue with his ‘new’ ad holding company https://t.co/NcNJRTm5xe via @WSJ,Fri May 13 16:36:09 +0000 2016,en,1,False,0,False,,Auren Hoffman,auren
i used to hate dinner parties bc no one discussed politics. now i hate them bc we only discuss politics,Fri May 13 15:27:47 +0000 2016,en,0,False,8,False,,Auren Hoffman,auren
My answer to How do you deal with failure? https://t.co/6zjfPQQSjU,Wed May 11 20:36:36 +0000 2016,en,3,False,7,False,,Auren Hoffman,auren
TEDTalks (audio): Inside the mind of a master procrastinator | Tim Urban https://t.co/9zaxFgUbEb,Wed May 11 01:20:09 +0000 2016,en,11,False,11,False,,Auren Hoffman,auren
"RT @joshk: Startups are inventing self-driving cars, yet airlines still don't know how to put a space between first &amp; middle names on board…",Tue May 10 20:02:13 +0000 2016,en,97,False,0,False,,Auren Hoffman,auren
How do you keep yourself focused on your goals? https://t.co/OIxlycJMyE,Tue May 10 19:57:19 +0000 2016,en,1,False,1,False,,Auren Hoffman,auren
Can we erase fear? https://t.co/4pKJsnFib0,Tue May 10 03:10:26 +0000 2016,en,3,False,0,False,,Auren Hoffman,auren
A Chess Renaissance in the Midwest https://t.co/LTEIXkGijA,Mon May 09 23:01:14 +0000 2016,en,1,False,0,False,,Auren Hoffman,auren
My answer to How can a startup maintain a startup culture when it grows from 20 employees to 200 employees? https://t.co/vYS70QjHie,Mon May 09 14:52:33 +0000 2016,en,1,False,1,False,,Auren Hoffman,auren
Is Big Data Taking Us Closer to the Deeper Questions in Artificial Intelligence? (via @Pocket) #longreads https://t.co/pcURGMBdvh,Sun May 08 19:01:26 +0000 2016,en,0,False,2,False,,Auren Hoffman,auren
RT @RosenbergMerc: Silicon Valley rents are now up 60% in last five years. Region is adding 1 new housing unit for every 12 new jobs https:…,Sat May 07 15:27:45 +0000 2016,en,151,False,0,False,,Auren Hoffman,auren
RT @Inc: Why the Richest People of the Future Won't Necessarily Be the Smartest @auren @Quora https://t.co/iexHy0zbDe,Sat May 07 15:21:01 +0000 2016,en,23,False,0,False,,Auren Hoffman,auren
RT @cirrusinsight: Curious to see which companies use Cirrus Insight? There's some surprises https://t.co/ZYtGSboaCY via @siftery https://t…,Sat May 07 03:08:56 +0000 2016,en,1,False,0,False,,Auren Hoffman,auren
"My answer to How important is one's ""personal brand"" if you want to succeed in start-ups? https://t.co/y9fvz0VLEu",Fri May 06 15:50:33 +0000 2016,en,0,False,2,False,,Auren Hoffman,auren
My answer (Personalization) to How is marketing going to evolve over the next ten years? https://t.co/kH4VUnyFL1,Thu May 05 17:35:46 +0000 2016,en,1,False,4,False,,Auren Hoffman,auren
My answer to How should startups handle rapid growth in business? https://t.co/KqjmF5FcEp,Wed May 04 15:11:22 +0000 2016,en,2,False,3,False,,Auren Hoffman,auren
another interesting use of purchase data https://t.co/W5ygHSn17J,Tue May 03 18:15:21 +0000 2016,en,0,False,1,False,,Auren Hoffman,auren
congrats to @Hoffrocket on being named by @JeffGlueck the new Engineering head at @foursquare - super leader for a super company,Tue May 03 18:11:54 +0000 2016,en,1,False,7,False,,Auren Hoffman,auren
My answer to What are the biggest opportunity areas for SaaS startups over the next 2-3 years? https://t.co/CoCWYp1EJk,Tue May 03 14:19:06 +0000 2016,en,0,False,0,False,,Auren Hoffman,auren
"RT @ScottAllen: ""It is ok to waste lots of time if you better optimize the time that you waste."" Great answer by @auren https://t.co/df5Bdm…",Fri Apr 29 23:38:53 +0000 2016,en,1,False,0,False,,Auren Hoffman,auren
These are the companies with the best tech talent (and those w/a brain drain)  https://t.co/5y0pPBUpn2 by @lydiabreakfast,Fri Apr 29 19:27:03 +0000 2016,en,0,False,1,False,,Auren Hoffman,auren
My answer to What are the most difficult things to scale in a growing organization? https://t.co/WYI1YBE3AU,Fri Apr 29 15:05:51 +0000 2016,en,0,False,1,False,,Auren Hoffman,auren
