Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @SteveStuWill: Razib Khan on Asian Americans and the white privilege narrative https://t.co/H0QPLerKLA https://t.co/fqLEmIBEQx,Fri May 13 17:28:25 +0000 2016,en,103,False,0,False,,Ben Horowitz,bhorowitz
RT @otisfunkmeyer: I met these guys at a battle rap event in San Jose a while back. @JustinPonczek and co are the real deal. 💯 https://t.co…,Fri May 13 17:01:41 +0000 2016,en,4,False,0,False,,Ben Horowitz,bhorowitz
"Giant props to my guy @4thlettermusic for going from ""crack to rap to corner offices"" https://t.co/eqezurPhrv !!! Great work!! @TheRhymeo",Thu May 12 19:53:29 +0000 2016,en,26,False,40,False,,Ben Horowitz,bhorowitz
@danchristman @dcexub look more closely at the cover,Thu May 12 03:55:02 +0000 2016,en,0,False,2,False,,Ben Horowitz,bhorowitz
RT @ChristinaAKehoe: This message is especially true in today's volatile tech market: Cash Flow and Destiny via @bhorowitz https://t.co/SMk…,Wed May 11 23:50:38 +0000 2016,en,11,False,0,False,,Ben Horowitz,bhorowitz
"RT @mljmljmlj: ""I'm tired of being asked, 'What are the unfortunate things that have happened to me as a woman in tech?'"" said... https://t…",Tue May 10 13:41:45 +0000 2016,en,36,False,0,False,,Ben Horowitz,bhorowitz
@TBerghane oh yeah!,Tue May 10 01:40:37 +0000 2016,en,0,False,1,False,,Ben Horowitz,bhorowitz
"RT @AdamHunke: “From an investment philosophy … we look for the magnitude of the genius, as opposed to the lack of issues” - @bhorowitz",Mon May 09 20:58:39 +0000 2016,en,14,False,0,False,,Ben Horowitz,bhorowitz
RT @viviancromwell: First time I am excited about bitcoin related technology. mind blowing ambitious. can't stop thinking about it. https:/…,Mon May 09 18:35:02 +0000 2016,en,32,False,0,False,,Ben Horowitz,bhorowitz
Greatness recognizing greatness @FABNEWYORK  https://t.co/aeaTdeBzsy,Sun May 08 22:42:42 +0000 2016,en,10,False,30,False,,Ben Horowitz,bhorowitz
RT @udacity: This amazing program is designed to teach prisoners to #code and none of their graduates have returned to prison: https://t.co…,Sat May 07 17:02:05 +0000 2016,en,363,False,0,False,,Ben Horowitz,bhorowitz
RT @PittsTechAudrey: Excellent lecture about THE most critical aspects of building a company. #notlearnedinschool @bhorowitz  https://t.co/…,Sat May 07 15:34:44 +0000 2016,en,9,False,0,False,,Ben Horowitz,bhorowitz
@TheRealOnanel we have it. @withfries2 is taking a look.,Sat May 07 15:23:30 +0000 2016,en,0,False,0,False,,Ben Horowitz,bhorowitz
RT @zlatan1: @bhorowitz never thought I'd say this - but thanks for making me read a book better than yours! https://t.co/pU6I5Nr8bW,Sat May 07 15:21:30 +0000 2016,en,31,False,0,False,,Ben Horowitz,bhorowitz
RT @benr: Just evaluated @mesosphere DC/OS...  Its a pretty delightful experience.  Very classy.  Thumbs up.,Fri May 06 22:43:19 +0000 2016,en,26,False,0,False,,Ben Horowitz,bhorowitz
"@shawnvenkat @EricaJoy It's made up. Please don't read it. I never said it, I never spoke to the writer.",Fri May 06 19:50:05 +0000 2016,en,0,False,8,False,,Ben Horowitz,bhorowitz
@EricaJoy I never said that. The reporter made the whole thing up as I have never spoken to her.,Fri May 06 19:33:09 +0000 2016,en,1,False,21,False,,Ben Horowitz,bhorowitz
@matthewgonzales @EricaJoy that was a lie. I never said that. I never even spoke to the reporter. She made it up.,Fri May 06 19:32:11 +0000 2016,en,0,False,5,False,,Ben Horowitz,bhorowitz
RT @jgilliam: Doesn't mean they have anything useful. Republicans spent $100 million on Jeb Bush too. https://t.co/jxFCZ21wJy,Fri May 06 15:02:02 +0000 2016,en,8,False,0,False,,Ben Horowitz,bhorowitz
"RT @thinkapps: In his #HowtoStartaStartup lecture, @bhorowitz dropped serious knowledge on managing a team. https://t.co/fUGsTqanMT https:/…",Thu May 05 21:06:09 +0000 2016,en,33,False,0,False,,Ben Horowitz,bhorowitz
RT @DavidSacks: Great meeting @MayorofLA @ericgarcetti today- thx for your leadership hosting #SmallBusinessWeek event w/@Zenefits https://…,Thu May 05 03:58:23 +0000 2016,en,18,False,0,False,,Ben Horowitz,bhorowitz
RT @adamneilson: “you got 40000 satoshis in 0.8 seconds!” Sweet! Thanks @21 #Bitcoin https://t.co/38YdtxdGpO,Wed May 04 14:58:38 +0000 2016,en,14,False,0,False,,Ben Horowitz,bhorowitz
"RT @jeff_jordan: .""@Pinterest... is ‘me time.’ What do I want my future to be? Who am I? What are the things I want to do?” @8en 
https://t…",Wed May 04 01:06:37 +0000 2016,en,26,False,0,False,,Ben Horowitz,bhorowitz
RT @RyanCTJ: @bhorowitz you right now. congrats as well to @pmarca and the @a16z team for winning @CBinsights bracket of top VCs! https://t…,Wed May 04 00:41:02 +0000 2016,en,5,False,0,False,,Ben Horowitz,bhorowitz
RT @ChrisLyons: Give us a call for your upcoming Series A 🏆 via @CBinsights https://t.co/V1VrAspZW0,Wed May 04 00:40:07 +0000 2016,en,38,False,0,False,,Ben Horowitz,bhorowitz
@LaurenItow They did not recognize the Battlestar Galactica reference.,Tue May 03 19:34:26 +0000 2016,en,0,False,3,False,,Ben Horowitz,bhorowitz
RT @gsvpioneer: 2015 GSV Hall of Fame - Ben Horowitz on Bill Campbell @bhorowitz https://t.co/bqNXnFMJG4 via @YouTube,Tue May 03 00:34:56 +0000 2016,en,5,False,0,False,,Ben Horowitz,bhorowitz
RT @jbradleybush: .@pedayton Great.  I love that book.  Props to @bhorowitz for writing the best business book of all time and keeping it r…,Tue May 03 00:33:45 +0000 2016,en,3,False,0,False,,Ben Horowitz,bhorowitz
"RT @miketrap: Thanks, Ben. You guys are working hard for us, and it's appreciated. https://t.co/SHY4bZdz7I",Mon May 02 16:01:56 +0000 2016,en,2,False,0,False,,Ben Horowitz,bhorowitz
@TheRealOnanel No worries. I am going to track down what you sent to the firm and I'll get right back.,Mon May 02 01:26:03 +0000 2016,en,0,False,2,False,,Ben Horowitz,bhorowitz
RT @FelixSchachi: Interesting insights on how the a16z team tries to add value to their startups (even if they might be a bit biased;) http…,Sun May 01 20:10:54 +0000 2016,en,15,False,0,False,,Ben Horowitz,bhorowitz
RT @mdcranney: Thanks for kind words @miketrap - Great companies like @actifio are what really makes the @a16z EBC rock! https://t.co/0DFZl…,Sun May 01 19:28:48 +0000 2016,en,9,False,0,False,,Ben Horowitz,bhorowitz
It's one thing to have an idea and a another to have a team take that idea and make it 100X better. Thx @a16z team! https://t.co/0CDd9awZft,Sun May 01 18:15:44 +0000 2016,en,166,False,358,False,,Ben Horowitz,bhorowitz
"RT @imBenjTupas: Watching #HowToStartAStartup lecture about How to Manage https://t.co/jp7orvj7v8 by Ben Horowitz @bhorowitz.

#startup #bu…",Sun May 01 16:12:51 +0000 2016,en,25,False,0,False,,Ben Horowitz,bhorowitz
"@TheRealOnanel We happen to have a lot of black founders in the portfolio, but that's because they are great. It's not a race thing",Sat Apr 30 20:15:49 +0000 2016,en,2,False,2,False,,Ben Horowitz,bhorowitz
"@TheRealOnanel well, they are not me and I wouldn't say that. Race is not an investment criteria for us. We look for great entrepreneurs.",Sat Apr 30 20:14:10 +0000 2016,en,0,False,1,False,,Ben Horowitz,bhorowitz
RT @kevinrose: great insights from @cdixon “The Internet Economy” https://t.co/8fOx7gIsSa,Sat Apr 30 16:48:17 +0000 2016,en,100,False,0,False,,Ben Horowitz,bhorowitz
"@TheRealOnanel define ""they""",Sat Apr 30 16:40:52 +0000 2016,en,0,False,2,False,,Ben Horowitz,bhorowitz
RT @_MarkByrne: One from the @a16z vaults. @bhorowitz with @MellodyHobson. It's very very good. https://t.co/4fjBibZNeI,Sat Apr 30 16:38:52 +0000 2016,en,6,False,0,False,,Ben Horowitz,bhorowitz
"RT @clintavo: Now that I'm running a real, growing tech startup, I can tell you that @bhorowitz is right: This isn't checkers, it's motherf…",Fri Apr 29 13:26:21 +0000 2016,en,36,False,0,False,,Ben Horowitz,bhorowitz
"RT @tiffani: I see nothing wrong with these goals. Even if neither reaches them, think of everything created on the way. https://t.co/rnm4n…",Thu Apr 28 16:31:14 +0000 2016,en,102,False,0,False,,Ben Horowitz,bhorowitz
"RT @richopr: The #product CEO paradox and why founders fail

https://t.co/0CdHRzshLU via @bhorowitz cc: #startups ✔️",Thu Apr 28 16:29:37 +0000 2016,en,24,False,0,False,,Ben Horowitz,bhorowitz
@maanisalimi yes sir. They are paying attention tonight.,Thu Apr 28 03:54:46 +0000 2016,en,0,False,4,False,,Ben Horowitz,bhorowitz
"RT @hirominakagawa: .@bhorowitz ""HARD THINGS"" won the Business Book Award 2016 in JPN!! 
https://t.co/RP4tQyo0ye Many readers in JPN select…",Thu Apr 28 03:37:25 +0000 2016,en,23,False,0,False,,Ben Horowitz,bhorowitz
"@facebrand @balajis this is the 5th one in a row I think. They also predicted how many iPhones would be sold on the launch correct e,g,",Wed Apr 27 19:34:18 +0000 2016,en,0,False,6,False,,Ben Horowitz,bhorowitz
"RT @balajis: 1/ After the Chipotle prediction, Foursquare Places Insight is on the radar of every hedge fund &amp; restaurant chain. https://t.…",Wed Apr 27 11:40:37 +0000 2016,en,219,False,0,False,,Ben Horowitz,bhorowitz
"RT @balajis: ""Today’s news proves that [Foursquare is] indeed in the right business with a valuable product."" https://t.co/R3GdPIOIuO",Wed Apr 27 11:36:33 +0000 2016,en,28,False,0,False,,Ben Horowitz,bhorowitz
"RT @geoffreywoo: .@a16z to the top. As a portfolio co CEO, I can happily say that working with them is like plugging into the matrix https:…",Wed Apr 27 03:02:48 +0000 2016,en,19,False,0,False,,Ben Horowitz,bhorowitz
RT @jeff_jordan: Foursquare predicts the exact quarterly same store sales decline for Chipotle. More accurate than equity analysts! https:/…,Wed Apr 27 00:01:11 +0000 2016,en,56,False,0,False,,Ben Horowitz,bhorowitz
RT @MichaelBabich: @CBinsights Sorry @usv voted for @a16z @bhorowitz,Tue Apr 26 23:33:01 +0000 2016,en,1,False,0,False,,Ben Horowitz,bhorowitz
RT @CBinsights: And then there were 2: @usv faces @a16z in finals of VC Series A bracket https://t.co/zg00HMd3vP Vote now https://t.co/RGf4…,Tue Apr 26 23:23:35 +0000 2016,en,45,False,0,False,,Ben Horowitz,bhorowitz
RT @vaiski: I read this by @bhorowitz over&amp;over again. It captures the essence of change in the business of advertising so well https://t.c…,Tue Apr 26 23:23:26 +0000 2016,en,18,False,0,False,,Ben Horowitz,bhorowitz
RT @RyanCTJ: @shivagg the finals are up. congrats to @pmarca &amp; @bhorowitz of @a16z as well as @fredwilson of @usv !! - https://t.co/8i0yFT9…,Tue Apr 26 23:22:56 +0000 2016,en,1,False,0,False,,Ben Horowitz,bhorowitz
RT @cardmagic: This is probably my favorite Ben Horowitz article https://t.co/JvDmpufr64 via @bhorowitz #startups,Tue Apr 26 12:35:27 +0000 2016,en,25,False,0,False,,Ben Horowitz,bhorowitz
"@robflessner Yes, amazing but true that he's underrated given that he's, well, Prince.",Fri Apr 22 22:55:30 +0000 2016,en,0,False,3,False,,Ben Horowitz,bhorowitz
This is a pretty crazy Prince guitar solo https://t.co/WCNf68UeZ3,Fri Apr 22 22:31:01 +0000 2016,en,38,False,101,False,,Ben Horowitz,bhorowitz
"RT @graemebodys: “Introduction to High Output Management” https://t.co/ljuRLNWGdF @bhorowitz 
#leadership #management - amazing read",Fri Apr 22 15:46:06 +0000 2016,en,8,False,0,False,,Ben Horowitz,bhorowitz
RT @mdcranney: Very #honored to meet Admiral Richardson Chief of Naval Operations w @bhorowitz at #a16ztechsummit https://t.co/D7P21fG6Y9,Fri Apr 22 15:45:43 +0000 2016,en,5,False,0,False,,Ben Horowitz,bhorowitz
RT @BlogsofWar: Harriet Tubman was a badass. You can put her image on anything you want. https://t.co/pEpkutiFsk,Fri Apr 22 11:24:53 +0000 2016,en,76,False,0,False,,Ben Horowitz,bhorowitz
RT @tristanwalker: Nas Introduces The New “Bevel Trimmer” | Bossip https://t.co/bC5ZGGBaLp,Thu Apr 21 22:35:32 +0000 2016,en,14,False,0,False,,Ben Horowitz,bhorowitz
RT @skupor: Always great when the good guys win - @factual  on the trials and tribulations of dealing with patent trolls https://t.co/4TcEs…,Thu Apr 21 22:34:35 +0000 2016,en,29,False,0,False,,Ben Horowitz,bhorowitz
RT @tootitandmudit: wow... great move by Medium especially adding @bhorowitz and @JudyEstrin to the team! https://t.co/g5PLMHVQY3,Thu Apr 21 22:33:10 +0000 2016,en,7,False,0,False,,Ben Horowitz,bhorowitz
RT @LilTunechi: R.I.P. to the God Prince. Gone too soon but here forever. Sippin Purple Rain 4 the legend. There will never be another,Thu Apr 21 20:51:36 +0000 2016,en,14529,False,0,False,,Ben Horowitz,bhorowitz
RT @deborahgage: Very touching memory of the late Bill Campbell...“Bill” by @bhorowitz https://t.co/D90kraQMGH,Thu Apr 21 20:50:27 +0000 2016,en,6,False,0,False,,Ben Horowitz,bhorowitz
"RT @MazonAssociates: Our #Business Book Pick of the Month? ""The Hard Thing About Hard Things"" by @bhorowitz.",Thu Apr 21 19:43:56 +0000 2016,en,2,False,0,False,,Ben Horowitz,bhorowitz
"RT @Bluenotemilano: ""He could very well be the Duke Ellington of our times"".  (Miles Davis)  
RIP #Prince 
Ph. by Robert Whitman, 1978 http…",Thu Apr 21 18:55:05 +0000 2016,en,219,False,0,False,,Ben Horowitz,bhorowitz
RT @Phil_Lewis_: #Prince was giving you buckets too. 🏀 https://t.co/z7dOLoetMA,Thu Apr 21 18:53:15 +0000 2016,en,303,False,0,False,,Ben Horowitz,bhorowitz
"RT @VogueParis: RIP #Prince, an icon of fashion and music https://t.co/0zSPBID6D8 https://t.co/gWHTSe3mna",Thu Apr 21 18:52:58 +0000 2016,en,241,False,0,False,,Ben Horowitz,bhorowitz
RT @jenniferbeals: Good night sweet #Prince. We say goodbye to a true genius. https://t.co/fmFVEodTJs,Thu Apr 21 18:52:09 +0000 2016,en,430,False,0,False,,Ben Horowitz,bhorowitz
RT @theweeknd: i promise this was the greatest moment of my entire life. i wish i could relive it everyday. https://t.co/i7oax7tLYr,Thu Apr 21 18:51:22 +0000 2016,en,30398,False,0,False,,Ben Horowitz,bhorowitz
"RT @PigsAndPlans: The best Super Bowl performance, ever. Long Live The King. https://t.co/HyV8mVTlnC",Thu Apr 21 18:50:28 +0000 2016,en,855,False,0,False,,Ben Horowitz,bhorowitz
"RT @HistoryInPics: Prince Rogers Nelson, 1977. https://t.co/ZbsxXLFzFu",Thu Apr 21 18:38:36 +0000 2016,en,2571,False,0,False,,Ben Horowitz,bhorowitz
RT @ComplexMag: 🙏🙏 RIP to a true icon 🙏🙏 https://t.co/ELmI423HxP,Thu Apr 21 17:21:56 +0000 2016,en,2482,False,0,False,,Ben Horowitz,bhorowitz
RT @hunterwalk: https://t.co/K0ef2FIHYd,Thu Apr 21 17:12:19 +0000 2016,und,57,False,0,False,,Ben Horowitz,bhorowitz
RT @NaithanJones: Been preaching from the mountain tops to my mentees in high school about free and paid courses on @Udacity talk about eco…,Thu Apr 21 16:49:15 +0000 2016,en,14,False,0,False,,Ben Horowitz,bhorowitz
RT @pmarca: Our friend and brother @juleshorowitz on the Republican establishment and the absurd 'bathroom bills'. https://t.co/3fFfbjhWEs,Thu Apr 21 16:37:29 +0000 2016,en,16,False,0,False,,Ben Horowitz,bhorowitz
RT @mbyrnes2nd: We should all aspire to this sort of praise. “Bill” by @bhorowitz https://t.co/yJOp9J25Xs,Thu Apr 21 15:00:41 +0000 2016,en,6,False,0,False,,Ben Horowitz,bhorowitz
@dirkings That will be a treat. That man has a ton of knowledge.,Thu Apr 21 01:24:07 +0000 2016,en,0,False,2,False,,Ben Horowitz,bhorowitz
"RT @modestproposal1: Well played @pmarca, well played https://t.co/jfEeCDj94S",Thu Apr 21 00:45:54 +0000 2016,en,55,False,0,False,,Ben Horowitz,bhorowitz
"RT @niraj: Awesome stuff from @bhorowitz + @a16z team: ""A16Z’s Low-Key Diversity Outreach"" (via @theinformation): https://t.co/qCzl21GYJf...",Wed Apr 20 23:35:19 +0000 2016,en,31,False,0,False,,Ben Horowitz,bhorowitz
"A very proud moment for me to meet with Admiral John Richardson, our Chief of Naval Operations! https://t.co/riKFFpNpyA",Wed Apr 20 23:28:02 +0000 2016,en,25,False,149,False,,Ben Horowitz,bhorowitz
RT @seb_ruder: Postscript about Bill Campbell at @NewYorker and @bhorowitz's personal account of his friend https://t.co/VxKdNj3Pxb https:/…,Wed Apr 20 19:58:30 +0000 2016,en,4,False,0,False,,Ben Horowitz,bhorowitz
RT @wennmachers: This is me excited @8en: Pinterest Reinvents Itself | Wired https://t.co/KRLQZh1oZX,Wed Apr 20 17:47:33 +0000 2016,en,16,False,0,False,,Ben Horowitz,bhorowitz
RT @mdcranney: Software eats politics In DC w little bro @cranneyfarms and 'the mayor' @amfenty #a16ztechsummit https://t.co/laM3jCAg0m,Wed Apr 20 17:41:06 +0000 2016,en,6,False,0,False,,Ben Horowitz,bhorowitz
RT @jameshorton: “Bill” by @bhorowitz https://t.co/8aza8S8s66 the wonderful man you probably didn't know behind those you do...,Wed Apr 20 13:53:16 +0000 2016,en,11,False,0,False,,Ben Horowitz,bhorowitz
RT @AlcesBull: One of the more interesting talks I've heard In a while. The innovation future of DOD with halvorsen and @bhorowitz https://…,Wed Apr 20 12:12:29 +0000 2016,en,5,False,0,False,,Ben Horowitz,bhorowitz
RT @Vbarnett323: @cbinsights Series A March Madness bracket: https://t.co/CUOun1Jb0M @stevesi @pmarca @bhorowitz Still say @a16z going all…,Wed Apr 20 12:04:08 +0000 2016,en,2,False,0,False,,Ben Horowitz,bhorowitz
RT @UKPriyaGuha: Great article on @a16z's under the radar focus on diversity - because it makes (business) sense https://t.co/Q5juRmIEmQ vi…,Tue Apr 19 22:07:22 +0000 2016,en,27,False,0,False,,Ben Horowitz,bhorowitz
