Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@JakeSidelmann that was a really rough day. Try again?,Thu May 12 04:28:45 +0000 2016,en,0,False,2,False,,Biz Stone,biz
@mulahol that's fixed now,Thu May 12 04:28:05 +0000 2016,en,0,False,2,False,,Biz Stone,biz
RT @RobRe62: RT @Biz:Have you tried asking Jelly? https://t.co/1uV0CZ0Ns6,Thu May 12 04:27:05 +0000 2016,en,6,False,0,False,,Biz Stone,biz
RT @craigstanford: @jelly @biz Searched Google (3x) asking why the Tokyo Fish Market was closed the 1st week of May. Nada. Asked Jelly - ex…,Thu May 12 04:22:39 +0000 2016,en,8,False,0,False,,Biz Stone,biz
RT @jack_mattr: This is excellent. RT @bhalligan “The Future Is Simple” by @biz https://t.co/8oFBpuBKfg,Thu May 12 04:21:37 +0000 2016,en,6,False,0,False,,Biz Stone,biz
"RT @OxLaunchpad: Tickets now on sale for Oxford Said Entrepreneurship Forum @OxfordSBS June 18 - register now! Keynote: @biz #OSEF 
https:/…",Thu May 12 04:19:11 +0000 2016,en,3,False,0,False,,Biz Stone,biz
"My City Guide to Barney’s New York City Guide to San Francisco. Confused? Well, here you go: https://t.co/yMW4CF0DKY",Wed May 11 16:40:57 +0000 2016,en,13,False,25,False,,Biz Stone,biz
Autotagging short phrases (questions) is tricky. Awesome demo from @finkel on how to make this WAY better @jelly. https://t.co/yCUGPIyJCT,Tue May 10 22:53:22 +0000 2016,en,13,False,65,False,,Biz Stone,biz
Thanks @medium https://t.co/6lUXDQsOEm,Mon May 09 22:28:33 +0000 2016,en,18,False,48,False,,Biz Stone,biz
@mulahol @jelly Hah! I just noticed that. I know why that's happening. Will fix. Good catch.,Mon May 09 22:26:53 +0000 2016,en,0,False,0,False,,Biz Stone,biz
Have you tried asking Jelly? https://t.co/EEvZviyyTB,Mon May 09 21:54:41 +0000 2016,en,22,False,40,False,,Biz Stone,biz
Good luck at https://t.co/DKS130Ch0E @pankaj and best wishes for the whole family. We'll miss you.,Sun May 08 21:50:46 +0000 2016,en,6,False,18,False,,Biz Stone,biz
It’s hard hiring amazing engineers in SF. It’s even harder when they’re moving to Bangalore for a cool job in tech https://t.co/2lbXMRhfQM,Sun May 08 21:47:58 +0000 2016,en,62,False,111,False,,Biz Stone,biz
"The future user interface, revealed! https://t.co/UWjUG7xmk7",Thu May 05 22:25:48 +0000 2016,en,38,False,101,False,,Biz Stone,biz
Want to know what our common UI will be and what Jelly is doing about it? https://t.co/UWjUG7xmk7,Thu May 05 18:40:06 +0000 2016,en,17,False,49,False,,Biz Stone,biz
"From Brian, one of our five engineers. (We need more, by the way!) https://t.co/AyTeQ2l7TG",Wed May 04 22:56:55 +0000 2016,en,14,False,47,False,,Biz Stone,biz
"Good question, good answer. https://t.co/mb2Nx9IeIS",Tue May 03 16:36:55 +0000 2016,en,16,False,35,False,,Biz Stone,biz
"I'm doing a Q&amp;A on @ProductHunt about my new search engine, https://t.co/EEvZviyyTB come on by and ask me stuff. https://t.co/75yXakbiv6",Thu Apr 28 19:05:18 +0000 2016,en,37,False,89,False,,Biz Stone,biz
"Introducing Jelly, A New Search Engine—available today! https://t.co/1j8JAC8PU8 https://t.co/WqU8A8EikW",Thu Apr 28 17:03:02 +0000 2016,en,227,False,347,False,,Biz Stone,biz
Today is gonna be a big day for me. I'm excited. I'll tell you in a bit. https://t.co/AGv2UZcJGZ,Thu Apr 28 16:28:25 +0000 2016,en,20,False,110,False,,Biz Stone,biz
Apple Watch idea: Beep when I leave my iPhone behind. Somebody should make that.,Sun Apr 24 03:01:32 +0000 2016,en,91,False,298,False,,Biz Stone,biz
"RIP Coach Campbell, you busted my chops a lot but the pats on the back made up for it. #ripcoach https://t.co/gtLYvXAmWY",Tue Apr 19 15:02:55 +0000 2016,en,31,False,135,False,,Biz Stone,biz
This is true! https://t.co/kGZIWVwL8v,Mon Apr 18 18:29:01 +0000 2016,en,24,False,54,False,,Biz Stone,biz
Jake hailed his first NYC cab today! https://t.co/kptukyJMYz,Mon Apr 18 00:41:03 +0000 2016,en,30,False,165,False,,Biz Stone,biz
In case you haven’t seen it. New thinking about search in the not too distant future. https://t.co/uzEdwlUfpK https://t.co/JAvDgbEN8N,Wed Apr 13 17:54:20 +0000 2016,en,67,False,125,False,,Biz Stone,biz
RT @lessaworld: @biz ...I gotta say it. #Jelly is addicting.,Wed Apr 13 17:49:41 +0000 2016,en,3,False,0,False,,Biz Stone,biz
Bono in @nytimes: Time to Think Bigger About the Refugee Crisis https://t.co/cFjpLD04op,Wed Apr 13 17:44:24 +0000 2016,en,16,False,34,False,,Biz Stone,biz
https://t.co/yLMyZOu9HS,Wed Apr 13 16:29:41 +0000 2016,und,13,False,29,False,,Biz Stone,biz
"My latest on Medium: ""OutRanked"" https://t.co/NjnSpnUUie",Mon Apr 11 21:39:40 +0000 2016,en,20,False,60,False,,Biz Stone,biz
RT @mvolpe: CEO Advice from a New CEO — by @biz (some good stuff here) https://t.co/bMOtF2A9Pk,Thu Apr 07 20:17:16 +0000 2016,en,26,False,0,False,,Biz Stone,biz
@ericharr We already had the name. The flocking analogy came a bit after when I saw humans essentially doing it at SXSW using Twitter.,Thu Apr 07 20:16:13 +0000 2016,en,1,False,9,False,,Biz Stone,biz
@enricenrich Jellies have no brain. When needed a neuron sets off a reaction forming a brain on the fly. We liked the analogy. Good logo too,Thu Apr 07 20:15:15 +0000 2016,en,2,False,7,False,,Biz Stone,biz
