Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
rooting for my former boychoir colleague @LaithAlSaadi  on #TheVoice https://t.co/1VDj74vJrW,Thu Apr 28 23:45:57 +0000 2016,en,0,False,4,False,,Brian Spaly,brianspaly
will someone please tell me why car dealerships are not open on Sunday?,Wed Apr 27 15:11:56 +0000 2016,en,0,False,2,False,,Brian Spaly,brianspaly
@billgurley you write so well.  https://t.co/g3IdBjviob,Fri Apr 22 00:02:13 +0000 2016,en,0,False,0,False,,Brian Spaly,brianspaly
Found this fascinating - explains some of the Trump phenomenon https://t.co/Vm3lvvB8fM,Wed Apr 20 23:36:09 +0000 2016,en,0,False,0,False,,Brian Spaly,brianspaly
RT @TrunkClub: Love Scotch? Love the #KentuckyDerby? Stop by our Clubhouses tonight for a tasting from @USMacallan and a fitting. https://t…,Wed Apr 20 22:37:29 +0000 2016,en,4,False,0,False,,Brian Spaly,brianspaly
great story about direct selling and @advocare @drewbrees #MLM https://t.co/FRqWw9X4IU,Tue Apr 19 15:18:16 +0000 2016,en,0,False,2,False,,Brian Spaly,brianspaly
Something special about using leftover wedding invite stamps on tax return envelope @IRSnews #America https://t.co/XcnLuXcmgv,Wed Apr 13 18:23:53 +0000 2016,en,0,False,8,False,,Brian Spaly,brianspaly
great article @NPR @jarlmohn about the upside of dressing well - https://t.co/cUQZnKBC9B -  @TrunkClub can help here folks!,Mon Apr 11 12:05:58 +0000 2016,en,2,False,12,False,,Brian Spaly,brianspaly
"Generally, he says, the positive cognitive effects come from being dressed a notch better than those around you.",Mon Apr 11 12:04:14 +0000 2016,en,1,False,3,False,,Brian Spaly,brianspaly
Don't eat that shrimp https://t.co/KGS2KMFn5w,Fri Apr 08 13:35:54 +0000 2016,en,0,False,0,False,,Brian Spaly,brianspaly
"wore a subpar outfit to work @TrunkClub yesterday, nearly fired myself.  Feeling back on track in some snappy custom gear today",Thu Mar 31 19:01:50 +0000 2016,en,2,False,23,False,,Brian Spaly,brianspaly
Great piece on squash!! Holding the T https://t.co/S75BJ2Wzas via @tadfriend,Wed Mar 30 23:27:06 +0000 2016,en,1,False,1,False,,Brian Spaly,brianspaly
"Great post @Sigalow @greycroftvc https://t.co/aiFdf6TfeF agree more and they apply to pitching me as an angel investor, too!",Tue Mar 29 15:54:15 +0000 2016,en,0,False,3,False,,Brian Spaly,brianspaly
pumped for Parker and team @Oasiscollection.  First time a traditional hotel company invests in sharing economy - https://t.co/pzXNc4dT2Q,Tue Mar 29 15:51:11 +0000 2016,en,0,False,1,False,,Brian Spaly,brianspaly
I have also had this problem.  Hilarious. https://t.co/Bz4ykHik8x,Fri Mar 18 21:37:45 +0000 2016,en,0,False,2,False,,Brian Spaly,brianspaly
study results and positive news in the washington post from CA about releasing non-violent offenders from prisons - https://t.co/8MHflXgtmI,Fri Mar 18 14:37:13 +0000 2016,en,0,False,1,False,,Brian Spaly,brianspaly
@danprimack please say more....,Thu Mar 10 16:18:43 +0000 2016,en,0,False,1,False,,Brian Spaly,brianspaly
@AmericanAir you guys really nailed it with the new food in @AdmiralsClub : fruits/vegetables and lentils and hummus #vegantravel,Thu Mar 10 16:18:26 +0000 2016,en,0,False,1,False,,Brian Spaly,brianspaly
All better with @monkey47 gin on my shoulder.  First cocktail in 27 days! #germangin https://t.co/03vXEzB8Xd,Sun Feb 28 08:13:21 +0000 2016,en,0,False,3,False,,Brian Spaly,brianspaly
What's the term for worst time ever?  PW?  #TokyoMarathon still the wonderful people of Japan made my day #ritzbar https://t.co/aSja9xUrWW,Sun Feb 28 08:10:25 +0000 2016,en,0,False,6,False,,Brian Spaly,brianspaly
"spectacular food in the @AmericanAir flagship lounge at ORD today - kale and grapefruit salad, roasted sweet potatoes, so impressed",Thu Feb 25 17:02:13 +0000 2016,en,0,False,2,False,,Brian Spaly,brianspaly
