Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @BostonGlobe: .@ScottKirsner: Hate surge pricing? It’s not all bad: https://t.co/VaQPW8C6n2 https://t.co/4b7gfPSJ8M,Sat May 14 04:04:07 +0000 2016,en,3,False,0,False,,David Chang,changds
@PMSBites @ABCSharkTank @PAULANEALMOONEY looking forward to it! 2 @MassChallenge #Boston companies in one episode!,Sat May 14 00:55:28 +0000 2016,en,0,False,0,False,,David Chang,changds
This is definitely one of the more unique events I’ll be at this month! Shaping the future of the MBTA 25 years out. https://t.co/g4Jrs7yHxl,Fri May 13 19:37:51 +0000 2016,en,1,False,0,False,,David Chang,changds
@justinbieber thanks for the follow and hope you had a great #Boston visit,Fri May 13 15:31:37 +0000 2016,en,0,False,1,False,,David Chang,changds
@saj_jamal @rmchase must have been great - wish I caught it!,Fri May 13 15:11:39 +0000 2016,en,0,False,1,False,,David Chang,changds
"RT @gthuang: MIT's Trust Center for entrepreneurship renovated, reopened this week (via @JeffEngelXcon): https://t.co/ATTzecSaQv",Fri May 13 11:02:15 +0000 2016,en,2,False,0,False,,David Chang,changds
RT @GrowthHackers: How Waze Onboards New Users #startup https://t.co/Bk1nMdWi71 https://t.co/y18NTwtCJ0,Fri May 13 10:56:26 +0000 2016,en,13,False,0,False,,David Chang,changds
"Oh man @eherot, I will forever be paranoid of the words I use because of @jaredegan's #CEO #Bingo app https://t.co/8at4EVn0up",Thu May 12 20:59:31 +0000 2016,en,0,False,3,False,,David Chang,changds
Fun to catch a clip of @ktrae emceeing the @mit100k finals! I had a blast as emcee of the semi-finals where Astraeus also took the top prize,Thu May 12 14:51:07 +0000 2016,en,0,False,1,False,,David Chang,changds
"Boston startups looking for funding? Join us on June 1, 6-7pm for a workshop (with free craft beer &amp; food) https://t.co/EWcBXD7K7X @JDavids",Thu May 12 13:20:31 +0000 2016,en,6,False,12,False,,David Chang,changds
@HBSAlumni Already registered!,Thu May 12 00:51:04 +0000 2016,en,2,False,1,False,,David Chang,changds
@hbsalumni great to spend time with students (so energizing) and fellow EIRs. Can’t wait to spend more time w/ faculty next year!,Thu May 12 00:49:37 +0000 2016,en,1,False,0,False,,David Chang,changds
3rd event of the day where I have a glass of wine in hand! @HBSRock year-end dinner @CafeArtScience https://t.co/8LcPc3FFyp,Wed May 11 23:31:40 +0000 2016,en,2,False,14,False,,David Chang,changds
@davharris not yours @lum?,Wed May 11 22:46:23 +0000 2016,en,0,False,1,False,,David Chang,changds
Could NOT be more excited for #brandathon planning kickoff - year 3! @theadclub @MadamePrez what you've created :-) https://t.co/QbtHILB5DX,Wed May 11 20:50:25 +0000 2016,en,2,False,12,False,,David Chang,changds
@MeghanMBiro nice post (and view of the Charles!),Wed May 11 20:15:23 +0000 2016,en,0,False,1,False,,David Chang,changds
Very cool to see the @ButteryApp integration with @amazon Alexa to order drinks for immediate delivery at @raizlabs #XLR8 demo day,Wed May 11 20:03:22 +0000 2016,en,0,False,4,False,,David Chang,changds
Room filling up at @raizlabs #XLR8 demo day https://t.co/CFU1egHBgc,Wed May 11 19:26:39 +0000 2016,en,5,False,6,False,,David Chang,changds
"@sparkszilla I don’t mind it, although maybe that’s the target demographic",Wed May 11 14:50:02 +0000 2016,en,0,False,1,False,,David Chang,changds
"RT @sarahintampa: Former Citigroup CFO Sallie Krawcheck launches Ellevest, a digital investment platform for women: https://t.co/lqo6Mdnqbs",Wed May 11 14:16:42 +0000 2016,en,2,False,0,False,,David Chang,changds
@geshwiler best wishes for the next chapter!,Wed May 11 14:15:58 +0000 2016,en,0,False,0,False,,David Chang,changds
RT @geshwiler: Thanks @MaiaHeymann @Ashaegan  and everyone @ConvergeVP; you're all super! https://t.co/ye8Z61JUBY,Wed May 11 14:15:32 +0000 2016,en,1,False,0,False,,David Chang,changds
"@DanielleMorrill true, but been through a few of these: integration efforts so hard even though parent &amp; acquired co trying to make it work",Wed May 11 03:48:22 +0000 2016,en,0,False,0,False,,David Chang,changds
So great to hear @helengreiner share the exciting things happening at @cyphyworksinc  https://t.co/EiSBH0CATd,Wed May 11 02:51:37 +0000 2016,en,1,False,2,False,,David Chang,changds
"RT @VCapitalGuide: HP announces new venture capital arm, HP Tech Ventures https://t.co/U69NPJeO6c",Tue May 10 22:17:17 +0000 2016,en,8,False,0,False,,David Chang,changds
"RT @HeforShe: LinkedIn for female director candidates: @theboardlist, connecting boards with qualified female candidates #HeForShe https://…",Tue May 10 18:50:30 +0000 2016,en,20,False,0,False,,David Chang,changds
Just bumped into @bijan getting coffee in the back bay. Catch the whole @business episode with him and @emilychangtv https://t.co/mrXi4uMawD,Tue May 10 12:34:13 +0000 2016,en,7,False,14,False,,David Chang,changds
@DanielleMorrill @Mattermark nice one!,Tue May 10 01:37:04 +0000 2016,en,0,False,1,False,,David Chang,changds
RT @emilychangtv: Boston's push to develop $1b companies with @SparkCapital's @bijan &amp; @MassChallenge's @jharthorne https://t.co/x7FGGUJ6n3,Tue May 10 00:52:31 +0000 2016,en,20,False,0,False,,David Chang,changds
When your finger slips while ordering 3 #bananas @gwenstefani @stephenathome @PeapodDelivers https://t.co/zYKkaQ0wWz,Sun May 08 11:11:25 +0000 2016,en,2,False,9,False,,David Chang,changds
Can't wait to see what @InnovationAndy and team will do! https://t.co/rFaOoQFfza,Sun May 08 03:09:35 +0000 2016,en,0,False,0,False,,David Chang,changds
Great team at @mysoofa @Cosmonautin https://t.co/H26ZcdZzCy https://t.co/Ra8rqzI7o5,Sat May 07 12:58:13 +0000 2016,en,0,False,1,False,,David Chang,changds
Way to go @wayne on doing this year's @UMass commencement talk! https://t.co/d43UgTXzHv,Sat May 07 12:43:06 +0000 2016,en,0,False,5,False,,David Chang,changds
Nice to see @shrcubed @jodyarose teaming up #CapitalW @GoodGrowthCap @NewEnglandVC  https://t.co/YbQiv25W4d,Sat May 07 12:07:05 +0000 2016,en,0,False,2,False,,David Chang,changds
So much to like about both of them! https://t.co/ExdifSx2en,Fri May 06 20:45:18 +0000 2016,en,0,False,2,False,,David Chang,changds
