Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Blast from the past. https://t.co/CL0yhTKybG @davemcclure 😍,Wed May 11 02:34:45 +0000 2016,en,1,False,5,False,,Christine Tsai,christine_tsai
@500Startups @Doughbies Chocolate chip was a hit. Snickerdoodles were more popular with the Americans ;-),Tue May 03 23:01:59 +0000 2016,en,0,False,3,False,,Christine Tsai,christine_tsai
Afternoon snack for @500Startups #VCunlocked class = @Doughbies woohoo! 🍪 https://t.co/gkgHpJxomx,Tue May 03 23:00:13 +0000 2016,en,1,False,11,False,,Christine Tsai,christine_tsai
"RT @AndyRichter: If you think Elsa from Frozen being gay is gonna turn your kid gay, you're just revealing that you think being gay is irre…",Tue May 03 17:02:58 +0000 2016,en,406,False,0,False,,Christine Tsai,christine_tsai
@Percival @Paulina831 @500Startups LOL,Mon May 02 21:58:09 +0000 2016,und,0,False,2,False,,Christine Tsai,christine_tsai
RT @Paulina831: @Percival @christine_tsai unlocking #accelerator secrets from the early days of @500Startups operations #VCUnlocked https:/…,Mon May 02 21:57:58 +0000 2016,en,6,False,0,False,,Christine Tsai,christine_tsai
"Meet VC @jfiance, UC Berkeley’s 24-year-old superconnector https://t.co/Hxf8iuxHog via @techcrunch",Mon Apr 18 17:51:47 +0000 2016,nl,3,False,14,False,,Christine Tsai,christine_tsai
Night Shift Display on iOS is amazing. I can't believe I only learned about this now.,Mon Apr 18 08:21:25 +0000 2016,en,0,False,13,False,,Christine Tsai,christine_tsai
Are you an IMPORTANT VC? Or desperately trying to be one? Then drop everything and read this: https://t.co/i8ikrQPO79  #TBT @500Startups,Thu Apr 14 20:21:58 +0000 2016,en,0,False,6,False,,Christine Tsai,christine_tsai
RT @Paulina831: Last chance! Apply for bootcamp for #accelerator managers by @500Startups @christine_tsai @davemcclure @bedy Apply @ https:…,Wed Apr 13 06:47:48 +0000 2016,en,10,False,0,False,,Christine Tsai,christine_tsai
