Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @FoundationCap: Do VC’s invest with their System 1 or System 2 brains? For @cmoldow it's about having an educated gut https://t.co/E8g6X…,Wed May 04 18:25:48 +0000 2016,en,1,False,0,False,,Charles Moldow,cmoldow
RT @FoundationCap: This is the stuff that startup ambitions should be made of https://t.co/lpK5Kq6Qvg,Tue Apr 26 17:19:54 +0000 2016,en,4,False,0,False,,Charles Moldow,cmoldow
"10) Lastly, contra one @bgurley’s specific points, term sheets don’t have to be evil
https://t.co/ilyhIJLxUa",Mon Apr 25 23:10:19 +0000 2016,en,6,False,2,False,,Charles Moldow,cmoldow
9) ...it feels good to be vindicated &amp; know we're entering fertile grounds for fundamental investing &amp; superior returns for our investors.,Mon Apr 25 23:10:09 +0000 2016,en,1,False,1,False,,Charles Moldow,cmoldow
8) While I never want to rejoice in the face of a struggling venture industry &amp; entrepreneurial environment…,Mon Apr 25 23:10:01 +0000 2016,en,1,False,0,False,,Charles Moldow,cmoldow
"7) In this case, we say ""short term wrong, long term right”. #shorttermwronglongtermright #boringVChastags",Mon Apr 25 23:09:52 +0000 2016,en,1,False,1,False,,Charles Moldow,cmoldow
6) We also know that we must hold our conviction because ultimately profits matter &amp; fundamental investing wins out.,Mon Apr 25 23:09:43 +0000 2016,en,1,False,0,False,,Charles Moldow,cmoldow
"5) At @FoundationCap, we label ourselves ""short term wrong"" when we feel like we missed one of these opportunities.",Mon Apr 25 23:09:34 +0000 2016,en,1,False,0,False,,Charles Moldow,cmoldow
"4) In times like 2014/5, hard to maintain conviction that profits matter as those that had the foresight to exit early booked huge gains.",Mon Apr 25 23:09:24 +0000 2016,en,1,False,0,False,,Charles Moldow,cmoldow
3) ...rather than a momentum investor (get in on rising momentum and don't let the door hit you on the way out).,Mon Apr 25 23:09:14 +0000 2016,en,1,False,0,False,,Charles Moldow,cmoldow
"2) I classify myself as a fundamental investor (looking for sustainable, long-term differentiation &amp; ability to generate EBITDA)…",Mon Apr 25 23:09:06 +0000 2016,en,1,False,0,False,,Charles Moldow,cmoldow
1) I love that @bgurley always tells it as it is. https://t.co/jyUjtQKh16,Mon Apr 25 23:07:25 +0000 2016,en,1,False,2,False,,Charles Moldow,cmoldow
Some thoughts @bgurley’s great post in about 10 numbered tweets. Mute if you find this annoying. https://t.co/jyUjtQKh16,Mon Apr 25 23:07:11 +0000 2016,en,6,False,5,False,,Charles Moldow,cmoldow
"RT @FoundationCap: ""Why The Enemy of #Entrepreneurs Is About To Become Their Best Friend"" @cmoldow @Forbes https://t.co/QZWEXVJqRW",Mon Mar 28 17:40:50 +0000 2016,en,5,False,0,False,,Charles Moldow,cmoldow
RT @FoundationCap: Congrats to @cmoldow on his second @Forbes #MidasList honor. Well deserved for a guy who cares deeply about his Co.s htt…,Wed Mar 23 17:57:35 +0000 2016,en,5,False,0,False,,Charles Moldow,cmoldow
A Year Into the Decade of the CMO https://t.co/X03DObDW4c via @LinkedInMKTG,Mon Mar 21 23:33:52 +0000 2016,en,0,False,0,False,,Charles Moldow,cmoldow
Foundation Capital | Science Nonfiction at SXSW https://t.co/GdsFy1WQuO via @foundationcap,Fri Mar 04 20:27:11 +0000 2016,en,0,False,0,False,,Charles Moldow,cmoldow
Aaron Bell's AdRoll Brings Adtech To SMBs via @forbes https://t.co/i6Ny1uNoBr,Fri Mar 04 19:39:58 +0000 2016,en,1,False,1,False,,Charles Moldow,cmoldow
Katherine's Senior Speech: https://t.co/L4hGFIYKUh via @YouTube,Wed Feb 03 04:36:46 +0000 2016,en,0,False,2,False,,Charles Moldow,cmoldow
"@ForbesTech Great article, Alex.",Wed Jan 20 04:00:55 +0000 2016,en,0,False,0,False,,Charles Moldow,cmoldow
"RT @ForbesTech: For private tech companies and startups, the question is if general market anxiety has carried over to VC: https://t.co/LxE…",Wed Jan 20 04:00:26 +0000 2016,en,61,False,0,False,,Charles Moldow,cmoldow
RT @treehcapital: Good metaphor from @cmoldow when thinking about the tiny Fed rate increase &amp; VC https://t.co/DAUTwQaGjw https://t.co/FwpI…,Wed Dec 30 18:15:19 +0000 2015,en,3,False,0,False,,Charles Moldow,cmoldow
"Foundation Capital | FinTech’s Rule No. 1: Lose your Patience, Lose your Shirt https://t.co/kEAhrdYUPx via @foundationcap",Fri Nov 20 16:24:58 +0000 2015,en,7,False,12,False,,Charles Moldow,cmoldow
JPMorgan to Offer a Taste of I.P.O.s to the Masses https://t.co/RYSol1LkTX,Thu Oct 22 17:26:32 +0000 2015,en,1,False,2,False,,Charles Moldow,cmoldow
Lending Club’s Renaud Laplanche On His “White Knuckle Moment” http://t.co/w6jAVfeNI9 via @techcrunch,Wed Sep 23 18:44:09 +0000 2015,en,3,False,5,False,,Charles Moldow,cmoldow
RT @FoundationCap: Do Metrics Matter? https://t.co/ISr6inK77m … Read what @ashugarg has to about metrics at each unique and different stage…,Wed Sep 16 04:26:11 +0000 2015,en,2,False,0,False,,Charles Moldow,cmoldow
I liked a @YouTube video http://t.co/3QaPljxogS How to Save a Life Horology Cover,Mon Sep 14 19:26:33 +0000 2015,en,0,False,0,False,,Charles Moldow,cmoldow
Jody Downs Pike 80: http://t.co/wCe2xcPEe1 via @YouTube,Wed Sep 09 20:28:38 +0000 2015,en,0,False,0,False,,Charles Moldow,cmoldow
Josephine Downs Pike 80th Birthday: http://t.co/4C2mejvFnu via @YouTube,Wed Sep 09 19:04:12 +0000 2015,en,0,False,0,False,,Charles Moldow,cmoldow
rrr: http://t.co/BCGt5LHCji via @YouTube,Wed Sep 09 16:36:48 +0000 2015,und,0,False,0,False,,Charles Moldow,cmoldow
RT @FoundationCap: Planet $RUN by the sun + IPO + Unicorn + opening bell baby = @Sunrun #savewiththesun http://t.co/vs3gyM6tSr,Thu Aug 06 05:45:14 +0000 2015,en,16,False,0,False,,Charles Moldow,cmoldow
Foundation Capital | Announcing Yozio’s Series A Funding https://t.co/8vkkX8cZNn via @foundationcap,Tue Jul 28 13:24:46 +0000 2015,en,0,False,2,False,,Charles Moldow,cmoldow
Never been a cartoon before! @money2020 @FoundationCap,Wed Jul 22 19:44:26 +0000 2015,en,1,False,1,False,,Charles Moldow,cmoldow
Birthday in Turks: http://t.co/OdXLCeiG9v via @YouTube,Sun Jul 12 04:36:28 +0000 2015,en,0,False,1,False,,Charles Moldow,cmoldow
@bgurley And no harder business than building credit models and robust underwriting to ensure investors get their money back with interest.,Mon Jun 29 18:00:01 +0000 2015,en,0,False,1,False,,Charles Moldow,cmoldow
"RT @FoundationCap: ""Venture capitalist @cmoldow estimates the industry will hit $1 trillion over the period."" #BigIdeasFinTech @NASDAQ http…",Tue May 26 20:54:11 +0000 2015,en,7,False,0,False,,Charles Moldow,cmoldow
RT @SSpakeESPN: Took this picture of Okafor holding a basketball back in February. Now you understand? http://t.co/wBb0WyzUFM,Thu May 21 19:40:47 +0000 2015,en,6177,False,0,False,,Charles Moldow,cmoldow
RT @paulrholland: Jeff Crowe @norwestvc + @charlesmoldow @FoundationCap celebrating @renaudlaplance and @lendingclub at the HBS awards http…,Fri May 15 03:45:32 +0000 2015,en,2,False,0,False,,Charles Moldow,cmoldow
"RT @FoundationCap: Excited to welcome our new EIR, RJ Jain, to the team! Check out his new blog, ""A Better World. One Ride at a Time."" http…",Tue Apr 28 16:21:50 +0000 2015,en,3,False,0,False,,Charles Moldow,cmoldow
RT @FoundationCap: Huge congrats to @cyphort for winning the prestigious Best New Company Award from Secure Computing Magazine @McAfee http…,Thu Apr 23 05:48:13 +0000 2015,en,5,False,0,False,,Charles Moldow,cmoldow
Peer-To-Peer Pet Boarding Marketplace DogVacay Launches Daycare http://t.co/c5AXj7QIHj via @techcrunch,Tue Apr 21 19:53:32 +0000 2015,en,2,False,2,False,,Charles Moldow,cmoldow
@LendingClub just announced a partnership with citi!!!,Tue Apr 14 13:13:58 +0000 2015,en,1,False,2,False,,Charles Moldow,cmoldow
"RT @FoundationCap: ""Nobody is a bigger champion of the emerging online lending industry than venture capitalist @cmoldow"" @cnbc http://t.co…",Mon Apr 13 19:45:17 +0000 2015,en,13,False,0,False,,Charles Moldow,cmoldow
LinkedIn acquires Foundation Capital Portco Refresh. Way to go Bhavin and team. http://t.co/8GabW7Keju @FoundationCap,Thu Apr 02 16:43:53 +0000 2015,en,1,False,5,False,,Charles Moldow,cmoldow
"RT @FoundationCap: Foundation Capital arrived on the scene as a recently refreshed firm, with @cmoldow (#56 #midaslist2015) at the helm htt…",Fri Mar 27 19:08:59 +0000 2015,en,11,False,0,False,,Charles Moldow,cmoldow
Foundation Capital | Blog http://t.co/7UkELw5shf via @foundationcap,Wed Mar 25 19:12:39 +0000 2015,en,1,False,2,False,,Charles Moldow,cmoldow
@jeffmcrowe complete injustice for not being recognized as the #1 investor in LendingClub. Huge respect. #MidasList @VCRebecca @sa_lil,Wed Mar 25 18:35:33 +0000 2015,en,1,False,2,False,,Charles Moldow,cmoldow
@VCRebecca congrats on confirmation of what we all know...you're building a great portfolio and VC career.,Wed Mar 25 18:30:20 +0000 2015,en,0,False,0,False,,Charles Moldow,cmoldow
@bgurley @jimgoetz huge respect and acknowledgement for great venture investing by the two of you and your firms.,Wed Mar 25 18:27:52 +0000 2015,en,1,False,5,False,,Charles Moldow,cmoldow
"RT @vassallo: Huge Congrats to my @FoundationCap partner @cmoldow... http://t.co/FjffJe1BPB, #MidasList",Wed Mar 25 18:26:12 +0000 2015,en,4,False,0,False,,Charles Moldow,cmoldow
RT @ashugarg: #pats cheese steaks in Philly with my partners @vassallo @paulrholland @cmoldow at 11 pm. http://t.co/c5wFXTrjaY,Tue Mar 24 03:14:25 +0000 2015,en,3,False,0,False,,Charles Moldow,cmoldow
No Traditional Financial Institutions? No Problem http://t.co/a4Yja3e1RW via @techcrunch,Sun Mar 22 01:58:35 +0000 2015,und,3,False,9,False,,Charles Moldow,cmoldow
"RT @FoundationCap: Just released! The Next Big Ideas in Financial Technology, by @cmoldow #BigIdeasFinTech #marketplacelending http://t.co/…",Sun Mar 22 01:56:16 +0000 2015,en,29,False,0,False,,Charles Moldow,cmoldow
RT @FoundationCap: Read what @cmoldow has to say: 'No Traditional Financial Institutions? No Problem' @TechCrunch #BigIdeasFinTech http://t…,Sun Mar 22 01:56:03 +0000 2015,en,8,False,0,False,,Charles Moldow,cmoldow
@paulrholland Wish the sound were coming through,Wed Mar 18 02:43:24 +0000 2015,en,0,False,0,False,,Charles Moldow,cmoldow
|LIVE NOW| London morning - #meerkat http://t.co/K3kCBPWjK7,Wed Mar 11 08:30:12 +0000 2015,en,0,False,2,False,,Charles Moldow,cmoldow
Great tribute and surprise to Renaud Laplanche. Employees all signed the Prospectus. @LendingClub @FoundationCap http://t.co/x8PRFlDzcn,Mon Mar 09 03:00:25 +0000 2015,en,9,False,11,False,,Charles Moldow,cmoldow
“@paulrholland: Sat next to comedian Lewis Black on flight to NYC. Hilarious guy http://t.co/qN2GF7c62e”,Mon Mar 09 02:55:54 +0000 2015,en,0,False,1,False,,Charles Moldow,cmoldow
Backlash against the sharing economy is a sign it’s maturing http://t.co/HkXL2LfvWG via @VentureBeat,Fri Feb 27 02:58:39 +0000 2015,en,3,False,2,False,,Charles Moldow,cmoldow
AdRoll Japan Launches: Googleの元執行役員とYahoo! JAPANの元経営幹部をリーダーに迎え、東京オフィスが本日稼働開始 http://t.co/ecGw3kGpmW,Thu Feb 26 21:15:53 +0000 2015,ja,0,False,0,False,,Charles Moldow,cmoldow
"OnDeck announced earnings today. Said their loans helped SMB's hire 20,000 people in 2014. Very cool.",Mon Feb 23 23:26:40 +0000 2015,en,1,False,0,False,,Charles Moldow,cmoldow
Foundation Capital | Blog http://t.co/JjYebQTT7q via @foundationcap,Tue Feb 17 21:26:48 +0000 2015,en,0,False,0,False,,Charles Moldow,cmoldow
Not sure I'll ever get over the call. Maybe this explains it. http://t.co/3pdzT6NaAf,Mon Feb 02 06:01:55 +0000 2015,en,0,False,5,False,,Charles Moldow,cmoldow
Foundation Capital | Blog http://t.co/W4IOvN1TtH via @foundationcap,Wed Jan 21 06:44:33 +0000 2015,en,1,False,2,False,,Charles Moldow,cmoldow
