Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @NASDAQ: Getting ready for @YPO to ring the @Nasdaq Closing Bell to celebrate #YPOInnovationWeek! https://t.co/3XY9fQQkA6,Sat May 14 02:44:45 +0000 2016,en,10,False,0,False,,Cem Sertoglu,csertoglu
Boxing cc @FiteTV https://t.co/6d1yeNcQGl,Fri May 13 20:03:25 +0000 2016,en,0,False,3,False,,Cem Sertoglu,csertoglu
The Nigerian scam adapts to geo-politics 2016 https://t.co/O0cH3IJ5th,Thu May 12 21:42:09 +0000 2016,en,2,False,2,False,,Cem Sertoglu,csertoglu
Like-minded VCs - @FirstMarkCap https://t.co/2Or25dpnRx,Thu May 12 21:41:20 +0000 2016,en,0,False,2,False,,Cem Sertoglu,csertoglu
"RT @ValaAfshar: Life lesson:

If something cost $1,000, and it is on sale for $750, and then you decide to buy it, you did not save $250. Y…",Thu May 12 21:31:06 +0000 2016,en,123,False,0,False,,Cem Sertoglu,csertoglu
Cc @heif  https://t.co/42RUyCfYCE,Thu May 12 21:30:45 +0000 2016,und,0,False,0,False,,Cem Sertoglu,csertoglu
.@VivenseCom Sistem Yöneticisi ariyor https://t.co/jVJ1BDTREc,Thu May 12 21:29:21 +0000 2016,tr,0,False,0,False,,Cem Sertoglu,csertoglu
Don't Look Now... Your Assets Just Walked Out The Door « Top Tier Capital Partners Blog https://t.co/Fm0IF1g8zM,Thu May 12 10:34:28 +0000 2016,en,1,False,1,False,,Cem Sertoglu,csertoglu
"RT @christianhern: The ""new vanity metric is profitability” over growth. It should be revenue AND growth https://t.co/fnET8uEWUS https://t.…",Thu May 12 09:37:45 +0000 2016,en,2,False,0,False,,Cem Sertoglu,csertoglu
RT @tech_eu: Big Euro tech news early in the morning: @Auctionata’s merging with @Paddle8 to create a global online auction giant https://t…,Thu May 12 09:36:40 +0000 2016,en,7,False,0,False,,Cem Sertoglu,csertoglu
RT @EarlybirdVC: See the latest news within in the @EarlybirdVC portfolio: @auctionata and @paddle8 join forces: https://t.co/KEhVIehs0U,Thu May 12 09:36:24 +0000 2016,en,1,False,0,False,,Cem Sertoglu,csertoglu
RT @firatdemirel: 200 milyon euro büyüklüğündeki Türk Büyüme ve İnovasyon Fonu faaliyete başladı https://t.co/0MgSGjQYsL #investment #innov…,Thu May 12 09:27:12 +0000 2016,tr,1,False,0,False,,Cem Sertoglu,csertoglu
.@EarlybirdVC Partner @EvrenUcok and @tapu_com CEO @eersahin on stage at the TGIF launch event https://t.co/daLZlGiTff,Thu May 12 09:26:07 +0000 2016,en,3,False,4,False,,Cem Sertoglu,csertoglu
@baytok_cem emerging markets,Wed May 11 19:53:12 +0000 2016,en,0,False,0,False,,Cem Sertoglu,csertoglu
More attractive than Russia! #GEPGC16 https://t.co/pO2qVCDZeb,Wed May 11 18:17:31 +0000 2016,en,1,False,6,False,,Cem Sertoglu,csertoglu
"RT @EMPEA: ""Headlines are often driven by nominal price changes rather than fundamentals."" Insightful panel live at #GPEC2016 https://t.co/…",Tue May 10 15:14:13 +0000 2016,en,2,False,0,False,,Cem Sertoglu,csertoglu
"At PE events, we keep hearing about aggregate asset class returns. Quite meaningless on the private side.  Huge variance. #GPEC2016",Tue May 10 15:14:02 +0000 2016,en,1,False,1,False,,Cem Sertoglu,csertoglu
".@abraajgroup's Arif Naqvi proposes ""Partnership Capital"" instead of ""Private Equity"". I like it, actually. @IFC_org @EMPEA #GPEC2016",Tue May 10 13:35:04 +0000 2016,en,0,False,2,False,,Cem Sertoglu,csertoglu
"Oops, it did get picked up by intl press! 

Turkey says its new electric car is better than a Tesla https://t.co/9kb9Nyrdcn",Tue May 10 13:31:30 +0000 2016,en,1,False,2,False,,Cem Sertoglu,csertoglu
Schadenfreude-laden expectations of unicorn blow-ups around. Won't happen. Too much $ raised.  Failures will be fade-outs.,Tue May 10 12:58:51 +0000 2016,en,1,False,0,False,,Cem Sertoglu,csertoglu
In Washington DC for #GPEC2016. Looking forward to our Venture Capital in Emerging Markets panel tomorrow at 2:20pm. @EMPEA,Tue May 10 08:34:07 +0000 2016,en,2,False,4,False,,Cem Sertoglu,csertoglu
"RT @hazelcast: Did you know Hazelcast is looking for #Awesome #OpenSourceDevs? Apply now and start working with us!

https://t.co/6jyMh49pzH",Tue May 10 08:26:21 +0000 2016,en,15,False,0,False,,Cem Sertoglu,csertoglu
Fish in bebek https://t.co/ADBC054Vld,Mon May 09 05:43:02 +0000 2016,in,0,False,4,False,,Cem Sertoglu,csertoglu
"RT @founding: We find customer data useful in almost all types of businesses - 
@CSertoglu on what metrics VC's want to hear: https://t.co/…",Sun May 08 10:44:42 +0000 2016,en,4,False,0,False,,Cem Sertoglu,csertoglu
#NowPlaying Sometimes It Snows In April by Reidun Sæther ♫ https://t.co/zFjTzgoWbg,Sat May 07 15:34:18 +0000 2016,da,0,False,0,False,,Cem Sertoglu,csertoglu
"RT @astro_timpeake: East end of the Med looking south, with Cyprus in the centre https://t.co/IBzS5D8Uvn https://t.co/BUX6lwbja3",Sat May 07 15:02:52 +0000 2016,en,864,False,0,False,,Cem Sertoglu,csertoglu
RT @Chops8592: It's barely been a day and already the Queen is wearing a hijab #LondonHasFallen https://t.co/O7GH0890Mf,Sat May 07 15:02:19 +0000 2016,en,14342,False,0,False,,Cem Sertoglu,csertoglu
"RT @historyepics: Ottoman Empire armor belonging to Sultan Mustafa III -18th century. Topkapi Palace, Istanbul,Turkey. https://t.co/ALaoss8…",Sat May 07 14:35:43 +0000 2016,en,299,False,0,False,,Cem Sertoglu,csertoglu
Read if you are in the digital media biz - Inside the Buzz-Fueled Media Startups Battling for Your Attention https://t.co/ewd2LZdGDv,Sat May 07 12:31:38 +0000 2016,en,3,False,8,False,,Cem Sertoglu,csertoglu
"On @tech_eu: The food delivery wars in Europe may not be over, but funding for new players has certainly dried up  https://t.co/Mg8YSsk1st",Fri May 06 06:56:44 +0000 2016,en,4,False,4,False,,Cem Sertoglu,csertoglu
