Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
#NowPlaying https://t.co/Ks7F06dfDH,Thu May 12 00:52:43 +0000 2016,und,0,False,0,False,,David Williams,dwtalker
"RT @zerobeta: When asked what it feels like to be the best guitarist alive, Eric Clapton said, ""I don't know. Ask Prince.""",Thu Apr 21 18:11:16 +0000 2016,en,8573,False,0,False,,David Williams,dwtalker
"HBS friends, take a look at 1 Atelier and cast your vote. I'm a big big fan of what Stephanie Sarka and team are... https://t.co/dUrZiaHWbM",Mon Apr 04 16:17:09 +0000 2016,en,0,False,0,False,,David Williams,dwtalker
@Fitbit Ships Millions of New Alta and Blaze Fitness Trackers - Fortune https://t.co/F1wFiR56m9 $FIT,Thu Mar 31 19:30:36 +0000 2016,en,0,False,1,False,,David Williams,dwtalker
It’s 2016. Why Can’t Anyone Make a Decent Freaking To-Do App? | WIRED https://t.co/tZv5nzpnYZ,Mon Mar 28 18:16:56 +0000 2016,en,0,False,0,False,,David Williams,dwtalker
Peter McManus Cafe - since the Chelsea watering hole first opened in 1936 (that’s three years after Prohibition... https://t.co/RMJEsYfDI6,Thu Mar 17 18:33:36 +0000 2016,en,0,False,0,False,,David Williams,dwtalker
"Congrats Stephanie Sarka, Frank Zambrelli and team! https://t.co/kZBytHbvNw",Wed Mar 16 03:03:13 +0000 2016,en,0,False,0,False,,David Williams,dwtalker
#NowPlaying https://t.co/ArICcQTUw9,Wed Mar 09 04:55:35 +0000 2016,und,0,False,0,False,,David Williams,dwtalker
In Search of New York's Best Pastrami Sandwiches https://t.co/7KyYZutloR,Thu Jan 07 14:21:31 +0000 2016,en,0,False,0,False,,David Williams,dwtalker
Will The Rock ever finish buttoning his sleeve? A investigation https://t.co/K6wp0cHora,Sun Dec 20 17:43:07 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Fabulous gift for the woman who has everything. https://t.co/5SyimBDtDA,Sun Dec 20 17:41:16 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
"Trust the process
Do the work
Be patient
Together",Thu Dec 17 16:33:57 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Chinese buy bottles of fresh air from Canada. https://t.co/T8rItJAh64,Wed Dec 16 19:09:43 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
I liked a @YouTube video https://t.co/yfE8H5pfPK I Wish You Would by Pete Day,Tue Dec 15 18:58:48 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
"The Disappeared - China’s top bankers who disappeared, were detained, or died unnaturally this year. https://t.co/bOZ9H5Bn7e",Tue Dec 15 18:12:04 +0000 2015,en,1,False,0,False,,David Williams,dwtalker
"How Cuba's best player, Omar Linares, remained loyal to Fidel Castro https://t.co/5uL10SX60f",Tue Dec 15 17:17:41 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Broadway park. Interesting idea. https://t.co/vKqJ8FO1c4,Mon Dec 14 02:09:47 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Steph Curry - actions beat words. https://t.co/9CsV3BlnL6,Thu Dec 10 15:27:49 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
RT @dril: its fucked up how there are like 1000 christmas songs but only 1 song aboutr the boys being back in town,Tue Dec 08 01:36:12 +0000 2015,en,34843,False,0,False,,David Williams,dwtalker
David's Most Used Words on Facebook https://t.co/iESexB0mFH #vonvon_en,Wed Nov 18 23:30:19 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Customizable fashion's time has come - 1 Atelier Frank Zambrelli Stephanie Sarka http://t.co/MmzMLu9i51,Fri Oct 16 17:16:57 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
"Just got a great deal on this camera on http://t.co/oUqj1N56p8. Make any offer, and retailers compete to fill it. http://t.co/CtohGdUCqh",Thu Oct 08 19:18:28 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Steph Curry. 1st preseason game. Ready to defend title. http://t.co/7u70QSX2Q2,Tue Oct 06 18:34:43 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
How Spotify’s Discover Weekly cracked human curation at internet scale http://t.co/DfpGIyAfmX,Fri Oct 02 23:45:56 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
'Found Them First' web app kinda fun for music heads on Spotify. Tells which bands you were early on and how... http://t.co/7tYMbuySu1,Fri Sep 11 23:16:01 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Have to love Apple Launch Events - - they are all truly so excited and thrilled to tell us about their truly... http://t.co/F7mFCcSSV6,Wed Sep 09 19:56:25 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
We don't think ourselves into a new way of living; we live ourselves into a new way of thinking. Before new... http://t.co/uUvNB8voYY,Sat Aug 29 17:34:38 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Pretty amazing what you can do with $500 on Rent the Runway. http://t.co/Ba2J9pfq7B,Thu Aug 20 14:51:48 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Only fools are sure.,Sat Jul 25 14:58:34 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
""" Apple Music is a nightmare and I'm done with it"" - Jim Dalrymple, Apple blogger http://t.co/FsxJ1OYQGl",Thu Jul 23 17:46:45 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Neiman Marcus teams with luxury consignment startup The RealReal http://t.co/jyqaKJpxNE,Wed Jul 22 18:50:27 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Adrienne Bennett and band http://t.co/uP3LtFSGDw,Fri Jul 17 05:43:51 +0000 2015,no,0,False,0,False,,David Williams,dwtalker
China tries Japan's approach http://t.co/kfSpWCULai,Wed Jul 08 15:25:07 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
America has been at war 222 of its 239 years http://t.co/aHAPQgEkyK,Sat Jul 04 19:51:53 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
FB suggested this non-profit's page as a good fit for me. http://t.co/viLRoHvVHU,Wed Jul 01 23:34:23 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
What Startups Can Learn From The Art Market http://t.co/qA2ez1PTiu,Wed Jul 01 16:25:18 +0000 2015,en,0,False,1,False,,David Williams,dwtalker
"Golden State Warriors played 103 games in total this year and lost only 20. Third best record ever, behind Bulls'... http://t.co/oSPRTvfwrw",Wed Jun 17 15:50:14 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
"RT @BaxterHolmes: Most total wins (regular season &amp; playoffs) in NBA history:

1. 1995-96 Bulls: 87-13
2. 1996-97 Bulls: 84-17
3. 2014-15 W…",Wed Jun 17 15:42:42 +0000 2015,en,180,False,0,False,,David Williams,dwtalker
1 Atelier on the red carpet tonight. http://t.co/6Pvoek57CE,Mon Jun 08 03:05:25 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Drones join the circus. http://t.co/flJNlEbomr,Sun Jun 07 15:33:00 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Mo Buckets Speights ladies and gents!,Fri Jun 05 01:50:43 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Best player versus best team in best of seven. Team should win. Go Golden State Warriors!,Thu Jun 04 23:40:44 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
1 Atelier Breathes New Life Into Buying Bespoke http://t.co/l1uhgwsXX3,Wed Jun 03 20:42:29 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Nice piece. http://t.co/TPFAi53mKc,Mon Jun 01 03:55:43 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
"Spotify Running - just did my first run with it. Amazing. If u run, must check it out.",Sat May 30 18:31:30 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
"Warriors, come out and play. Golden State Warriors",Wed May 20 01:05:30 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
"Good stuff from the inimitable Tom Wolfe..
""They've discovered the formula. If you become indignant, this... http://t.co/ek53Xs5Y4X",Tue May 19 23:32:04 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
"@tmgardner Thx T. Yes, the Dubs are looking good. Not much Championship experience though, so hopefully Kerr can keep them focused. :)",Tue May 19 17:09:40 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
"Nice piece on battling cynicism in art and life - 

""Cynicism thinks it knows things, how things are done, what... http://t.co/XmSnqW7OPa",Fri May 15 17:56:38 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Geeze. What to do about Those two birds in the bush.,Sun May 03 03:22:43 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Dortmund (4-1) to win. Dark horse pick: Tencendur (53-1) #KentuckyDerby http://t.co/8kTxeN5z7P,Sat May 02 22:38:12 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Design Your Own It Bag with 1Atelier - Articles - Departures http://t.co/gMSOQ4AXz4,Thu Apr 30 16:30:51 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
Using Instagram to discover and purchase art. http://t.co/D1LBsgY0GD,Wed Apr 29 15:40:47 +0000 2015,en,0,False,0,False,,David Williams,dwtalker
