Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @TechCrunch: Ninja Van raises $30M to build a regional logistics network in Southeast Asia https://t.co/rXq46pFYFZ by @jonrussell,Tue Apr 19 17:56:06 +0000 2016,en,54,False,0,False,,Eduardo Saverin,esaverin
"RT @e27co: I don’t want, can not, and have not changed the world by myself: Facebook Co-founder Eduardo Saverin https://t.co/9DBfF52Cvi",Wed Apr 13 08:52:37 +0000 2016,en,9,False,0,False,,Eduardo Saverin,esaverin
RT @techinasia: Eduardo Saverin changed the world with Facebook. Now he wants to help you do it https://t.co/oOKJzHaQI2 https://t.co/ly9PbP…,Wed Apr 13 08:52:31 +0000 2016,en,15,False,0,False,,Eduardo Saverin,esaverin
RT @ChristineCNBC: Darius Cheung @Rius of property startup @99dotco tells me what it's like to have Eduardo Saverin @esaverin as a lead inv…,Mon Feb 08 08:43:31 +0000 2016,en,4,False,0,False,,Eduardo Saverin,esaverin
"RT @ChristineCNBC: Also on #ManagingAsia this week, I talk to Darius Cheung @Rius of property startup @99dotco https://t.co/ExyytOhdup",Thu Feb 04 21:40:02 +0000 2016,en,11,False,0,False,,Eduardo Saverin,esaverin
RT @Audi: Rental cars don’t have to drive like rental cars. Just ask @Silvercar. @TechCrunch—https://t.co/hpEZQXo4LJ https://t.co/lKjWcEGiAs,Thu Jan 14 12:35:57 +0000 2016,en,72,False,0,False,,Eduardo Saverin,esaverin
RT @Benioff: Congrats @joshtetrick @morganoliveira1 and @hamptoncreek !!!  http://t.co/oRdGa81QD7,Thu Jul 23 04:41:40 +0000 2015,en,12,False,0,False,,Eduardo Saverin,esaverin
RT @joshtetrick: I'm so insanely proud of this: All of @7eleven switched to using Just Mayo by @hamptoncreek. (largest convenience store in…,Tue Jun 16 18:32:39 +0000 2015,en,66,False,0,False,,Eduardo Saverin,esaverin
RT @silvercar: Check out our segment on @SquawkCNBC this morning with @silvercar CEO @lukepschneider! http://t.co/XlxRzhMetQ @CNBC http://t…,Sun Jun 14 02:21:33 +0000 2015,en,11,False,0,False,,Eduardo Saverin,esaverin
"Discussion: Vinod Khosla on fellow VCs, ""90% add no value."" http://t.co/i0C8E9wdYW",Sat May 30 09:10:29 +0000 2015,en,12,False,30,False,,Eduardo Saverin,esaverin
