Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @RasuShrestha: We need: Tolerance, shared decision making &amp; reverence for tradition, even as we seek new &amp; innovative cures. #healthcare…",Fri May 13 11:12:11 +0000 2016,en,3,False,0,False,,eyal gura,eyalg
I added a video to a @YouTube playlist https://t.co/3qJACLEkPv עפרה חזה - גבריאל,Fri May 06 20:21:34 +0000 2016,und,1,False,0,False,,eyal gura,eyalg
great example of what can happen when you focus on the future and not the past . go Faris Zaher ! https://t.co/aZSL4E8Fww,Mon May 02 07:22:49 +0000 2016,en,1,False,1,False,,eyal gura,eyalg
@christianhern no worries . Next time,Fri Apr 29 12:01:28 +0000 2016,en,0,False,0,False,,eyal gura,eyalg
Thousands of living cells inside a chip to @emulate how your body will react to a new drug #coolnes #WIREDHealth https://t.co/rhiX9Yd26e,Fri Apr 29 11:57:21 +0000 2016,en,1,False,5,False,,eyal gura,eyalg
"RT @thulme: ""We need to remember that the H in NHS stands for health, not healthcare""

@M_Maruthappu #WIREDHealth",Fri Apr 29 10:55:24 +0000 2016,en,7,False,0,False,,eyal gura,eyalg
"""A sense of optimism is essential ... If there is no optimism there is no hope "" #wiredhealth @ZebraMedVision https://t.co/3NiUdPQoSX",Fri Apr 29 08:49:51 +0000 2016,en,3,False,2,False,,eyal gura,eyalg
RT @pmarca: Technology raises worker productivity -&gt; raises worker wages. Want higher wages? Use more technology. https://t.co/qLnOpXqD8X,Sun Apr 17 18:21:24 +0000 2016,en,177,False,0,False,,eyal gura,eyalg
"""Rock concerts, beer and ACA products"" @Aetna CEO re future  social contracts with members #healthevolutionsummit https://t.co/XJ168ZgjgG",Thu Apr 14 21:24:01 +0000 2016,en,1,False,1,False,,eyal gura,eyalg
"RT @pmarca: ""Venture capital earned an annual average of 93 percent over the past 20 years"" for Yale. Extraordinary.  https://t.co/rZmmITsZ…",Tue Apr 12 21:33:52 +0000 2016,en,248,False,0,False,,eyal gura,eyalg
RT @ZebraMedVision: crossing our fingers for @ZebraMedVision  @digitalherring Europe - go @eladbenjamin !! #Analytics #DeepLearning #machin…,Mon Apr 11 21:44:52 +0000 2016,en,1,False,0,False,,eyal gura,eyalg
RT @Joi: Neri Oxman from the @medialab - How this MIT professor is bringing together design and nature https://t.co/ifFXL85CHr,Thu Apr 07 10:03:37 +0000 2016,en,27,False,0,False,,eyal gura,eyalg
"RT @pmarca: OH: ""Privacy is the paramount issue of our time, unless we're talking about stolen documents from movie studios, law firms, or…",Thu Apr 07 09:57:05 +0000 2016,en,173,False,0,False,,eyal gura,eyalg
RT @MedisafeApp: We're thrilled to be named a #MITXAwards finalist! Good luck to all the great competition - see you on May 25th! https://t…,Thu Apr 07 09:56:48 +0000 2016,en,3,False,0,False,,eyal gura,eyalg
"RT @halletecco: “Money is like gasoline during a road trip. You don’t want to run out of gas, but you’re also not doing a tour of gas stati…",Mon Apr 04 04:28:36 +0000 2016,en,10,False,0,False,,eyal gura,eyalg
@ZebraMedVision is mentioned !  https://t.co/oCNpGodRRM,Sun Apr 03 14:42:03 +0000 2016,en,0,False,1,False,,eyal gura,eyalg
Creative thinkers in a regulated environment - good read by @ZebraMedVision 's ceo @eladbenjamin  https://t.co/7tOoAZ8Ix7,Fri Apr 01 21:13:56 +0000 2016,en,2,False,4,False,,eyal gura,eyalg
"RT @MedisafeApp: ""now I don't have to think about meds at all during the day...#Medisafe does it for me!"" Read this awesome #review: https:…",Wed Mar 30 20:39:42 +0000 2016,en,2,False,0,False,,eyal gura,eyalg
RT @Benioff: Thank you @CathyBessant!  Thank you @BankofAmerica!  Thank you @MerrillLynch Thank you Brian Moynihan! https://t.co/bHfHIXo3zN,Sat Mar 26 18:43:34 +0000 2016,en,62,False,0,False,,eyal gura,eyalg
RT @YGLvoices: @sama Congrat and welcome to the YGL community. Meet the Young Global Leaders Class of 2016: https://t.co/gEW0IUKvdN #YGL #w…,Wed Mar 16 18:22:20 +0000 2016,en,2,False,0,False,,eyal gura,eyalg
"RT @YGLvoices: ""It's not a title.  It's a call"" Great way to put it @SoulaimaGourani ! https://t.co/01staZtC3w",Wed Mar 16 18:21:55 +0000 2016,en,5,False,0,False,,eyal gura,eyalg
RT @Benioff: No one I know realized just how bad things are @IBM.  I hope they will be more open to partnerships now.  https://t.co/slUHWyc…,Sat Mar 05 00:28:31 +0000 2016,en,74,False,0,False,,eyal gura,eyalg
"RT @MedisafeApp: Demonstrating Medisafe Providers today @ 3pm PST, at #HIMSS16 in the #HX360 Pavilion booth A-06. Be sure to stop by! https…",Thu Mar 03 21:12:08 +0000 2016,en,2,False,0,False,,eyal gura,eyalg
https://t.co/B3ocyXJiZj,Wed Mar 02 11:21:17 +0000 2016,und,1,False,1,False,,eyal gura,eyalg
"RT @vkhosla: “Science is the belief in the ignorance of experts,” said the physicist Richard Feynman in a 1966 talk. Love it!",Wed Mar 02 02:46:49 +0000 2016,en,113,False,0,False,,eyal gura,eyalg
Unlocking medical imaging and machine learning for 1000 providers @himss16 @DellServices @ZebraMedVision https://t.co/DMKRbVzHUZ,Tue Mar 01 00:23:46 +0000 2016,en,7,False,9,False,,eyal gura,eyalg
@MichaelDell @Dell @boomi @ZebraMedVision  is excited to take part in the journey to unlock value from imaging data,Mon Feb 29 22:56:40 +0000 2016,en,0,False,0,False,,eyal gura,eyalg
RT @DellServices: @Dell's Amit Midha on the potential of the digital economy https://t.co/SSEJYCzskl https://t.co/nJpHuKYxDv,Mon Feb 29 21:49:46 +0000 2016,en,11,False,0,False,,eyal gura,eyalg
RT @ZebraMedVision: @HIMSS here we come @ZebraMedVision Booth 4416. @Dell #analytics #medicaltechnology #machinelearning #bigdata @eyalg @e…,Mon Feb 29 20:14:37 +0000 2016,en,1,False,0,False,,eyal gura,eyalg
RT @wef: Digital disruption has only just begun https://t.co/b2lOVsu4d0 @Accenture #technology #4IR #wef https://t.co/bdLG6aFzRC,Tue Feb 23 23:06:31 +0000 2016,en,108,False,0,False,,eyal gura,eyalg
@chernijo DM me,Sat Feb 20 08:56:47 +0000 2016,en,0,False,0,False,,eyal gura,eyalg
RT @jonmedved: Well done @YoriNelken and team....proud of #OCFirst for being named the most active micro-VC fund in 2015........ https://t.…,Thu Feb 11 17:35:36 +0000 2016,en,2,False,0,False,,eyal gura,eyalg
RT @vkhosla: Automation puts 85% of jobs in developing countries at risk | Naive to assume it is only low end jobs https://t.co/BuOFx3Ui9W,Wed Feb 10 06:12:10 +0000 2016,en,102,False,0,False,,eyal gura,eyalg
Good luck @missbeez and the rest of the teams of batch#7 #MSVTLV https://t.co/NvWQPk21hw,Thu Feb 04 16:32:27 +0000 2016,en,0,False,1,False,,eyal gura,eyalg
