Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @DiegoArielRios: Apply to Snapchat pitch competition before May 19th to pitch @justinkan and @ilikevests from @ycombinator 

https://t.c…",Wed May 11 21:07:38 +0000 2016,en,2,False,0,False,,Kevin Hale,ilikevests
One more time. We're going to let people apply to the YC Fellowship over @justinkan's SnapChat https://t.co/gizmB5rXWw,Wed May 11 19:09:20 +0000 2016,en,4,False,17,False,,Kevin Hale,ilikevests
RT @KatManalac: Something new we're trying for S16. Any info you'd like to see about the companies? Or formats you'd like us to try? https:…,Wed May 11 18:46:10 +0000 2016,en,7,False,0,False,,Kevin Hale,ilikevests
RT @harris: Over learning from success seems to be about as bad as ignoring mistakes.,Wed May 11 01:09:09 +0000 2016,en,6,False,0,False,,Kevin Hale,ilikevests
New podcast by @Lumi about the intersection of design and business features the great @veen in first ep. https://t.co/GTlTkE2Tmj,Tue May 10 15:05:39 +0000 2016,en,11,False,30,False,,Kevin Hale,ilikevests
Why Today's Inventors Need to Read More Science Fiction https://t.co/fclMDoP2HE,Mon May 09 07:28:45 +0000 2016,en,5,False,12,False,,Kevin Hale,ilikevests
RT @ycombinator: Congrats to Zapier (YC S12) on passing 1 million users! https://t.co/VXZ53eNfP5,Fri May 06 08:24:28 +0000 2016,en,28,False,0,False,,Kevin Hale,ilikevests
"RT @DruckerInst: ""There are always good reasons for not doing anything if one starts out searching for the negative."" #PeterDrucker https:/…",Thu May 05 17:13:35 +0000 2016,en,77,False,0,False,,Kevin Hale,ilikevests
The Startup Zeitgeist @snowmaker &amp; @Priceonomics https://t.co/M18KdUO8XZ,Wed May 04 23:41:46 +0000 2016,de,1,False,5,False,,Kevin Hale,ilikevests
RT @ycombinator: Last day to sign up for office hours with @ilikevests at UCLA on Friday: https://t.co/UeYSsKTdPR,Wed May 04 18:28:26 +0000 2016,en,7,False,0,False,,Kevin Hale,ilikevests
RT @andrewmason: We launched @Detour Platform today: https://t.co/daaD5BqTBF - culmination of a lot of really cool stuff.,Tue May 03 19:57:15 +0000 2016,en,13,False,0,False,,Kevin Hale,ilikevests
@muneeb @ycombinator I think what makes her effective and productive is not being in Twitter. :P,Wed Apr 27 20:31:53 +0000 2016,en,0,False,1,False,,Kevin Hale,ilikevests
Kirsty is the best. She’s @ycombinator’s no-so-secret weapon. https://t.co/V9Qq1WcA2i,Wed Apr 27 18:00:40 +0000 2016,en,2,False,9,False,,Kevin Hale,ilikevests
Your Technical Documentation Should Be a Graph https://t.co/eo7diRJIJ6,Mon Apr 25 22:25:04 +0000 2016,en,20,False,27,False,,Kevin Hale,ilikevests
"RT @designchats: Tomorrow is Friday! Join us at @UWvelocity for a #ux chat with @Wufoo founder, and @ycombinator partner @ilikevests https:…",Fri Apr 22 12:54:00 +0000 2016,en,4,False,0,False,,Kevin Hale,ilikevests
RT @mwseibel: First half of YC interviews complete - this is looking like a fearsome batch #ycs2016,Thu Apr 21 19:41:35 +0000 2016,en,6,False,0,False,,Kevin Hale,ilikevests
"My favorite quote from Confucius:

“Never give a sword to a man who can't dance.”",Thu Apr 21 06:10:38 +0000 2016,en,3,False,17,False,,Kevin Hale,ilikevests
