Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
#leaders is getting started by @loic and @plibin @ Eurosites George V https://t.co/SA9xjpIfgH,Fri May 13 07:20:00 +0000 2016,en,5,False,10,False,"{'coordinates': [2.30169932, 48.86799521], 'type': 'Point'}",Jeff Clavier,jeff
Awesome work by the @FrontApp team led by the one and only @collinmathilde  https://t.co/mMBMh3k0Gr,Wed May 11 18:54:54 +0000 2016,en,2,False,10,False,,Jeff Clavier,jeff
"Seriously you guys, has any VC or Angel friend EVER heard the term ""blue flame""? Sounds like a pure fabrication to me",Wed May 11 14:37:55 +0000 2016,en,4,False,26,False,,Jeff Clavier,jeff
SFO &gt; JFK &gt; CDG for a couple of days in Paris at Founders Forum and Leaders (@ San Francisco International Airport) https://t.co/SHS3QO1kqb,Wed May 11 14:24:42 +0000 2016,en,0,False,3,False,"{'coordinates': [-122.38610744, 37.61628808], 'type': 'Point'}",Jeff Clavier,jeff
@chudson @ManuKumar we switched from Mobilize to Slack - still getting limited engagement as switching between slack groups is a hurdle,Sun May 08 19:06:35 +0000 2016,en,0,False,6,False,,Jeff Clavier,jeff
Major milestone for @Postmates. Well done @basti and team! #stvc https://t.co/F1c9ggTIpI,Sat May 07 02:15:45 +0000 2016,en,1,False,13,False,,Jeff Clavier,jeff
@tferriss sent you an intro to @adstruc @JLNY by email to help with your billboard request. Hope all is well!,Tue May 03 22:20:17 +0000 2016,en,0,False,4,False,,Jeff Clavier,jeff
Thanks Brandon for having me on the show. Really enjoyed the discussion. Take a listen! https://t.co/ED13jKG0wy,Mon May 02 13:50:00 +0000 2016,en,5,False,8,False,,Jeff Clavier,jeff
RT @SVB_Financial: Don't miss Wisdom from the Trenches panel w @jeff @todfrancis @rebeccak46 @sequoia's Mike Dixon &amp; SVB's Sulu Mamdani htt…,Fri Apr 29 20:39:47 +0000 2016,en,4,False,0,False,,Jeff Clavier,jeff
Thanks for the kind words you guys ;-)  https://t.co/hegqllclyk,Fri Apr 29 17:35:33 +0000 2016,en,4,False,9,False,,Jeff Clavier,jeff
"Thanks for standing up to these thugs, and congrats on the win @gilelbaz.  https://t.co/f7KzP0JNNQ",Fri Apr 22 16:30:46 +0000 2016,en,3,False,13,False,,Jeff Clavier,jeff
“She has proven time and time again that no challenge is too great or goal unachievable” Super proud of @juliahartz! https://t.co/1wHlis9kc6,Thu Apr 21 21:05:47 +0000 2016,en,6,False,22,False,,Jeff Clavier,jeff
@davemcclure sending you a big bear hug over  twitter ;-),Wed Apr 20 18:03:21 +0000 2016,en,0,False,7,False,,Jeff Clavier,jeff
"[FR] Merci! Juste un point: on perd bcp d'argent sur les boites qui se plantent, mais quand ca marche, ca marche ;). https://t.co/8cmEPCvN9J",Mon Apr 18 02:30:30 +0000 2016,fr,3,False,6,False,,Jeff Clavier,jeff
RT @stephpalmeri: Big news! @ClassDojo reaches 2/3 of US schools (85K) &amp; raises $21MM Series B - so proud of this amazing team! https://t.c…,Mon Apr 18 02:20:18 +0000 2016,en,8,False,0,False,,Jeff Clavier,jeff
Closing day of the season at the Wood! Grateful for way more snow/pow than previous years. @… https://t.co/5I3kOgrs3g,Sun Apr 17 15:37:18 +0000 2016,en,0,False,3,False,"{'coordinates': [-120.0655975, 38.6847916], 'type': 'Point'}",Jeff Clavier,jeff
RT @twentyminutevc: Amazing to hear @abrams reveal the fundamental problem @nuzzel is solving! #news #social https://t.co/EONmYYO6Jp #vc ht…,Fri Apr 15 21:30:21 +0000 2016,en,6,False,0,False,,Jeff Clavier,jeff
"@rabois @chudson when the market gets tough, it's actually hard to be a VC - and the road to carry is long and uncertain.",Fri Apr 15 18:46:50 +0000 2016,en,1,False,9,False,,Jeff Clavier,jeff
Super excited to see @hanstung and @GGVCapital join as Series C lead of @Poshmarkapp. Well done @marrc @Tracy_Sun!  https://t.co/dAr3KjaLdq,Wed Apr 13 22:02:19 +0000 2016,en,4,False,16,False,,Jeff Clavier,jeff
The GPs getting the backing of that team will be so lucky! cc @bfeld @foundrygroup  https://t.co/Zc8rIUGxtv,Wed Apr 13 00:15:55 +0000 2016,en,1,False,13,False,,Jeff Clavier,jeff
Thanks for the kind note @stevecase. Looking forward to a great read! #thirdwavebook @ SoftTech VC https://t.co/OCRmQck9Wv,Tue Apr 12 23:40:00 +0000 2016,en,1,False,6,False,"{'coordinates': [-122.1598969, 37.4492798], 'type': 'Point'}",Jeff Clavier,jeff
[FR] Un super article par @collinmathilde: must read! https://t.co/RUkwsquljC,Tue Apr 12 18:07:54 +0000 2016,en,3,False,3,False,,Jeff Clavier,jeff
RT @Bandrew: DocSend (@softtechvc portfolio co) raises $8M for smarter document sharing https://t.co/mAEhkN8UGO via @techcrunch,Tue Apr 12 03:19:44 +0000 2016,en,1,False,0,False,,Jeff Clavier,jeff
Now we need @fitbit to integrate that in the stepcount! cc @parkjames  https://t.co/kiZqsawJsx,Sun Apr 10 19:45:17 +0000 2016,en,0,False,8,False,,Jeff Clavier,jeff
@shanictaylor nice to meet you! PS: my main identity is @jeff ;-),Sat Apr 09 21:04:47 +0000 2016,en,0,False,1,False,,Jeff Clavier,jeff
Just saw that @klwines is using @sendgrid (as I was doing my Friday night wine auction browsing)! That made me happy! Back to browsing ;-),Sat Apr 09 05:35:51 +0000 2016,en,3,False,11,False,,Jeff Clavier,jeff
Happy anniversary Andy! So glad to have you part of the team! https://t.co/YB4VI9jPXp,Fri Apr 08 22:57:12 +0000 2016,en,0,False,7,False,,Jeff Clavier,jeff
RT @stephpalmeri: Support Dads &amp; Moms finding great parenting content @FatherlyHQ by voting in #Webbys People's Voice! https://t.co/g1WxXFf…,Wed Apr 06 02:16:45 +0000 2016,en,1,False,0,False,,Jeff Clavier,jeff
"RT @ProductHuntPod: Nuzzel CEO (and founder of the 1st social network, Friendster) @abrams talks with @kentlind🔑
https://t.co/zSTcWfzcaY ht…",Tue Apr 05 20:50:58 +0000 2016,en,11,False,0,False,,Jeff Clavier,jeff
Enjoyed listening to @Frontapp's CEO @Collinmathilde on @Saastr w/ @HarryStebbings. Take a listen! https://t.co/mXGzzDLt0a #stvc,Mon Apr 04 18:43:21 +0000 2016,en,4,False,18,False,,Jeff Clavier,jeff
"RT @ilyasu: 10,000 millionaires left France last year. https://t.co/gzCT5DMcQl https://t.co/7ey0Wvrx3a",Mon Apr 04 06:16:58 +0000 2016,en,124,False,0,False,,Jeff Clavier,jeff
"RT @Basti: Milestone: I'm so incredibly proud of the entire Postmates Team! We're now doing 1,000,000 deliveries per month! ;) https://t.co…",Sat Apr 02 19:59:24 +0000 2016,en,58,False,0,False,,Jeff Clavier,jeff
@ThufirHawat @peteryared massive upgrade from Chili's! Can we change the location for our bet?,Sat Apr 02 18:59:04 +0000 2016,en,0,False,1,False,,Jeff Clavier,jeff
Postmates Plus Unlimited: Unlimited FREE deliveries on all Plus orders over $30 via @basti on @ProductHunt https://t.co/yKnRyAIXZt,Thu Mar 31 21:37:37 +0000 2016,en,0,False,1,False,,Jeff Clavier,jeff
@Alex_Castro__ @peterpham I haz dancing skillz too :),Thu Mar 31 14:00:22 +0000 2016,en,0,False,2,False,,Jeff Clavier,jeff
@FitBit Blaze FTW! https://t.co/8x1ynyI44U,Sat Mar 26 03:22:40 +0000 2016,en,0,False,2,False,,Jeff Clavier,jeff
RT @CendanaCapital: Great to see @Jeff Clavier and @EPaley recognized for their AU making skills! https://t.co/3twuaCP3pF,Wed Mar 23 19:35:57 +0000 2016,en,4,False,0,False,,Jeff Clavier,jeff
RT @DroneDeploy: Today we dive even deeper &amp; take a closer look at our commercial #drone industry trends: https://t.co/4cq8KMNY9D https://t…,Thu Mar 17 14:09:07 +0000 2016,en,14,False,0,False,,Jeff Clavier,jeff
Super proud of the team's progress - congrats @glencoates @michaelelmgreen for the @handshake Series B! #stvc https://t.co/XyA790M67u,Thu Mar 17 14:08:39 +0000 2016,en,1,False,6,False,,Jeff Clavier,jeff
Direct integration with USPS is a huge deal for @goShippo and its clients. Congrats @LauraBehrensWu and team! #stvc https://t.co/kl9MLsoLIV,Thu Mar 17 14:05:11 +0000 2016,en,5,False,17,False,,Jeff Clavier,jeff
RT @shondarhimes: Is he...kidding? https://t.co/t6AQHZbi7o,Sat Mar 12 06:10:56 +0000 2016,en,484,False,0,False,,Jeff Clavier,jeff
"@NotPatrick @jeromekeinborg desole pour les problemes techniques les amis, il se trouve qu'un petit farceur avait debranche ma prise reseau",Tue Mar 08 08:21:15 +0000 2016,fr,0,False,1,False,,Jeff Clavier,jeff
"@ThufirHawat @jlanzone good luck, may the sapho juice help the mentat!",Mon Mar 07 17:37:09 +0000 2016,en,1,False,1,False,,Jeff Clavier,jeff
"I reached a lifetime climb of 28,000 floors and earned the Astronaut badge today with Fitbit! https://t.co/JXhu3AwH2c #Fitstats",Sun Feb 28 06:17:23 +0000 2016,en,0,False,20,False,,Jeff Clavier,jeff
RT @Bandrew: Thrilled to announce our investment in @Captain401k - helping small businesses employees save for the future #STVC https://t.c…,Thu Feb 25 06:55:17 +0000 2016,en,4,False,0,False,,Jeff Clavier,jeff
RT @gfreefun: Everything at picapicakitchen is #glutenfree so their plantain chips made the @nimasensor happy… https://t.co/kwVSufO4Gp,Wed Feb 24 04:31:36 +0000 2016,en,3,False,0,False,,Jeff Clavier,jeff
Almost nine feet high! @ Kirkwood Mountain Resort https://t.co/SduUXN4qly,Sat Feb 20 22:30:47 +0000 2016,en,0,False,7,False,"{'coordinates': [-120.0655975, 38.6847916], 'type': 'Point'}",Jeff Clavier,jeff
"@asanwal dude, going vintage style? That is sooo 2012!",Sat Feb 20 04:43:10 +0000 2016,en,0,False,1,False,,Jeff Clavier,jeff
"RT @Bandrew: Props to @softtechvc companies @Postmates, @6SensorLabs and @rideChariot 👌 The hottest SF startups to watch in 2016
https://t.…",Sat Feb 20 04:39:08 +0000 2016,en,9,False,0,False,,Jeff Clavier,jeff
@bfrank come try the neuropriming device and you will ;-),Fri Feb 19 09:20:35 +0000 2016,en,0,False,1,False,,Jeff Clavier,jeff
"Going through my backlog of emails after a busy day. Some of the pitches I received were so 2015: uber for this, on-demand that. Wake up.",Fri Feb 19 09:16:38 +0000 2016,en,17,False,40,False,,Jeff Clavier,jeff
Just had my first session with the haloneuroscience Halo Sport neuropriming headset. Awesome! @… https://t.co/33YRPAWiVP,Fri Feb 19 01:32:49 +0000 2016,en,1,False,5,False,"{'coordinates': [-122.40426, 37.78672], 'type': 'Point'}",Jeff Clavier,jeff
"RT @shireenyates: .@NimaSensor ""I truly believe this is a product we will look back on in 10 years and wonder how we lived without it"" http…",Wed Feb 17 23:45:08 +0000 2016,en,3,False,0,False,,Jeff Clavier,jeff
"@hayleybay Congratulations, and welcome to the ""other side"" ;-). Looking fwd to working with you on NY deals at some point! cc @stephpalmeri",Tue Feb 16 17:06:11 +0000 2016,en,0,False,5,False,,Jeff Clavier,jeff
Thanks for having me! Enjoyed the conversation. https://t.co/ZZYSCzQbPn,Sat Feb 13 03:17:08 +0000 2016,en,0,False,9,False,,Jeff Clavier,jeff
"@neisner @rabois @semil thanks for the input, Noah. The Docsend team will look into it.",Fri Feb 12 17:46:41 +0000 2016,en,0,False,2,False,,Jeff Clavier,jeff
"@noUpside you should try and A/B test that, Renee. That way you'd know for sure.",Fri Feb 12 01:05:57 +0000 2016,en,0,False,1,False,,Jeff Clavier,jeff
"@rabois @johnolilly @mattocko @semil some cos do, that way they make sure their board deck has been read and directors are prepared",Fri Feb 12 01:04:33 +0000 2016,en,0,False,5,False,,Jeff Clavier,jeff
@nabeel who? ;-),Fri Feb 12 00:49:49 +0000 2016,und,0,False,2,False,,Jeff Clavier,jeff
That's the way it's done... https://t.co/s94tlam7wp,Fri Feb 12 00:49:35 +0000 2016,en,0,False,13,False,,Jeff Clavier,jeff
"@mattocko @semil right, we should totally get back to sending printed copies of decks. Easy to read on planes, and no connectivity issue ;-)",Fri Feb 12 00:23:19 +0000 2016,en,1,False,14,False,,Jeff Clavier,jeff
"@fazz @semil Dropbox is a download, Docsend is inline display of a cached document",Fri Feb 12 00:19:36 +0000 2016,en,0,False,3,False,,Jeff Clavier,jeff
"@semil sorry, but that's plain bs. It's trivial to send a docsend link and the analytics you get as sender are invaluable insights",Fri Feb 12 00:06:56 +0000 2016,en,0,False,18,False,,Jeff Clavier,jeff
@semil Uh? What?,Fri Feb 12 00:01:25 +0000 2016,en,0,False,4,False,,Jeff Clavier,jeff
"Some tried growth hacking, scaled fast and had issues with retention. Others tried law hacking, grew faster and... will end up in detention?",Thu Feb 11 23:59:18 +0000 2016,en,12,False,32,False,,Jeff Clavier,jeff
Shippo is 2 years old! Gluten free chocolate mousse at the Board meeting to celebrate!… https://t.co/NESF1UdHeQ,Thu Feb 11 21:10:51 +0000 2016,en,0,False,6,False,"{'coordinates': [-122.3936691, 37.7827911], 'type': 'Point'}",Jeff Clavier,jeff
Proud to have led the seed round of @haleneuro (a while back). Now launching! Well done @danielchao and team! #stvc https://t.co/JM3LcU2sQl,Wed Feb 10 23:07:44 +0000 2016,en,6,False,11,False,,Jeff Clavier,jeff
RT @stephpalmeri: Thrilled to share Lantern's $17 Million Series A - huge news for digital mental health https://t.co/3MUbK7AXZ5 cc: @GoLan…,Wed Feb 10 23:04:11 +0000 2016,en,12,False,0,False,,Jeff Clavier,jeff
@Alex_Castro__ None ;-),Sun Feb 07 19:11:26 +0000 2016,it,0,False,1,False,,Jeff Clavier,jeff
"@runvc yeah, right. they could have picked a worst offender and recommend Justin Bieber ;)",Sun Feb 07 06:13:39 +0000 2016,en,0,False,3,False,,Jeff Clavier,jeff
@joshu I don't,Sun Feb 07 06:01:20 +0000 2016,en,0,False,1,False,,Jeff Clavier,jeff
I want Twitter to succeed but how fubar are their algorithms when they recommend I follow the NFL and Miley Cyrus. Seriously?,Sun Feb 07 05:59:31 +0000 2016,en,27,False,75,False,,Jeff Clavier,jeff
RT @ritholtz: Fun conversation with @Jeff @emilychangtv @SRuhle talking Linked In https://t.co/6yL0xgIpNW,Fri Feb 05 13:12:03 +0000 2016,en,3,False,0,False,,Jeff Clavier,jeff
SoftTech East Coast Founders dinner! @ Il Buco https://t.co/xdcr2amifB,Thu Feb 04 02:32:00 +0000 2016,en,1,False,3,False,"{'coordinates': [-73.99278593, 40.7260998], 'type': 'Point'}",Jeff Clavier,jeff
RT @serenawilliams: Today is the first day I used postmates..... I'm in love. Can't wait for tomorrow to use it again. #BetterLateThanNever,Wed Feb 03 23:27:35 +0000 2016,en,156,False,0,False,,Jeff Clavier,jeff
"RT @mattturck: The 2016 Big Data Landscape is out! New post: ""Is Big Data Still a Thing? https://t.co/C9qyAca44Z",Tue Feb 02 00:35:15 +0000 2016,en,123,False,0,False,,Jeff Clavier,jeff
Second awesome news of the day: congrats @jefernan and team @grovo! https://t.co/PrtonIDjA2,Tue Jan 26 13:51:49 +0000 2016,en,1,False,17,False,,Jeff Clavier,jeff
Well done @michaellitt and team @vidyard! #stvc  https://t.co/5Lp2aLntne,Tue Jan 26 13:47:18 +0000 2016,en,2,False,7,False,,Jeff Clavier,jeff
US Ambassador to Singapore Kirk Wagar @ambwagar hosting the Kauffman Fellows - he's truly… https://t.co/W86iwSXgyr,Mon Jan 25 11:15:15 +0000 2016,en,4,False,4,False,"{'coordinates': [103.79695061, 1.31643765], 'type': 'Point'}",Jeff Clavier,jeff
"@donald1x and then we'll switch to one 1h meeting after series A, more as needed. The point is to ramp up time when needed.",Mon Jan 25 04:24:01 +0000 2016,en,0,False,1,False,,Jeff Clavier,jeff
"@donald1x touch points are every 2 weeks (f2f or calls), one long (1h or 2h board meeting), one short (30 mins) and then emails/texts/calls",Mon Jan 25 04:23:06 +0000 2016,en,0,False,1,False,,Jeff Clavier,jeff
@donald1x we really spend the most time with the earliest companies in the portfolio (20-30) and then we scale back as they mature,Mon Jan 25 04:16:47 +0000 2016,en,0,False,2,False,,Jeff Clavier,jeff
"RT @khailee: long time fan of @jeff @robconeybeer @jasonegreen @justinkan , now they're on one panel at #kauffmanfellows https://t.co/eT68o…",Mon Jan 25 04:13:39 +0000 2016,en,5,False,0,False,,Jeff Clavier,jeff
