Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"@DiegoArielRios I do think this is marketplace specific.  at eBay, I focused most on 1) conversion rate, 2) ASP, 3) buyer and seller cohorts",Fri May 13 20:56:27 +0000 2016,en,0,False,1,False,,Jeff Jordan,jeff_jordan
RT @davidspitz: @jeff_jordan and of course the original... https://t.co/9S7LZQUoL8,Fri May 13 00:16:29 +0000 2016,en,2,False,0,False,,Jeff Jordan,jeff_jordan
Thanks @davidspitz. I also called the next shoe to drop back in '12:  https://t.co/A21UfRUyAL  @a16z  https://t.co/sQihuD8ZCv,Fri May 13 00:15:59 +0000 2016,en,3,False,13,False,,Jeff Jordan,jeff_jordan
Can't wait!  But the shirt may be under a few layers of down....   :-) https://t.co/9kgiuz9yIy,Thu May 12 01:56:04 +0000 2016,en,1,False,3,False,,Jeff Jordan,jeff_jordan
"@retailgeek @CNBC Maybe they're defining the market in a way that excludes online sales (aka ""the future"")?",Thu May 12 01:09:19 +0000 2016,en,0,False,1,False,,Jeff Jordan,jeff_jordan
Getting ready to cheer on @Big_Blake4 this season on the frozen tundra!  @packers @StanfordFball #TackleMachine https://t.co/nCyeVwNXIw,Thu May 12 01:00:14 +0000 2016,en,13,False,76,False,,Jeff Jordan,jeff_jordan
A very warm welcome to the very talented @wilsonlmichelle to the @Pinterest board of directors.  @a16z is psyched! https://t.co/yzVK4pmtjD,Thu May 12 00:04:54 +0000 2016,en,10,False,22,False,,Jeff Jordan,jeff_jordan
"This is other-worldly!  @HamiltonMusical star Daveed Diggs on @jimmyfallon show, with a ""fast rap"".  https://t.co/QPWIo2mlmP",Wed May 11 02:59:21 +0000 2016,en,2,False,3,False,,Jeff Jordan,jeff_jordan
@jefferysierra @NBA They are making @PGATOUR feel up tempo....,Tue May 10 04:37:45 +0000 2016,en,0,False,0,False,,Jeff Jordan,jeff_jordan
Dear @NBA. Your rule allowing copious fouling basically makes the game unwatchable. The Blazers/Warriors 1st half took 1 1/2 hours. SNOOZE,Tue May 10 04:15:50 +0000 2016,en,3,False,17,False,,Jeff Jordan,jeff_jordan
Some interesting perspectives on online marketplaces. https://t.co/SwT0ViX8Se,Mon May 09 17:29:19 +0000 2016,en,7,False,10,False,,Jeff Jordan,jeff_jordan
"RT @christine: one of my founders crushing so hard on @jeff_jordan, I am sure he puts hearts above the j's inside his notebook",Sat May 07 17:15:03 +0000 2016,en,2,False,0,False,,Jeff Jordan,jeff_jordan
@Big_Blake4 R U going to change your Twitter handle?  #NoMoreFour,Thu May 05 22:00:41 +0000 2016,en,0,False,0,False,,Jeff Jordan,jeff_jordan
RT @Big_Blake4: Just got everything packed and I'm officially ready to go to Green Bay tomorrow! #TheBeginning #GoPackGo,Thu May 05 21:59:49 +0000 2016,en,249,False,0,False,,Jeff Jordan,jeff_jordan
RT @DavidSacks: Great meeting @MayorofLA @ericgarcetti today- thx for your leadership hosting #SmallBusinessWeek event w/@Zenefits https://…,Thu May 05 21:59:23 +0000 2016,en,18,False,0,False,,Jeff Jordan,jeff_jordan
@Est_matedProfit eBay in the early years epitomized perfect competition. It was micro-economics come to life. Very fun to manage!,Thu May 05 16:19:19 +0000 2016,en,0,False,1,False,,Jeff Jordan,jeff_jordan
".""@Pinterest... is ‘me time.’ What do I want my future to be? Who am I? What are the things I want to do?” @8en 
https://t.co/CpZgheCWRQ",Wed May 04 01:00:04 +0000 2016,en,26,False,54,False,,Jeff Jordan,jeff_jordan
"""What makes a16z special is that they added a whole new cap to the pyramid of VC value-add: Capability"" https://t.co/LQY8VNB4l3",Sun May 01 03:49:13 +0000 2016,en,19,False,52,False,,Jeff Jordan,jeff_jordan
BIG congrats to @Big_Blake4 being drafted in Round #4 by the @packers.  #TackleMachine Go @StanfordFball! https://t.co/RDThDw5mBu,Sat Apr 30 21:04:07 +0000 2016,en,4,False,20,False,,Jeff Jordan,jeff_jordan
"@cdixon on the Internet economy and the importance of its ""main loop"". https://t.co/fYqSAQYFIT",Fri Apr 29 23:01:18 +0000 2016,en,14,False,24,False,,Jeff Jordan,jeff_jordan
RT @CBinsights: And then there were 2: @usv faces @a16z in finals of VC Series A bracket https://t.co/zg00HMd3vP Vote now https://t.co/RGf4…,Tue Apr 26 23:48:12 +0000 2016,en,45,False,0,False,,Jeff Jordan,jeff_jordan
