Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@MartijnVisser82 We can host in region.,Mon May 09 22:17:45 +0000 2016,en,0,False,0,False,,Josh James,joshjames
We gave our board of directors real-time access to #data about our business and this happened...#CEO... https://t.co/7JkQKI8S4u,Mon May 09 17:32:44 +0000 2016,en,14,False,18,False,,Josh James,joshjames
Ten Ways Big Data Is Revolutionizing Marketing And Sales https://t.co/qEvLBDZexo,Mon May 09 15:37:05 +0000 2016,en,2,False,3,False,,Josh James,joshjames
"Mattie leaves on her mission in only 6 days, so we had to do a daddy-daughter trip. Everyone… https://t.co/IMKkcPpG7O",Fri May 06 03:48:36 +0000 2016,en,0,False,25,False,,Josh James,joshjames
"Kind of like using AWS and then building your own data center, AMZN leasing cargo planes to expand shipping network https://t.co/tXb81pMBT2",Fri May 06 02:47:43 +0000 2016,en,7,False,8,False,,Josh James,joshjames
How Android beats apple and gets to 100% market share https://t.co/ZfXsHhxLXw,Mon May 02 07:55:12 +0000 2016,en,5,False,15,False,,Josh James,joshjames
Creator of Bitcoin digital cash finally reveals identity!!! https://t.co/ZIjgn70T98,Mon May 02 07:49:40 +0000 2016,en,11,False,12,False,,Josh James,joshjames
RT @fui_vakapuna: It just happened @jamesthemormon hit #1 album in hip hop #😎 #supporttostrong #reptheY https://t.co/UrM0oYB7wN,Mon May 02 03:34:19 +0000 2016,en,23,False,0,False,,Josh James,joshjames
This is why I love you @chriswillis RT: Why red means red in almost every language. https://t.co/6iSy7639Y3 via @NautilusMag,Thu Apr 21 17:29:31 +0000 2016,en,0,False,5,False,,Josh James,joshjames
@mwbowler @UTJolley thank you so very much!!!!!,Sat Apr 16 17:30:37 +0000 2016,en,0,False,0,False,,Josh James,joshjames
@mwbowler @JeffBezos @SenOrrinHatch @UTJolley definitely not bc I got to sit next to him for an hour and pitch him.,Sat Apr 16 16:58:00 +0000 2016,en,0,False,1,False,,Josh James,joshjames
@UTJolley @SenOrrinHatch he actually helps all of us by bringing so many tech leaders to the state like Bezos who invested in Domo bc of it.,Sat Apr 16 16:22:08 +0000 2016,en,4,False,1,False,,Josh James,joshjames
Mystery solved: How monarch butterflies navigate from Canada to Mexico each year https://t.co/70yyk95n8U,Fri Apr 15 08:42:22 +0000 2016,en,3,False,10,False,,Josh James,joshjames
@stephcrouppen @Nelly_Mo ha you do know him 😜,Mon Apr 11 04:17:18 +0000 2016,en,0,False,1,False,,Josh James,joshjames
Billionaires building space needles to biospheres changing landscapes. https://t.co/9bPTml3S85 https://t.co/HTXp4xtJOo,Sun Apr 10 18:19:47 +0000 2016,en,3,False,16,False,,Josh James,joshjames
Analysts are overlooking how much AR and VR are about to change our lives https://t.co/o9S3l833XR,Sat Apr 09 23:29:29 +0000 2016,en,12,False,21,False,,Josh James,joshjames
@EmmeRoseJames me too,Fri Apr 08 09:30:44 +0000 2016,en,0,False,2,False,,Josh James,joshjames
@zachgreene12 @Domotalk @juliekehoe @mhrowell you just got yourself floor seats to a Jazz game,Wed Apr 06 01:48:13 +0000 2016,en,1,False,5,False,,Josh James,joshjames
What the??!? Samsung patents smart contact lenses with a built-in camera IN YOUR EYE!! https://t.co/pDPrDRKytF,Tue Apr 05 21:39:09 +0000 2016,en,12,False,21,False,,Josh James,joshjames
This 3D-printed Rembrandt is the new frontier in forgery https://t.co/ms45CuaoX0,Tue Apr 05 21:38:38 +0000 2016,en,11,False,8,False,,Josh James,joshjames
Thanks @glennsolomon. Team team team! Great mobile leaders. And great customer feedback to get us there. https://t.co/iFliWH0saH,Sun Apr 03 23:32:46 +0000 2016,en,2,False,17,False,,Josh James,joshjames
"Giant 100-year old company using all competitors sees Domo demo yesterday &amp; says, ""It's like we are cavemen seeing fire for the 1st time!""",Fri Apr 01 13:54:58 +0000 2016,en,41,False,102,False,,Josh James,joshjames
Humans playing God. Scientists create living ‘insect–computer hybrid’ with user-adjustable speed and gait https://t.co/HnQFWQKEgy,Wed Mar 30 23:26:54 +0000 2016,en,5,False,6,False,,Josh James,joshjames
Go Emme!! RT @LPhectorsfarm: https://t.co/hddTOnLGYs,Tue Mar 29 08:04:25 +0000 2016,en,0,False,2,False,,Josh James,joshjames
Why every household is about to get a brand-new fridge https://t.co/Chh1tFVLpm,Mon Mar 28 20:22:16 +0000 2016,en,6,False,9,False,,Josh James,joshjames
".@SquawkAlley wanted to talk about the world’s first business cloud. I obliged :-)  haha
https://t.co/HxL16CKGgv",Mon Mar 28 19:43:41 +0000 2016,en,20,False,38,False,,Josh James,joshjames
RT @bbsmithh: hey everybodyyyy that goes to lone peak: vote emme james for senior president tomorrow😛 https://t.co/GN0MPzjKR9,Mon Mar 28 16:44:05 +0000 2016,en,4,False,0,False,,Josh James,joshjames
On @CNBC @SquawkAlley @ 8:50 a.m. PST tomorrow morning talking #TheBusinessCloud. Hopefully it’s a good hair day 😊,Sun Mar 27 23:56:19 +0000 2016,en,11,False,48,False,,Josh James,joshjames
@AdamLandefeld @catherinewong @coalwinters  https://t.co/OGRsJb5w3A,Sun Mar 27 08:23:16 +0000 2016,und,1,False,6,False,,Josh James,joshjames
"RT @benfromminn: Quote of the conference :""for all you data junkies I am going to give you a data-gasm"" #DP16 @Domotalk",Sun Mar 27 07:11:40 +0000 2016,en,3,False,0,False,,Josh James,joshjames
RT @speedclimb: #DP16 keynote by @joshjames was one chaotic insane party,Sun Mar 27 07:10:35 +0000 2016,en,2,False,0,False,,Josh James,joshjames
"Ummm, it was on accident but this just became my favorite tweet. 12,000 total attendees!!! So astonished actually. https://t.co/VnLE9yRFAY",Sun Mar 27 07:09:45 +0000 2016,en,6,False,30,False,,Josh James,joshjames
RT @WhenInRohman: Keynote by Staley McChrystal at #DP16 is the best talk I've ever heard at any conference. #amlearns @archermalmo https://…,Sun Mar 27 07:07:27 +0000 2016,en,4,False,0,False,,Josh James,joshjames
@amw96 it's bigger data than anyone else in the space.,Sat Mar 26 21:42:08 +0000 2016,en,0,False,1,False,,Josh James,joshjames
