Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
An update I wrote: The Coming Age of the Creator/Designer. https://t.co/L58qtDcffr The reason why we created #Resonance @creatordriven,Fri May 13 21:28:03 +0000 2016,en,0,False,1,False,,Lawrence Lenihan,lawrencelenihan
Great story on #JCRTplaid launch: two talented designers change entire business model. https://t.co/eXgOlcSjCq https://t.co/0xVh1Hpmz9,Thu May 12 00:41:40 +0000 2016,en,0,False,2,False,,Lawrence Lenihan,lawrencelenihan
Early access about to go live!  #JCRTplaid @CostelloTaglia.  Full launch on Thursday! https://t.co/kDjZRe2jXT,Tue May 10 16:42:36 +0000 2016,en,2,False,7,False,,Lawrence Lenihan,lawrencelenihan
RT @CostelloTaglia: A week away from launch!! Ahhhh @CostelloTaglia #jcrtplaid #jcrt #nervous… https://t.co/VmGPKPpsvM,Sat May 07 18:13:45 +0000 2016,en,2,False,0,False,,Lawrence Lenihan,lawrencelenihan
"RT @barrysilbert: 2/ And joining @DCGco board: Glenn Hutchins (co-founder Silver Lake; Director NASDAQ/AT&amp;T/NY Fed), @lawrencelenihan (foun…",Thu Apr 28 21:22:42 +0000 2016,en,19,False,0,False,,Lawrence Lenihan,lawrencelenihan
Biggest problem with #sustainablefashion is nobody knows how to 1) measure and and 2) verify it.  @wwd https://t.co/rTCLtwpFpF,Mon Apr 25 14:36:54 +0000 2016,en,0,False,2,False,,Lawrence Lenihan,lawrencelenihan
RT @JulieLambNY: This validated many of our findings and gave us food for thought. Thanks @LuxuryDaily @lawrencelenihan #jewelry  https://t…,Tue Apr 19 22:21:43 +0000 2016,en,1,False,0,False,,Lawrence Lenihan,lawrencelenihan
Did not settle for Hillary.  I enthusiastically voted for an immensely talented future President. #HillarySoQualified,Tue Apr 19 12:47:37 +0000 2016,en,0,False,3,False,,Lawrence Lenihan,lawrencelenihan
Congrats @TommyJohn CEO @tompattersonnyc for @CrainsNewYork  40 under 40.  Best commerce co with least biz press! https://t.co/CiSSN3Rn2L,Mon Apr 11 15:15:11 +0000 2016,en,0,False,3,False,,Lawrence Lenihan,lawrencelenihan
Article in @wwd about luxury market and my keynote at French American Lux Conf. https://t.co/opb9pqMCWp,Fri Apr 08 00:00:41 +0000 2016,en,1,False,5,False,,Lawrence Lenihan,lawrencelenihan
"RT @LuxuryDaily: Niche brands and ""economies of small"" will rule tomorrow's luxury industry, says @NYUStern's @lawrencelenihan https://t.co…",Mon Apr 04 16:50:44 +0000 2016,en,7,False,0,False,,Lawrence Lenihan,lawrencelenihan
