Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @OWLSLAX: Volunteer Spotlight: 8th grader Nolan Chow has been stringing heads like crazy for #owlslax students… https://t.co/Bz9N4KDOAl,Tue May 12 02:47:31 +0000 2015,en,5,False,0,False,,Lon Chow,LonChow
RT @ChicagoInno: New Chicago Fashion Startup Raises $1.5M from Trunk Club CEO and Local VCs: http://t.co/wnKQDSP1WA @luxurygarage,Tue Feb 17 14:31:39 +0000 2015,en,7,False,0,False,,Lon Chow,LonChow
RT @FiveThirtyEight: Urban Meyer made statistical history. http://t.co/z8QOS1qeX1 http://t.co/1vhKzAVKPt,Fri Jan 16 16:24:11 +0000 2015,und,46,False,0,False,,Lon Chow,LonChow
RT @AndersonBell: Why You Need to Make Community a Core Part of Your Business Philosophy https://t.co/4VIegPoyxs #FanFueled #TheFuture @Wen…,Thu Jan 15 21:48:59 +0000 2015,en,6,False,0,False,,Lon Chow,LonChow
RT @hthill: Sobering truth about the terribly inadequate frmr @NFL players settlement: https://t.co/HUcSFskJPv #OnlyTheLawyersGetPaid,Wed Oct 29 15:48:41 +0000 2014,en,11,False,0,False,,Lon Chow,LonChow
"RT @ChicagoInno: Chicago, Uber Will Bring You Kittens On-Demand Today to Cuddle With in Your Office http://t.co/vMjRcUBALW @Uber_CHI",Wed Oct 29 15:48:06 +0000 2014,en,8,False,0,False,,Lon Chow,LonChow
RT @heyprofbow: There will be Helvetica to pay. #TwoFonts. http://t.co/MlsWoyyPWH,Tue Oct 14 19:49:42 +0000 2014,en,3009,False,0,False,,Lon Chow,LonChow
RT @matt_levine: I made fun of that Icahn Apple letter. http://t.co/rd3OXn3C2M,Thu Oct 09 17:22:23 +0000 2014,en,39,False,0,False,,Lon Chow,LonChow
Great video explanation RT @RWW: Why Snapchat is $10 billion worth of serious buisness http://t.co/la461jwrMw,Tue Oct 07 14:21:49 +0000 2014,en,6,False,1,False,,Lon Chow,LonChow
Nice analysis on Paypal's strategic problem http://t.co/pzmFwHMIFi,Tue Oct 07 13:32:28 +0000 2014,en,0,False,0,False,,Lon Chow,LonChow
RT @sgblank: Watching My Students Grow http://t.co/UcBHF4tD87,Fri Oct 03 15:48:51 +0000 2014,en,0,False,1,False,,Lon Chow,LonChow
Now I am just waiting on the video RT @PandoDaily: Shit big companies say http://t.co/fSQj4ReP37,Fri Oct 03 15:18:28 +0000 2014,en,0,False,1,False,,Lon Chow,LonChow
RT @TheFalconer: This is the best headline you'll read today. http://t.co/fvJ8XJs4aJ,Fri Oct 03 14:19:54 +0000 2014,en,21656,False,0,False,,Lon Chow,LonChow
"Just visited with @hunterswartz of @eastmanegg  Please support the latest food startup in Chicago, visit their trucks or store on Wacker",Wed Sep 17 18:31:17 +0000 2014,en,1,False,1,False,,Lon Chow,LonChow
"RT @bgurley: My comments on ""discounting risk"" in Silicon Valley from in person WSJ interview with @RolfeWinkler , http://t.co/DbnAxrXFwG",Mon Sep 15 19:57:17 +0000 2014,en,97,False,0,False,,Lon Chow,LonChow
RT @DrDickB: The secret of happiness is: Find something more important than you are and dedicate your life to it. (Daniel Dennett),Wed Sep 03 14:14:07 +0000 2014,en,6,False,0,False,,Lon Chow,LonChow
"Great advice to venture investors from @RickUSVP, investor in @TrunkClub http://t.co/CSCt7ixWED",Tue Sep 02 13:51:21 +0000 2014,en,1,False,2,False,,Lon Chow,LonChow
"Grace under pressure, congrats @JRW!",Sat Aug 23 22:03:39 +0000 2014,en,0,False,1,False,,Lon Chow,LonChow
