Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @bgkittrell: Big thanks to @paulsingh for coming to @KCMO. It's had a big impact on me and our #startup community. #RJTechTour https://t…,Fri May 13 15:44:39 +0000 2016,en,5,False,0,False,,Paul Singh,paulsingh
"RT @zachpettet: @paulsingh just passing through - hoping you were around. Safe travels, man. Hope our paths cross again! https://t.co/hFqY0…",Fri May 13 00:05:51 +0000 2016,en,4,False,0,False,,Paul Singh,paulsingh
@zachpettet not yet - I'm over in downtown for some sort of SVB thing for a bit. back that way later this evening though.,Thu May 12 23:35:27 +0000 2016,en,0,False,1,False,,Paul Singh,paulsingh
"RT @1MillionCupsKC: Thanks for stopping by #1MCKC and dishing out that expert advice, @paulsingh! #RJTechTour https://t.co/GQjFLIinLy",Wed May 11 15:44:53 +0000 2016,en,4,False,0,False,,Paul Singh,paulsingh
RT @bradjchapman: It's great to have @paulsingh here @KauffmanFDN today for @1MillionCups on #panel #eship https://t.co/BwGVJeCnug,Wed May 11 14:10:40 +0000 2016,en,2,False,0,False,,Paul Singh,paulsingh
“failure and invention are inseparable twins.” https://t.co/7HYdhEeSaC,Tue May 10 14:53:25 +0000 2016,en,5,False,10,False,,Paul Singh,paulsingh
"@zmh great! @ryandawidjan, up for a quick chat?",Tue May 10 13:04:47 +0000 2016,en,0,False,0,False,,Paul Singh,paulsingh
"RT @ChadAldeman: For those born in 1900, the modal year for death was before age 1. 

For those born in 2010, it will be age 90. https://t.…",Tue May 10 01:12:13 +0000 2016,en,855,False,0,False,,Paul Singh,paulsingh
“The best lesson to learn for yourself if you’re struggling is self reflection.” https://t.co/IZ7AKPQC5x,Mon May 09 18:50:06 +0000 2016,en,5,False,5,False,,Paul Singh,paulsingh
"“If you want to better understand why VCs make the decisions they make, start by reading this.” https://t.co/MHlQpxAB2j",Mon May 09 16:31:24 +0000 2016,en,6,False,13,False,,Paul Singh,paulsingh
