Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @amplifyla: 🍾 Amplify company @ClubW rebrands as Winc, raises $17.5 million Series B from @BessemerVP!
https://t.co/C2WE6zShjr https://t…",Wed May 04 19:43:32 +0000 2016,en,7,False,0,False,,paul bricault,pbricault
Back our LA VCs #LongLA  https://t.co/rTPA9pfEuq,Thu Mar 31 00:14:11 +0000 2016,en,1,False,5,False,,paul bricault,pbricault
RT @tgm: Big congrats to @amplifyla on being listed again as a top accelerator in the US! https://t.co/4RBVs3FD8o,Fri Mar 11 19:41:41 +0000 2016,en,4,False,0,False,,paul bricault,pbricault
RT @msuster: I've really enjoyed using @sensay - much more than I thought I would. If you want to try it's here https://t.co/CKZeD7bJxg,Fri Jan 08 16:36:40 +0000 2016,en,18,False,0,False,,paul bricault,pbricault
moved by @DavidSwan's post https://t.co/erieX2x0cH and by @tomfriedman's piece today https://t.co/60aBBtD2UE #dearmuslims,Wed Dec 09 17:04:14 +0000 2015,en,1,False,5,False,,paul bricault,pbricault
Congrats to @amplifyla grad @clutter (the future of physical storage) on closing it's @sequoia led round today.  https://t.co/4jGs4hFPg5,Thu Oct 22 17:55:22 +0000 2015,en,4,False,17,False,,paul bricault,pbricault
Sadky no must be in NY then ;-&lt; rather Hawaii in Nov!,Sun Oct 18 17:00:02 +0000 2015,en,0,False,0,False,,paul bricault,pbricault
proud to be backing G-RO: Revolutionary Carry-on Luggage on @Kickstarter http://t.co/pAkqt8yzAW,Fri Oct 16 18:25:30 +0000 2015,en,1,False,5,False,,paul bricault,pbricault
Psyched to see jays win 2 in Texas - thx to @BringerOfRain20 with @MStrooo6 to bring home win tomorrow #cometogether http://t.co/i3iFjoVP3Z,Wed Oct 14 00:33:17 +0000 2015,en,0,False,3,False,,paul bricault,pbricault
RT @chrismichel: Intros without asking first is bad form.,Tue Aug 11 05:56:54 +0000 2015,en,6,False,0,False,,paul bricault,pbricault
Tell Mayor @BilldeBlasio to stop stifling innovation and keep Uber moving in New York! http://t.co/2bBPANukv3,Tue Jul 21 17:55:52 +0000 2015,en,1,False,6,False,,paul bricault,pbricault
Ev Williams #fortunetech 'my whole point of investing is to make good things happen in the world' @obviousventures,Tue Jul 14 16:11:46 +0000 2015,en,7,False,12,False,,paul bricault,pbricault
great summary by @benkepes in Forbes today of Replicated which is @GrantM's follow up to Look.io.  https://t.co/dSBJ73HrON,Mon Jul 06 18:18:21 +0000 2015,en,1,False,2,False,,paul bricault,pbricault
Go Erez &amp; Mikey @mapsense -- love the new open source mapping tools- changing the way geospatial data is visualized! https://t.co/e9AszW7e9j,Wed May 27 21:18:42 +0000 2015,en,3,False,3,False,,paul bricault,pbricault
Congrats to @clutter on closing seed $ http://t.co/h3EGOB3QGe &amp; Thx @ResoluteVC for again backing an @amplifyla co.! https://t.co/At4WtaU00j,Wed May 20 21:30:56 +0000 2015,en,1,False,5,False,,paul bricault,pbricault
Kudos to @AlphaDraft on its fresh $$ &amp; press @MetamorphicVC @freestylevc @SanFranciscoVC @greycroftvc @WME @upfrontvc http://t.co/DYLZ8stSc9,Tue May 19 21:48:17 +0000 2015,en,5,False,11,False,,paul bricault,pbricault
Congrats to @amplifyla co @little_labs on driving the smartwatch app evolution &amp; the @neavc &amp; @lightspeedvp led seed http://t.co/uOHJDczEql,Tue May 19 19:55:25 +0000 2015,en,10,False,4,False,,paul bricault,pbricault
"RT @calvinwatkins: When the media walked into Rockets practice Howard, Dorsey and Jones were practicing foul shots. Not saying Josh Smith d…",Sat Apr 11 19:08:40 +0000 2015,en,7,False,0,False,,paul bricault,pbricault
"RT @JohnMaloney: Thanks @pbricault @amplifyla team for letting me crash your portfolio dinner last night. Terrific mix of LA founders, star…",Tue Mar 03 17:01:47 +0000 2015,en,2,False,0,False,,paul bricault,pbricault
