Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Checking out the retro video game museum at Game Over… #memories 🤓 https://t.co/1xDVkHbJ9q,Fri May 13 18:53:10 +0000 2016,en,0,False,0,False,,Richard Yoo,richardyoo
Hanging out at the Houston OTC 2016 – everything here is huge… https://t.co/LxdCSp1Ur2,Thu May 05 19:04:07 +0000 2016,en,0,False,0,False,,Richard Yoo,richardyoo
Leatherman replaced my PS4 under warranty after one of the jaws snapped off 😎👍 https://t.co/V804J7NLFy,Thu Apr 28 18:36:06 +0000 2016,en,0,False,0,False,,Richard Yoo,richardyoo
Experimenting with the ESP8266… Arduino compatible with built-in WiFi for under $5 – amazing https://t.co/VXYWmZWtVL,Thu Apr 21 16:21:08 +0000 2016,en,0,False,1,False,,Richard Yoo,richardyoo
Great PBS video interview with Xenex explaining why their work is so important and urgent https://t.co/1l5yiIB5qG,Tue Apr 19 16:38:10 +0000 2016,en,1,False,1,False,,Richard Yoo,richardyoo
RT @TexasVC: @dansinker with @richardyoo no less at my @RiceUniversity class https://t.co/8Kq4H3gFK9,Tue Apr 19 04:11:24 +0000 2016,en,1,False,0,False,,Richard Yoo,richardyoo
Judging at the Rice Biz Plan Competition today #rbpc #rbpc2016 https://t.co/fTeVEVMqn2,Fri Apr 15 17:12:08 +0000 2016,en,0,False,2,False,,Richard Yoo,richardyoo
Visiting Rice OEDK showcase – lots of fascinating projects https://t.co/EjJ8t1vtiO,Thu Apr 14 22:24:13 +0000 2016,en,0,False,0,False,,Richard Yoo,richardyoo
Raspberry pi 3 and a BladeRF working together to emulate a GSM cellular tower – little freaky that anyone can do… https://t.co/yGJNVMyhdi,Thu Apr 14 16:09:41 +0000 2016,en,0,False,0,False,,Richard Yoo,richardyoo
David Prager starts is own venture fund! https://t.co/B8M077Lwdi,Tue Apr 12 16:25:44 +0000 2016,en,0,False,0,False,,Richard Yoo,richardyoo
Playing some Burger Time on the big screen with RetroPi – serious nostalgia 🤗 https://t.co/OzkdeQGqAR,Fri Apr 08 01:05:55 +0000 2016,en,0,False,0,False,,Richard Yoo,richardyoo
".@RakeshAgrawal @organprinter I mean really, anything with the name ""design kitchen"" has got to be pretty cool, right! 😎 🛠",Tue Apr 05 02:04:09 +0000 2016,en,0,False,1,False,,Richard Yoo,richardyoo
Thanks to @organprinter for the awesome tour of OEDK at Rice today https://t.co/8X2oqCSgH6,Tue Apr 05 00:14:07 +0000 2016,en,0,False,1,False,,Richard Yoo,richardyoo
I’m shocked how much fun the new ES is to drive in sport mode 😵 https://t.co/f03L1pefnS,Thu Mar 31 20:48:08 +0000 2016,en,0,False,0,False,,Richard Yoo,richardyoo
"If you’re wondering what Xenex does, watch this video https://t.co/CaWmufy2B9",Tue Mar 29 09:22:33 +0000 2016,en,1,False,1,False,,Richard Yoo,richardyoo
Trying out some new Sony Bluetooth cans… 🎶 We’ll see – pretty big to travel with 🤔 https://t.co/N1hweRsmqs,Thu Mar 24 18:46:34 +0000 2016,en,0,False,0,False,,Richard Yoo,richardyoo
#monks2016 withdrawal… Tons of new projects to work on… But no speeding tickets YAY 😎🏁 https://t.co/rTo8S1AX8X,Wed Mar 16 19:09:10 +0000 2016,en,0,False,1,False,,Richard Yoo,richardyoo
Just arrived at Conclave 2016 @ Innovation Ranch #monks2016 where’s the fire? 🔥 https://t.co/k2IqX6B8RS,Sun Mar 13 18:06:07 +0000 2016,en,1,False,1,False,,Richard Yoo,richardyoo
"RT @monkofinvention: .@BarackObama @MichelleObama, escape the insanity of #SxSW. Drop by the Ranch. It's like Camp David, but with BBQ :) h…",Sun Mar 06 05:20:49 +0000 2016,en,3,False,0,False,,Richard Yoo,richardyoo
"RT @DrewDavisHere: .@canva According to your support a ""glitch"" in your system canceled my Canva for Work account after I'd already paid $2…",Sun Mar 06 05:19:48 +0000 2016,en,1,False,0,False,,Richard Yoo,richardyoo
"I had no idea the guild e who designed the Ferrari, Pininfarina, also designed the fancy Coke machine https://t.co/86bR88sGHo",Mon Feb 29 01:08:36 +0000 2016,en,0,False,1,False,,Richard Yoo,richardyoo
Time to exercise the 458 in this kick’n weather… Hopefully I won’t get slowed down by a horse (‘cuz ya know – rodeo… https://t.co/TqCMI5nomD,Fri Feb 26 15:54:07 +0000 2016,en,0,False,1,False,,Richard Yoo,richardyoo
@RakeshAgrawal I'm adding bigly to my regular daily vocab ☝,Fri Feb 26 04:35:11 +0000 2016,en,0,False,2,False,,Richard Yoo,richardyoo
The new RX may not be super fast nor super furious but I bet it will run for miles and miles and miles https://t.co/1hfJtitMSx,Wed Feb 24 01:21:59 +0000 2016,en,0,False,1,False,,Richard Yoo,richardyoo
Replacing a door lock actuator… $40 to do at home… $250 at the dealer 🤑 https://t.co/Dmzp2iTHId,Sun Feb 21 19:32:07 +0000 2016,en,0,False,0,False,,Richard Yoo,richardyoo
"I don’t always upgrade WiFi ap’s… But when I do, I get them in 5-packs 🖐 #unifi AP-AC-PRO https://t.co/Cil7K5xsfj",Tue Feb 09 21:04:11 +0000 2016,en,0,False,2,False,,Richard Yoo,richardyoo
VIDEO: History of the game Oregon Trail https://t.co/fdwpPdvLzQ,Tue Feb 09 15:42:52 +0000 2016,en,0,False,0,False,,Richard Yoo,richardyoo
