Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Delighted to be attending the first Founders Forum Paris. #ffparis.    Vive La France! https://t.co/XJKTJNplda,Thu May 12 11:38:25 +0000 2016,en,0,False,3,False,,Rob Glaser,RobGlaser
"Remember, there are legitimate uses for offshore companies and trusts: https://t.co/nMhQ0DK7rK #panamapapers",Mon May 09 22:17:22 +0000 2016,en,0,False,0,False,,Rob Glaser,RobGlaser
Again she changed her mind.  This time she drove my out of mine.,Sat May 07 20:24:19 +0000 2016,en,0,False,0,False,,Rob Glaser,RobGlaser
"RT @elizabethforma: But here's the thing. You can beat a bully -- not by tucking tail and running, but by holding your ground.",Sat May 07 05:37:55 +0000 2016,en,4529,False,0,False,,Rob Glaser,RobGlaser
"RT @elizabethforma: No, @realDonaldTrump - your racism, sexism &amp; xenophobia doesn't drive me nuts. It makes me sick. And I'm not alone.",Sat May 07 05:37:45 +0000 2016,en,16401,False,0,False,,Rob Glaser,RobGlaser
RT @FullFrontalSamB: Shouldn't #TedCruz have been forced to carry his unviable campaign to term?,Thu May 05 20:30:23 +0000 2016,en,46712,False,0,False,,Rob Glaser,RobGlaser
"It's 50-50, for reasons @Lefsetz explains so lucidly:   https://t.co/HKFbP5FoB7",Wed May 04 05:37:22 +0000 2016,en,0,False,1,False,,Rob Glaser,RobGlaser
"RT @60Minutes: “The banks have not realized how different this generation is,” says @Mlevchin, who founded Affirm &amp; co-founded PayPal, abou…",Mon May 02 03:06:41 +0000 2016,en,96,False,0,False,,Rob Glaser,RobGlaser
"Like Father, Like Son:   https://t.co/7SXM0MYW0q",Sun May 01 01:14:23 +0000 2016,en,1,False,1,False,,Rob Glaser,RobGlaser
"RT @intlspectator: The Iraq War will have cost the US over $2.4 trillion by 2017, according to the  Congressional Budget Office. https://t.…",Fri Apr 29 20:42:38 +0000 2016,en,758,False,0,False,,Rob Glaser,RobGlaser
