Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @jamestmurphy_: ""Entrepreneurship is about having an idea and then figuring out how to make it a reality."" -@Seanglass @Chris_LoPresti @…",Fri May 13 20:45:45 +0000 2016,en,3,False,0,False,,Sean Glass,Seanglass
@CherylFoil @TrackMaven @Allen - all bc of your intro Cheryl :-),Thu May 12 21:01:49 +0000 2016,en,0,False,3,False,,Sean Glass,Seanglass
"Welcoming 10Stories to the @TrackMaven family!"" https://t.co/Zp0dDogQ2H",Thu May 12 14:10:57 +0000 2016,en,0,False,2,False,,Sean Glass,Seanglass
RT @betsymusic: love this delightful man @Ruleyork treat to meet you #Coachella2016 @laoramusica @seanglass. https://t.co/9RZ9YQh2HL,Thu Apr 28 15:54:59 +0000 2016,en,6,False,0,False,,Sean Glass,Seanglass
"RT @Allen: My new @FastCompany post came out today, check it out: https://t.co/w3Em4HTgik",Thu Apr 28 01:07:16 +0000 2016,en,9,False,0,False,,Sean Glass,Seanglass
"RT @yaledailynews: BREAKING: ""The new residential colleges will be named for Anna Pauline Murray and Benjamin Franklin,"" according to Salov…",Thu Apr 28 01:05:04 +0000 2016,en,25,False,0,False,,Sean Glass,Seanglass
"RT @YaleSOMVentures: Safe travels to San Fran, @DataKyle! Enjoy the Yale Tech Conference 2016: Changing the Face of Tech #yaletech",Thu Apr 28 01:03:31 +0000 2016,en,1,False,0,False,,Sean Glass,Seanglass
RT @ShanaGlenzer: READ: How Not To Let Early Success Get The Best Of You https://t.co/Dv4hdFPgeN Great piece by @allen. Lovin the #gnomencl…,Thu Apr 28 01:01:12 +0000 2016,en,3,False,0,False,,Sean Glass,Seanglass
Very proud of @KelleeGlass who just did a live interview on NBC 4 #betterhalf,Mon Apr 25 15:59:38 +0000 2016,en,0,False,2,False,,Sean Glass,Seanglass
RT @SenGillibrand: It's outrageous that the average working woman makes just $.79 on the $1 a man makes &amp; will lose $430k over the course o…,Wed Apr 20 20:26:23 +0000 2016,en,18,False,0,False,,Sean Glass,Seanglass
Nice to hear @yale president salovey put entrepreneurship/innovation as #2 goal out of 7. @YEItweets @yesatyale https://t.co/Z3ejnGkEun,Sun Apr 17 21:22:29 +0000 2016,en,8,False,13,False,,Sean Glass,Seanglass
One of the things I miss most about new haven is @MiyasSushi - just had an amazing meal that brought back so many good memories,Sat Apr 09 02:38:52 +0000 2016,en,2,False,6,False,,Sean Glass,Seanglass
