Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Congrats @_arjun and @agrawal667! Look fwd to seeing the product live and fortunate to be part of the ride https://t.co/1mTkkbydCL,Sat Apr 09 07:58:07 +0000 2016,en,0,False,2,False,,Shan Mehta,shanmehta
Congrats to the @bufferapp team for relaunching Respond! https://t.co/Dvt2Ho5xED,Fri Feb 26 08:58:00 +0000 2016,en,1,False,2,False,,Shan Mehta,shanmehta
Congrats to @rogerdickey @deboolaosebikan and the @trygigster team - fortunate to be a part of it!https://t.co/aFdClyaqvJ,Tue Dec 08 00:25:45 +0000 2015,en,1,False,3,False,,Shan Mehta,shanmehta
One of my only pre-launch investments where their vision to reality was flawlessly executed. Congrats team @canva! http://t.co/h0qs82UqEW,Thu Oct 08 01:53:34 +0000 2015,en,0,False,2,False,,Shan Mehta,shanmehta
Join the incredible team @buffer. They're looking for an in-house Finance Planner. Details here: http://t.co/wt2jwg2ylY,Thu Sep 17 21:41:10 +0000 2015,en,0,False,1,False,,Shan Mehta,shanmehta
Congrats @MichellePhan Marcelo and Jennifer and the entire crew @ipsy! Proud early backer of this incredible team. http://t.co/n8KSkY7zGy,Mon Sep 14 20:20:16 +0000 2015,en,0,False,0,False,,Shan Mehta,shanmehta
Immediately: Mobile sales email and CRM management for Gmail &amp; Salesforce via @ryandawidjan on @ProductHunt http://t.co/jImvskwjQh,Thu Aug 13 20:35:32 +0000 2015,en,0,False,1,False,,Shan Mehta,shanmehta
Buffer for Video: All-in-one video scheduling &amp; management for social media via @bentossell on @ProductHunt http://t.co/xKkrlUfF13,Thu Aug 13 20:35:07 +0000 2015,en,0,False,1,False,,Shan Mehta,shanmehta
Congrats @canva team - 2mm users! http://t.co/LvbTp9dHCU,Wed Apr 15 18:06:45 +0000 2015,en,2,False,4,False,,Shan Mehta,shanmehta
Just bought something from @wanelo app - scary how fast and easy it was!,Wed Nov 26 01:03:30 +0000 2014,en,2,False,4,False,,Shan Mehta,shanmehta
CBS profiles Wanelo - Congrats @siberianfruit and the @Wanelo team http://t.co/2O1OXc9Syu,Mon Oct 06 20:10:50 +0000 2014,en,2,False,0,False,,Shan Mehta,shanmehta
Congrats @MichellePhan co-founder of @ipsy! http://t.co/q5nnnlokER,Fri Oct 03 20:28:29 +0000 2014,en,1,False,0,False,,Shan Mehta,shanmehta
$40mm to transform edu! congrats @brettkopf @Davidkopf @Meenal_balar @chamath @artzandy @kpcb @firstround @remindhq http://t.co/zDLvkzDckX,Tue Sep 30 23:02:15 +0000 2014,en,2,False,1,False,,Shan Mehta,shanmehta
Remind topping the App Store @Bloomberg  “It transformed my classroom. And I think it made me a better teacher.” http://t.co/5CGJzZScEF,Thu Aug 28 18:55:04 +0000 2014,en,2,False,1,False,,Shan Mehta,shanmehta
http://t.co/YOnPPqLEtx,Thu Aug 21 18:55:05 +0000 2014,und,2,False,0,False,,Shan Mehta,shanmehta
Congrats @remind101! http://t.co/8Hxuuht39N,Tue Aug 12 07:58:27 +0000 2014,en,2,False,1,False,,Shan Mehta,shanmehta
Katie Couric discovers @wanelo http://t.co/i7thbSnu1i,Tue Aug 05 07:58:00 +0000 2014,en,2,False,0,False,,Shan Mehta,shanmehta
