Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"The balance is right. I'm in Silicon Valley for tech, and London for Art. Renaissance combo.",Fri May 13 09:56:55 +0000 2016,en,0,False,4,False,,Sumon Sadhu,sharpshoot
@KendrickEsq @joinrepublic @adamcarv @AngelList nice. Bring crowd cube to the world.,Fri May 13 08:17:54 +0000 2016,en,0,False,2,False,,Sumon Sadhu,sharpshoot
@christianlanng the Amazon playbook minus execution.,Fri May 13 06:45:33 +0000 2016,en,1,False,1,False,,Sumon Sadhu,sharpshoot
Now Silicon Valley has rampant copying as a strategy https://t.co/dcwti0MA3a,Fri May 13 06:33:41 +0000 2016,en,0,False,1,False,,Sumon Sadhu,sharpshoot
"@tylerwillis not worried about the tech being there now, that's a journey, and @meredithperry journey is a hard one, that requires patience",Fri May 13 06:21:45 +0000 2016,en,0,False,2,False,,Sumon Sadhu,sharpshoot
@localglobevc my best recommendation for what entrepreneurs should watch,Fri May 13 05:00:24 +0000 2016,en,0,False,1,False,,Sumon Sadhu,sharpshoot
"RT @jasonlk: i don't get all the Ubeam press.  it's a science experiment.  i've co-founded a co. that was one.

if it doesn't work, so be i…",Fri May 13 04:35:14 +0000 2016,en,2,False,0,False,,Sumon Sadhu,sharpshoot
Ubeam is gonna take time. Wish the tech press was more patient. Breakthroughs take time.,Fri May 13 04:29:53 +0000 2016,en,0,False,3,False,,Sumon Sadhu,sharpshoot
RT @jan_sramek: @Noahpinion @BenedictEvans Yes! Closely followed by “Black Swan in 104 characters”: https://t.co/wid2c6YryH,Thu May 12 22:27:44 +0000 2016,en,1,False,0,False,,Sumon Sadhu,sharpshoot
RT @Quid: We're proud to receive 'Best in Show' 2016 from @finovate. Thank you for the honor! https://t.co/NETZ5QpB3t https://t.co/WILLfQmg…,Thu May 12 16:33:47 +0000 2016,en,1,False,0,False,,Sumon Sadhu,sharpshoot
Hola London!,Thu May 12 14:33:23 +0000 2016,es,0,False,1,False,,Sumon Sadhu,sharpshoot
Wherever you are in the startup world. All roads cross through San Francisco.,Wed May 11 17:52:15 +0000 2016,en,0,False,1,False,,Sumon Sadhu,sharpshoot
Loads of lessons here https://t.co/gk1VUURDqc,Wed May 11 17:48:44 +0000 2016,en,0,False,1,False,,Sumon Sadhu,sharpshoot
3. Big company product managers will always play it safe. Or copy what's already in the market.,Wed May 11 16:30:09 +0000 2016,en,0,False,1,False,,Sumon Sadhu,sharpshoot
2 / This split of incentives is the root of creating the possibility for new disruptive products.,Wed May 11 16:29:44 +0000 2016,en,0,False,1,False,,Sumon Sadhu,sharpshoot
"1 / In a big company, a product manager has to make sure he/she isn't too bold to offend someone. In a startup, you can do what you want.",Wed May 11 16:28:42 +0000 2016,en,0,False,2,False,,Sumon Sadhu,sharpshoot
Group think is a disease in Silicon Valley,Wed May 11 06:12:02 +0000 2016,en,0,False,1,False,,Sumon Sadhu,sharpshoot
RT @Nathaliedore: Very interesting @Quid demo at #finovate : a great search tool for unstructured data + nice data visualization ! https://…,Wed May 11 04:02:48 +0000 2016,en,7,False,0,False,,Sumon Sadhu,sharpshoot
"RT @vmalu: How ClearTax won investors like PayPal founder, Gmail creator, and WhatsApp biz head https://t.co/U4yhnnd0c1 https://t.co/DchKNw…",Mon May 09 17:55:16 +0000 2016,en,16,False,0,False,,Sumon Sadhu,sharpshoot
Super excited to play the role of chief brainstormer with @architgupta and @cleartax_in https://t.co/ohFwleZJBb,Mon May 09 16:53:15 +0000 2016,en,0,False,1,False,,Sumon Sadhu,sharpshoot
Also respect those who have to clean the data.,Mon May 09 06:04:28 +0000 2016,en,0,False,0,False,,Sumon Sadhu,sharpshoot
"De Beers sells dreams, not diamonds. by Jenni Avins https://t.co/sD6VQulei6 via @memoapp",Sun May 08 22:03:03 +0000 2016,en,1,False,2,False,,Sumon Sadhu,sharpshoot
I've said it before but glory really goes to the solvers of chicken and egg problems.,Sat May 07 23:24:15 +0000 2016,en,0,False,1,False,,Sumon Sadhu,sharpshoot
