Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Disrupting beliefs: A new approach to business-model innovation. Easier said than done! McKinsey &amp; Company https://t.co/blVKmVUocQ,Sat May 14 00:44:57 +0000 2016,en,1,False,1,False,,Serguei Netessine,snetesin
"Retail is in the middle of a massive upheaval, #change or be #disrupted  https://t.co/HXTSeVD2zg via @Fashionista_com",Sat May 14 00:41:00 +0000 2016,en,1,False,0,False,,Serguei Netessine,snetesin
RT @INSEADAlumni: How do the world’s biggest companies deal with the startup revolution? cc. @ArnaudBonzom @snetesin https://t.co/mdJI33CJqS,Fri May 13 12:07:26 +0000 2016,en,3,False,0,False,,Serguei Netessine,snetesin
Finally got a copy of my own book with @Girotrak in #Mandarin! https://t.co/ZV1fwRL8gR #Innovation #businessmodels https://t.co/POlanFpQ9K,Thu May 12 01:55:42 +0000 2016,en,2,False,4,False,,Serguei Netessine,snetesin
RT @INSEADAlumni: There have never been more ways for big Co's &amp; entrepreneurs to collaborate say @ArnaudBonzom &amp; @snetesin #Startups https…,Wed May 11 11:59:42 +0000 2016,en,2,False,0,False,,Serguei Netessine,snetesin
"@ranjanxroy yes this is what the article says, third paragraph...",Mon May 09 14:36:54 +0000 2016,en,0,False,1,False,,Serguei Netessine,snetesin
"Five major fintech trends where China is leading the world, report by @LifeSREDA @slavasolodkiy @insead https://t.co/yYkm1wlMcd @SCMP_News",Mon May 09 13:29:05 +0000 2016,en,1,False,5,False,,Serguei Netessine,snetesin
RT @analyseasia: [Weekend Recap] Hear @ArnaudBonzom discuss the #500Corporations report with @snetesin: https://t.co/V8rKDcWd9G,Mon May 09 13:22:15 +0000 2016,en,1,False,0,False,,Serguei Netessine,snetesin
"Our take on Fintech innovations in China, with Vladislav Solodkiy and Life.SREDA. Thanks to South China Morning Post.https://t.co/bX9EiDXmYV",Sat May 07 12:40:25 +0000 2016,en,2,False,0,False,,Serguei Netessine,snetesin
RT @ArnaudBonzom: @snetesin speaking at @DeloitteSG about #innovation for professional services! cc @INSEAD https://t.co/axqnZ5EzF1,Fri May 06 03:45:23 +0000 2016,en,2,False,0,False,,Serguei Netessine,snetesin
Speaking at @Deloitte @DeloitteSG @DeloitteDigi_SG innovation day today in a beautiful arrangement #innovation https://t.co/pb0kitXJHR,Fri May 06 00:56:45 +0000 2016,en,6,False,8,False,,Serguei Netessine,snetesin
Corporates and Start-ups: Engage or Else! https://t.co/SVaw1u9An1 @INSEAD @INSEADAlumni @ArnaudBonzom #startups,Thu May 05 06:39:08 +0000 2016,en,1,False,1,False,,Serguei Netessine,snetesin
The new kind of #cloud is here: IBM launches quantum computing as a cloud service https://t.co/tpesA3GSHy via @techcrunch @ron_miller,Wed May 04 05:30:29 +0000 2016,en,7,False,2,False,,Serguei Netessine,snetesin
Corporations Embracing the Startup Disruptor Threat | https://t.co/c5FZBrcAGd: https://t.co/Q348QMFPgw #startups,Mon May 02 06:49:43 +0000 2016,en,2,False,3,False,,Serguei Netessine,snetesin
RT @CapgeminiConsul: “Most companies never re-evaluate their business models” says @snetesin https://t.co/WfsxRIAtI3,Wed Apr 27 11:30:12 +0000 2016,en,3,False,0,False,,Serguei Netessine,snetesin
So very cool: This is an incredible visualization of the world's shipping routes https://t.co/cgrXDSZeRw via @voxdotcom @bradplumer,Tue Apr 26 00:58:16 +0000 2016,en,19,False,14,False,,Serguei Netessine,snetesin
RT @ArnaudBonzom: It was a pleasure to speak at @BloombergTV about Corporate Startup Engagement! cc @snetesin @INSEAD @500Startups https://…,Fri Apr 22 07:30:30 +0000 2016,en,1,False,0,False,,Serguei Netessine,snetesin
Why the #unicorn financing market just become dangerous: On the Road to Recap: by @bgurley https://t.co/Bp5gib1BjX,Thu Apr 21 23:14:55 +0000 2016,en,1,False,2,False,,Serguei Netessine,snetesin
Genius of @Amazon business model: Got a Hot Seller on Amazon? Prepare for E-Tailer to Make One Too https://t.co/0hb9zOpcJc via @spencersoper,Thu Apr 21 05:04:27 +0000 2016,en,1,False,3,False,,Serguei Netessine,snetesin
RT @analyseasia: Do check out the #500Corporations report by @ArnaudBonzom &amp; @snetesin @INSEAD here: https://t.co/RXHgblD6n8,Sat Apr 16 23:25:21 +0000 2016,en,1,False,0,False,,Serguei Netessine,snetesin
"Very proud of my investment @Tab_Square successfully raising a round of funding to scale, go team! https://t.co/gbfDBjVbof",Fri Apr 15 08:22:50 +0000 2016,en,1,False,5,False,,Serguei Netessine,snetesin
Congrats to my @INSEAD colleague @Girotrak for an awesome award! https://t.co/iMN87Q8QvQ,Thu Apr 14 13:44:36 +0000 2016,en,3,False,5,False,,Serguei Netessine,snetesin
Thanks to @businesstimes for covering Money of the Future report by @INSEAD and @LifeSREDA https://t.co/cNOuTcnnoJ https://t.co/NKc3T1jJcA,Tue Apr 12 08:39:18 +0000 2016,en,2,False,3,False,,Serguei Netessine,snetesin
Listen @ArnaudBonzom discuss our report on corporate-startup engagement https://t.co/C3p4s9uuPH via @Startup365_fr @INSEAD @500Startups,Mon Apr 11 08:27:06 +0000 2016,en,0,False,2,False,,Serguei Netessine,snetesin
My investment SwarmX is profiled in FT: Singapore start-up trials autonomous drones  https://t.co/EftpU1DkF8 @FT https://t.co/rINXjMZT5L,Mon Apr 11 04:01:56 +0000 2016,en,1,False,3,False,,Serguei Netessine,snetesin
RT @analyseasia: We highly recommend the #500corporations report by @ArnaudBonzom &amp; @snetesin https://t.co/0yL1js8eq9,Sun Apr 10 00:29:11 +0000 2016,en,2,False,0,False,,Serguei Netessine,snetesin
RT @vccircle: Is fintech here to stay? https://t.co/zvvnsxRuEl @snetesin https://t.co/wfinFzaqke,Thu Apr 07 10:19:17 +0000 2016,en,4,False,0,False,,Serguei Netessine,snetesin
"RT @hughmason: We're watching an ""Uber moment"" for the financial industries, says @snetesin https://t.co/BcPU1mcbS5 #fintech",Thu Apr 07 00:19:10 +0000 2016,en,3,False,0,False,,Serguei Netessine,snetesin
RT @INSEAD: The future of the financial industry is here: are you ready? https://t.co/KquKj1NEye cc. @snetesin #FinTech,Wed Apr 06 21:37:42 +0000 2016,en,10,False,0,False,,Serguei Netessine,snetesin
"Thanks @Wharton @siriusxm radio  @davidcrob for hosting me today, free report we discussed https://t.co/xxEbQpLQRQ https://t.co/BWfAvZS8v2",Wed Apr 06 01:32:36 +0000 2016,en,2,False,3,False,,Serguei Netessine,snetesin
"RT @innonavi: Next! @snetesin, Professor of Global Technology, on the role start-ups can play for established businesses. Tune in to @BizRa…",Wed Apr 06 00:00:34 +0000 2016,en,1,False,0,False,,Serguei Netessine,snetesin
"RT @BizRadio111: How do the World's Biggest Companies Deal with the Startup Revolution? @snetesin, Professor at INSEAD, explains",Wed Apr 06 00:00:28 +0000 2016,en,1,False,0,False,,Serguei Netessine,snetesin
"RT @paymentcomp: ""#Money Of The #Future"" Report By @snetesin Provides An Extensive Review Of #FinTech &amp; #FinServ. @davidjmaireles  https://…",Tue Apr 05 14:25:38 +0000 2016,en,4,False,0,False,,Serguei Netessine,snetesin
RT @INSEAD: Whether fintech makes a significant dent in global finance or not will depend what happens in 2016 https://t.co/bEbDEj1g97 cc.…,Tue Apr 05 11:44:32 +0000 2016,en,3,False,0,False,,Serguei Netessine,snetesin
RT @IrinaNetessina: Forget #unicorns — Investors are looking for 'cockroach' startups now - less risky https://t.co/99ELEZCfez @snetesin @G…,Mon Apr 04 11:24:10 +0000 2016,en,2,False,0,False,,Serguei Netessine,snetesin
"RT @garrett_geoff: #Xiaomi puts out a new phone every week, based on customer feedback- chairman Lei at @Penn @Wharton China Summit.",Sun Apr 03 15:52:37 +0000 2016,en,3,False,0,False,,Serguei Netessine,snetesin
Catch me Tuesday speak on #500Corporations report @Wharton @SIRIUSXM radio with @davidcrob https://t.co/xxEbQpLQRQ https://t.co/OFWcPyPxna,Sun Apr 03 06:46:28 +0000 2016,en,3,False,2,False,,Serguei Netessine,snetesin
Watch @INSEAD and @Wharton celebrate 15th anniversary of #Alliance https://t.co/yIu5LIhoUK @garrett_geoff @ilianmihov,Sat Apr 02 13:33:46 +0000 2016,en,0,False,1,False,,Serguei Netessine,snetesin
"RT @INSEAD: Professor @snetesin asks ""is fintech here to stay?"" - https://t.co/kBWPa10Yvw #Investment #Growth https://t.co/UjSSkDe9dE",Thu Mar 31 09:37:13 +0000 2016,en,7,False,0,False,,Serguei Netessine,snetesin
@snetesin @LifeSREDA @INSEAD @INSEADKnowledge,Thu Mar 31 09:03:52 +0000 2016,und,0,False,1,False,,Serguei Netessine,snetesin
Where is #FinTech going? See details in the new report by INSEAD and Life.SREDA #vc #startups https://t.co/kLDHJSCLmU,Thu Mar 31 08:59:33 +0000 2016,en,5,False,5,False,,Serguei Netessine,snetesin
"INSEAD #Entrepreneurship #Forum 27 May 2016 @INSEAD!
Last week to get early bird price tickets! Register Now!
https://t.co/94hQCDi894",Wed Mar 30 10:32:52 +0000 2016,en,2,False,1,False,,Serguei Netessine,snetesin
