Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@MattBylander Lucky!,Sat May 14 04:20:25 +0000 2016,en,0,False,0,False,,Stewart Butterfield,stewart
"@MattBylander At ""the mall""?",Sat May 14 04:15:32 +0000 2016,en,0,False,0,False,,Stewart Butterfield,stewart
"RT @TheWoodenslurpy: Me *about to get hit by a bus*

OH SHIT I'M NOT THE MAIN CHARACTER",Sat May 14 04:06:37 +0000 2016,en,1199,False,0,False,,Stewart Butterfield,stewart
"RT @functiontelechy: I'm beginning to think that most open source software is ""free"" as in ""mattress""",Sat May 14 01:40:32 +0000 2016,en,442,False,0,False,,Stewart Butterfield,stewart
"@gosensgo101 That's the only thing that makes sense. Designers with 30"" monitors spoil so much.",Sat May 14 01:26:09 +0000 2016,en,0,False,1,False,,Stewart Butterfield,stewart
@taylorhughes There is 0% cost to anyone to make tap areas and text larger. Someone specified that size/color/icon and was not challenged.,Sat May 14 01:24:49 +0000 2016,en,0,False,0,False,,Stewart Butterfield,stewart
"@stevesi Oh, but this is same gear, same screens, same catalog, same info architecture: just visual ""refresh"".",Sat May 14 01:23:30 +0000 2016,en,0,False,3,False,,Stewart Butterfield,stewart
"@chasegallagher ""No-taste Air Canada""?",Sat May 14 01:13:54 +0000 2016,es,0,False,0,False,,Stewart Butterfield,stewart
"@felixsalmon You're right, of course. Will read about it in HBR one day.",Sat May 14 01:12:47 +0000 2016,en,0,False,3,False,,Stewart Butterfield,stewart
That it is possible for things like this to reach production/general release is so hard to understand. No one cared? https://t.co/QzgqQ4mcdg,Sat May 14 01:11:51 +0000 2016,en,6,False,40,False,,Stewart Butterfield,stewart
"… 10 tap areas which together use &lt;10% of the 7"" low quality screen. Almost the simplest possible design challenge failed completely. How?!?",Sat May 14 01:09:15 +0000 2016,en,5,False,40,False,,Stewart Butterfield,stewart
Brand new (spring 2016) redesign to AC's touchscreen VOD system. Tiny light blue-text-on-white labels … (1/2) https://t.co/PDjeLwwYiy,Sat May 14 01:07:31 +0000 2016,en,6,False,37,False,,Stewart Butterfield,stewart
@robfreeborn @jasonlk @EconBizFin (BLS and OECD #s will include many knowledge workers whose roles are not especially team-oriented.),Fri May 13 22:51:41 +0000 2016,en,0,False,0,False,,Stewart Butterfield,stewart
"@robfreeborn @jasonlk @EconBizFin 12-50%, depending how finely you break things down.",Fri May 13 22:48:13 +0000 2016,en,0,False,0,False,,Stewart Butterfield,stewart
@jasonlk @EconBizFin (Note: there's some execution risk here.),Fri May 13 22:43:48 +0000 2016,en,0,False,9,False,,Stewart Butterfield,stewart
@jasonlk @EconBizFin And thereby be the 4th biggest software products company of all time! All we need is to grow two orders of magnitude :),Fri May 13 22:43:05 +0000 2016,en,0,False,6,False,,Stewart Butterfield,stewart
"RT @dsearls: Overheard: ""English is the QWERTY of languages.""",Thu May 12 21:40:15 +0000 2016,en,18,False,0,False,,Stewart Butterfield,stewart
"RT @MichaelPDeacon: While the MSM distracts you with Government lies and propaganda, THIS is happening https://t.co/vE55dnwDuM",Thu May 12 08:19:08 +0000 2016,en,172,False,0,False,,Stewart Butterfield,stewart
"Netflix, but for movies. I would subscribe. https://t.co/1CZiDzzF39",Thu May 12 01:22:47 +0000 2016,en,21,False,87,False,,Stewart Butterfield,stewart
@pt I cannot tell if that is good or bad!,Tue May 10 22:45:24 +0000 2016,en,0,False,13,False,,Stewart Butterfield,stewart
RT @SlackAPI: New: Sign in with Slack. Keep teams connected across their apps for work 🔑 https://t.co/fkawaiZtDz,Tue May 10 22:44:01 +0000 2016,en,115,False,0,False,,Stewart Butterfield,stewart
RT @mikeindustries: I wrote a really long piece about my 3 years in San Francisco and at Twitter. https://t.co/uPLsvOANq5 https://t.co/LgAe…,Tue May 10 06:05:11 +0000 2016,en,211,False,0,False,,Stewart Butterfield,stewart
