Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
girlfriend owns @apple shares which makes her a didi investor... #Smh #ridesharewars #domesticissues #thanksALotTim,Fri May 13 07:10:55 +0000 2016,en,1218,False,1833,False,,travis kalanick,travisk
@pmarca @benthompson @mgsiegler the last share is bought by a company wholly owned by the owner of the last share,Sun May 08 07:52:06 +0000 2016,en,5,False,68,False,,travis kalanick,travisk
good times with UberBrooklyn partners 😀 https://t.co/Q3OdcnTrvy,Thu May 05 22:46:49 +0000 2016,en,7,False,43,False,,travis kalanick,travisk
"RT @Janina: My current @uber driver is an Air Force civil engineer, and studies kickboxing.",Thu May 05 14:43:56 +0000 2016,en,24,False,0,False,,travis kalanick,travisk
"RT @UberXGuyMelb: That's 5000 rides with #UberX! Thx to @travisk , @Uber_Australia , and all my Riders for the best ""job"" I ever had! https…",Thu May 05 04:05:50 +0000 2016,en,17,False,0,False,,travis kalanick,travisk
RT @Uber_NYC: This week we're celebrating 5 years in NYC with $5 uberPOOL rides + an #UberPizzaParty in every borough. https://t.co/EO1iICg…,Tue May 03 17:43:05 +0000 2016,en,11,False,0,False,,travis kalanick,travisk
"RT @Uber_NYC: A love letter to the Bronx.

Today: Ride for $5 with uberPOOL in the Bronx. https://t.co/EO1iICy8Cf
https://t.co/RGYUtN2NBV",Tue May 03 17:42:40 +0000 2016,en,21,False,0,False,,travis kalanick,travisk
RT @cragcrest: How fiction becomes truth and attempts to correct the record can go astray by @danengber https://t.co/VeVl98bnQw https://t.c…,Thu Apr 28 15:30:06 +0000 2016,en,101,False,0,False,,travis kalanick,travisk
.@ariannahuff welcome to @uber! Can't tell you how excited we all are to have you on board!! https://t.co/SF3dDBAN9F,Wed Apr 27 17:26:27 +0000 2016,en,57,False,130,False,,travis kalanick,travisk
RT @allenpenn: Deaf cab driver thanks Uber for lifeline https://t.co/ppvoOg5Czz,Wed Apr 27 17:21:47 +0000 2016,en,20,False,0,False,,travis kalanick,travisk
