Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Cinco de Mayo Tequila Primer - Want to show off your extensive knowledge of tequila to all your drinking buddies on… https://t.co/6BSUvCJ77f,Mon May 02 16:27:33 +0000 2016,en,0,False,1,False,,Will Herman,willherman
"Convertible Notes - An Angel Investor's View - Or, why priced rounds are better. Or, how to fix convertible notes https://t.co/G919uUmno8",Wed Apr 27 17:09:12 +0000 2016,en,0,False,1,False,,Will Herman,willherman
Convertible Notes – An Angel Investor’s View https://t.co/y5A54rOpou,Wed Apr 27 17:02:32 +0000 2016,en,0,False,3,False,,Will Herman,willherman
Who is Smylie Kaufman? 1 under (4 back from the leader) at the Masters. Am I the only one who has never heard of this guy?,Sat Apr 09 21:26:06 +0000 2016,en,0,False,1,False,,Will Herman,willherman
Kinvey brings business-focused app cred to Google Cloud Platform with HIPAA Backend as a Service https://t.co/OppKUQ7kVA,Sat Apr 09 13:36:06 +0000 2016,en,0,False,1,False,,Will Herman,willherman
"For everyone involved in DevOps, check out the DevOps Connect CD Summit in Boston on May 5-…/bit.ly/1WYcQuu https://t.co/YqHlrCeI4q",Wed Mar 30 18:16:32 +0000 2016,en,0,False,3,False,,Will Herman,willherman
"Kuvée announces its smart wine bottle, keeping your wine fresh for 30 days. Check it out on Indiegogo here: https://t.co/Iv1Gg6MRiI",Tue Mar 29 14:14:45 +0000 2016,en,0,False,0,False,,Will Herman,willherman
@efbacon Looks great. I'll have to try it next time. Thanks!,Fri Feb 19 20:25:32 +0000 2016,en,0,False,0,False,,Will Herman,willherman
"Consumatorium Reviews: Craft Bars in Scottsdale, Arizona - Consumatorium's list of some of the best craft cocktail … https://t.co/pUh5VNG78a",Fri Feb 19 19:03:12 +0000 2016,en,0,False,0,False,,Will Herman,willherman
Making Your Own Grenadine - House-made grenadine is a staple at craft cocktail bars. Here's a recipe for making it … https://t.co/mrh1TzCUXT,Tue Feb 09 18:24:20 +0000 2016,en,0,False,1,False,,Will Herman,willherman
Fig-Infused Bourbon https://t.co/Y6BbTmdqoa Infusing bourbon with rich sweet figs. Easy to make and even easier goi… https://t.co/Dfb4a0FEx5,Sun Jan 24 03:59:42 +0000 2016,en,0,False,0,False,,Will Herman,willherman
"Santorum town hall mtg in Wolfeboro, NH. About 20 people at a bar. A bit different from last night's Sanders rally. https://t.co/Hiofxj5lt2",Fri Jan 22 23:42:56 +0000 2016,en,0,False,0,False,,Will Herman,willherman
The 10 Best Scotch Whiskies Under $40 https://t.co/yI8kw0WOOv,Fri Jan 22 03:16:04 +0000 2016,en,0,False,1,False,,Will Herman,willherman
"Feelin' the Bern. At Bernie Sanders town meeting in Wolfeboro, NH. Leading with climate change and electability. https://t.co/tJQtdVziD9",Fri Jan 22 00:36:14 +0000 2016,en,0,False,2,False,,Will Herman,willherman
Say Goodbye to These Beloved Whiskies https://t.co/OHtiGUOc57,Sat Jan 09 03:00:41 +0000 2016,en,0,False,0,False,,Will Herman,willherman
Winter Classic at Gillette. Hockey the way it started. Outdoors and Boston vs Montreal.,Fri Jan 01 18:35:54 +0000 2016,en,0,False,1,False,,Will Herman,willherman
"Joey Iosefa, who didn't even make it onto the Pat's scorecard today, is getting loads of carries in his first Pats game. #belichickmagic",Sun Dec 20 20:05:15 +0000 2015,en,0,False,0,False,,Will Herman,willherman
"Final regular season home game at Gillette. Hopefully, a couple of home playoff games left. https://t.co/8pOoBdG7aN",Sun Dec 20 18:11:03 +0000 2015,en,0,False,0,False,,Will Herman,willherman
My first scratch-and-sniff Whiskey book. Thanks Ron and Starr! https://t.co/9Ld2xVT4nW,Wed Nov 11 01:11:16 +0000 2015,en,0,False,0,False,,Will Herman,willherman
"""It's always good to run the ball. It's always good to pass the ball. It's always good to score points."" - Bill Belichick",Mon Nov 09 01:17:07 +0000 2015,en,0,False,1,False,,Will Herman,willherman
... by the dawn's early light... Go Pats! https://t.co/cUUIZtlMM6,Sun Nov 08 18:02:47 +0000 2015,en,0,False,1,False,,Will Herman,willherman
"Just washed a 32GB SD card full of unique, non-backed up photos with a load of jeans. Shockingly, the card was readable.",Sat Nov 07 01:47:40 +0000 2015,en,0,False,0,False,,Will Herman,willherman
Simple Syrup - The Step-by-Step Guide http://t.co/PpcNWmAw3m #consumatorium http://t.co/iSdSwfJAo1,Wed Sep 30 08:02:32 +0000 2015,en,0,False,0,False,,Will Herman,willherman
Using strong and unique spirits in your cocktails http://t.co/U0q5wN7z0g,Thu Sep 24 21:56:29 +0000 2015,en,0,False,0,False,,Will Herman,willherman
How to make a great Aviation Cocktail at home. http://t.co/m6jkXco9nD #Consumatorium @PlymouthGinUS @LuxardoUSA http://t.co/rywUGCNWy7,Sun Sep 20 14:04:30 +0000 2015,en,3,False,2,False,,Will Herman,willherman
