Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @350Europe: Over 200 bikes just set out to shut down @Vattenfall_De for day 2 of #endegelaende #breakfree2016 https://t.co/KMvmhUMEvx,Sat May 14 07:33:27 +0000 2016,en,24,False,0,False,,Zachary Bogue,zackbogue
RT @500Startups: You have 10 seconds to get an #investor meeting… here's how to NOT screw up: @dunkhippo33 https://t.co/W2mqmMbZXR https://…,Fri May 13 21:58:29 +0000 2016,en,16,False,0,False,,Zachary Bogue,zackbogue
RT @bruneski: Donald Trump taps climate change skeptic as key energy adviser https://t.co/sp99HF0NzE via @HuffPostPol #NeverTrump @sierracl…,Fri May 13 21:36:23 +0000 2016,en,27,False,0,False,,Zachary Bogue,zackbogue
Favorite baby gift for the twins (amidst the dresses &amp; dolls)--@AWScloud credits! Thank you @jessiebeegle &amp; @Werner! https://t.co/exGjBG1W0q,Fri May 13 14:46:35 +0000 2016,en,3,False,29,False,,Zachary Bogue,zackbogue
RT @brainpicker: Faraday on mental discipline and how to cure our propensity for self-deception https://t.co/z5RPMTh20K https://t.co/gbcrIH…,Fri May 13 07:16:01 +0000 2016,en,78,False,0,False,,Zachary Bogue,zackbogue
RT @grist: Gates Foundation quietly dumps all of its BP stock https://t.co/JsoYBJOC0K https://t.co/AqBmMjbwif,Fri May 13 07:11:09 +0000 2016,en,29,False,0,False,,Zachary Bogue,zackbogue
"RT @conradhackett: Evolutionary psychologist says religion could disappear

https://t.co/1JVQ4Jtx9V",Fri May 13 07:10:45 +0000 2016,en,70,False,0,False,,Zachary Bogue,zackbogue
RT @climateprogress: The plan to revive Big Coal’s fortunes isn’t panning out https://t.co/rn4K25HA5x,Fri May 13 07:06:07 +0000 2016,en,8,False,0,False,,Zachary Bogue,zackbogue
"RT @billmckibben: Colorado enacts the craziest fossil fuel subsidy yet--essentially, oil companies can deduct imaginary costs https://t.co/…",Fri May 13 07:01:51 +0000 2016,en,110,False,0,False,,Zachary Bogue,zackbogue
RT @lizzadwoskin: This isn’t a Google Street Car. It’s a govt. spy truck. Whoa. https://t.co/OMZn7HKKh3,Thu May 12 18:39:30 +0000 2016,en,3,False,0,False,,Zachary Bogue,zackbogue
"RT @davemcclure: Bloomberg: ""I Saw Trump's Tax Returns. You Should, Too."" https://t.co/qrlXk3EbfQ (Timothy O'Brien, sued by Trump for libel)",Thu May 12 16:33:44 +0000 2016,en,9,False,0,False,,Zachary Bogue,zackbogue
"RT @sacca: If you are using a banker or broker to raise your Seed, Series A, B, or C round, do yourself a favor and shut the company down.",Thu May 12 16:31:05 +0000 2016,en,147,False,0,False,,Zachary Bogue,zackbogue
RT @Remender: Generation X was the dominant generation in the workforce for only about 2 years. https://t.co/r2btWaNxwX,Thu May 12 13:57:57 +0000 2016,en,266,False,0,False,,Zachary Bogue,zackbogue
RT @danprimack: This is appalling. And illegal. And appalling again. https://t.co/BvvMmUFN97,Thu May 12 05:16:23 +0000 2016,en,20,False,0,False,,Zachary Bogue,zackbogue
"RT @H2OWise: @NaomiAKlein  on @cbcideas delivered a great quote. ""Going down the wrong road more slowly is not the same as going down the r…",Thu May 12 05:13:18 +0000 2016,en,14,False,0,False,,Zachary Bogue,zackbogue
"RT @mattocko: Instant, undisclosed root backdoor courtesy of your friendly neighborhood PRC chip vendor https://t.co/vZZ3lnTbU6 Why US need…",Thu May 12 03:49:01 +0000 2016,en,11,False,0,False,,Zachary Bogue,zackbogue
RT @MayorOfLA: Congrats to LA based #Hyperloop One on a successful tech test this AM! https://t.co/UMaDRx6Wf4 #TheFutureIsHappening https:/…,Thu May 12 03:48:43 +0000 2016,en,178,False,0,False,,Zachary Bogue,zackbogue
RT @thereaIbanksy: Spiralling global temperatures from 1850-2016  https://t.co/5RLJiDRQwI,Wed May 11 17:21:21 +0000 2016,en,2257,False,0,False,,Zachary Bogue,zackbogue
RT @calebgrowsfood: First report of all the world’s plants finds one in five species facing extinction - The Washington Post https://t.co/x…,Tue May 10 21:53:55 +0000 2016,en,43,False,0,False,,Zachary Bogue,zackbogue
RT @harper: @zackbogue this is Thiel right?,Tue May 10 21:16:33 +0000 2016,en,1,False,0,False,,Zachary Bogue,zackbogue
@harper :),Tue May 10 21:16:29 +0000 2016,und,0,False,2,False,,Zachary Bogue,zackbogue
RT @jeremyinbloom: new social media addiction! https://t.co/oSuIkCMYLy via @sai,Tue May 10 21:13:00 +0000 2016,en,2,False,0,False,,Zachary Bogue,zackbogue
Another Trump delegate.  https://t.co/uhOdWwq0MB,Tue May 10 21:11:40 +0000 2016,en,2,False,3,False,,Zachary Bogue,zackbogue
"RT @levie: Peter Thiel is now backing Trump. Despite its best attempts, a TV show about Silicon Valley will always be less strange than rea…",Tue May 10 19:11:33 +0000 2016,en,803,False,0,False,,Zachary Bogue,zackbogue
Peter Thiel is Donald Trump delegate in California  https://t.co/BWfbVfJLRz,Tue May 10 18:58:23 +0000 2016,en,2,False,0,False,,Zachary Bogue,zackbogue
"RT @bserrurier: Amazing visualization of global temp over time. Shows how crazy 2016 is, and really nails the “impending doom” feel. https:…",Tue May 10 06:10:02 +0000 2016,en,3,False,0,False,,Zachary Bogue,zackbogue
RT @grist: IT'S OFFICIAL: @POTUS signature makes the bison America's national mammal https://t.co/QSpqOOkReX https://t.co/7X24ekZj47,Tue May 10 06:07:50 +0000 2016,en,31,False,0,False,,Zachary Bogue,zackbogue
RT @david_turnbull: One can hope... Why this could finally be the election where #climate change matters https://t.co/SUjjLhcJJM via @chris…,Tue May 10 06:06:17 +0000 2016,en,2,False,0,False,,Zachary Bogue,zackbogue
"RT @NASA: Mercury treks across the sun from our perspective only ~13 times a century. #MercuryTransit view from @NASASunEarth:
https://t.co…",Mon May 09 23:47:09 +0000 2016,en,2539,False,0,False,,Zachary Bogue,zackbogue
"RT @BrettFleishman: After months of pressure, the @gatesfoundation sold $178 million of $BP stock #divest. Thx @350seattle @mayormcginn htt…",Mon May 09 23:40:52 +0000 2016,en,42,False,0,False,,Zachary Bogue,zackbogue
RT @mattocko: Great article for those who see nuclear power as essential to fighting climate threat cc @stewartbrand  https://t.co/P7nCSd5S…,Sun May 08 21:06:15 +0000 2016,en,2,False,0,False,,Zachary Bogue,zackbogue
RT @Skepteco: Professor David MacKay and the Renewables Delusion https://t.co/HmaoH0tbvA https://t.co/oeHJLo4GUG,Sun May 08 21:04:40 +0000 2016,en,20,False,0,False,,Zachary Bogue,zackbogue
RT @billmckibben: Tourism operators on Great Barrier Reef demand Aussie govt stop new coal mines--$6 bn tourist industry at stake https://t…,Sun May 08 21:01:23 +0000 2016,en,98,False,0,False,,Zachary Bogue,zackbogue
RT @sacca: Don't let your daughters be swallowed up by the Princess Industrial Complex. https://t.co/2YgnElwAik,Sun May 08 21:01:03 +0000 2016,en,522,False,0,False,,Zachary Bogue,zackbogue
"SF is suing Academy of Art over real estate empire. A real estate company in disguise, using its tax-free status. https://t.co/JiBMnXvDbO",Sun May 08 18:50:42 +0000 2016,en,0,False,0,False,,Zachary Bogue,zackbogue
"RT @350: If you live in the US, call for an investigation: https://t.co/C8155YSPFV #ExxonKnew https://t.co/60L7aOeojd",Sun May 08 16:39:41 +0000 2016,en,62,False,0,False,,Zachary Bogue,zackbogue
RT @planetlabs: #PrecisionAgriculture geeks—listen to our #RemoteSensing &amp; #agriculture webinar recording--&gt; https://t.co/HV2tC3sOaG https:…,Fri May 06 21:51:50 +0000 2016,en,15,False,0,False,,Zachary Bogue,zackbogue
Whoa. Lyft &amp; GM will have a test fleet of electric taxis on the road w/in the year. Driverless cars are coming fast! https://t.co/VFK3AaL4s7,Fri May 06 16:05:18 +0000 2016,en,3,False,4,False,,Zachary Bogue,zackbogue
