Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @nytimes: Unemployment is down and the economy is growing. Why do so many voters feel left behind? Obama has a theory https://t.co/NRKWH…,Fri Apr 29 05:50:35 +0000 2016,en,251,False,0,False,,Marc Benioff,Benioff
RT @Montel_Williams: These anti-LGBT bigots don't even understand their own faith  https://t.co/SI4GMkTA1e,Fri Apr 29 05:47:54 +0000 2016,en,6,False,0,False,,Marc Benioff,Benioff
"RT @McCauley_Lab: Guess what would happen in a fish tank if you cranked up temp, acidified the water, *AND* made it harder to breath https:…",Fri Apr 29 05:47:31 +0000 2016,en,8,False,0,False,,Marc Benioff,Benioff
RT @dandarcy: Celebrating the great @LeylaSeka with @CindygRobbins!! @Benioff https://t.co/7IraLtpcE8,Fri Apr 29 05:46:58 +0000 2016,en,2,False,0,False,,Marc Benioff,Benioff
"Our oceans are being over fished, acidified, and strip mined.  Yes we need @un treaties protecting them now. https://t.co/PY4nViBHkB",Fri Apr 29 05:00:56 +0000 2016,en,25,False,43,False,,Marc Benioff,Benioff
Global warming is extracting the oxygen from our oceans. Just try that with your home fish tank to see what's next.  https://t.co/PRna4okAbP,Fri Apr 29 04:58:39 +0000 2016,en,18,False,18,False,,Marc Benioff,Benioff
"RT @washingtonpost: John Boehner just called Ted Cruz ""Lucifer in the flesh."" He does this sometimes.
https://t.co/JGotP3AicS",Fri Apr 29 04:54:04 +0000 2016,en,121,False,0,False,,Marc Benioff,Benioff
"RT @washingtonpost: Donald Trump said Caitlyn Jenner could use the women’s room at his buildings, so she did
https://t.co/3dSHDmqSwu",Fri Apr 29 04:53:54 +0000 2016,en,50,False,0,False,,Marc Benioff,Benioff
RT @washingtonpost: Global warming could deplete the oceans’ oxygen levels – with severe consequences https://t.co/2Y8RWvW6mY,Fri Apr 29 04:33:22 +0000 2016,en,151,False,0,False,,Marc Benioff,Benioff
"RT @4kgjerde: Do we really need a new U.N. oceans treaty? Yes, and here’s why. - The Washington Post https://t.co/RpM7UFvcdp",Fri Apr 29 04:30:34 +0000 2016,en,8,False,0,False,,Marc Benioff,Benioff
"RT @megynkelly: .@PatMcCroryNC: “I can’t believe we’re talking about this… This is an issue that the left started, not the right.” #KellyFi…",Fri Apr 29 02:26:15 +0000 2016,en,52,False,0,False,,Marc Benioff,Benioff
RT @latimes: L.A. County supervisors pass ban on travel to North Carolina https://t.co/JeZfTdqYSZ https://t.co/whM3w557DD,Fri Apr 29 02:24:22 +0000 2016,en,59,False,0,False,,Marc Benioff,Benioff
RT @THR: 98 Degrees cancels two North Carolina shows over anti-gay bill https://t.co/Y0D3UBm5vC https://t.co/paISQnWDhS,Fri Apr 29 02:23:55 +0000 2016,en,48,False,0,False,,Marc Benioff,Benioff
"RT @enews: Nick Jonas Explains North Carolina Boycott With Demi Lovato: ""It's a Tough Situation For Everybody"" https://t.co/FFyhau4w0j",Fri Apr 29 02:23:36 +0000 2016,en,57,False,0,False,,Marc Benioff,Benioff
RT @HuffingtonPost: This ad agency wants to flush North Carolina's anti-LGBT law https://t.co/vDES8OhfR2 https://t.co/kIi3c27yqu,Fri Apr 29 02:23:20 +0000 2016,en,55,False,0,False,,Marc Benioff,Benioff
RT @Scott_Wiener: Looks like we got #NorthCarolina's attention w my legislation to ban city spending in states w anti-#LGBT hate laws. http…,Fri Apr 29 02:23:07 +0000 2016,en,11,False,0,False,,Marc Benioff,Benioff
"RT @HuffPostPol: NCAA joins the fight against North Carolina's ""bathroom law"" https://t.co/5feF4YXXqi https://t.co/xQs8qQ0WyE",Fri Apr 29 02:22:54 +0000 2016,en,31,False,0,False,,Marc Benioff,Benioff
RT @TIME: North Carolina could lose NCAA tournament hosting rights over discrimination law https://t.co/QNKHmGY48M,Fri Apr 29 02:22:45 +0000 2016,en,55,False,0,False,,Marc Benioff,Benioff
RT @BuzzFeedNews: Legal Groups Urge Feds To Threaten North Carolina’s School Funding https://t.co/IXjAWN0L1q https://t.co/jFldps3w29,Fri Apr 29 02:22:41 +0000 2016,en,19,False,0,False,,Marc Benioff,Benioff
"RT @AP: Small business owners in North Carolina already losing money because of state's LGBT law.  
https://t.co/wRkmQZUsLV",Fri Apr 29 02:22:34 +0000 2016,en,183,False,0,False,,Marc Benioff,Benioff
RT @Montel_Williams: @NCValues NO CONFUSION. #hb2 's = bigotry - don't insult our intelligence. We all stand w/ @HRC on this @Benioff  http…,Fri Apr 29 02:20:41 +0000 2016,en,9,False,0,False,,Marc Benioff,Benioff
"@megynkelly @PatMcCroryNC Theres no hypocrisy. This is a horrible anti-gay, pro-discrimination law. It's driven by bigotry &amp; hate. #LoveWins",Fri Apr 29 02:19:14 +0000 2016,en,1,False,8,False,,Marc Benioff,Benioff
"@megynkelly @PatMcCroryNC Theres no hypocrisy. This is a horrible anti-gay, pro-discrimination law. It's driven by bigotry &amp; hate. #LoveWins",Fri Apr 29 02:17:00 +0000 2016,en,10,False,17,False,,Marc Benioff,Benioff
"@PatMcCroryNC @megynkelly Theres no hypocrisy. This is a horrible anti-gay, pro-discrimination law. It's driven by bigotry &amp; hate. #LoveWins",Fri Apr 29 02:14:18 +0000 2016,en,2,False,28,False,,Marc Benioff,Benioff
"RT @PatMcCroryNC: Tonight, I joined @MegynKelly to talk about the hypocrisy surrounding the common-sense bathroom privacy bill. Watch:
http…",Fri Apr 29 02:12:30 +0000 2016,en,55,False,0,False,,Marc Benioff,Benioff
RT @NCValues: .@Benioff reconsider opposing #HB2 @HRC is misleading you; Don’t ignore voice of your customers https://t.co/Pvg8Ri3Z21,Fri Apr 29 02:09:41 +0000 2016,en,2,False,0,False,,Marc Benioff,Benioff
RT @NCValues: I just sent just an email to CEOs asking them to reconsider their repeal efforts on #HB2,Fri Apr 29 02:09:26 +0000 2016,en,2,False,0,False,,Marc Benioff,Benioff
"RT @morg2239: @Benioff @Montel_Williams @HRC @NCValues Thank you so much for your support! HATE is not a Christian, family nor American val…",Fri Apr 29 02:08:52 +0000 2016,en,4,False,0,False,,Marc Benioff,Benioff
"RT @TracyKronzak: Because hatred and discrimination don't sell anything.  Even in business, #LoveWins https://t.co/rmuKUsUCEK",Fri Apr 29 02:08:37 +0000 2016,en,9,False,0,False,,Marc Benioff,Benioff
"@mww1954 There is no faith in hate. Not a single customer has opposed our opposition of this horrible anti-gay, pro-discrimination law. @HRC",Fri Apr 29 02:07:32 +0000 2016,en,0,False,1,False,,Marc Benioff,Benioff
"There is no confusion, &amp; not a single customer has opposed our opposition of this horrible anti-gay, pro-discrimination law. @HRC @NCValues",Fri Apr 29 02:04:42 +0000 2016,en,11,False,53,False,,Marc Benioff,Benioff
Noone I know stands with your hateful ways.  @HRC @NCValues,Fri Apr 29 02:02:54 +0000 2016,en,4,False,29,False,,Marc Benioff,Benioff
"There is no confusion, &amp; not a single customer has opposed our opposition of this horrible anti-gay, pro-discrimination law. @HRC @NCValues",Fri Apr 29 02:01:36 +0000 2016,en,11,False,87,False,,Marc Benioff,Benioff
"@NCValues There is no confusion, &amp; not a single customer has opposed our opposition of this horrible anti-gay, pro-discrimination law. @HRC",Fri Apr 29 02:00:11 +0000 2016,en,0,False,8,False,,Marc Benioff,Benioff
RT @parkerharris: Thank you Colin Powell for such an amazing fireside chat. Truly an honor. #SalesforceTour Washington DC https://t.co/m2gR…,Thu Apr 28 21:58:14 +0000 2016,en,32,False,0,False,,Marc Benioff,Benioff
RT @UCDavisChildren: Thx to @SacRepublicFC's @NewtonEvan13 for visiting our Children's Surgery Ctr today! ❤️⚽️ https://t.co/HU2z2p8c9O,Thu Apr 28 21:14:35 +0000 2016,en,7,False,0,False,,Marc Benioff,Benioff
"RT @fitbit: In 2016, some cities took their stepping to the next level. See who topped our list! https://t.co/8cHbNy4XJg https://t.co/GfSgr…",Thu Apr 28 21:11:03 +0000 2016,en,30,False,0,False,,Marc Benioff,Benioff
Thanks @RedCross for a great partnership in serving others.  https://t.co/fsG1w0lNwH Volunteer today at #SalesforceTour Washington DC.,Thu Apr 28 17:26:59 +0000 2016,en,4,False,19,False,,Marc Benioff,Benioff
"RT @SalesforceOrg: Volunteer at #SalesforceTour #DC by packing @RedCross preparedness kits for vulnerable populations, 11:30am-1:00pm! http…",Thu Apr 28 17:25:17 +0000 2016,en,10,False,0,False,,Marc Benioff,Benioff
RT @SalesforceOrg: Learn how @BaltimoreCorps is using @CommunityCloud https://t.co/XhW94IrOIP #SalesforceTour #DC https://t.co/lzBGVWHIvL,Thu Apr 28 17:25:04 +0000 2016,en,3,False,0,False,,Marc Benioff,Benioff
RT @SalesforceOrg: Volunteer now at #SalesforceTour #DC in the Expo! Pack @RedCross preparedness kits for vulnerable populations! https://t…,Thu Apr 28 17:24:40 +0000 2016,en,6,False,0,False,,Marc Benioff,Benioff
Great article by @SusanWojcicki in @Adweek on the power of women!  https://t.co/wymWPwVGJU,Thu Apr 28 16:05:45 +0000 2016,en,8,False,11,False,,Marc Benioff,Benioff
"RT @SusanWojcicki: My interview with @CNNMoney about #womenintech, an issue I really care about. #women https://t.co/OEtcYExdDc",Thu Apr 28 16:04:30 +0000 2016,en,26,False,0,False,,Marc Benioff,Benioff
RT @SusanWojcicki: Appreciate @adweek letting me share my thoughts on how women are portrayed in advertising today: https://t.co/BQZng9BNy9,Thu Apr 28 16:03:44 +0000 2016,en,13,False,0,False,,Marc Benioff,Benioff
RT @TheAtlantic: Tennessee's new counseling bill and the meaninglessness of religious liberty https://t.co/gIiac7zsgr https://t.co/dG28S92K…,Thu Apr 28 15:59:40 +0000 2016,en,54,False,0,False,,Marc Benioff,Benioff
One of my friends put @realDonaldTrump on his prayer table to remind himself to love thy neighbor as thyself.MK12:31 https://t.co/YVMZ8eXGNR,Thu Apr 28 15:56:48 +0000 2016,en,10,False,46,False,,Marc Benioff,Benioff
