Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Inside the Deal: Brendan Wallace’s investment in Clutter. Thanks for the write-up Angellest! https://t.co/PTFhJbNbaU,Thu Apr 28 22:23:47 +0000 2016,en,0,False,3,False,,Brendan Wallace,BrendanFWallace
Google and the Feds Team Up to Build the City of the Future https://t.co/LMYU5XG9Yr via @WIRED,Thu Apr 28 18:39:45 +0000 2016,en,0,False,0,False,,Brendan Wallace,BrendanFWallace
Great Read on Leadership: https://t.co/neXk4oo0DB,Thu Apr 28 18:33:54 +0000 2016,en,0,False,0,False,,Brendan Wallace,BrendanFWallace
https://t.co/AVSEqParEP Expands in Europe to Add Vacation Rental Bookings https://t.co/wW953tzRrl via @technology,Tue Apr 26 19:50:04 +0000 2016,en,0,False,0,False,,Brendan Wallace,BrendanFWallace
"The driverless truck is coming, and it’s going to automate millions of jobs https://t.co/jXea7rUs1R via @techcrunch",Tue Apr 26 19:11:41 +0000 2016,en,0,False,0,False,,Brendan Wallace,BrendanFWallace
Who Are The Top Real Estate Tech VCs? All Their Investments In One Infographic https://t.co/I9oiSFECe1 via @cbinsights,Mon Apr 25 18:49:33 +0000 2016,en,0,False,0,False,,Brendan Wallace,BrendanFWallace
Greed always turns to fear when the greedy become self-aware. And the greediest become the most fearful. Inspiration:https://t.co/plgLH1znLw,Mon Apr 25 17:28:52 +0000 2016,en,0,False,0,False,,Brendan Wallace,BrendanFWallace
"RT @levie: 2008: ""A good electric car below $100K won't happen""
2012: ""A good electric car below $60K won't happen""
2016: ""Screw it, here's…",Mon Apr 25 15:49:48 +0000 2016,en,556,False,0,False,,Brendan Wallace,BrendanFWallace
Property Market Wakes Up To Proptech - Pivotl Pivotl https://t.co/x0ty98rQed,Mon Apr 25 13:49:25 +0000 2016,cs,0,False,0,False,,Brendan Wallace,BrendanFWallace
"Chicago, hillaryclinton @christinaktla @ Chicago Lakefront https://t.co/Z8sBR0H3Z9",Sat Apr 23 21:32:18 +0000 2016,en,0,False,0,False,"{'coordinates': [-87.64755926, 41.97357247], 'type': 'Point'}",Brendan Wallace,BrendanFWallace
RT @VentureScanner: Understanding The State of Real Estate Technology in Ten Visuals: https://t.co/p0lCU4maOF #RealEstate #PropTech https:/…,Sat Apr 23 20:43:40 +0000 2016,en,4,False,0,False,,Brendan Wallace,BrendanFWallace
Meet the Technology Startups Disrupting Luxury Real Estate https://t.co/RpxD74sPN1,Fri Apr 22 16:53:05 +0000 2016,en,1,False,0,False,,Brendan Wallace,BrendanFWallace
"@asanwal this would be a great addition to CB's ""Foot In Mouth"" series. https://t.co/b29V0MgHJy",Fri Apr 22 16:51:41 +0000 2016,en,0,False,1,False,,Brendan Wallace,BrendanFWallace
30 Corporations Working On Autonomous Vehicles https://t.co/wJT92BeORw via @cbinsights,Thu Apr 21 22:39:41 +0000 2016,en,0,False,0,False,,Brendan Wallace,BrendanFWallace
RT @TechCrunch: Cabify raises $120m at a $320m valuation led by Rakuten to take on Uber in Latin America https://t.co/b4hzws4BH2 by @ingrid…,Wed Apr 20 16:56:17 +0000 2016,en,82,False,0,False,,Brendan Wallace,BrendanFWallace
Amazing to have been a part from the beginning! @Cabify raises $120m @ $320m valuation  https://t.co/cUeCY8QNOw via @techcrunch,Wed Apr 20 16:17:16 +0000 2016,en,0,False,1,False,,Brendan Wallace,BrendanFWallace
