Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Yamaha Motor Ventures &amp; Laboratory Silicon Valley is looking to hire an Accountant &amp; Venture Analyst, for details: https://t.co/5eDv2FlAat",Mon Mar 14 01:21:43 +0000 2016,en,2,False,2,False,,George Kellerman,GeorgeKellerman
"My daughter's good friend is missing.  If you see anyone resembling Radwan, then please call 911 (or me). https://t.co/1JhEKbd7de",Thu Feb 25 02:16:52 +0000 2016,en,0,False,0,False,,George Kellerman,GeorgeKellerman
"RT @rosepowell: This, @cliffobrecht on the many times Canva was rejected in early years, is awesome. Fun @davemcclure impersonation https:/…",Thu Dec 03 06:30:17 +0000 2015,en,4,False,0,False,,George Kellerman,GeorgeKellerman
"RT @MuslimMarine: Hey @realDonaldTrump, I'm an American Muslim and I already carry a special ID badge. Where's yours?
#SemperFi
#USMC https…",Sun Nov 22 23:15:33 +0000 2015,en,38880,False,0,False,,George Kellerman,GeorgeKellerman
RT @BhadeliaMD: @realDonaldTrump here is my special ID- I used it to treat almost 500 patients w Ebola over last year @MuslimMarine https:/…,Sun Nov 22 23:15:26 +0000 2015,en,262,False,0,False,,George Kellerman,GeorgeKellerman
RT @HondaJP: CBR1000RR SPで風を切っている風のMOTOBOT君。かっくいぃ！ @yamaha_bike  #東京モーターショー #44thtms #TMS2015 #パワどり https://t.co/NJ45xebk6f,Mon Nov 02 23:44:40 +0000 2015,ja,187,False,0,False,,George Kellerman,GeorgeKellerman
Motobot is coming for @ValeYellow46 https://t.co/0A8CtpjShe @_ymvsv @YamahaMotorUSA,Wed Oct 28 06:41:49 +0000 2015,en,1,False,3,False,,George Kellerman,GeorgeKellerman
"If I had to bet on AngelList (the tortoise) or unicorns (the hares), I'd bet on AL every time https://t.co/RDBRm0Uzwq @naval @AngelList",Wed Oct 14 23:48:17 +0000 2015,en,1,False,3,False,,George Kellerman,GeorgeKellerman
RT @SF_Asia_: Join @mikihiro_yasuda @GeorgeKellerman &amp; Yahoo! Japan for Asian Corp #SiliconValley #tech VC funding chat @beGLOBALSF http://…,Mon Oct 12 21:34:04 +0000 2015,en,5,False,0,False,,George Kellerman,GeorgeKellerman
"Q: What makes a great VC? A: endless curiosity, a passion for learning, a rigorous work ethic...  http://t.co/YT0Qjrenqn Well said @bijan",Mon Oct 12 21:33:20 +0000 2015,en,0,False,1,False,,George Kellerman,GeorgeKellerman
RT @beGLOBALSF: @GeorgeKellerman of Yamaha Motor Ventures will speak about 'The Rise of Asian Corporations in Silicon Valley’ @beGLOBALSF,Wed Oct 07 22:20:25 +0000 2015,en,1,False,0,False,,George Kellerman,GeorgeKellerman
Excited to meet some great companies at Motor City's largest startup event ever! @techstars #TSMobility #TSDemoDay http://t.co/09biCkasBJ,Thu Sep 10 19:56:54 +0000 2015,en,0,False,5,False,,George Kellerman,GeorgeKellerman
"Excited to join Hiroshi Saijou, Amish Parashar, @japanesejay, and Tomomi Kurechii at Yamaha Motor Ventures &amp; Laboratory Silicon Valley today",Tue Aug 04 03:48:27 +0000 2015,en,3,False,10,False,,George Kellerman,GeorgeKellerman
Symbols of hate have no place in our gov. Add your name: Remove the Confederate flag! http://t.co/tnBphj3MFd #CharlestonShooting @moveon,Fri Jun 19 20:20:55 +0000 2015,en,2,False,4,False,,George Kellerman,GeorgeKellerman
Techstars Acquires UP Global Including Startup Weekend and Other Programs - Techstars http://t.co/yE96lYsJQt via @nuzzel thanks @marksolon,Tue Jun 16 14:19:35 +0000 2015,en,0,False,5,False,,George Kellerman,GeorgeKellerman
"RT @nytimes: RT: @nytimestravel 36 Hours in Zagreb, a city with both chic and cobbled-street charms. http://t.co/FYkvTLqTY4 http://t.co/Kik…",Fri Jun 12 21:07:24 +0000 2015,en,38,False,0,False,,George Kellerman,GeorgeKellerman
