Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @rjotweets: Thank you #tinder for introducing me to the love of my life #shesaidyes ! @seanrad @Justin_Mateen http://t.co/1UrOSVkdcK,Mon Jun 22 15:58:23 +0000 2015,en,14,False,0,False,,Justin Mateen,Justin_Mateen
RT @UberFacts: Every minute on Tinder... http://t.co/JCpBFLfj35 http://t.co/wcD7sBfjIX,Fri Apr 25 21:02:16 +0000 2014,en,117,False,0,False,,Justin Mateen,Justin_Mateen
I'm waiting for my right swipe @katyperry,Fri Apr 25 18:59:57 +0000 2014,en,7,False,38,False,,Justin Mateen,Justin_Mateen
RT @usweekly: The co-founder of Tinder has issued a statement pleading with athletes to focus on the Olympic Games: http://t.co/SVzb2nEPCs …,Thu Feb 13 19:13:46 +0000 2014,en,28,False,0,False,,Justin Mateen,Justin_Mateen
RT @Tinder: Everytime I get a match on #Tinder #VINE EDITION! http://t.co/jRMiTshTXh,Fri Jan 31 19:49:20 +0000 2014,en,12,False,0,False,,Justin Mateen,Justin_Mateen
RT @xo__ro: Remember when meeting ppl online was so taboo? Tinder changed all that lol,Fri Jan 31 19:48:32 +0000 2014,en,1,False,0,False,,Justin Mateen,Justin_Mateen
"RT @GirlCode: When your friend won’t stop looking at her phone, there’s an 85% chance she’s on Tinder. #truth",Mon Jan 27 23:13:45 +0000 2014,en,193,False,0,False,,Justin Mateen,Justin_Mateen
RT @ReggieBush: Whoa earthquake!!!! Did anyone else feel that?,Fri Jan 17 13:30:48 +0000 2014,en,68,False,0,False,,Justin Mateen,Justin_Mateen
RT @atrak: We showed up at this guy’s house last night for the house party and turns out him &amp; his friends founded Tinder. 👉👈,Tue Dec 17 17:02:16 +0000 2013,en,14,False,0,False,,Justin Mateen,Justin_Mateen
RT @aplusk: Bitcoin Black Friday https://t.co/tVGMevHAzi,Thu Nov 28 18:39:47 +0000 2013,en,281,False,0,False,,Justin Mateen,Justin_Mateen
"RT @Forbes: Dating app Tinder goes abroad: UK, Brazil and... Dubai? http://t.co/nnp0EA9vx5",Tue Nov 26 02:46:06 +0000 2013,en,26,False,0,False,,Justin Mateen,Justin_Mateen
"RT @oliviawilde: Guy at concert: ""Hey it's me, Sean, from Tinder. Remember??!"" - No, Sean. I don't. I think that was my (hopefully) unpregn…",Tue Oct 29 01:12:06 +0000 2013,en,218,False,0,False,,Justin Mateen,Justin_Mateen
RT @PennyChic: #leaderswholead RT “@Tinder: #Tinder CEO + CMO @seanrad + @justin_mateen talking at #digicon: game changers @… http://t.co/q…,Sun Oct 20 02:16:14 +0000 2013,en,1,False,0,False,,Justin Mateen,Justin_Mateen
