Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Sickest tech burn of all time. h/t @danprimack https://t.co/PknmZSsLrw,Thu Apr 28 02:28:33 +0000 2016,en,95,False,256,False,,Aaron Levie,levie
That might be your primary issue... https://t.co/S5pPUXByAP,Wed Apr 27 01:17:30 +0000 2016,en,96,False,388,False,,Aaron Levie,levie
"RT @Adobe: Create, edit and now sign anywhere. 5 ways @BoxHQ and @AdobeDocCloud help you work: https://t.co/QBqtDia9RW https://t.co/twEOG25…",Tue Apr 26 16:12:43 +0000 2016,en,18,False,0,False,,Aaron Levie,levie
"Haven't seen the latest episode of Silicon Valley, but unless Pied Piper has pivoted into being a chat bot app, it's no longer realistic.",Mon Apr 25 05:03:38 +0000 2016,en,578,False,1212,False,,Aaron Levie,levie
"How the tech industry works:
2015: Drones are going to be big
2016: Technology that lets you shoot down drones is going to be big",Wed Apr 20 20:43:41 +0000 2016,en,402,False,560,False,,Aaron Levie,levie
Our government(s) continue to imagine a digital world that operates just like the physical one. This won't scale. https://t.co/YtVDiQIAid,Tue Apr 19 22:15:36 +0000 2016,en,146,False,208,False,,Aaron Levie,levie
"So what I'm really trying to say here is:
1. I'm pro bots
2. Congrats to @davidmarcus &amp; team!
3. My punctuation skills have improved",Tue Apr 12 22:23:55 +0000 2016,en,24,False,213,False,,Aaron Levie,levie
"A few months before starting Box, I mostly just sat around sending founders random ideas with horrible punctuation. https://t.co/0WUQzEzunl",Tue Apr 12 21:55:36 +0000 2016,en,551,False,1698,False,,Aaron Levie,levie
Our customers operate everywhere in the world. We're now making that easier in the cloud. https://t.co/xLUfLZhFk1,Tue Apr 12 14:18:24 +0000 2016,en,30,False,94,False,,Aaron Levie,levie
.@elonmusk Glad to hear it! Let me know if you need any beta testers.,Sat Apr 09 01:00:37 +0000 2016,en,22,False,298,False,,Aaron Levie,levie
".@elonmusk when do pre-orders start for the $35,000 SpaceX rocket?",Sat Apr 09 00:25:46 +0000 2016,en,351,False,1072,False,,Aaron Levie,levie
"""I landed a rocket on a floating barge"" - something most of us can't say about our week. https://t.co/jOQpmmO6CN",Fri Apr 08 21:27:15 +0000 2016,en,134,False,258,False,,Aaron Levie,levie
Incredibly sad to see so many states implement regressive laws that will only hold them and their people back. https://t.co/CHYTc8WoW4,Wed Apr 06 16:56:39 +0000 2016,en,73,False,143,False,,Aaron Levie,levie
"""When I grow up I want to change banking forever""
""And cars""
""And space travel""

""Elon how about doing something practical like accounting?""",Sun Apr 03 18:26:42 +0000 2016,en,995,False,1627,False,,Aaron Levie,levie
"From this point forward, any private alpha product that doesn't generate $7.5B in pre-orders is just lame.",Fri Apr 01 16:52:03 +0000 2016,en,399,False,714,False,,Aaron Levie,levie
This feels like a relatively decent product launch. https://t.co/0X9VkjGMxp,Fri Apr 01 16:31:06 +0000 2016,en,164,False,306,False,,Aaron Levie,levie
"2008: ""A good electric car below $100K won't happen""
2012: ""A good electric car below $60K won't happen""
2016: ""Screw it, here's $1,000""",Fri Apr 01 04:40:34 +0000 2016,en,556,False,837,False,,Aaron Levie,levie
When you're running for president but the only research you did was watch The Bourne Identity. https://t.co/SSpVPngJoR,Wed Mar 30 03:56:49 +0000 2016,en,99,False,307,False,,Aaron Levie,levie
"Cloud computing:
2005: We'll solve your infrastructure needs
2015: We'll solve your vexing issues
2025: Let us just build your app for you",Wed Mar 23 18:59:18 +0000 2016,en,167,False,301,False,,Aaron Levie,levie
"And that's a wrap! All 9 classes of Industrialist's Dilemma are now online (Legendary, GE, Ford, are the latest): https://t.co/IQXuJRfLIF",Sat Mar 19 22:28:28 +0000 2016,en,183,False,558,False,,Aaron Levie,levie
Well that's certainly one of the more baller ways to announce your Instagram account. https://t.co/w0xy2gzZew,Sat Mar 19 16:17:47 +0000 2016,en,292,False,632,False,,Aaron Levie,levie
"Apparently Google is selling its robot dog unit. Considering this election, the last thing I'd do is get rid of any robot dogs competencies.",Fri Mar 18 05:05:38 +0000 2016,en,109,False,379,False,,Aaron Levie,levie
"Now would be a great time for Google to announce that Trump was just out of control A.I., and we all get free Google Fiber for our troubles.",Tue Mar 15 01:56:59 +0000 2016,en,465,False,918,False,,Aaron Levie,levie
"Trump on protesters: ""I hope you arrest them, I'll file whatever charges you want."" This is the scariest person in America.",Sun Mar 13 04:36:50 +0000 2016,en,257,False,517,False,,Aaron Levie,levie
"Some dude with the name 'Donald Trump' just said, ""That's why the country is so divided now!"" not ironically. https://t.co/DhelFwKcl8",Sat Mar 12 06:59:03 +0000 2016,en,76,False,186,False,,Aaron Levie,levie
"Things said before a startup gets bought for $1B:

""The tech will never work""
""Google will just own this space""
""Regulators won't allow it""",Fri Mar 11 17:03:26 +0000 2016,en,379,False,692,False,,Aaron Levie,levie
"As every industry goes digital, the market for tech is expanding by 10X. It's a great time to be building for previously unaddressed areas.",Fri Mar 11 16:43:32 +0000 2016,en,298,False,377,False,,Aaron Levie,levie
This is a huge move by GM! Some of the most interesting tech M&amp;A in the next decade will come from non-tech co's. https://t.co/lyPhaqHsL2,Fri Mar 11 15:49:15 +0000 2016,en,129,False,207,False,,Aaron Levie,levie
That awkward moment when Rubio says don't worry about climate change in the U.S. because India or China are worse and the audience claps.,Fri Mar 11 04:11:23 +0000 2016,en,285,False,534,False,,Aaron Levie,levie
Box passed $300M in revenue last year! 📦☁️🎉 https://t.co/BkCTS1tdH2,Wed Mar 09 21:25:39 +0000 2016,en,65,False,339,False,,Aaron Levie,levie
Brilliant overview of why security in the digital age doesn't map to the industrial age we're used to by @blakeross https://t.co/U3qpjoxLv6,Sat Mar 05 20:12:21 +0000 2016,en,90,False,143,False,,Aaron Levie,levie
Box stands behind @tim_cook and Apple in support of encryption. Here is our joint Amicus Brief filed today: https://t.co/QGuLagay0Q,Fri Mar 04 00:19:34 +0000 2016,en,189,False,463,False,,Aaron Levie,levie
I hereby take back any negative thing I've ever said about Mitt Romney. https://t.co/McloyPvBUf,Thu Mar 03 04:34:46 +0000 2016,en,37,False,273,False,,Aaron Levie,levie
"No matter how bad things get, just remember at least you're not Chris Christie right now.",Wed Mar 02 03:39:58 +0000 2016,en,116,False,373,False,,Aaron Levie,levie
"Apparently Google's self-driving car crashed into a bus at 2MPH. So it's confirmed: the robots will destroy us, just very, very slowly.",Tue Mar 01 03:27:45 +0000 2016,en,786,False,1058,False,,Aaron Levie,levie
"I mean if you can't get an Oscar after being mauled by a bear, why even become an actor.",Mon Feb 29 05:42:21 +0000 2016,en,99,False,326,False,,Aaron Levie,levie
"The next 3 classes of The Industrialist's Dilemma  (23andMe, Kaiser, Visa) are now up! Check them out at: https://t.co/IQXuJRfLIF",Sat Feb 27 19:26:41 +0000 2016,en,57,False,172,False,,Aaron Levie,levie
"Lincoln called this election: ""America will never be destroyed from the outside. If we falter... it will be because we destroyed ourselves.""",Sat Feb 27 05:28:39 +0000 2016,en,185,False,481,False,,Aaron Levie,levie
Someone wrote a bug into America.js and now everything is starting to break in really unpredictable ways.,Fri Feb 26 18:20:37 +0000 2016,en,166,False,313,False,,Aaron Levie,levie
"It came sooner than expected, but robot intelligence has surpassed that of leading presidential nominees. https://t.co/QxNne5yCld",Wed Feb 24 15:57:31 +0000 2016,en,298,False,494,False,,Aaron Levie,levie
A few thoughts on encryption and the digital age: https://t.co/eov5WKWxpx,Mon Feb 22 02:18:05 +0000 2016,en,90,False,188,False,,Aaron Levie,levie
"Really too bad the ""when all else fails, tweet a picture of a gun with your name on it"" strategy didn't work out. https://t.co/QyvCVnoKmk",Sun Feb 21 03:12:41 +0000 2016,en,171,False,478,False,,Aaron Levie,levie
This is the best endorsement Apple could ever hope for. https://t.co/pNprhMouET,Fri Feb 19 21:36:08 +0000 2016,en,657,False,957,False,,Aaron Levie,levie
"Simple security rule of thumb: don't build encryption for how the world is today, but how it could be if Donald Trump were President.",Thu Feb 18 16:19:24 +0000 2016,en,3613,False,3606,False,,Aaron Levie,levie
"If there were any lingering doubts about how serious Apple was about encryption, they just put those to rest. https://t.co/llu3rx0rnV",Wed Feb 17 16:44:14 +0000 2016,en,303,False,348,False,,Aaron Levie,levie
".@JebBush Actually, America. https://t.co/ltNZvwowqC",Wed Feb 17 02:16:16 +0000 2016,en,442,False,897,False,,Aaron Levie,levie
