Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
LIVE on #Periscope: test https://t.co/tMYXfJQtoc,Wed Mar 30 17:08:30 +0000 2016,en,0,False,1,False,,Paddy Holahan,NewWayPaddy
Tara Holahan. 6-1 news. Great foundation for future commemorations. @ireland2016  @ScoilLorcain https://t.co/UO9eQHU8hP,Mon Mar 28 17:12:03 +0000 2016,en,0,False,3,False,,Paddy Holahan,NewWayPaddy
Tara Ní Uallacháin ag na ceithre cúirte. @ScoilLorcain @ireland2016 https://t.co/u8GQPhC08X,Mon Mar 28 16:54:08 +0000 2016,cy,2,False,7,False,,Paddy Holahan,NewWayPaddy
@ireland2016 well done for taking care of 1st generation relatives and taking elderly folks from standing sections to fill seats.,Sun Mar 27 10:36:09 +0000 2016,en,0,False,2,False,,Paddy Holahan,NewWayPaddy
RT @ScoilLorcain: Seán Holohan ag caint faoi a athair Paddy Holohan. @dlrcc @1916Centenary https://t.co/TEUQ46Hbnq,Sat Mar 05 09:19:39 +0000 2016,cy,2,False,0,False,,Paddy Holahan,NewWayPaddy
RT @SpaceflightNow: Round-trip rocket flight gives SpaceX a trifecta of successes. Full story: https://t.co/G82dJQqZ8q https://t.co/21yeA0o…,Tue Dec 22 11:48:37 +0000 2015,en,118,False,0,False,,Paddy Holahan,NewWayPaddy
RT @Homestaycom: Got your hands on a last minute #RWC2015 ticket but need a place to stay? #Homestay has you covered: http://t.co/sgnBdWELl…,Thu Oct 08 21:09:28 +0000 2015,en,1,False,0,False,,Paddy Holahan,NewWayPaddy
RT @Techies4TS: Want to get your company involved in Techies4TempleStreet? Register a team now on our website:  http://t.co/SBkLBHbEWR,Fri Jul 31 08:08:39 +0000 2015,en,8,False,0,False,,Paddy Holahan,NewWayPaddy
RT @Homestaycom: Proud to be selected as alternative accommodation solution for the World Meeting of Families event in Philadelphia http://…,Sun Nov 30 07:14:06 +0000 2014,en,1,False,0,False,,Paddy Holahan,NewWayPaddy
#isaawards #asavie http://t.co/P5HvrQDByV,Fri Nov 21 22:51:48 +0000 2014,und,1,False,1,False,,Paddy Holahan,NewWayPaddy
Woo hoo #isaawards #asavie http://t.co/XlyEL0Q6Hh,Fri Nov 21 22:50:39 +0000 2014,en,4,False,2,False,,Paddy Holahan,NewWayPaddy
Newbay reunion! #isaawards #asavie http://t.co/3xa5QkVSoN,Fri Nov 21 20:53:59 +0000 2014,en,1,False,4,False,,Paddy Holahan,NewWayPaddy
great new @soundwave app http://t.co/1YePkC2sF7 #soundwaveV2,Thu Jul 17 10:17:06 +0000 2014,en,0,False,1,False,,Paddy Holahan,NewWayPaddy
"‘A real journey, physically and mentally’ http://t.co/SKwGYO6mv4 via @IrishTimes",Tue Jan 21 08:12:20 +0000 2014,en,1,False,0,False,,Paddy Holahan,NewWayPaddy
@Paris2Nice information meeting on wednesday at Hampton hotel 8pm. All welcome. #lifechanging #fundraising #2014goal,Mon Jan 20 15:34:08 +0000 2014,en,1,False,0,False,,Paddy Holahan,NewWayPaddy
"RT @Paris2Nice: Just a reminder re the next information meeting, which is on Wednesday 22nd in the Hampton Hotel at 8pm",Thu Jan 16 19:41:01 +0000 2014,en,4,False,0,False,,Paddy Holahan,NewWayPaddy
RT @Paris2Nice: Congrats mr two-burrito @paulhayesman  on joining #paris2nice  2014. Enjoy christmas.....training starts in feb. #lifechang…,Fri Dec 13 07:24:49 +0000 2013,en,2,False,0,False,,Paddy Holahan,NewWayPaddy
