Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @mashable: Bruce Springsteen honors Prince with 'Purple Rain' in Brooklyn https://t.co/fPpSxNL64u,Sun Apr 24 14:58:56 +0000 2016,en,87,False,0,False,,Scott Dorsey,ScottDorsey
We are so lucky to have @MLanj leading @TechPointInd - terrific event last night! #MiraAwards,Sun Apr 24 11:36:51 +0000 2016,en,7,False,18,False,,Scott Dorsey,ScottDorsey
RT @allytbrett: Proud to see so many members of the @OrrFellowship on stage tonight @MaxYoder @ianrun @MLanj @teresabay #MiraAwards https:/…,Sun Apr 24 11:35:14 +0000 2016,en,6,False,0,False,,Scott Dorsey,ScottDorsey
"Thank you! So incredibly well deserved, great night for Indy tech.  https://t.co/A3E8OWQJMe",Sun Apr 24 11:34:10 +0000 2016,en,0,False,6,False,,Scott Dorsey,ScottDorsey
Tom - thank you for your very inspirational speech tonight. Great tribute to Denver.  https://t.co/3mhmejF9Jk,Sun Apr 24 03:46:31 +0000 2016,en,0,False,6,False,,Scott Dorsey,ScottDorsey
Way to go @stpruden @appirio - awesome company and partner! Congrats! @TechPointInd #MiraAwards,Sun Apr 24 02:44:06 +0000 2016,en,13,False,26,False,,Scott Dorsey,ScottDorsey
+1  https://t.co/BnhC2ID0en,Sun Apr 24 02:29:37 +0000 2016,und,0,False,3,False,,Scott Dorsey,ScottDorsey
Huge congrats to visionary leader @smccorkle for winning @TechPointInd trailblazer award! Remarks were brilliant as always! #MiraAwards,Sun Apr 24 02:29:16 +0000 2016,en,12,False,43,False,,Scott Dorsey,ScottDorsey
Way to go Bill! Thanks for all you do for the tech community!  https://t.co/4xZjhlkDpA,Sun Apr 24 00:56:48 +0000 2016,en,0,False,3,False,,Scott Dorsey,ScottDorsey
Wonderful congrats to the talented @teresabay - she is such a rising star and lovely person! @TechPointInd #ForeverOrange #MiraAwards,Sun Apr 24 00:33:34 +0000 2016,en,6,False,27,False,,Scott Dorsey,ScottDorsey
Great night @TechPointInd Mira Awards!  https://t.co/2uaF4DWnYB,Sun Apr 24 00:26:54 +0000 2016,en,0,False,5,False,,Scott Dorsey,ScottDorsey
Awesome start! https://t.co/1a8aGSHRK7,Sat Apr 23 19:59:56 +0000 2016,en,0,False,3,False,,Scott Dorsey,ScottDorsey
"RT @jkrohrs: Prince's final concert in Atlanta is a stunning, finessed listen https://t.co/B3o5DFqlM7 via @dailydot",Sat Apr 23 16:37:31 +0000 2016,en,3,False,0,False,,Scott Dorsey,ScottDorsey
Go Mike! https://t.co/qja3z0ftot,Sat Apr 23 16:33:18 +0000 2016,en,0,False,0,False,,Scott Dorsey,ScottDorsey
"RT @JRHildebrand: Had some fun filming with @Hot_Wheels yesterday - IndyCars are pretty cool! (and make sweet racetrack surfaces, too) http…",Sat Apr 23 14:27:42 +0000 2016,en,5,False,0,False,,Scott Dorsey,ScottDorsey
"RT @benthompson: Whoa — Prince's Instagram account is amazing. Go to view as grid and scroll down

https://t.co/8zNLBZGkvR",Sat Apr 23 02:33:13 +0000 2016,en,86,False,0,False,,Scott Dorsey,ScottDorsey
RT @IndianaMBB: OG Anunoby (@OAnunoby) will return for his sophomore season at Indiana. #iubb #ForIndiana https://t.co/jNcSVnehNc,Fri Apr 22 12:57:16 +0000 2016,en,434,False,0,False,,Scott Dorsey,ScottDorsey
"RT @davelyuan: Growing legacy of ExactTarget. Go Orange! @ScottDorsey Scott McCorkle @tbkopp @akofoid, @Sameer_Kazi, @dp2…https://t.co/wY9M…",Fri Apr 22 10:45:41 +0000 2016,en,5,False,0,False,,Scott Dorsey,ScottDorsey
RT @tim_cook: Prince was a true innovator and a singular artist. His music and influence will live on for generations. Rest in peace.,Fri Apr 22 00:19:56 +0000 2016,en,3479,False,0,False,,Scott Dorsey,ScottDorsey
@Sameer_Kazi @smccorkle Really miss working with you guys every day! https://t.co/6K4fMibGt6,Fri Apr 22 00:13:37 +0000 2016,en,1,False,0,False,,Scott Dorsey,ScottDorsey
"HUGE congrats to @smccorkle! True trailblazer, visionary, gifted communicator, amazing work ethic + awesome guy! https://t.co/4lnI2f9T7K",Thu Apr 21 22:17:21 +0000 2016,en,8,False,25,False,,Scott Dorsey,ScottDorsey
SB 41 - Colts win and Prince = awesome. https://t.co/ZNpgH1l1vV,Thu Apr 21 21:38:46 +0000 2016,en,2,False,2,False,,Scott Dorsey,ScottDorsey
Fantastic to announce our winners from the @iusoic BEST business plan competition. Congrats to these entrepreneurs! https://t.co/1U6CwdxQfX,Thu Apr 21 20:51:53 +0000 2016,en,2,False,7,False,,Scott Dorsey,ScottDorsey
Thanks @rothscott - proud of you!,Thu Apr 21 11:34:13 +0000 2016,en,0,False,1,False,,Scott Dorsey,ScottDorsey
