Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
last chance 2 get the @GPen Snoop G bundle on sale thru the weeknd !! #GPen #GBundle https://t.co/Fiy5FJ3LpP https://t.co/XvhMZPgopZ,Sat Apr 23 17:15:03 +0000 2016,en,123,False,560,False,,Snoop Dogg,SnoopDogg
chilln wit the OG kitten #keanu !! talkin 2 @NiaLong @keeganmkey n @JordanPeele tues on #GGN. checc @Keanumovie 4/29 https://t.co/JjCVcxLiGs,Fri Apr 22 18:34:42 +0000 2016,en,431,False,1645,False,,Snoop Dogg,SnoopDogg
"cadilacc blues 4 ur friday @Unclechucc ""Control Me"" #CadilaccMusic #DoggystyleRecords https://t.co/o9s7C6pNw2 https://t.co/U74sqtoSnC",Fri Apr 22 16:00:02 +0000 2016,en,65,False,238,False,,Snoop Dogg,SnoopDogg
"RT @TweedInc: We support patients' rights to grow at home. Our Care Centre is also growing too! #Happy420
https://t.co/2EhGtGbmJc https://t…",Thu Apr 21 21:44:53 +0000 2016,en,83,False,0,False,,Snoop Dogg,SnoopDogg
"s/o 2 my lil homie #YungZeke reppin for the streets !! ""My Niggaz"" #DoggystyleRecords #LBC https://t.co/fBKZ7UiEUG https://t.co/a1Dg0IjoJe",Thu Apr 21 18:53:56 +0000 2016,en,67,False,247,False,,Snoop Dogg,SnoopDogg
"comn to #MikeTysonMysteries Sunday (4/24) at 11:45 p.m. on @AdultSwim !! who watchn ??
https://t.co/LTc1yCrRR3",Thu Apr 21 18:26:06 +0000 2016,en,480,False,1171,False,,Snoop Dogg,SnoopDogg
RT @RevoltTV: Check out @iamkevingates performing at the @MERRYJANEMEDIA #wellness420 Retreat now LIVE on https://t.co/eqyW7y6UoD https://t…,Thu Apr 21 02:30:07 +0000 2016,en,35,False,0,False,,Snoop Dogg,SnoopDogg
tha 4/20 finale !! #HAPPY420 my hawaiian homies puffn tha #mauiwowie #halfbaked https://t.co/d6SCdpC5p4,Thu Apr 21 02:20:08 +0000 2016,en,485,False,1480,False,,Snoop Dogg,SnoopDogg
RT @GPen: #Happy420🍕We teamed up with our buds at @EAT24 to offer you $4.20 off your order today --&gt; https://t.co/6FNuHef6al https://t.co/U…,Wed Apr 20 20:25:23 +0000 2016,en,75,False,0,False,,Snoop Dogg,SnoopDogg
#happy420 !! live stream tha @merryjanemedia Wellness Retreat  wit @revoltv 6PM EST !! https://t.co/tZuW9dkbDc https://t.co/bsUcqSltQT,Wed Apr 20 19:38:05 +0000 2016,en,277,False,837,False,,Snoop Dogg,SnoopDogg
"RT @RevoltTV: .@MERRYJANEMEDIA x REVOLT presents @SnoopDogg #Wellness420 Retreat LIVE at https://t.co/eqyW7y6UoD starting @ 7pm ET
https://…",Wed Apr 20 18:30:38 +0000 2016,en,68,False,0,False,,Snoop Dogg,SnoopDogg
RT @nardwuar: Here's a new *interview* i did with @SnoopDogg in honour of 420! Doot doo ! https://t.co/YBjyojGCFm https://t.co/lNRKxAS92f,Wed Apr 20 18:28:15 +0000 2016,en,180,False,0,False,,Snoop Dogg,SnoopDogg
#happy420 roll up lite up press play !! prod. @MikeWiLLMadeIt #DoggystyleRecords #LateNights https://t.co/yAwmdzZR0N https://t.co/iRcExDONWe,Wed Apr 20 18:21:07 +0000 2016,en,225,False,585,False,,Snoop Dogg,SnoopDogg
"new single from my nef @Marcosus ""PUMPS"" #NP on soundcloud #DoggystyleRecords #LBC https://t.co/XssIX846nQ #newmusic",Wed Apr 20 15:30:01 +0000 2016,en,68,False,228,False,,Snoop Dogg,SnoopDogg
me on #420eve https://t.co/jd5MM6RMpf,Wed Apr 20 04:08:46 +0000 2016,en,7107,False,11766,False,,Snoop Dogg,SnoopDogg
follow @Funk_Sac n #SnoopsFunkSac 2 WIN a Hemp FunkLoc bag signed by unc Snoop. https://t.co/gJRmyhR1H9 https://t.co/uXDhX8PFUB,Wed Apr 20 02:00:05 +0000 2016,en,75,False,300,False,,Snoop Dogg,SnoopDogg
tmrw join me n tha homies @1future @iamkevingates #MerryJaneWellnessRetreat live on @RevoltTV 6pm ET https://t.co/tZuW9dkbDc @merryjanemedia,Wed Apr 20 01:16:08 +0000 2016,en,81,False,254,False,,Snoop Dogg,SnoopDogg
#DoggystyleTuesdays new singles frm @Marcosus @Unclechucc &amp; #YungZeke !! #DoggyStyleRecords https://t.co/9XlP32pqG6 https://t.co/pggYQKAtc6,Tue Apr 19 22:30:34 +0000 2016,en,70,False,237,False,,Snoop Dogg,SnoopDogg
new #GGN w my cuz @icecube !! checc it on @MERRYJANEMEDIA https://t.co/986W2etKuG #nwa #puffpuffpasstuesdays https://t.co/PvAJMpvkls,Tue Apr 19 19:22:18 +0000 2016,en,157,False,504,False,,Snoop Dogg,SnoopDogg
#PuffPuffPassTuesdays wht u smokn wit on 4/20 ??  better be tha @Gpen Snoop G bundle !   https://t.co/PYdk7XlqaA https://t.co/VUAug6Pmu6,Tue Apr 19 17:00:02 +0000 2016,en,145,False,570,False,,Snoop Dogg,SnoopDogg
"RT @XXL: .@IceCube shuts down Coachella with N.W.A, @SnoopDogg and @Common https://t.co/ty6kJdgK8X",Mon Apr 18 19:02:57 +0000 2016,en,310,False,0,False,,Snoop Dogg,SnoopDogg
"RT @MERRYJANEMEDIA: CAN'T MAKE IT TO DENVER? 

Watch @SnoopDogg #Wellness420 Retreat LIVE on @RevoltTV starting at 5PM (MST) on 4/20 https:…",Mon Apr 18 17:23:38 +0000 2016,en,116,False,0,False,,Snoop Dogg,SnoopDogg
Rocc wit me n my nef @1future on 4/20 ! @MERRYJANEMEDIA #WellnessRetreat tix: https://t.co/ve3XQS7DL7 https://t.co/ciLVgdxbKZ,Mon Apr 18 17:23:25 +0000 2016,en,161,False,506,False,,Snoop Dogg,SnoopDogg
on @Worldstar @ 12:30 !! new video from @JoobaTheMenace #Fallbacc directed by @therealdahdah #Doggystylerecords,Sat Apr 16 18:27:09 +0000 2016,en,74,False,259,False,,Snoop Dogg,SnoopDogg
RT @VibeMagazine: Stream J Dilla’s ‘The Diary’ album (feat. @Nas @SnoopDogg @Bilal &amp; more) https://t.co/WR90vAdxt8 https://t.co/IfTbZGC4OM,Fri Apr 15 19:06:44 +0000 2016,en,88,False,0,False,,Snoop Dogg,SnoopDogg
RT @funk_sac: WIN Custom FunkLoc signed by @SnoopDogg RT or USE #SnoopsFunkSac and FOLLOW @funk_sac to WIN! Winner picked on 4/20 https://t…,Fri Apr 15 18:10:55 +0000 2016,en,114,False,0,False,,Snoop Dogg,SnoopDogg
Catch me wit my cuz @MikeTyson on #MikeTysonMysteries Sunday 4/24 on @adultswim !! https://t.co/KS7YY8k5So,Fri Apr 15 17:16:48 +0000 2016,en,361,False,1170,False,,Snoop Dogg,SnoopDogg
S/o @YoungSagg20 frm tha #LBC !! Checc tha new single #Jealous !! https://t.co/4MpNTxusY8 #DoggystyleRecords,Fri Apr 15 00:15:52 +0000 2016,en,89,False,260,False,,Snoop Dogg,SnoopDogg
Cali !! catch me n my nef @wizkhalifa ! 4/23 @MERRYJANEMEDIA #WellnessRetreat tix: https://t.co/KL8zNGic8u https://t.co/TOQPiJGCEp,Thu Apr 14 15:54:07 +0000 2016,en,178,False,576,False,,Snoop Dogg,SnoopDogg
#NHLBracket @NHL get it in !! https://t.co/l6rXTKyOBz,Thu Apr 14 00:04:50 +0000 2016,en,710,False,1317,False,,Snoop Dogg,SnoopDogg
#pomona city stand up !! @PomonaDrey #PomonaVsEverybody! https://t.co/WY5xQJHHgK #DoggystyleRecords https://t.co/OAYxNO4HoE,Wed Apr 13 23:42:24 +0000 2016,en,68,False,214,False,,Snoop Dogg,SnoopDogg
Rocc wit me n my nef @1future on 4/20 ! @MERRYJANEMEDIA #WellnessRetreat tix: https://t.co/ve3XQS7DL7 https://t.co/Iz1FHyMB42,Wed Apr 13 20:47:46 +0000 2016,en,164,False,557,False,,Snoop Dogg,SnoopDogg
"Next up on #DoggystyleTuesdays @redgrantlaughs aka Nichols Minaj ""Kinda"" prod. by Moolah!! #DoggystyleRecords https://t.co/ZHpmZJoIUI",Tue Apr 12 20:00:03 +0000 2016,en,58,False,215,False,,Snoop Dogg,SnoopDogg
#puffpuffpasstuesdays what u smokn on ? Get that #doublegseries #GSLIM @gpen !! $19.99 https://t.co/o41lhAe9JO https://t.co/8ISL19VRj3,Tue Apr 12 18:26:09 +0000 2016,en,228,False,999,False,,Snoop Dogg,SnoopDogg
"RT @LetiLemons: #ifsnoopownedroscoes I'd become a meat eater, fuck those 14 years of being meatless 🍗🍖🍗 @SnoopDogg",Tue Apr 12 15:18:05 +0000 2016,en,31,False,0,False,,Snoop Dogg,SnoopDogg
abt to smoke wit my homegirl @ilazer frm @broadcity on #GGN !! What u want me to ask her ?? #askbroadcity https://t.co/C5TF8pANne,Tue Apr 12 00:05:23 +0000 2016,en,656,False,2648,False,,Snoop Dogg,SnoopDogg
CA !! catch me n my fam @wizkhalifa @berner415 @problem354 @theaermusic 4/23 @MERRYJANEMEDIA #WellnessRetreat. tix: https://t.co/KL8zNGic8u,Mon Apr 11 23:25:20 +0000 2016,en,79,False,238,False,,Snoop Dogg,SnoopDogg
Come hang wit me n @1future @iamkevingates @torylanez @RavenFelix on 4/20 !! @MERRYJANEMEDIA #WellnessRetreat tix: https://t.co/ve3XQS7DL7,Mon Apr 11 23:21:16 +0000 2016,en,66,False,234,False,,Snoop Dogg,SnoopDogg
RT @XXL: .@SnoopDogg previews new song with @NipseyHussle and @JustBlaze 👀 https://t.co/eC6V34ZIaN,Mon Apr 11 21:07:42 +0000 2016,en,267,False,0,False,,Snoop Dogg,SnoopDogg
RT @SaveRoscoes: #IfSnoopOwnedRoscoes ...,Mon Apr 11 18:37:26 +0000 2016,und,74,False,0,False,,Snoop Dogg,SnoopDogg
😂  who did this ?? https://t.co/TkHy1JNgBu,Mon Apr 11 18:10:52 +0000 2016,en,144,False,430,False,,Snoop Dogg,SnoopDogg
RT @slickswiftum: @SnoopDogg #ifsnoopownedroscoes He could easily bring the brand to #Colorado. He already has business ventures here and #…,Sun Apr 10 23:58:40 +0000 2016,en,14,False,0,False,,Snoop Dogg,SnoopDogg
RT @ContenderZ: @SnoopDogg #ifsnoopownedroscoes we wouldnt have to eat this watered down waffle house shit in #colorado for #chicken and #w…,Sun Apr 10 23:58:29 +0000 2016,en,16,False,0,False,,Snoop Dogg,SnoopDogg
RT @mqg6913: #ifsnoopownedRoscoes that means a legend of marketing and brand development would take Roscoes to another level! @SnoopDogg,Sun Apr 10 03:55:13 +0000 2016,en,17,False,0,False,,Snoop Dogg,SnoopDogg
"RT @ftldybug: @SnoopDogg #ifsnoopownedRoscoes 
Snoop would be a life saver for saving roscoes 💯 https://t.co/sg0iRXEZIV",Sun Apr 10 03:55:02 +0000 2016,en,48,False,0,False,,Snoop Dogg,SnoopDogg
RT @ta2edxxx: @SnoopDogg  #ifsnoopownedroscoes maybe we would finally get to see what the hype is here in Canada.,Sun Apr 10 03:54:56 +0000 2016,en,14,False,0,False,,Snoop Dogg,SnoopDogg
RT @EO7: #ifsnoopownedroscoes perfection would be perfected...from a young G's perspective,Sat Apr 09 21:19:32 +0000 2016,en,31,False,0,False,,Snoop Dogg,SnoopDogg
RT @PhvckKasper: #IfSnoopOwnedRoscoes I'm taking a Road Trip to Cali A$AP.,Sat Apr 09 21:18:58 +0000 2016,en,23,False,0,False,,Snoop Dogg,SnoopDogg
RT @OfficialAkshay: @SnoopDogg #ifsnoopownedRoscoes then he wouldbring it to INDIA 🔥🔥,Sat Apr 09 21:18:44 +0000 2016,en,21,False,0,False,,Snoop Dogg,SnoopDogg
"RT @zarlinga_27: #ifsnoopownedroscoes make sure you have a little Debbie's snack corner. That's where the real munchies are at. 😂😊
@SnoopDo…",Sat Apr 09 15:30:02 +0000 2016,en,23,False,0,False,,Snoop Dogg,SnoopDogg
RT @THR: N.W.A Shuts Down Gene Simmons During Rock Hall Induction Speech https://t.co/aYe4ENCOyh  #RockHall2016 https://t.co/qkysEeDQKM,Sat Apr 09 15:26:31 +0000 2016,en,607,False,0,False,,Snoop Dogg,SnoopDogg
Me and Tha King !!! @roscoesofficial  https://t.co/HuxJ8cADaK,Sat Apr 09 15:25:01 +0000 2016,en,74,False,231,False,,Snoop Dogg,SnoopDogg
RT @NolanPStewart: @SnoopDogg #ifsnoopownedroscoes I wouldn't be tweeting this hashtag. I'd be at roscoes.,Sat Apr 09 15:21:15 +0000 2016,en,28,False,0,False,,Snoop Dogg,SnoopDogg
RT @CPTHWDYCA: #ifsnoopownedRoscoes he saved a big piece of LA HISTORY,Sat Apr 09 15:20:54 +0000 2016,en,26,False,0,False,,Snoop Dogg,SnoopDogg
RT @PancakezYT: @SnoopDogg #ifsnoopownedroscoes his ads would be in snoopavision,Sat Apr 09 15:20:45 +0000 2016,en,22,False,0,False,,Snoop Dogg,SnoopDogg
"RT @INhuskers: @SnoopDogg #ifsnoopownedroscoes He needs to open one up here in Fort Wayne, be here for the grand opening and another show a…",Sat Apr 09 15:20:30 +0000 2016,en,13,False,0,False,,Snoop Dogg,SnoopDogg
"RT @KIALUI: #ifsnoopownedroscoes the happy meal will be really a ""HAPPY"" meal with glass toys and free snacks on 420 @SnoopDogg",Sat Apr 09 15:20:16 +0000 2016,en,18,False,0,False,,Snoop Dogg,SnoopDogg
RT @dowling76: @SnoopDogg  #ifsnoopownedroscoes he could bring some chicken and waffles to The Land #Ohio,Sat Apr 09 15:19:55 +0000 2016,en,14,False,0,False,,Snoop Dogg,SnoopDogg
"RT @_Brac13: #ifsnoopownedRoscoes I wouldn't mind being seated in the ""Smoking"" section 😎 https://t.co/TVQJk74CHR",Sat Apr 09 15:19:47 +0000 2016,en,40,False,0,False,,Snoop Dogg,SnoopDogg
RT @ScootDatBoi: #ifSnoopOwnedRoscoes He'd have to bring One to the Mil! #414work #BrewCity #GreenNGold @SnoopDogg look out for ya nephew,Sat Apr 09 15:19:40 +0000 2016,en,16,False,0,False,,Snoop Dogg,SnoopDogg
RT @LDJ954: #IfSnoopOwnedRoscoes I'd hope he'd open one in South Florida. 🍗 @SnoopDogg,Sat Apr 09 15:19:34 +0000 2016,en,12,False,0,False,,Snoop Dogg,SnoopDogg
RT @quiet_boy92: #ifsnoopownedroscoes he'd franchise it in the middle east 😍 because I'm sick KFC,Sat Apr 09 15:19:29 +0000 2016,en,13,False,0,False,,Snoop Dogg,SnoopDogg
RT @Keme_TheProphet: #Ifsnoopownedroscoes You would hear BUSH as you walked in the doors https://t.co/82Hfhn5g89,Sat Apr 09 15:19:13 +0000 2016,en,13,False,0,False,,Snoop Dogg,SnoopDogg
"RT @20thPrimarch: #ifsnoopownedroscoes The world would be a brighter place, because everyone should be able to enjoy chicken and waffles. @…",Sat Apr 09 15:18:58 +0000 2016,en,16,False,0,False,,Snoop Dogg,SnoopDogg
RT @tgodcrew420: @SnoopDogg #ifsnoopownedroscoes  the chicken game would never be the same 🍗🍗🍗🍗,Sat Apr 09 15:18:41 +0000 2016,en,22,False,0,False,,Snoop Dogg,SnoopDogg
