Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"""Best sports deal ever done"" architect passes away; spirit lives on... https://t.co/AbtsB0L6lZ",Fri Apr 29 14:13:30 +0000 2016,en,2,False,1,False,,Ted Leonsis,TedLeonsis
RT @BulletsForever: Several Mystics players also attended the Capitals playoff game vs. the Penguins https://t.co/lvhW2MxJSF https://t.co/f…,Fri Apr 29 13:57:49 +0000 2016,en,5,False,0,False,,Ted Leonsis,TedLeonsis
"Thank you Metro, thank you Jack Evans! https://t.co/f1uvXJx2Pv",Fri Apr 29 13:06:18 +0000 2016,en,2,False,21,False,,Ted Leonsis,TedLeonsis
Liberty and Justice:Live camera action of baby eagles here from Anacostia! Watch and be amazed.  https://t.co/mJoCMShxkk,Fri Apr 29 11:46:18 +0000 2016,en,5,False,14,False,,Ted Leonsis,TedLeonsis
I missed this one; Gheorghe Muresan's son to attend Georgetown University: Hoya Saxa https://t.co/nTRhmvZVZB,Thu Apr 28 20:38:28 +0000 2016,en,13,False,14,False,,Ted Leonsis,TedLeonsis
"$20b in sales, $5 at a time! I would vote for Howard if he ran..https://t.co/MrRFkJ7ztO",Thu Apr 28 19:14:50 +0000 2016,en,2,False,12,False,,Ted Leonsis,TedLeonsis
Social streaming via OTT. Facebook tests it out! https://t.co/7BxQlVB5R3,Thu Apr 28 17:06:25 +0000 2016,en,4,False,4,False,,Ted Leonsis,TedLeonsis
Bridge the digital divide--provide high speed access to underserved communities! Go for it https://t.co/JRcjIeMVd7,Thu Apr 28 16:49:05 +0000 2016,en,5,False,3,False,,Ted Leonsis,TedLeonsis
"I am proud of Sarah Spain,  a real talent, a great leader. https://t.co/3C90nDCVlJ",Thu Apr 28 10:49:36 +0000 2016,en,4,False,14,False,,Ted Leonsis,TedLeonsis
Welcome Scott Brooks... https://t.co/ttVjTA3MhK,Thu Apr 28 03:15:40 +0000 2016,en,4,False,18,False,,Ted Leonsis,TedLeonsis
"RT @CapitalsPR: News: @MSEFndn Launches So Kids Can FanAngel Campaign: https://t.co/1nLQrbYJIx
Campaign: https://t.co/tXOULifoiw https://t.…",Wed Apr 27 16:22:23 +0000 2016,en,8,False,0,False,,Ted Leonsis,TedLeonsis
We love hosting Ron Weber in our owner's box; he always keeps score https://t.co/Lfyp6QGq80,Wed Apr 27 14:07:46 +0000 2016,en,0,False,6,False,,Ted Leonsis,TedLeonsis
Best primer on virtual reality here; this one is thorough and good! https://t.co/cENzWi9pI4,Wed Apr 27 12:51:20 +0000 2016,en,3,False,8,False,,Ted Leonsis,TedLeonsis
"Mickey Berra, the famous sky hook shot at Kennedy Center here.  https://t.co/HqRZz2SuGH",Wed Apr 27 02:29:11 +0000 2016,en,0,False,4,False,,Ted Leonsis,TedLeonsis
"Legendary Mickey Berra, 51 years running Kennedy Center. https://t.co/u0OfzCnsJL",Wed Apr 27 02:07:22 +0000 2016,en,0,False,24,False,,Ted Leonsis,TedLeonsis
Stars are out at the Kennedy Center.  @DC_CAP https://t.co/64GOjyeiQj,Wed Apr 27 01:53:31 +0000 2016,en,4,False,17,False,,Ted Leonsis,TedLeonsis
No pre game jitters here at Kennedy Center https://t.co/prBbvucZRQ,Tue Apr 26 22:53:47 +0000 2016,en,3,False,38,False,,Ted Leonsis,TedLeonsis
"@DC_CAP selfie: Davies, @markriveramusic and moi https://t.co/vQQ8zszqFy",Tue Apr 26 22:41:43 +0000 2016,en,2,False,7,False,,Ted Leonsis,TedLeonsis
"RT @WashWizards: OFFICIAL: #Wizards Hire Scott Brooks as Head Coach

Welcome to DC, Coach Brooks!

Release: https://t.co/lE8zW6ECb1 https:/…",Tue Apr 26 20:16:20 +0000 2016,en,970,False,0,False,,Ted Leonsis,TedLeonsis
The Wealth Gap and ongoing importance of a college degree; important data here: https://t.co/JqecJeSwg9,Tue Apr 26 15:38:22 +0000 2016,en,1,False,3,False,,Ted Leonsis,TedLeonsis
True local champions graduate with support of @DC_CAP! Touching news coverage https://t.co/Eh0WERvUS0,Tue Apr 26 15:04:43 +0000 2016,en,2,False,3,False,,Ted Leonsis,TedLeonsis
"Epidemic: Watch ""Drugged: High On Heroin."" This is a huge new issue for a new generation. Sad. Click. https://t.co/PV2DJTTi1j",Tue Apr 26 14:31:27 +0000 2016,en,1,False,3,False,,Ted Leonsis,TedLeonsis
Truly creative use of big data here --infographics galore https://t.co/FFQpRweZpk,Tue Apr 26 14:04:02 +0000 2016,en,3,False,6,False,,Ted Leonsis,TedLeonsis
"President Obama gives a custom @Shinola watch to UK Prime Minister as a gift from the American people, read this: https://t.co/ZdKUFt4Ycc",Tue Apr 26 13:40:43 +0000 2016,en,4,False,12,False,,Ted Leonsis,TedLeonsis
Distracted Driving: yesterday I saw a young woman applying makeup and texting while driving on GW Parkway; check out https://t.co/1JCP8dOtBW,Tue Apr 26 13:24:05 +0000 2016,en,2,False,13,False,,Ted Leonsis,TedLeonsis
The Sounds of Movie Music Gala at Kennedy Center for @DC_CAP tonight! Details here: https://t.co/xO3Eyk3ZTN,Tue Apr 26 13:06:47 +0000 2016,en,3,False,4,False,,Ted Leonsis,TedLeonsis
"For Mother's Day: high value, great quality, shop local or online: @Shinola
https://t.co/pTbiQjDZzK",Mon Apr 25 13:48:11 +0000 2016,en,1,False,4,False,,Ted Leonsis,TedLeonsis
Donald Trump: The ultimate unicorn of Silicon Valley creation; funny. Read this one. https://t.co/OC7pHqFZRc,Mon Apr 25 13:08:02 +0000 2016,en,3,False,7,False,,Ted Leonsis,TedLeonsis
RT @verizoncenterpr: Just announced! @Drake live on 8/19 @verizoncenterpr #SummerSixteenTour Tickets go on sale 4/29 at 10am,Mon Apr 25 12:15:55 +0000 2016,en,60,False,0,False,,Ted Leonsis,TedLeonsis
"Good thing David  isnt CEO of Twitter:-). He made a good move here.
 https://t.co/85J4jugsAR",Mon Apr 25 00:53:43 +0000 2016,en,3,False,14,False,,Ted Leonsis,TedLeonsis
Said a sincere thank you here. https://t.co/GHXjkfT6RI,Sun Apr 24 20:31:45 +0000 2016,en,50,False,240,False,,Ted Leonsis,TedLeonsis
Classy In Philly ! https://t.co/GFxKqSRmUp,Sun Apr 24 19:41:57 +0000 2016,en,46,False,240,False,,Ted Leonsis,TedLeonsis
Leaving Philly with a win- a very hard fought series. https://t.co/1FvL9eiydU,Sun Apr 24 19:22:50 +0000 2016,en,32,False,203,False,,Ted Leonsis,TedLeonsis
A positive and full on review of our new film here.  https://t.co/0vLX4yPSTw,Sat Apr 23 11:57:58 +0000 2016,en,2,False,6,False,,Ted Leonsis,TedLeonsis
"Greatest fans, met on flight tonight back to DC from Chicago! Dressed and ready to go. https://t.co/SYkDjvnk4W",Fri Apr 22 22:40:13 +0000 2016,en,4,False,69,False,,Ted Leonsis,TedLeonsis
I want to look cool not be cool I guess is what these folks are thinking? https://t.co/SuPFbz8RF0,Fri Apr 22 19:41:45 +0000 2016,en,5,False,6,False,,Ted Leonsis,TedLeonsis
"This is why I called for SMART investing, reread my essay here: https://t.co/sUugmsN7Bq",Fri Apr 22 18:36:08 +0000 2016,en,1,False,1,False,,Ted Leonsis,TedLeonsis
