Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @talkshow: Hello, world — Talkshow is now available in the App Store. Read more about what we’re up to here: https://t.co/MgUJYZMkKQ",Tue Apr 26 20:16:14 +0000 2016,en,29,False,0,False,,Andrew Anker,aa
I think I need to start tweeting more now in case they ask me to join the Twitter board.,Sat Apr 09 15:09:07 +0000 2016,en,0,False,8,False,,Andrew Anker,aa
@sarahcuda @maringuy @Joshmedia I don't disagree.,Tue Mar 08 03:40:06 +0000 2016,en,1,False,6,False,,Andrew Anker,aa
@mosjef @heif A guy's gotta do what a guy's gotta do.,Mon Nov 30 01:16:06 +0000 2015,en,1,False,7,False,,Andrew Anker,aa
"@chrismichel I'd like to be on record as admiring you too, just without the ability to document it photographically.",Fri Oct 30 22:08:09 +0000 2015,en,1,False,4,False,,Andrew Anker,aa
Just realized I haven't posted to Twitter in awhile. Not sure why.,Tue Sep 08 22:38:31 +0000 2015,en,2,False,7,False,,Andrew Anker,aa
@wakehamp @sarahcuda no more than the risk of building a shitty company would stop them from starting a company.,Wed Aug 26 04:26:31 +0000 2015,en,1,False,3,False,,Andrew Anker,aa
"When I wonder what to do about Greece, I always think ""I'm sure @pmarca has filled my Twitter stream with answers."" Right again!",Tue Jul 07 06:10:03 +0000 2015,en,1,False,10,False,,Andrew Anker,aa
@frackers @gvenk @silvertje @_mstevenson Wil check it out. It looks scientific-like.,Sat Jul 04 22:25:39 +0000 2015,en,1,False,3,False,,Andrew Anker,aa
"I can't believe you don't follow @guydeboredom yet. Remember http://t.co/DyIaT9CFNf?  He doesn't either but still, watch what comes next.",Mon Jun 29 16:51:19 +0000 2015,en,1,False,1,False,,Andrew Anker,aa
@alexdeve We'll make an American out of you yet.,Tue Jun 16 21:55:24 +0000 2015,en,1,False,2,False,,Andrew Anker,aa
"Finding a hotel for my daughters' trip to Geneva. But thanks to a certain someone, I keep reading it as @ginevra.",Sun May 24 16:11:19 +0000 2015,en,1,False,4,False,,Andrew Anker,aa
RT @chrismichel: Wishing @TugboatYards fair winds &amp; following seas!  Congrats to @aa &amp; @facebook!  https://t.co/wBGjlnCt6c http://t.co/9344…,Tue May 19 22:06:02 +0000 2015,en,202,False,0,False,,Andrew Anker,aa
RT @Michael_Bloom: Thrilled to have backed my dear friend Andrew Anker (@aa ) who built a cool company and is now moving it to Facebook htt…,Tue May 19 22:05:59 +0000 2015,en,1,False,0,False,,Andrew Anker,aa
"""Can the Internet show us on a doll where Verizon touches it?"" Oh @sarahcuda ... http://t.co/mEDruqfIjr",Wed May 13 22:46:17 +0000 2015,en,0,False,2,False,,Andrew Anker,aa
"""He Cameron Thru the Bedroom Window""  Please someone take away @davepell 's pun machine.",Sat May 09 00:24:49 +0000 2015,en,1,False,1,False,,Andrew Anker,aa
My new favorite Microsoft Office menu. #gettingold http://t.co/clcrHAuXhu,Wed May 06 17:32:40 +0000 2015,en,1,False,4,False,,Andrew Anker,aa
@sippey @TheDecemberists Don't forget the encore. http://t.co/vspnJLD5AD,Sat May 02 07:40:00 +0000 2015,en,0,False,1,False,,Andrew Anker,aa
"Leave it to @stevenbjohnson to put it all into perspective, the first constructive drought piece in a long time. https://t.co/5Ir7Xycguy",Wed Apr 08 13:41:25 +0000 2015,en,1,False,2,False,,Andrew Anker,aa
"""We got hit by a sophisticated cyber attack"" is the new ""we only hire rockstar engineers"".",Wed Apr 08 00:10:46 +0000 2015,en,2,False,6,False,,Andrew Anker,aa
If you're not listening to the new album by @courtneymelba on a loop then you are wrong.,Mon Mar 30 18:14:23 +0000 2015,en,0,False,2,False,,Andrew Anker,aa
"Is there a Task Rabbit-like service that will flip records over when the side is done? Esp with two disc albums, it's a real inconvenience.",Thu Mar 26 20:53:47 +0000 2015,en,0,False,1,False,,Andrew Anker,aa
"Visit inside NY's most inspirational co's (BuzzFeed, Mic, TED etc) #NewCoFest - Sells out fast. Get tix now. #NewCoNY http://t.co/IBqpUjrFVU",Mon Mar 23 16:30:01 +0000 2015,en,0,False,1,False,,Andrew Anker,aa
"@hunterwalk No, it's on brand. Most expensive t-shirt I've ever not bought.",Sat Mar 21 18:31:45 +0000 2015,en,0,False,2,False,,Andrew Anker,aa
@paulcarr Is that why you don't follow me on Twitter?,Sat Mar 21 16:14:05 +0000 2015,en,0,False,3,False,,Andrew Anker,aa
"@mcarmichael @jmm among many other things, AdSense warped the content creation model for too many years. Thankfully it's now dead to us.",Sat Mar 21 14:57:39 +0000 2015,en,0,False,2,False,"{'coordinates': [-122.45791254, 37.49982527], 'type': 'Point'}",Andrew Anker,aa
@mcarmichael @jmm CPC is fine... for direct marketing. It is more rare than normal that it should support a content based media site.,Sat Mar 21 14:48:38 +0000 2015,en,0,False,3,False,"{'coordinates': [-122.45801569, 37.49990036], 'type': 'Point'}",Andrew Anker,aa
@jmm which is why at this point I'm much more interested in focusing on the user pay part of the income statement.,Sat Mar 21 14:30:56 +0000 2015,en,0,False,2,False,"{'coordinates': [-122.45772346, 37.49972452], 'type': 'Point'}",Andrew Anker,aa
I just love Vancouver. Really glad with TED I have an excuse to come here at least once a year.,Fri Mar 20 14:49:26 +0000 2015,en,0,False,2,False,,Andrew Anker,aa
@hunterwalk Actually the opposite. *Everyone* is fundamentally manipulative. It’s what makes us human.,Thu Mar 12 17:24:47 +0000 2015,en,0,False,2,False,,Andrew Anker,aa
@torrez @anildash Has this thread become let's type random words? I don't understand what either of you are saying.,Mon Mar 02 19:01:17 +0000 2015,en,1,False,2,False,,Andrew Anker,aa
@torrez I've always wanted something different but analogous. The ability to block a topic. I don't care about anyone's thoughts on xxx.,Mon Mar 02 18:53:32 +0000 2015,en,1,False,2,False,,Andrew Anker,aa
@torrez Both were from the Mollie Stone in Palo Alto. They have the best kosher meat section in the Bay Area.,Tue Feb 24 23:45:47 +0000 2015,en,1,False,2,False,,Andrew Anker,aa
Conflicted. http://t.co/xRnygNY6Pb,Tue Feb 24 22:11:09 +0000 2015,en,0,False,2,False,,Andrew Anker,aa
I love that we now call billion dollar companies unicorns without irony. http://t.co/qQLYqQWRb7,Fri Feb 20 15:09:38 +0000 2015,en,0,False,1,False,,Andrew Anker,aa
@sippey (Catching up with last night's NewsHour. Will respond to that later.),Thu Feb 19 15:00:52 +0000 2015,en,0,False,3,False,,Andrew Anker,aa
Too many good quotes to pull out for Twitter. Just go read this now. http://t.co/UOpH0XqjRP,Thu Feb 19 14:52:21 +0000 2015,en,2,False,7,False,,Andrew Anker,aa
"@anildash Please send pictures, I’m homesick.",Thu Feb 19 14:19:16 +0000 2015,en,0,False,2,False,,Andrew Anker,aa
"@comcastcares It eventually came back on. Some sort of local disturbance in the force, I guess.",Wed Feb 18 23:51:40 +0000 2015,en,0,False,1,False,,Andrew Anker,aa
@shellen @monteiro Dogpatch!,Tue Feb 17 20:19:54 +0000 2015,en,0,False,1,False,,Andrew Anker,aa
I want to thank @comcast for shutting off  Internet this afternoon so I didn't have to catch up on all the stuff I had to catch up on.,Sun Feb 08 00:09:56 +0000 2015,en,0,False,2,False,,Andrew Anker,aa
5/Plus ça change...,Fri Feb 06 16:43:54 +0000 2015,fr,0,False,3,False,,Andrew Anker,aa
4/We rarely if ever participated in home schooling articles because too often the story gets told as a class or intelligence issue.,Fri Feb 06 16:38:55 +0000 2015,en,1,False,2,False,,Andrew Anker,aa
"3/If anything, home schooled children end up feeling insecure about their education... and that's a great thing.",Fri Feb 06 16:36:43 +0000 2015,en,1,False,2,False,,Andrew Anker,aa
"2/Too often, home schooling is conflated with privilege and the need for gifted children to be ""out of the system"". Nothing of the kind.",Fri Feb 06 16:34:57 +0000 2015,en,0,False,2,False,,Andrew Anker,aa
1/Good post by @Caterina clarifying the Wired home schooling article (Wired: http://t.co/xAyuqoNqE3) (Caterina: http://t.co/pjslfKbHXd),Fri Feb 06 16:33:56 +0000 2015,en,0,False,2,False,,Andrew Anker,aa
I wonder had @askAnthem spent as much on site security as they do on calling our house at all hours whether this hack would have happened.,Thu Feb 05 18:05:58 +0000 2015,en,1,False,2,False,,Andrew Anker,aa
"Enjoy your super bowl, I'm going to the beach. Feels like another Christmas to me.",Sun Feb 01 22:40:36 +0000 2015,en,0,False,2,False,,Andrew Anker,aa
"NFL says concussions are down. Solved that problem, bet they'll soon report domestic violence is down too. http://t.co/laExsY1JAV",Fri Jan 30 16:04:41 +0000 2015,en,0,False,1,False,,Andrew Anker,aa
@shellen @kevinmarks I prefer sandwich auteur.,Thu Jan 29 22:48:07 +0000 2015,de,0,False,2,False,,Andrew Anker,aa
So happy for @shellen. He is an inspiration for important it is to pick up skills later in life. http://t.co/QbYgjf0P4S,Thu Jan 29 22:33:39 +0000 2015,en,0,False,4,False,,Andrew Anker,aa
@MorganWebb I think forced spending is in the Constitution somewhere.,Wed Jan 28 23:41:17 +0000 2015,en,0,False,1,False,,Andrew Anker,aa
Talk about pushing credit: Wells Fargo just raised my business CC limit for two months. I lose it if I don't use it within that time. Spend!,Wed Jan 28 23:38:57 +0000 2015,en,0,False,1,False,,Andrew Anker,aa
RT @narendra: PSA: By the NFL's admission 30-40% of the Packers and Seahawks will suffer serious effects of traumatic brain injury.,Sun Jan 18 23:51:47 +0000 2015,en,2,False,0,False,,Andrew Anker,aa
Palm Springs really makes me look young.,Sat Jan 17 18:44:49 +0000 2015,en,2,False,4,False,,Andrew Anker,aa
@Michael_Bloom I'd love to. You hiring?,Sat Jan 17 17:00:09 +0000 2015,en,0,False,1,False,,Andrew Anker,aa
"Was just thinking, we need more venture capitalists.",Sat Jan 17 16:37:24 +0000 2015,en,1,False,3,False,,Andrew Anker,aa
I won't say what story I read that made me realize this but I just figured out why most social apps eventually suck. http://t.co/6EU5n45zoi,Thu Jan 15 16:15:42 +0000 2015,en,7,False,8,False,,Andrew Anker,aa
"Reading an economic outlook which includes ""investment environment is likely to be more challenging and volatile. Like it sometimes isn't?",Fri Jan 09 18:22:03 +0000 2015,en,0,False,1,False,,Andrew Anker,aa
"@sippey @ethank It would be interesting to see that, no question.",Mon Jan 05 21:37:09 +0000 2015,en,0,False,3,False,,Andrew Anker,aa
"""We’ve appreciated the importance of being a little bit over the top."" Great media doesn't usually target the brain. http://t.co/2lDP4Ymu6J",Mon Jan 05 16:52:13 +0000 2015,en,1,False,2,False,,Andrew Anker,aa
@daisy Is that a metaphor?,Fri Dec 26 22:40:23 +0000 2014,en,0,False,4,False,,Andrew Anker,aa
"Wow, 11am show of The Imitation Game is packed. I didn't think there were this many Jews in San Mateo.",Thu Dec 25 18:56:01 +0000 2014,en,1,False,6,False,,Andrew Anker,aa
@lukeoneil47 And I worked so hard at it this year.,Wed Dec 24 18:31:36 +0000 2014,en,0,False,2,False,"{'coordinates': [-122.45802794, 37.49980651], 'type': 'Point'}",Andrew Anker,aa
Emails starting off with “This isn’t spam...” remind me of VC emails I used to get “I’m the visionary who created...”,Wed Dec 24 14:37:29 +0000 2014,en,0,False,2,False,,Andrew Anker,aa
"Seems like ""correction"" is for small factual errors. When the whole piece is wrong, it becomes a nevermindicle.  http://t.co/HhopwTMIHQ",Mon Dec 22 14:49:13 +0000 2014,en,0,False,4,False,,Andrew Anker,aa
"@anildash We didn't want to say anything, but since you brought it up...",Fri Dec 19 14:54:11 +0000 2014,en,0,False,2,False,,Andrew Anker,aa
@anildash Wouldn’t that mean the terrorists had won?,Thu Dec 18 00:04:12 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
@burr86 @NathanPayne The answer is 50. Very quickly.,Mon Dec 15 21:09:23 +0000 2014,en,0,False,4,False,,Andrew Anker,aa
100% disagree with that last quote. @felixsalmon is making a point in the interest of his story but I don't think he really believes that.,Mon Dec 15 02:51:26 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
"""If you’re not getting 20-30 million unique visitors every month... then you’re basically an economic irrelevance."" http://t.co/pflNA0ZzAC",Mon Dec 15 02:49:33 +0000 2014,en,0,False,2,False,,Andrew Anker,aa
@davepell Thanks for the link. You continue to find the stories no one else is covering.,Sat Dec 13 16:19:43 +0000 2014,en,0,False,3,False,,Andrew Anker,aa
@hunterwalk I just read that they need to find more users. So tell them to build stuff that does that.,Fri Dec 12 17:17:26 +0000 2014,en,0,False,3,False,,Andrew Anker,aa
"@pmarca Hey Marc, enough with the tech tweets. Can’t you see it’s raining?",Thu Dec 11 15:33:46 +0000 2014,en,0,False,3,False,,Andrew Anker,aa
Today's rain day totally reminds me of snow days growing up on the east coast. Except it's just rain.,Thu Dec 11 15:20:02 +0000 2014,en,2,False,3,False,,Andrew Anker,aa
"@shellen I don’t know about you (and I may regret this tweet tomorrow), but I’m excited! Can’t wait.",Thu Dec 11 01:08:43 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
"“The crisis in journalism is a business crisis.” (http://t.co/RsItYUarwW) No! Journalism is fine, it's the magazine business that sucks.",Tue Dec 09 23:24:47 +0000 2014,en,0,False,2,False,,Andrew Anker,aa
Our youngest was born at home and it was one of the best experiences our family ever shared. http://t.co/ZyIj6H5bmT,Thu Dec 04 16:05:47 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
Worst manipulation ever:  @SFGiants made me watch 2014 playoff highlights before renewing my season tickets. Can I buy only the even years?,Mon Dec 01 18:39:03 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
Best Thanksgiving ever.,Fri Nov 28 00:28:23 +0000 2014,en,312,False,270,False,,Andrew Anker,aa
"Vis a vis that last tweet, it's actually @ratterofficial. You should follow them.",Mon Nov 24 15:55:23 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
RT @Lock: Great great first post at @officialratter: http://t.co/L4SzDJ7qDE,Mon Nov 24 15:47:18 +0000 2014,en,4,False,0,False,,Andrew Anker,aa
@alexia @DannyCrichton I totally clicked on that link expecting the other thing.,Sun Nov 23 21:11:46 +0000 2014,en,0,False,2,False,,Andrew Anker,aa
@rstephens Yes it is. I wouldn't want to read an unbiased opinion.,Sun Nov 23 15:40:13 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
"If something is declared unbiased, do take it as such or just look harder for the bias? Over disclosure is no disclosure.",Sun Nov 23 15:32:37 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
"I hate media without a point of view. I love @PandoDaily:

""...perpetually-smirking pile of dog shit Ted Cruz...""

http://t.co/0rs4GHz4PH",Mon Nov 10 22:52:09 +0000 2014,en,7,False,17,False,,Andrew Anker,aa
@djacobs I feel like it's been forever since my team won the World Series.,Mon Nov 10 17:41:32 +0000 2014,en,0,False,2,False,,Andrew Anker,aa
@monteiro But no one else was interested in her until recently.,Mon Nov 10 16:54:33 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
@JasonHirschhorn @sailthru Was sitting here waiting for my morning reading. Now I understand.,Mon Nov 10 15:59:35 +0000 2014,en,1,False,1,False,,Andrew Anker,aa
You won't believe Buzzfeed editor's take down of Jon Stewart. http://t.co/kzmFXdkaPe,Fri Nov 07 15:23:42 +0000 2014,en,71,False,55,False,,Andrew Anker,aa
...and we did think banners were a good idea. Banners were far less worse than every other possibility we could come up with.,Wed Nov 05 23:41:41 +0000 2014,en,0,False,2,False,,Andrew Anker,aa
"...seems like that would have killed the medium in its infancy. Banners were an explicit ad model, which was what was needed in 1994.",Wed Nov 05 23:39:50 +0000 2014,en,0,False,4,False,,Andrew Anker,aa
"Wow @fmanjoo, not sure what your point is. We should have invented native ads 20 years ago? Then we’d be better off? http://t.co/RHz9FyGjWj",Wed Nov 05 23:38:21 +0000 2014,en,4,False,8,False,,Andrew Anker,aa
"Turns out Apple Pay doesn't work at Peets either. Every time I try to use it, they try to give me pie. #notajoke",Mon Nov 03 17:47:05 +0000 2014,en,0,False,2,False,,Andrew Anker,aa
@sippey Is that a metaphor?,Fri Oct 31 15:59:39 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
This is the sweetest story ever. http://t.co/L9NMABXsfK,Thu Oct 30 23:32:19 +0000 2014,en,0,False,3,False,,Andrew Anker,aa
"I forget, sarcasm or irony? ""Also on Wednesday, the exchange disclosed that its email provider had been hacked.” http://t.co/ksaDnCjs8R",Thu Oct 30 14:56:46 +0000 2014,en,1,False,1,False,,Andrew Anker,aa
"20 years ago today, we launched HotWired. http://t.co/UorvWfXSUy http://t.co/isy4KfPcNS http://t.co/bmii82J8K7 Can't believe it’s that long.",Mon Oct 27 16:58:50 +0000 2014,en,5,False,7,False,,Andrew Anker,aa
Note to publishers: beware of Greeks bearing gifts. http://t.co/5LiqMdPOtx,Mon Oct 27 14:22:49 +0000 2014,en,0,False,3,False,,Andrew Anker,aa
Bittersweet at AT&amp;T Park. Last home game of the year. Oh and World Series.,Sun Oct 26 23:33:44 +0000 2014,en,0,False,2,False,,Andrew Anker,aa
@jheil club 209. You?,Sun Oct 26 03:27:54 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
I don't know how this game looks on TV but it's pretty raucous here at the yard.,Sun Oct 26 03:07:07 +0000 2014,en,1,False,6,False,,Andrew Anker,aa
Giants. I think we may even have more juju than the Royals.,Sat Oct 25 02:10:05 +0000 2014,en,0,False,2,False,,Andrew Anker,aa
"Cool, just solved cancer. 6th inning we're going to tackle Ebola and then the 7th inning I'm thinking the Middle East.",Sat Oct 25 01:40:15 +0000 2014,en,0,False,1,False,,Andrew Anker,aa
