Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Heard 2 great podcasts this week: Jack Bogle (Vanguard) https://t.co/sfUPnJjEPA and David Autor on free trade https://t.co/Q9PQMjHM4c,Fri Mar 18 00:11:10 +0000 2016,en,0,False,2,False,,Anil Dharni,adharni
RT @abinashtripathy: World's best top grossing games are powered by @helpshift https://t.co/UWE1jr1DO0,Sat Feb 13 03:56:42 +0000 2016,en,12,False,0,False,,Anil Dharni,adharni
@shreyas congratulations on the new gig at @stripe!!,Tue Jan 26 00:09:47 +0000 2016,en,0,False,1,False,,Anil Dharni,adharni
Flat Valuation is the New Black https://t.co/e1llDaXzYy,Thu Jan 21 22:38:02 +0000 2016,en,0,False,0,False,,Anil Dharni,adharni
@dror_sharon killing it with @my_scio &amp; release of 1st app @DietSensor on the #SCiO platform https://t.co/AHyZTUb4bh https://t.co/mcLJwgfnHq,Thu Jan 07 00:24:34 +0000 2016,en,0,False,1,False,,Anil Dharni,adharni
Congratulations @adampbry and @SkydioHQ on the Series A!  https://t.co/i26u16wNie,Wed Jan 06 00:27:35 +0000 2016,en,0,False,0,False,,Anil Dharni,adharni
"Fascinating read - Facebook tweaked its news feed algorithms ""5 percent—were doing 85 percent of the hiding."" https://t.co/t9SkKmnU3o",Tue Jan 05 18:13:54 +0000 2016,en,0,False,0,False,,Anil Dharni,adharni
"RT @spenserskates: Employee equity is broken, here's our fix: https://t.co/i0Ovn1KUdw",Sat Dec 05 00:45:26 +0000 2015,en,3,False,0,False,,Anil Dharni,adharni
Fall colors in the front yard https://t.co/seDkeGOwi9,Sat Nov 21 23:54:51 +0000 2015,en,0,False,2,False,,Anil Dharni,adharni
Sony will stop producing Betamax tapes by 2016 https://t.co/2ws1JSXf0I,Sat Nov 21 17:45:20 +0000 2015,en,0,False,2,False,,Anil Dharni,adharni
Congrats @abrams for Nuzzel 2.0 launch and new funding! https://t.co/Wyh6CMHEo4,Fri Nov 20 00:21:58 +0000 2015,en,0,False,2,False,,Anil Dharni,adharni
@Penenberg Agreed and his conclusion leans towards “it doesn't even mean that they're bad in recessions.” I was supporting your POV.,Thu Nov 12 01:31:04 +0000 2015,en,0,False,0,False,,Anil Dharni,adharni
@Penenberg Here is a pretty objective overview of impact of raising minimum wage by @Noahpinion https://t.co/TfjwUKROV8,Thu Nov 12 01:14:55 +0000 2015,en,0,False,0,False,,Anil Dharni,adharni
Fantastic and entertaining post by @etseng “8 Days in North Korea”.  https://t.co/tjeETb1ILN,Tue Nov 03 00:15:50 +0000 2015,en,0,False,1,False,,Anil Dharni,adharni
RT @pkedrosky: Video of flying through Hurricane Patricia eyewall and into eye. The transition is remarkable. https://t.co/3S53yLxhpH,Fri Oct 23 22:58:26 +0000 2015,en,21,False,0,False,,Anil Dharni,adharni
"This is hilarious: Tenacity of Tech Recruiters ""Hey there, LinkedIn keyword search result!” http://t.co/2zpU3v4Ng0",Fri Oct 02 21:24:04 +0000 2015,en,0,False,1,False,,Anil Dharni,adharni
Congrats @akashgarg on joining Uber!,Tue Sep 22 17:34:55 +0000 2015,en,0,False,1,False,,Anil Dharni,adharni
