Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @adamnash: Rolex did $4.5B in sales last year. Apple Watch did $6B. https://t.co/rqEE7KGz6z,Mon Apr 25 04:02:22 +0000 2016,en,51,False,0,False,,Alan Warms,alanwarms
RT @NumbersMuncher: As if the GOP could pass *anything* meaningful with Obama as president. Yet instead of playing they long game they choo…,Sat Apr 23 13:54:40 +0000 2016,en,41,False,0,False,,Alan Warms,alanwarms
RT @NumbersMuncher: In the past 6 years the GOP has taken the Senate and a huge majority in the House. And GOP voters think the GOP has som…,Sat Apr 23 13:54:20 +0000 2016,en,39,False,0,False,,Alan Warms,alanwarms
RT @RichardGrenell: When campaign operatives run foreign policy &gt;  https://t.co/tvwEJRiA1q,Sat Apr 23 13:50:15 +0000 2016,en,13,False,0,False,,Alan Warms,alanwarms
RT @SpeakerRyan: This purchase from #Iran is part of what appears to be the administration’s full-court press to sweeten the deal. https://…,Sat Apr 23 13:48:48 +0000 2016,en,85,False,0,False,,Alan Warms,alanwarms
RT @IBDinvestors: Apple Q2 Earnings To Clash With New Cash Return Plan https://t.co/ImKyyZj4XA https://t.co/KAnaas8705,Sat Apr 23 13:46:17 +0000 2016,en,2,False,0,False,,Alan Warms,alanwarms
"RT @pmarca: HBO now openly marketing ""no TV package required"". https://t.co/lP70OBnWYx",Sat Apr 23 02:24:56 +0000 2016,en,62,False,0,False,,Alan Warms,alanwarms
"RT @NHL: Double OT with the season on the line. #Showtime. @Vegas #RoadWarriors #StanleyCup
https://t.co/08Rd8c2o9J",Fri Apr 22 05:50:29 +0000 2016,en,2679,False,0,False,,Alan Warms,alanwarms
"RT @RealMikeWilbon: Hard to imagine a better Chicago sports night, what with Arrieta's no-hitter and Kane's season-saving game-winner in 2n…",Fri Apr 22 05:38:40 +0000 2016,en,632,False,0,False,,Alan Warms,alanwarms
"RT @TWaddle87: Not only am I awake, but that may be one of the greatest goals I've ever seen. 
Wow!  And goodnight.",Fri Apr 22 05:28:14 +0000 2016,en,98,False,0,False,,Alan Warms,alanwarms
RT @Stacey21King: Patrick Kane is that dude!!!!! Thank you @NHLBlackhawks I now can go to bed #GottaBelieve,Fri Apr 22 05:28:04 +0000 2016,en,82,False,0,False,,Alan Warms,alanwarms
RT @thekapman: Time to stand! Go Hawks! My game winner pick is Jonathan Toews #Getitdone #BeatStLouis,Fri Apr 22 04:30:37 +0000 2016,en,9,False,0,False,,Alan Warms,alanwarms
"RT @GDubCub: Btw, Arrieta hasn't allowed a run last 18 2/3 IP.",Fri Apr 22 03:35:06 +0000 2016,en,7,False,0,False,,Alan Warms,alanwarms
RT @kschwarb12: Congratulations to @D_Ross3 as well! Locked in on the game plan and at the plate! #Stud #FlyTheW,Fri Apr 22 03:33:50 +0000 2016,en,986,False,0,False,,Alan Warms,alanwarms
RT @scottm00re: .@rafat That's not very nice Mr. @Forbes #coverboy :-)  This is good for our audience &amp; emps Sets us up 4 #success  https:/…,Thu Apr 21 17:18:42 +0000 2016,en,1,False,0,False,,Alan Warms,alanwarms
RT @steverosenbloom: Andrew Shaw's absence: What it means for the #Blackhawks tonight (and maybe forever). https://t.co/Ofpv6CpsaB  https:/…,Thu Apr 21 16:24:30 +0000 2016,en,3,False,0,False,,Alan Warms,alanwarms
"RT @bgurley: Would recommend that all of those in the Unicorn ecosystem, or those considering it, read this. Times are changing: https://t.…",Thu Apr 21 15:00:18 +0000 2016,en,866,False,0,False,,Alan Warms,alanwarms
RT @JenWilliamsEdu: Official chat transcript for #edbeat https://t.co/1jMP0DiGML 134 AWESOME participants! 34 resources shared! https://t.c…,Thu Apr 21 10:41:47 +0000 2016,en,17,False,0,False,,Alan Warms,alanwarms
"RT @axpence: ""The art is to not be for sale, but you're always for sale.""
-@msuster",Thu Apr 21 01:31:53 +0000 2016,en,14,False,0,False,,Alan Warms,alanwarms
RT @scottlincicome: Socialism is amazingly efficient at impoverishing people. https://t.co/cjPyo3taH9,Thu Apr 21 01:26:49 +0000 2016,en,128,False,0,False,,Alan Warms,alanwarms
RT @jhinderaker: Anti-Semitism comes to Harvard Law School. What follows is instructive on a number of levels: https://t.co/Jl66nDpAZb @pow…,Thu Apr 21 01:24:20 +0000 2016,en,9,False,0,False,,Alan Warms,alanwarms
RT @megynkelly: .@LarrySabato: “Where did Trump go after his big NY win? … He went to Indiana… he knows he needs to win it or come close to…,Thu Apr 21 01:19:08 +0000 2016,en,89,False,0,False,,Alan Warms,alanwarms
"RT @BSmile: 100 Yrs Ago Today ⚾ Chicago #Cubs play their 1st game at Weeghman Park, later named Wrigley Field! (April 20, 1916) https://t.c…",Thu Apr 21 01:18:52 +0000 2016,en,137,False,0,False,,Alan Warms,alanwarms
RT @yidio: Netflix and Amazon Prime change pricing plans. https://t.co/oaZTbyAB6L https://t.co/FhfaquWpaJ,Thu Apr 21 01:15:52 +0000 2016,en,1,False,0,False,,Alan Warms,alanwarms
RT @CubsJoeMadd: We now have for women too...Mothers Day right around the corner...gonna ask Beanie to model...bet she does ! #Cubs  https:…,Thu Apr 21 01:14:58 +0000 2016,en,208,False,0,False,,Alan Warms,alanwarms
RT @participatelrn: #FLEdChat just ended. Transcripts and suggested resources are now available at https://t.co/qG07us57Bo,Thu Apr 21 01:10:30 +0000 2016,en,1,False,0,False,,Alan Warms,alanwarms
RT @participatelrn: #edbeat just ended. Transcripts and suggested resources are now available at https://t.co/jbCtoLnabq,Thu Apr 21 01:10:24 +0000 2016,en,1,False,0,False,,Alan Warms,alanwarms
RT @ceonyc: I think my Apple Watch is broken.  Keeps telling me the #mets hit a homer like every two minutes.,Thu Apr 21 01:01:44 +0000 2016,en,4,False,0,False,,Alan Warms,alanwarms
RT @rishad: 47 percent of items sold on Amazon are being sold by people other than Amazon! https://t.co/SlLHnfuJLf,Thu Apr 21 01:00:36 +0000 2016,en,3,False,0,False,,Alan Warms,alanwarms
@ESPNChiCubs agreed I thought if he holds on they get him,Wed Apr 20 23:37:51 +0000 2016,en,0,False,0,False,,Alan Warms,alanwarms
@ESPNChiCubs should have been e-3 I thought,Wed Apr 20 23:36:25 +0000 2016,en,0,False,0,False,,Alan Warms,alanwarms
RT @avc: A NSFW Content Recognition Model: Last week our portfolio company Clarifai released a NSFW adult content recog... https://t.co/T6v…,Wed Apr 20 11:21:16 +0000 2016,en,2,False,0,False,,Alan Warms,alanwarms
@MattWelch thought you were going to say the end ( apocalypse now),Wed Apr 20 02:42:52 +0000 2016,en,0,False,0,False,,Alan Warms,alanwarms
@HotlineJosh may she rest in peace,Wed Apr 20 02:40:45 +0000 2016,en,0,False,0,False,,Alan Warms,alanwarms
@HotlineJosh yuuge mets fan - really - live in Chicago but if late flight to nyc could always catch her on radio,Wed Apr 20 02:38:27 +0000 2016,en,0,False,0,False,,Alan Warms,alanwarms
@HotlineJosh hey she was my cousin (really),Wed Apr 20 02:36:54 +0000 2016,en,0,False,0,False,,Alan Warms,alanwarms
@DDgh100 @HuffPostPol no way,Wed Apr 20 02:30:01 +0000 2016,en,0,False,0,False,,Alan Warms,alanwarms
RT @DDgh100: John Kasich Will Be the Republican Nominee for President https://t.co/8eqmLdX8mU via @HuffPostPol,Wed Apr 20 02:29:54 +0000 2016,en,1,False,0,False,,Alan Warms,alanwarms
RT @seanmdav: That Whole Foods cake brouhaha in Austin was--get this--a hoax. Here are 5 tips for a successful cake hoax. https://t.co/ToAx…,Tue Apr 19 19:55:58 +0000 2016,en,182,False,0,False,,Alan Warms,alanwarms
@ESPNChiCubs let him pitch one more inning. the guy is rolling.,Tue Apr 19 02:08:56 +0000 2016,en,0,False,0,False,,Alan Warms,alanwarms
@ESPNChiCubs was at game yesterday 1) strike zone looked enormous 2) did maddon contemplate ph montero in 8th with 2 men on 2 outs?,Tue Apr 19 01:05:23 +0000 2016,en,0,False,0,False,,Alan Warms,alanwarms
"RT @crawlyscubs: @ESPNChiCubs The Cubs have a lot of good hitters who know the zone well.When an ump has an expanded stoke zone, they strug…",Tue Apr 19 01:04:54 +0000 2016,en,1,False,0,False,,Alan Warms,alanwarms
