Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Jenga tower to heaven @ Canal Street https://t.co/gtcER7SCGg,Fri Apr 22 05:42:17 +0000 2016,en,0,False,0,False,"{'coordinates': [-74.001, 40.7187], 'type': 'Point'}",Anand Agarawala,anandx
@PenroseVR I would really like to try #TheRoseAndI !  How do I get it?  🙏🏾,Mon Apr 11 16:03:00 +0000 2016,en,0,False,0,False,,Anand Agarawala,anandx
Mekong delta river people setting up shop on the lake.  Note the solar panels.  #PhucYea… https://t.co/qxgeMUcOsG,Thu Apr 07 12:33:23 +0000 2016,en,0,False,0,False,"{'coordinates': [108.17121516, 12.40771245], 'type': 'Point'}",Anand Agarawala,anandx
Ethereal Halong Bay @ Freedom Island https://t.co/l4QFwvX6eQ,Wed Apr 06 07:46:57 +0000 2016,en,0,False,0,False,"{'coordinates': [107.05, 20.73333], 'type': 'Point'}",Anand Agarawala,anandx
Hanoi from above https://t.co/VTJgtYuyp5,Mon Apr 04 02:02:49 +0000 2016,en,0,False,0,False,,Anand Agarawala,anandx
"RT @Seinfeld2000: JERY: get outa here, u dont have any broads in atlanta

GERGE: oh i got broads baby. I got broads up the YING YANG https:…",Tue Mar 29 06:28:35 +0000 2016,en,559,False,0,False,,Anand Agarawala,anandx
RT @bumptop: Free at last! BumpTop is now Open Source. Download today for Mac or PC https://t.co/azUt5nIxY4,Thu Mar 17 17:17:37 +0000 2016,en,9,False,0,False,,Anand Agarawala,anandx
"Varadero from the aero @ Varadero, Cuba https://t.co/4OW0Ipx2qI",Fri Mar 11 19:35:00 +0000 2016,es,0,False,0,False,"{'coordinates': [-81.2514, 23.1536], 'type': 'Point'}",Anand Agarawala,anandx
"Havana @ Havana, Cuba https://t.co/y6kSzRLqHn",Thu Mar 10 22:57:55 +0000 2016,es,0,False,1,False,"{'coordinates': [-82.3642, 23.1319], 'type': 'Point'}",Anand Agarawala,anandx
RT @TheCelebrityLS: Kanye West's instructions to his Yeezy 3 Season Models... Bit extreme 👀 https://t.co/JJ9e7m0dam,Sat Feb 13 02:43:51 +0000 2016,en,66,False,0,False,,Anand Agarawala,anandx
5 Startup Pitch Decks That Helped To Create Billion Dollar Companies https://t.co/OinceD3gnA via @startupfundrais,Thu Feb 11 05:26:54 +0000 2016,en,2,False,5,False,,Anand Agarawala,anandx
"RT @JamColley: once again, Bernie Sanders is set to have his day ruined by the 1%",Tue Feb 02 05:55:44 +0000 2016,en,3551,False,0,False,,Anand Agarawala,anandx
"RT @BetteMidler: Trump threatening not to show up for next debate if Megyn Kelly is moderating! I bet he's so mad he has ""blood coming out …",Wed Jan 27 09:18:08 +0000 2016,en,1268,False,0,False,,Anand Agarawala,anandx
RT @davidu: The future is going to be amazing. This is a real bionic arm from @aannggeellll: https://t.co/u0PtxJ6uCM https://t.co/Tjt4EgDzdJ,Mon Jan 25 18:50:34 +0000 2016,en,1207,False,0,False,,Anand Agarawala,anandx
RT @FailedRckstr: This is the coolest video you will see today. https://t.co/Bx5LATTxio,Mon Jan 25 02:15:47 +0000 2016,en,49875,False,0,False,,Anand Agarawala,anandx
RT @Realdaveblack: Some New Yorkers ignoring travel ban. #jonasblizzard https://t.co/M67KnoeUBy,Sat Jan 23 20:25:39 +0000 2016,en,179,False,0,False,,Anand Agarawala,anandx
@Robolinkinc when can I get a Codrone?  Kickstarter vid says its already launched &amp; your site says Jan 6 launch date.,Tue Jan 19 03:29:31 +0000 2016,en,0,False,3,False,,Anand Agarawala,anandx
"@mikebodge no you are!  ps, #BernItForward !!",Mon Jan 18 00:07:59 +0000 2016,en,0,False,1,False,,Anand Agarawala,anandx
"I'm donating $3 to @BernieSanders on behalf of @karlchannell, @sundeep, @mikebodge - #BernItForward Now: https://t.co/RGkkNAKQLG",Sun Jan 17 23:54:26 +0000 2016,en,2,False,2,False,,Anand Agarawala,anandx
Pies from the 6.  #foodporn @ Pizzeria Libretto https://t.co/gYHJw0kA2q,Mon Jan 04 03:27:50 +0000 2016,en,3,False,0,False,"{'coordinates': [-79.4202118, 43.6489792], 'type': 'Point'}",Anand Agarawala,anandx
Bye paradise.  Thanks #jesana2015 for bringing together so many great people in a beautiful place 🌞🌴🌊 https://t.co/Y31BRRUB1V,Thu Nov 26 00:56:52 +0000 2015,en,0,False,0,False,,Anand Agarawala,anandx
