Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"1 Trillion Votes and counting. The borders are open for your money at least.

@OpenBordersInfo  https://t.co/oI1pa9myyx",Mon Apr 25 16:30:16 +0000 2016,en,1,False,0,False,,Anshu Sharma,anshublog
"We will soon reach tipping point, where some cities will design roads around driverless behaviors. Special lanes etc https://t.co/V6s3Lmu3nj",Mon Apr 25 14:59:15 +0000 2016,en,2,False,4,False,,Anshu Sharma,anshublog
@mims this assumes the car project has been green flagged. Apple is super disciplined about going from experiment &amp; prototype to next stage.,Mon Apr 25 14:54:59 +0000 2016,en,0,False,0,False,,Anshu Sharma,anshublog
Remember that Apple could buy BMW three times over and still have cash left. In billions.  https://t.co/bU7j2kNTFX,Mon Apr 25 14:53:21 +0000 2016,en,0,False,2,False,,Anshu Sharma,anshublog
"RT @Workato: ""Workato is a good example of a company that is leveraging @SlackHQ network to acquire new customers""  https://t.co/jqykk2c6aj…",Mon Apr 25 14:30:05 +0000 2016,en,1,False,0,False,,Anshu Sharma,anshublog
"@smc90 you mean ""of the house Chokshariyan""!",Mon Apr 25 05:45:56 +0000 2016,en,0,False,0,False,,Anshu Sharma,anshublog
"2/ and the Nest shall be called ""Machine of the Fire for Castle North""",Mon Apr 25 05:38:01 +0000 2016,en,0,False,1,False,,Anshu Sharma,anshublog
"The iPhone will henceforth be called ""the Glass of the Realm"" in our house. It is decided so. 

cc @sarikagarg",Mon Apr 25 05:35:03 +0000 2016,en,0,False,5,False,,Anshu Sharma,anshublog
The Chinese are building the 5th Generation Supercomputers... I mean self driving cars. https://t.co/0RabpamJal,Mon Apr 25 05:29:40 +0000 2016,en,0,False,3,False,,Anshu Sharma,anshublog
@alex,Sun Apr 24 22:10:06 +0000 2016,und,0,False,1,False,,Anshu Sharma,anshublog
"RT @peterjhebert: @bznotes @mattocko Tupperware: ""100% of our business is now Deep Learning, Robotics, Bots..and Plastic Storage Containers""",Sun Apr 24 22:02:35 +0000 2016,en,2,False,0,False,,Anshu Sharma,anshublog
"Revenue allocation is a massive business opportunity for cloud, AI, robotics, and blockchain at every BigCo. https://t.co/7twbCxxZlx",Sun Apr 24 22:02:23 +0000 2016,en,1,False,2,False,,Anshu Sharma,anshublog
Isn't @googlephotos the best product to come out of Google in years?,Sun Apr 24 17:37:46 +0000 2016,en,0,False,8,False,,Anshu Sharma,anshublog
So wrong.  https://t.co/RN7Y1Xf2Ux,Sun Apr 24 16:35:39 +0000 2016,en,1,False,1,False,,Anshu Sharma,anshublog
"You're going to like the way this looks, I guarantee it. 
 https://t.co/SNX0YyqXef",Sun Apr 24 05:45:25 +0000 2016,en,1,False,5,False,,Anshu Sharma,anshublog
@pmarca I am not a risk taker. I am an optionality buyer. Bungee and heli skiing has no optionality.,Sun Apr 24 05:37:50 +0000 2016,en,4,False,5,False,,Anshu Sharma,anshublog
