Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@dannysullivan @GameOfThrones I really feel like today is a holiday because of this momentous event,Mon Apr 25 00:20:44 +0000 2016,en,0,False,1,False,,Alex Rampell,arampell
@pbreit @iankar_ @a16z cheaper capital yes -- 0%! But they charge 18%. Plenty of room for somebody with more expensive capital to disrupt,Sun Apr 24 22:59:53 +0000 2016,en,0,False,2,False,,Alex Rampell,arampell
"@pbreit @iankar_ @a16z my comparison was Chase vs LendingClub. You are citing companies that do vastly diff things, terms, security, etc",Sun Apr 24 22:58:57 +0000 2016,en,0,False,2,False,,Alex Rampell,arampell
"@iankar_ @pbreit @a16z they're much cheaper, more efficient. Chase has 6000+ branches and 250K employees to feed.",Sun Apr 24 21:42:35 +0000 2016,en,0,False,3,False,,Alex Rampell,arampell
@pbreit @iankar_ @a16z try a prime/near prime refi of a credit card balance. The rates are dramatically better. No humor about it,Sun Apr 24 21:38:53 +0000 2016,en,0,False,3,False,,Alex Rampell,arampell
RT @AaronSuplizio: 🔮: this chart via @arampell is going to start showing up in a lot of decks. Interesting to consider where Echo sits: htt…,Sun Apr 24 21:21:00 +0000 2016,en,30,False,0,False,,Alex Rampell,arampell
"@sarahtavel @rabois @hunterwalk I think as the seed fund, Homebrew is stuck in the beginning, which is a good place to get stuck for A+ cos",Sun Apr 24 20:33:59 +0000 2016,en,1,False,5,False,,Alex Rampell,arampell
@sarahtavel @rabois @hunterwalk you do realize other people can read this? ;),Sun Apr 24 20:22:44 +0000 2016,en,0,False,14,False,,Alex Rampell,arampell
"New post on wallet as platform -- which wallets will ultimately survive, and how banks/startups should play https://t.co/ktHjPcMpIf",Sun Apr 24 19:14:28 +0000 2016,en,38,False,63,False,,Alex Rampell,arampell
RT @DLin71: It’s a shame the mandatory electricity blackouts are keeping Venezuelans from reading about how lucky they are https://t.co/Z4H…,Sun Apr 24 04:02:31 +0000 2016,en,1446,False,0,False,,Alex Rampell,arampell
"RT @mlevchin: Join me in building a collective of the best minds in finance and technology @Affirm 

https://t.co/MmEu3BJl7F https://t.co/v…",Thu Apr 21 01:37:00 +0000 2016,en,20,False,0,False,,Alex Rampell,arampell
"@NathanCHubbard ""every profession is a conspiracy against the laity""",Tue Apr 19 12:12:04 +0000 2016,en,0,False,1,False,,Alex Rampell,arampell
"""Guidance is the new earnings""
""Adjusted EBITDA is the new earnings""
""EBITDA is the new earnings""",Mon Apr 18 21:24:21 +0000 2016,en,3,False,6,False,,Alex Rampell,arampell
"@ramonm1 Clay Christensen (Innovator's Dilemma) wrote an excellent book on this, ""How to measure your life"":
https://t.co/Ljlb4TeYcu",Sat Apr 16 21:41:41 +0000 2016,en,0,False,1,False,,Alex Rampell,arampell
@jeremys @ceodonovan @BuzzFeedNews this is *awesome*,Sat Apr 16 15:30:21 +0000 2016,en,1,False,2,False,,Alex Rampell,arampell
@jhong @peterpham and you both know In-N-Out is much better too,Sat Apr 16 04:03:56 +0000 2016,en,0,False,0,False,,Alex Rampell,arampell
"RT @SarcasticRover: Russian Billionaire and wheelchair-bound genius want to do something innocent BUT FIRST they need a giant laser?

NICE…",Fri Apr 15 01:01:28 +0000 2016,en,752,False,0,False,,Alex Rampell,arampell
"RT @mlevchin: Thank you everyone for kind words, @affirm team for amazing work, and our investors for support. We are just getting started,…",Thu Apr 14 02:16:01 +0000 2016,en,20,False,0,False,,Alex Rampell,arampell
@martin_casado I get better at golf the longer I don't play,Wed Apr 13 17:08:47 +0000 2016,en,1,False,1,False,,Alex Rampell,arampell
RT @TechCrunch: Affirm secures $100M in Series D funding to expand beyond loans https://t.co/CAGhE5axD4 by @fitztepper,Wed Apr 13 14:18:00 +0000 2016,en,48,False,0,False,,Alex Rampell,arampell
@crampell maybe he wants to go back and doesn't have money for a ticket? (Trump-Sanders platform),Tue Apr 12 02:24:28 +0000 2016,en,1,False,4,False,,Alex Rampell,arampell
Wow re: Masters. Mental strength is the ultimate form of strength.,Sun Apr 10 21:49:46 +0000 2016,en,1,False,11,False,,Alex Rampell,arampell
"@random_walker @pmarca more like a tragedy of the commons when it comes to publishers:
https://t.co/xLCsqeLJMK
(From when I ran ad network)",Sun Apr 10 01:06:30 +0000 2016,en,0,False,2,False,,Alex Rampell,arampell
"@crampell @BrettArends credit, intelligence, common sense, belief in Copernican theory, evolution, etc...",Thu Apr 07 03:49:59 +0000 2016,en,0,False,0,False,,Alex Rampell,arampell
@rabois @johnolilly I think they may need to buy Tesla to do that,Thu Apr 07 00:56:42 +0000 2016,en,0,False,3,False,,Alex Rampell,arampell
