Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@CiMadvisor СКР РФ сравнил массовое убийство семьи под Сызранью с кущевской резней,Mon Apr 25 16:39:01 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
Никогда не жди счастья - счастье всегда неожиданность.,Mon Apr 25 09:00:47 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
@PRESSudeFrance Съешь шаурму - помоги очистить город от бездомных собак!  https://t.co/eb2pMJwJD9 #ВВЖ70,Mon Apr 25 05:41:16 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
@BeyStanUK Силуэт Эми Уайнхаус разглядели на курином буррито,Sun Apr 24 13:05:55 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
@cadelllast Генсек ООН обсудил карабахский конфликт с президентом Азербайджана,Sun Apr 24 08:31:21 +0000 2016,bg,0,False,0,False,,Татьяна Рожко,bazaarbrett
"@PassengerFocus У тех, у кого в руках бейсбольная бита, в мозгу лишь бит информации.",Sun Apr 24 05:02:19 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
Ставьте перед собой большие цели - по ним тяжелее промазать!,Sun Apr 24 00:43:10 +0000 2016,ru,1,False,1,False,,Татьяна Рожко,bazaarbrett
@alikichrysochou Число жертв землетрясения в Эквадоре возросло до 646,Sat Apr 23 18:40:36 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
Итоги Estet Fashion Week: от дефиле до парикмахерского шоу https://t.co/3teXxVF7B3 #ДайнерисФолловитДраконов,Sat Apr 23 15:35:01 +0000 2016,ru,0,False,1,False,,Татьяна Рожко,bazaarbrett
"Бытие человека загадочно, и эта загадочность весьма похожа на бессмыслие. М. Горький https://t.co/WiS6jNeHq8",Sat Apr 23 11:28:15 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
Но почему зов родственной души всегда сопряжён с беспорядочной половой жизнью? https://t.co/SrsDKMfnAQ #Библионочь2016,Sat Apr 23 07:35:28 +0000 2016,ru,2,False,1,False,,Татьяна Рожко,bazaarbrett
RT @AnaAliciaAlbaVV: Жителям района Братеево рассказали о Дне культурного наследия Москвы https://t.co/oUfVIzPrtT,Fri Apr 22 19:00:13 +0000 2016,ru,3,False,0,False,,Татьяна Рожко,bazaarbrett
"RT @NFSMI: «Тулуза» разгромила «Бастию», «Труа» не устоял в Сент-Этьене https://t.co/pXAh6uZYod #танцынатнт",Fri Apr 22 16:10:37 +0000 2016,ru,9,False,0,False,,Татьяна Рожко,bazaarbrett
RT @CDLPdreaming: пежо 4007 https://t.co/JdSZ0xfKiG,Fri Apr 22 00:24:37 +0000 2016,ru,8,False,0,False,,Татьяна Рожко,bazaarbrett
RT @chicotime1: Нету сказки на свете милееЧем рассказ о лесбухе и гее (с)ГК#ЛарриВыдумкаШкольниц https://t.co/BjKVHV3mwm,Thu Apr 21 20:53:10 +0000 2016,ru,15,False,0,False,,Татьяна Рожко,bazaarbrett
@AnjunaRulz Можно и прекрасное любить постыдно.,Thu Apr 21 15:21:04 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
"@PARALYMPIC_crew Учительница на родительском собрании - родителям: - Ваши дети, как цветы весной. - О, спасибо! - Распустились, сволочи!",Thu Apr 21 11:33:28 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
RT @ethicalocean: Самостоятельно снимаем приборную панель ВАЗ 2107,Thu Apr 21 06:37:12 +0000 2016,ru,4,False,0,False,,Татьяна Рожко,bazaarbrett
"RT @AnEssexWife: Война - это роскошь, которую ныне могут позволить себе лишь малые нации. https://t.co/Q6ih5fEWJz #ЛокомотивЦСКА",Wed Apr 20 21:28:36 +0000 2016,ru,3,False,0,False,,Татьяна Рожко,bazaarbrett
Здоровое недоверие - хорошая основа для совместной работы. https://t.co/aYYAcgFadV #ЦСКАМеталлург,Wed Apr 20 07:53:59 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
"На случай если буду нужен, то я там же, где и был, когда был не нужен. https://t.co/SrsDKMfnAQ",Tue Apr 19 12:58:57 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
"RT @AMGVF: Глаза и уши, охочие до чужих секретов, всегда найдутся. https://t.co/lSB06FC1OE #ДелройФолловитКелзи",Tue Apr 19 07:20:22 +0000 2016,ru,7,False,0,False,,Татьяна Рожко,bazaarbrett
"Элитный комплекс премиум-класса ЖК Дом на Мосфильмовской у м. Киевская, большой выбор квартир и м/мест, звоните! https://t.co/gGgaz7muY4",Tue Apr 19 05:42:59 +0000 2016,ru,1,False,0,False,,Татьяна Рожко,bazaarbrett
@CaitlynWDEF В Орловской области на капремонт в 2015 году потратили 205 млн рублей https://t.co/9kdDObw1Y9,Tue Apr 19 03:57:21 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
RT @AUKB18: Отели Испании подняли цены в апреле на 12%,Mon Apr 18 18:54:04 +0000 2016,ru,27,False,0,False,,Татьяна Рожко,bazaarbrett
"- Милый, ты где? - Я задерживаюсь на работе! - А ну зачекинься!  https://t.co/PtHz5s0Mty #КрымНаш",Mon Apr 18 10:57:41 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
Предусмотрительный фрукт сушит овощи и мочит товарищей.(Йгор Щялп),Mon Apr 18 05:16:40 +0000 2016,ru,1,False,0,False,,Татьяна Рожко,bazaarbrett
RT @Ed_StarOnSunday: В Google Play появился раздел с инди-играми https://t.co/1VjvX54y0b #ДестиэльФолловитКанон,Mon Apr 18 01:48:04 +0000 2016,ru,1,False,0,False,,Татьяна Рожко,bazaarbrett
"Жена программиста говорит мужу: - Дорогой, я хочу ребенка! - Ложись, сейчас проинсталлируем!  https://t.co/6zy9GKF4Ca",Sun Apr 17 21:23:57 +0000 2016,ru,1,False,1,False,,Татьяна Рожко,bazaarbrett
Источник в МИД: политика НАТО в отношении России не оправдала себя https://t.co/Ay084dgjeV,Sun Apr 17 15:14:45 +0000 2016,ru,3,False,3,False,,Татьяна Рожко,bazaarbrett
Столичные жители пройдут квест по Дому Бурганова https://t.co/jNLQP6FNQ8 #КумирыТвиттерских,Sun Apr 17 02:53:27 +0000 2016,ru,5,False,4,False,,Татьяна Рожко,bazaarbrett
@YahooSportsMLB Ученые: табак провоцирует развитие онкологии с первых секунд https://t.co/iD0ZGdB76P #холостяк,Sat Apr 16 22:53:46 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
- У меня машина сломалась! - Сильно? - Пополам.  https://t.co/aYYAcgFadV,Sat Apr 16 20:02:33 +0000 2016,ru,1,False,0,False,,Татьяна Рожко,bazaarbrett
RT @TianaKaiMiami: Гендиректор Mail.Ru Group инвестирует $100 млн в робототехнику https://t.co/btjkFc43cN,Sat Apr 16 17:26:03 +0000 2016,ru,7,False,0,False,,Татьяна Рожко,bazaarbrett
RT @AALITV: Дети -- цветы жизни! Продаю семена.,Sat Apr 16 10:09:36 +0000 2016,ru,3,False,0,False,,Татьяна Рожко,bazaarbrett
«Локо» отдал «Барсе» второй матч плей-офф Евролиги,Sat Apr 16 06:40:34 +0000 2016,ru,3,False,1,False,,Татьяна Рожко,bazaarbrett
"@RBG_Melbourne Абызов объяснил, как стал самым богатым министром в России https://t.co/iD0ZGdB76P",Fri Apr 15 18:48:55 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
RT @alv1nW: В наше время борзыми щенками взяток уже не берут - оборзели!  https://t.co/UjhrJAhT61 #нацгвардия,Fri Apr 15 15:05:14 +0000 2016,ru,2,False,0,False,,Татьяна Рожко,bazaarbrett
У программиста спрашивают: - Почему ваши дети все время ссорятся? - Конфликт версий.  https://t.co/9kdDObw1Y9 #ОверкастыТвоегоГорода,Fri Apr 15 10:32:23 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
RT @Albert_Mueller1: Анна Делло Руссо на автограф-сессии в корнере Натальи Гольденберг,Fri Apr 15 02:29:31 +0000 2016,ru,3,False,0,False,,Татьяна Рожко,bazaarbrett
"RT @Bramowhat: В Haas считают, что их пример вдохновит другие команды на участие в Ф1",Thu Apr 14 17:52:43 +0000 2016,ru,6,False,0,False,,Татьяна Рожко,bazaarbrett
@AdamPrima_ Правительство решит проблему с ценами на лекарства за 2 месяца https://t.co/Bi96neYUUx,Thu Apr 14 12:56:28 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
"- Молодой человек, купите цветы! - Не, мне не надо, жена не заслуживает, а любовница предпочитает деньгами. https://t.co/pGVV6lJFue",Thu Apr 14 04:52:50 +0000 2016,ru,1,False,1,False,,Татьяна Рожко,bazaarbrett
RT @wbyouthink: Звезда сериала «Ганнибал» получил роль в сиквеле «50 оттенков серого» https://t.co/zwOCTl3GeW #голосдети,Wed Apr 13 23:45:59 +0000 2016,ru,3,False,0,False,,Татьяна Рожко,bazaarbrett
"RT @athenadrakou: Женщина - что оконная занавеска. Узор миленький, но мира уже не видно.  https://t.co/seUKHNKC7v",Wed Apr 13 18:38:07 +0000 2016,ru,5,False,0,False,,Татьяна Рожко,bazaarbrett
RT @luckythetourist: Первое письмо жертвы с Титаника выставлено на аукцион в Великобритании https://t.co/RQgz0J4Nhy,Wed Apr 13 13:22:22 +0000 2016,ru,4,False,0,False,,Татьяна Рожко,bazaarbrett
RT @acpg_acpg: В жизни есть две трагедии. Одна - не добиться исполнения своего самого сокровенного желания. Вторая - добиться.,Wed Apr 13 08:08:36 +0000 2016,ru,5,False,0,False,,Татьяна Рожко,bazaarbrett
@UMDCRS На жителя Красноярска завели дело за экстремистские записи в соцсети https://t.co/iD0ZGdB76P #РеалВольфсбург,Tue Apr 12 21:54:27 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
Уфимский режиссер просит поддержки в создании фильма https://t.co/8FWVH8DXaP,Tue Apr 12 11:36:31 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
Страшнее фотографии в паспорте бывает только ее ксерокопия.,Tue Apr 12 06:33:47 +0000 2016,ru,0,False,2,False,,Татьяна Рожко,bazaarbrett
"@cdotcompolitics Наша с вами задача - измениться, реально стать богатым человеком, реально добиться своей мечты. https://t.co/pGVV6lJFue",Tue Apr 12 01:00:09 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
"@athensfestival Приходи на кофе, на чай или даже насовсем…",Mon Apr 11 09:50:27 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
"@Vitae_SE_Hub Гигантское НЛО, пролетевшее рядом с Солнцем, зафиксировал уфолог",Sun Apr 10 18:51:47 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
"@fronternordic - Обещаю не обещать, что вернусь, если возвращаться не собираюсь. © Сезон охоты 3 https://t.co/opEGHZHyPY #ЛадаРусьНашЛидер",Sun Apr 10 03:22:03 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
"Продам квартиру, подготовленную к евроремонту.",Sat Apr 09 21:48:14 +0000 2016,ru,3,False,1,False,,Татьяна Рожко,bazaarbrett
"RT @Crediscapadidad: Если жизнь диктует, чего не подпишешь.",Sat Apr 09 16:48:03 +0000 2016,ru,17,False,0,False,,Татьяна Рожко,bazaarbrett
Эксклюзивно для мужчин -- пасхальный татуаж.,Sat Apr 09 11:49:17 +0000 2016,ru,2,False,4,False,,Татьяна Рожко,bazaarbrett
Улюкаев: «Роснефтегаз» выбрал консультантов по приватизации «Роснефти» https://t.co/4YnQ6prVAG,Sat Apr 09 06:55:15 +0000 2016,ru,0,False,1,False,,Татьяна Рожко,bazaarbrett
@UNCJCareers Бывший директор школы подал в суд на мэрию Нижнего Новгорода,Sat Apr 09 02:06:40 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
RT @AnthonyMBGed: - А мы уже свадебный торт разрезали! - Как разрезали? Из него же тёща должна была выпрыгнуть!,Fri Apr 08 21:15:43 +0000 2016,ru,15,False,0,False,,Татьяна Рожко,bazaarbrett
RT @callmetrademark: Курение - это медленное самоубийство - нередко начинается с раннего детства. https://t.co/ZZFWKfmBbG,Fri Apr 08 10:41:03 +0000 2016,ru,14,False,0,False,,Татьяна Рожко,bazaarbrett
А что любовь? Не знаю. Сдохла. Наплевать. https://t.co/bMq7QYqsZI #ЦСКАМеталлург,Fri Apr 08 01:44:18 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
Фестиваль патриотической песни в Орле завершится гала-концертом,Thu Apr 07 19:01:07 +0000 2016,ru,1,False,2,False,,Татьяна Рожко,bazaarbrett
"RT @Personal_RX_WI: Если хочешь поплакаться в жилетку подруге, вначале понюхай, а не пахнет ли жилетка духами мужа. https://t.co/KfLrkjrxmQ",Thu Apr 07 10:36:31 +0000 2016,ru,2,False,0,False,,Татьяна Рожко,bazaarbrett
@bouquinaute С бой - бабой каждый мужчина может быть спокоен за свой тыл.,Thu Apr 07 04:06:19 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
"RT @alex_tommasi: Нехорошо и тут, и там, где нас нет.(Йгор Щялп)",Wed Apr 06 15:25:28 +0000 2016,ru,6,False,0,False,,Татьяна Рожко,bazaarbrett
"@coreywilson76 Все интересно, что не про нас.",Wed Apr 06 08:09:01 +0000 2016,ru,0,False,0,False,,Татьяна Рожко,bazaarbrett
RT @aishafaris: Компания Lexar рассказала о microSDXC карте памяти на 200 Гб,Wed Apr 06 03:12:02 +0000 2016,uk,1,False,0,False,,Татьяна Рожко,bazaarbrett
RT @Nils_CSI: Промышленные предприятия Удмуртии создают «сетевой завод» https://t.co/GsyGbnGdGG,Tue Apr 05 15:56:36 +0000 2016,ru,20,False,0,False,,Татьяна Рожко,bazaarbrett
"В детстве, играя во дворе в войнушку не трудно было убить соперника, трудно было убедить его, что ты его убил. https://t.co/3HqX7zB2na",Tue Apr 05 10:51:31 +0000 2016,ru,13,False,9,False,,Татьяна Рожко,bazaarbrett
"У еврея спрашивают: - У вас есть шесть яблок, если вы отдадите половину брату, сколько останется? - Таки пять с половиной.",Tue Apr 05 06:00:13 +0000 2016,ru,1,False,2,False,,Татьяна Рожко,bazaarbrett
"«Ленэнерго» по МСФО в 2015 году получила 143,545 млн рублей прибыли https://t.co/lTK0tSHS0R #физрук",Tue Apr 05 00:57:29 +0000 2016,ru,4,False,3,False,,Татьяна Рожко,bazaarbrett
Уведомление собственникам помещений https://t.co/bMq7QYqsZI #МедиафорумОНФ,Mon Apr 04 20:00:25 +0000 2016,ru,2,False,4,False,,Татьяна Рожко,bazaarbrett
RT @AmericasBaby1: «Связной Трэвел» запустил мультиканальный сервис по продаже автобусных билетов,Mon Apr 04 13:48:03 +0000 2016,ru,2,False,0,False,,Татьяна Рожко,bazaarbrett
"«Чикаго» в овертайме обыграл «Виннипег», Панарин набрал четыре очка https://t.co/lTK0tSHS0R #ИисусФолловитБога",Mon Apr 04 05:30:16 +0000 2016,ru,1,False,2,False,,Татьяна Рожко,bazaarbrett
