Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
As I read @PitchBook on a daily basis I see ALOT of new names funding businesses at high valuations @ScoutVentures,Thu Apr 28 12:36:40 +0000 2016,en,2,False,2,False,,Bradley C. Harrison,bradharrison1
Another good piece on @olapic @ScoutVentures https://t.co/U3ktgB016q,Fri Apr 22 09:11:20 +0000 2016,en,4,False,3,False,,Bradley C. Harrison,bradharrison1
@craig_achtzehn go to https://t.co/BLhm3BvaOi and use code YUMMY,Thu Apr 21 15:21:17 +0000 2016,en,0,False,0,False,,Bradley C. Harrison,bradharrison1
Greensbury Market on HSN https://t.co/7tuplpgF76 via @bradharrison1,Wed Apr 20 19:01:14 +0000 2016,fi,0,False,0,False,,Bradley C. Harrison,bradharrison1
"RT @GreensburyMRKT: Founder of Greensbury @bradharrison1 live on @HSN showcasing our delicious American, organic, grass-fed beef! https://t…",Wed Apr 20 16:01:59 +0000 2016,en,2,False,0,False,,Bradley C. Harrison,bradharrison1
Greensbury Market on HSN https://t.co/ZjydoZMpYk https://t.co/my6LzYkwnF,Wed Apr 20 14:11:38 +0000 2016,fi,0,False,0,False,,Bradley C. Harrison,bradharrison1
@theschnack not likely ;),Wed Apr 06 17:15:26 +0000 2016,en,0,False,0,False,,Bradley C. Harrison,bradharrison1
Good advice from a parent at school drop off: remember eye of the tiger,Tue Apr 05 12:37:38 +0000 2016,en,1,False,0,False,,Bradley C. Harrison,bradharrison1
Straight talk @chamath Top V.C.: Early Facebook Lunches Included Maggots https://t.co/aJ62vWGfoE,Tue Mar 29 11:40:02 +0000 2016,en,0,False,6,False,,Bradley C. Harrison,bradharrison1
RT @mattocko: Astrophysicist @AstroKatie does a pretty good mic drop on her distant cousins in the AI field... ;-) https://t.co/LCrmm5dGDb,Mon Mar 28 20:29:13 +0000 2016,en,3,False,0,False,,Bradley C. Harrison,bradharrison1
RT @andyhpalmer: I'm ready to drink smarter. Who's with me?  https://t.co/fO77JeOOxy https://t.co/sMTzOfbgMY,Sun Mar 27 20:26:35 +0000 2016,en,2,False,0,False,,Bradley C. Harrison,bradharrison1
