Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
It's Techstars Chicago Demo Day! Looking forward to seeing the progress of the past 3 months #TSDemoDay,Tue Oct 13 13:09:53 +0000 2015,en,0,False,3,False,,Brian Hand,brianhand
Well written article on why gasonlie prices are higher than one would expect - Gas Prices Ought to Be Lower http://t.co/scy8HJcEJm via @WSJ,Thu Sep 24 13:48:36 +0000 2015,en,0,False,0,False,,Brian Hand,brianhand
The Promise Of 5G http://t.co/GYtb8xfcdz via @techcrunch,Mon Aug 17 15:41:27 +0000 2015,en,0,False,0,False,,Brian Hand,brianhand
These are the first Apple HomeKit-enabled accessories http://t.co/qDBWHjDoqw,Tue Jun 02 16:47:10 +0000 2015,en,0,False,0,False,,Brian Hand,brianhand
RT @kwiller: .@FoodGenius gets a new CEO http://t.co/xqMI18HbEO via @crainschicago,Tue Feb 10 18:56:49 +0000 2015,en,4,False,0,False,,Brian Hand,brianhand
"RT @1871Chicago: Congratulations @publicgood for raising $1.6M from @hydeparkangels, @ctemp, @firestarterfund. @crainschicago http://t.co/m…",Tue Feb 10 18:48:10 +0000 2015,en,13,False,0,False,,Brian Hand,brianhand
Here’s one way to turn the cyberattack on Sony back on North Korea. http://t.co/tSw4S0TpMU via @WSJ,Fri Dec 19 14:30:57 +0000 2014,en,0,False,0,False,,Brian Hand,brianhand
Saw Interstellar &amp; loved it. Great related article in @WSJ today - The Perils of Romanticizing Physics http://t.co/V2bjGsb6l9,Tue Dec 09 15:28:34 +0000 2014,en,0,False,0,False,,Brian Hand,brianhand
"RT @johnpletz: #Funding: @shiftgig gets $10M from Garland, KGC, @ChicagoVentures, @firestarterfund, @corazoncap and DRW. http://t.co/WUNllb…",Sat Nov 15 00:18:49 +0000 2014,en,7,False,0,False,,Brian Hand,brianhand
Very well said! RT @mariakatris: My open letter to women and men in tech http://t.co/BIrAeczawR via @BuiltInChicago,Fri Jun 06 14:44:37 +0000 2014,en,0,False,0,False,,Brian Hand,brianhand
RT @stuartlarkins: Congrats @bradflora ! @MarinSoftware Buys Social Retargeting Co. @PerfectAudience For $23M http://t.co/XlYrVrdDUe via @T…,Wed Jun 04 13:52:53 +0000 2014,en,4,False,0,False,,Brian Hand,brianhand
Chicago digital hub is a big opportunity http://t.co/pzBXoWBq89,Tue Feb 25 17:53:14 +0000 2014,en,0,False,0,False,,Brian Hand,brianhand
"Blitsy Secures $1 Million in Funding from Chicago Ventures, @FireStarterFund, and Group of Leading Angel Investors http://t.co/it4PaBmREU",Tue Sep 10 16:20:49 +0000 2013,en,0,False,0,False,,Brian Hand,brianhand
Portfolio company @Retrofitme CEO Jeff Hyman discussed smart business of #weightloss on @FoxBusiness… http://t.co/cGlFA1CLei,Tue Jun 04 13:38:42 +0000 2013,en,0,False,1,False,,Brian Hand,brianhand
@Docusign acquires @Cartavi  http://t.co/uE3zIhhp7w - Way to go @glshimkus and @paulkoziarz!,Wed May 15 14:33:21 +0000 2013,en,0,False,1,False,,Brian Hand,brianhand
"I'm happy to say that @timelines  and @facebook reached an amicable, confidential resolution to our litigation",Wed May 08 13:41:03 +0000 2013,en,1,False,5,False,,Brian Hand,brianhand
Enjoying learning the ins and out of the industrial packaging market @Skolnik !,Wed Mar 06 20:42:06 +0000 2013,en,0,False,0,False,,Brian Hand,brianhand
Cartavi named #1 real estate app http://t.co/p1m7tq6r Congrats  @glshimkus and @paulkoziarz!,Mon Oct 22 20:50:22 +0000 2012,en,1,False,0,False,,Brian Hand,brianhand
Meet Chicago's Tech 50 http://t.co/fWCFeEFG via @crainschicago,Mon Sep 24 16:22:32 +0000 2012,en,2,False,1,False,,Brian Hand,brianhand
RT @georgedeeb: Congrats to 2012 Moxie Awards Winners - The Best of Chicago's DigitalStartups: Last Thursday was the first annua... http ...,Mon Jun 25 21:18:45 +0000 2012,en,1,False,0,False,,Brian Hand,brianhand
"I2A, FireStarter, Brian Hand invest in event startup Kapow http://t.co/AnDJjJLr via @crainschicago",Mon Jun 25 21:09:13 +0000 2012,en,1,False,0,False,,Brian Hand,brianhand
@speby @zdzolton It was great to catch up guys!,Thu May 17 18:48:13 +0000 2012,en,0,False,0,False,,Brian Hand,brianhand
RT @firestarterfund: The Chicago FireStarter Venture Capital Fund (comScore Voices): http://t.co/EXHGCbQB,Fri Feb 03 23:12:41 +0000 2012,en,0,False,0,False,,Brian Hand,brianhand
RT @TroyHenikoff: A great article describing how Chicago's newest fund - FireStarter Fund works http://t.co/k6aZpo7u @firestarterfund,Wed Feb 01 23:39:10 +0000 2012,en,2,False,0,False,,Brian Hand,brianhand
"Announcing FireStarter Fund! http://t.co/jYHuHCmc  - funded by 42 Chicago CEOs/founders, targeting earlier stage deals in web/social/mobile",Tue Jan 31 20:51:20 +0000 2012,en,1,False,0,False,,Brian Hand,brianhand
A family New Year's Eve - dinner at Filippo's restaurant and then to the movie theater to see The Adventures of… http://t.co/QpAvF3Zd,Sun Jan 01 15:09:45 +0000 2012,en,0,False,0,False,,Brian Hand,brianhand
Facebook's Trademark Hypocrisy - Technology - The Atlantic Wire http://t.co/mdgUCCbb,Sat Dec 10 17:04:05 +0000 2011,en,0,False,0,False,,Brian Hand,brianhand
RT @timelines: Why we are suing Facebook and a request for help http://t.co/r8ResFzk #trademarks,Tue Oct 18 18:13:21 +0000 2011,en,1,False,1,False,,Brian Hand,brianhand
"#ChicagonistaLive broadcasting from @Photogram office with @NancyLoo, @DuongSheahan, @MJTam & @WiredPRWorks Barbara… http://t.co/e1N0sBd",Tue Sep 13 19:12:11 +0000 2011,en,3,False,0,False,,Brian Hand,brianhand
Soldier Field just before the national moment of silence for 9/11 victims  http://t.co/WzsC5Sw,Sun Sep 11 17:20:40 +0000 2011,en,1,False,0,False,,Brian Hand,brianhand
