Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Bogey!!!! @andrewbogut and I were just making some plans before Round 2 starts...🙌🏽🙌🏽🙌🏽 https://t.co/i1JsEfaOgn,Thu Apr 28 05:22:29 +0000 2016,en,2,False,56,False,,Chamath Palihapitiya,chamath
RT @bgurley: Favorite Chappelle/Prince basketball skit: https://t.co/xRpxI0teu8 &amp; Prince's response: https://t.co/d3qtUcIRR9 #toogood @Bark…,Wed Apr 27 23:26:11 +0000 2016,en,19,False,0,False,,Chamath Palihapitiya,chamath
"@bustle has been quietly building a powerhouse...now coming out of stealth as they consolidate and expand...

https://t.co/gBUsXC5GwT",Wed Apr 27 17:01:26 +0000 2016,en,5,False,7,False,,Chamath Palihapitiya,chamath
"My friend Ric Elias is doing some amazing things for young, talented people...check this out. https://t.co/eqkVe62Nta",Wed Apr 27 16:55:32 +0000 2016,en,7,False,20,False,,Chamath Palihapitiya,chamath
Make no mistake.  The long tail of Steve Jobs is coming to an end at Apple.  What's next is the key question... https://t.co/ChrN7VGDG8,Wed Apr 27 16:27:34 +0000 2016,en,75,False,121,False,,Chamath Palihapitiya,chamath
"RT @socialcapital: “We had never seen anything like it."" @mamoonha on the early metrics that led @socialcapital to invest in @SlackHQ: http…",Tue Apr 26 23:41:34 +0000 2016,en,16,False,0,False,,Chamath Palihapitiya,chamath
@naharissya @cpassariello thanks!!,Tue Apr 26 02:18:00 +0000 2016,en,0,False,3,False,,Chamath Palihapitiya,chamath
"RT @colejfox: ""First they ignore you, then they ridicule you, then they fight you. Then you win."" Love it @chamath &amp; happy Monday! https://…",Mon Apr 25 16:53:35 +0000 2016,en,22,False,0,False,,Chamath Palihapitiya,chamath
I've said before: this is the biggest poker game in the world. Saving Private Flipkart @FoundingF https://t.co/VRTXN6zHXG #Entrepreneurship,Mon Apr 25 03:33:21 +0000 2016,en,128,False,147,False,,Chamath Palihapitiya,chamath
RT @gregmulholland: If you work in tech/startups and don't get @socialcapital Snippets you are making a big mistake. Improve yourself: http…,Sun Apr 24 22:11:09 +0000 2016,en,13,False,0,False,,Chamath Palihapitiya,chamath
@Kane_rogers bring it! 👍👊🏽,Sun Apr 24 00:59:29 +0000 2016,en,0,False,1,False,,Chamath Palihapitiya,chamath
Love this guy. Soulless he ain't! And his hue is less milque and more buttery cappuccino! 🔑🔑🔑 https://t.co/uONLJmxdmp,Sat Apr 23 18:45:44 +0000 2016,en,13,False,87,False,,Chamath Palihapitiya,chamath
@girishbhak @cpassariello @WSJ yes!,Sat Apr 23 18:42:36 +0000 2016,und,0,False,0,False,,Chamath Palihapitiya,chamath
@healthpolicymav @GlookoInc is our population health company for diabetes. Want intro?,Sat Apr 23 18:42:16 +0000 2016,en,1,False,0,False,,Chamath Palihapitiya,chamath
@healthpolicymav I'm sorry you left but we'll make it up to you...,Sat Apr 23 18:41:36 +0000 2016,en,0,False,4,False,,Chamath Palihapitiya,chamath
HOUSE TOUR: A Sexy Tahoe Vacation Home Brings The Outdoors In - Step inside a&amp;nbsp;mountain&amp;nbsp;r https://t.co/VNmCG4P6tf via @elledecor,Sat Apr 23 06:26:46 +0000 2016,en,6,False,33,False,,Chamath Palihapitiya,chamath
@gaberivera @johnolilly @stewart this was definitely a pretty ridiculous headline but the sweater is tight! 😂😂😂😂,Fri Apr 22 21:47:48 +0000 2016,en,0,False,5,False,,Chamath Palihapitiya,chamath
@johnolilly @stewart lol. It happens. Don't sweat it! They don't want you to win! 🔑🔑🔑,Fri Apr 22 21:40:48 +0000 2016,en,0,False,9,False,,Chamath Palihapitiya,chamath
"@skydayton, @blau00 and I enjoying the beautiful landscape of Lanai. #gurley50 https://t.co/HHYMwBH2ax",Fri Apr 22 20:56:29 +0000 2016,en,1,False,15,False,,Chamath Palihapitiya,chamath
"RT @cpassariello: @Chamath: venture capitalist, former #Facebook exec, #Warriors owner - and ""equal-opportunity a--"": https://t.co/DxHRctKj…",Fri Apr 22 18:39:12 +0000 2016,en,22,False,0,False,,Chamath Palihapitiya,chamath
"RT @Rsquared: Solid advice from @chamath ""‘I’m the CEO, bitch!’"" https://t.co/JBLpEAW7hU",Fri Apr 22 18:38:55 +0000 2016,en,9,False,0,False,,Chamath Palihapitiya,chamath
