Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Yahoooo!  https://t.co/IBN5jsnzqX,Thu Apr 28 17:19:49 +0000 2016,es,0,False,1,False,,danny rimer,dannyrimer
"RT @nytimes: Prince's music transcended and remade genres like funk, rock and R&amp;B for decades https://t.co/Pv7lPtyvT6 https://t.co/k1mdDn2j…",Thu Apr 21 17:50:57 +0000 2016,en,1589,False,0,False,,danny rimer,dannyrimer
@SG A tad more than that--I suspect....,Thu Apr 21 17:45:27 +0000 2016,en,0,False,0,False,,danny rimer,dannyrimer
Congrats to @factual and @gilelbaz on fight with a patent troll and why it's critical to fight to protect innovation https://t.co/nj2gLP1ShC,Thu Apr 21 16:58:51 +0000 2016,en,1,False,2,False,,danny rimer,dannyrimer
RT @adamlashinsky: My personal tribute to a great man who touched my life: Remembering Bill Campbell via @FortuneMagazine https://t.co/Cxkn…,Tue Apr 19 02:39:52 +0000 2016,en,44,False,0,False,,danny rimer,dannyrimer
Bill Campbell was an absolute pleasure and honor to learn from. Every single time was a complete pleasure--even when he gave me shit!,Mon Apr 18 16:53:52 +0000 2016,en,1,False,11,False,,danny rimer,dannyrimer
With Greg it was a question of when not if....Congrats to you and the team and thanks for letting us be part of it! https://t.co/0iVlNV8no2,Tue Apr 05 08:31:30 +0000 2016,en,3,False,8,False,,danny rimer,dannyrimer
An incredibly clear and thorough history of databases by my partner @mavolpi https://t.co/LvvLpufKPU. Very glad to be in @cockroachdb.,Thu Mar 31 19:38:33 +0000 2016,en,2,False,10,False,,danny rimer,dannyrimer
"Zaha Hadid, Dies at 65 https://t.co/9EwESbeaEC true loss, what an incredibly talented artist. Her Maggie's Centre in Fife is truly amazing.",Thu Mar 31 19:03:44 +0000 2016,en,0,False,1,False,,danny rimer,dannyrimer
The best of all possible music. I'm super excited!  https://t.co/Tyu0vf3qeF,Wed Mar 30 01:46:11 +0000 2016,en,1,False,1,False,,danny rimer,dannyrimer
Thankyou and Bengali Dotar https://t.co/eeKBdqld22,Thu Mar 24 03:31:42 +0000 2016,en,0,False,0,False,,danny rimer,dannyrimer
RT @adityaag: It's a big day for us at Dropbox because we finally get to tell the world about Magic Pocket. Magic Pocket is our... https://…,Tue Mar 15 14:39:53 +0000 2016,en,46,False,0,False,,danny rimer,dannyrimer
RT @ilyaf: incredible feat of engineering from the @dropbox infrastructure team https://t.co/534QzqeVM8,Mon Mar 14 15:06:52 +0000 2016,en,8,False,0,False,,danny rimer,dannyrimer
RT @Dropbox: How we're scaling to exabytes and beyond: https://t.co/GYfublCH0D via @WIRED https://t.co/Q5naBUqtGi,Mon Mar 14 15:06:24 +0000 2016,en,163,False,0,False,,danny rimer,dannyrimer
@zykotak my email,Mon Mar 14 15:05:43 +0000 2016,en,0,False,0,False,,danny rimer,dannyrimer
What a pleasure to work and see Isaac and team grow from strength to strength!  Congrats on another milestone. https://t.co/GQ1h2sFQOK,Thu Mar 10 17:12:35 +0000 2016,en,0,False,5,False,,danny rimer,dannyrimer
RT @tmrohan: huge congrats to the super-talented @ioates and @JustworksHR team for raising $33m! best HR software out there! https://t.co/0…,Thu Mar 10 17:10:21 +0000 2016,en,6,False,0,False,,danny rimer,dannyrimer
RT @IndexVentures: One year since launch @prop_partner's 6200 customers have invested £24M across 166 properties. https://t.co/YrjiueHMvo,Mon Mar 07 23:12:41 +0000 2016,en,8,False,0,False,,danny rimer,dannyrimer
"RT @IndexVentures: Index leads $10m round in @CultureAmp, the survey platform for people &amp; culture https://t.co/JnThfGVnd7 #peoplegeeks htt…",Mon Mar 07 23:10:14 +0000 2016,en,18,False,0,False,,danny rimer,dannyrimer
Great clarity and wisdom from the extra special @mmccue  https://t.co/D2fREnhEBz,Mon Feb 22 07:27:54 +0000 2016,en,2,False,6,False,,danny rimer,dannyrimer
Very cool project https://t.co/MK2mM9cU1v,Sat Feb 06 16:46:27 +0000 2016,en,0,False,2,False,,danny rimer,dannyrimer
@adamnash @IndexVentures @mavolpi @dickc thanks very much!,Fri Feb 05 05:02:27 +0000 2016,en,0,False,3,False,,danny rimer,dannyrimer
@satishd @mavolpi @dickc thank you sir! it's always a pleasure!!,Wed Feb 03 20:52:31 +0000 2016,en,0,False,1,False,,danny rimer,dannyrimer
"RT @janatindex: Great write up by @Forbes @StevenBertoni on @Adyen here https://t.co/lh9q7HyQ4L - going global, multichannel and full stack…",Tue Feb 02 00:31:01 +0000 2016,en,7,False,0,False,,danny rimer,dannyrimer
Proud to be involved with such a great team. This is just the beginning for @Patreon! https://t.co/hIkhPWRCJy,Wed Jan 20 04:35:58 +0000 2016,en,1,False,11,False,,danny rimer,dannyrimer
@raffjack @dickc @IndexVentures thanks Rafferty ;),Tue Jan 19 23:01:14 +0000 2016,en,0,False,0,False,,danny rimer,dannyrimer
"@bijan @dickc @narimer @mavolpi thanks Bijan, it's mutual ;)",Tue Jan 19 22:58:47 +0000 2016,en,0,False,1,False,,danny rimer,dannyrimer
RT @Recode: Former Twitter CEO Costolo becomes a VC and a startup founder https://t.co/baza82qxJL via @karaswisher https://t.co/VT49BtNoKF,Tue Jan 19 15:30:21 +0000 2016,en,36,False,0,False,,danny rimer,dannyrimer
Fantastic day for @IndexVentures to have the great @dickc start helping our existing companies and companies to be! https://t.co/Tng37QM68Q,Tue Jan 19 14:49:33 +0000 2016,en,9,False,35,False,,danny rimer,dannyrimer
"RT @mavolpi: Very exciting. Congrats to the @soundcloud team. SoundCloud &amp; Universal Music Agree to Licensing Deal, via @nytimes https://t.…",Wed Jan 13 16:38:03 +0000 2016,en,8,False,0,False,,danny rimer,dannyrimer
@SoundCloud @UMG congrats!!!!,Wed Jan 13 16:36:30 +0000 2016,en,0,False,0,False,,danny rimer,dannyrimer
@aweissman thanks! I'm having a tough enough time just doing my day job ;),Thu Dec 03 17:07:38 +0000 2015,en,0,False,0,False,,danny rimer,dannyrimer
RT @johnolilly: Figma: The collaborative interface design tool via @johnolilly on @ProductHunt https://t.co/CZNysGJvCz,Thu Dec 03 16:14:05 +0000 2015,en,7,False,0,False,,danny rimer,dannyrimer
"RT @soleio: Figma comes out of stealth today. Designers, let me know if you want an invite! Follow @figmadesign for more info. https://t.co…",Thu Dec 03 15:21:51 +0000 2015,en,16,False,0,False,,danny rimer,dannyrimer
Figma launches and I get to talk about them! https://t.co/Wb5vlp4sDw,Thu Dec 03 15:21:29 +0000 2015,en,5,False,27,False,,danny rimer,dannyrimer
Food Delivery Startup Good Eggs Has A New CEO https://t.co/7TJrI4sQW0 via @techcrunch,Thu Dec 03 10:53:05 +0000 2015,en,0,False,3,False,,danny rimer,dannyrimer
Dick Costolo Joins The Patreon Board https://t.co/k2PwOKj8pb via @techcrunch,Thu Dec 03 10:52:43 +0000 2015,en,0,False,3,False,,danny rimer,dannyrimer
Interesting stories about the early days of @salesforce. Great for entrepreneurs to watch!,Wed Nov 04 18:04:01 +0000 2015,en,0,False,1,False,,danny rimer,dannyrimer
https://t.co/TDUWSuoR5c,Wed Nov 04 17:55:07 +0000 2015,und,0,False,1,False,,danny rimer,dannyrimer
"RT @TheEconomist: A $1.6 billion French start-up revs up its brand, offering empty car seats https://t.co/oH1WnL9PBf https://t.co/gsLweCIkat",Tue Nov 03 15:45:43 +0000 2015,en,129,False,0,False,,danny rimer,dannyrimer
@plscurrie thanks sir but really the team did it absolutely completely and was an honor to work with them!,Tue Nov 03 12:55:30 +0000 2015,en,0,False,1,False,,danny rimer,dannyrimer
Activision to Buy King Digital in $5.9 Billion Games Deal https://t.co/vDq9eCRwMP via business,Tue Nov 03 05:07:42 +0000 2015,en,0,False,5,False,,danny rimer,dannyrimer
"RT @FallonTonight: Jimmy &amp; @SelenaGomez use @dubsmashapp with the Empire jingle, The Circle of Life, and more! https://t.co/GyZZgnJgSZ http…",Thu Oct 15 20:20:31 +0000 2015,en,494,False,0,False,,danny rimer,dannyrimer
"From my partner, Ilya, on investing in Optimizely https://t.co/dwE9WV6cdE via @IndexVentures",Tue Oct 13 18:05:17 +0000 2015,en,1,False,3,False,,danny rimer,dannyrimer
@ttzzapp thanks man! some coming your way!,Mon Aug 31 18:31:57 +0000 2015,en,0,False,0,False,,danny rimer,dannyrimer
@Dubsmash aiming to spread viral app’s appeal - http://t.co/v7z1MQRdGy http://t.co/pnbxMWgfy9. Psyched to be part of this awesome ride.,Mon Aug 31 18:29:48 +0000 2015,en,1,False,3,False,,danny rimer,dannyrimer
Pocket Money Loans™ - pay-day loans for kids! http://t.co/YfXexFb7Xk #pocketmoneyloans via @pocketmoneyloan,Mon Aug 24 17:22:57 +0000 2015,en,2,False,2,False,,danny rimer,dannyrimer
