Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
TV's Data-driven Future Drives @TiVo @RoviCorp Deal https://t.co/nEAOxxHCQq,Fri Apr 29 12:35:46 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
"RT @zimbalist: By government mandate, or by market-driven, app-based solution -- either way, the set top box is headed for change.  https:/…",Fri Apr 29 12:02:11 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
Super proud of @loreac presentation #ApenasMarta @PENworldvoices https://t.co/WwER1weHGn,Thu Apr 28 23:45:12 +0000 2016,en,0,False,1,False,,Dave Morgan,davemorgannyc
RT @MediaVillageCom: .@DaveMorganNYC on the early days of Real Media &amp; a special gift from NBC exec Bob Blackmore https://t.co/8GioiNSrYe h…,Wed Apr 27 20:50:50 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
TV becoming more like Digital for @CampbellSoupCo @Yintegrated https://t.co/q4hRB0IvZN,Wed Apr 27 12:37:01 +0000 2016,en,0,False,0,False,,Dave Morgan,davemorgannyc
RT @loreac: Married for fourteen years today! Super nice. With the amazing @davemorgannyc https://t.co/0Dwag5PREL,Wed Apr 27 12:01:29 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
RT @larakiara: Big report from SunTrust on Snapchat with this chart showing est. revenues growing faster than early Facebook https://t.co/v…,Wed Apr 27 11:56:21 +0000 2016,en,8,False,0,False,,Dave Morgan,davemorgannyc
RT @hblodget: Strong quarter for Comcast... TV still a money machine @AkinOyedele  https://t.co/MPeJObfG8X,Wed Apr 27 11:55:15 +0000 2016,en,6,False,0,False,,Dave Morgan,davemorgannyc
"RT @Beet_TV: Missed the @Simulmedia #PeopleFront?  Find our series published right here: 
https://t.co/mJjWJIOtxd
 Congrats @davemorgannyc…",Wed Apr 27 11:54:40 +0000 2016,en,4,False,0,False,,Dave Morgan,davemorgannyc
"RT @mvermut: Agreed, w the right analytics &amp; @Neustar #AuthoritativeIdentity: We're Seeing the Evolution of TV, Not Its Decline https://t.c…",Tue Apr 26 17:56:09 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
RT @loreac: Thank you!@georgetownlaw https://t.co/POOoesSvIH,Tue Apr 26 12:06:59 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
"Finally, TV industry touts avg audience minutes comparison to digital-apples&lt;&gt;apples @jpoggi https://t.co/XvLgeFODHs",Tue Apr 26 11:57:32 +0000 2016,en,2,False,2,False,,Dave Morgan,davemorgannyc
"RT @Simulmedia: Will the ""open"" set-top box break the TV ad bundle? Blog post by @davemorgannyc: https://t.co/JEA4FUx5xM",Mon Apr 25 15:43:51 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
Cool @adexchanger comic on digital's envy for TV $$'s https://t.co/mD5cBi5lzo,Mon Apr 25 15:17:55 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
"RT @LarryShender: @davemorgannyc Will The 'Open' Set-Top Box Break The TV Ad Bundle?: The ""opening"" up of the television set-top... https:/…",Sun Apr 24 21:29:28 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
RT @JackMarshall: advertisers aren't moving large chunks of their TV budgets to digital video. https://t.co/SedkkOzPx4 via @WSJ @digitalshi…,Sat Apr 23 01:33:29 +0000 2016,en,12,False,0,False,,Dave Morgan,davemorgannyc
"RT @WendellW: If you weren't able to make it to Simulmedia, Inc. Peoplefront in person, you can read about in @WeislerMedia summar…https://…",Fri Apr 22 16:38:44 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
RT @wesnichols: Loved talking about importance of #analytics for  #CMO - and why the only thing that ultimately matters is revenue https://…,Fri Apr 22 16:30:28 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
"TV ads still growing, but big change afoot @brianwieser @sjhasker @wesnichols @Yintegrated @otawakol @tkawaja https://t.co/0RgNk89JF2",Fri Apr 22 16:22:54 +0000 2016,en,0,False,1,False,,Dave Morgan,davemorgannyc
RT @Neustar: Neustar’s MarketShare Teams w Simulmedia For Ad Analysis! Check out @wesnichols on @Beet_TV https://t.co/THeQ1xkYQT,Fri Apr 22 11:08:09 +0000 2016,en,5,False,0,False,,Dave Morgan,davemorgannyc
Quick run along Hudson &amp; amazing Riverside Park tree blossoms; great to be back in NYC; ready for the day,Fri Apr 22 10:59:33 +0000 2016,en,0,False,1,False,,Dave Morgan,davemorgannyc
"RT @malbarda: A good summary on the anticipated impact of the ""unbundling"" of set-top boxes. Sign me up! Via @davemorgannyc https://t.co/A9…",Fri Apr 22 00:09:22 +0000 2016,en,2,False,0,False,,Dave Morgan,davemorgannyc
"Will the ""open"" set-top box break the TV ad bundle? https://t.co/J5VN8pEqob",Thu Apr 21 20:52:58 +0000 2016,en,0,False,0,False,,Dave Morgan,davemorgannyc
"Where there is mystery, there is margin https://t.co/RzuPcqZSCx",Thu Apr 21 11:17:05 +0000 2016,en,0,False,1,False,,Dave Morgan,davemorgannyc
Might diversified media owning &amp; marketing services company become the new industry norm? https://t.co/gEuiqaKMVw,Thu Apr 21 10:59:47 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
RT @larakiara: Facebook has added more TV-like ad buying options https://t.co/NUZqY87Hig,Thu Apr 21 10:27:15 +0000 2016,en,10,False,0,False,,Dave Morgan,davemorgannyc
Smartest folks in biz on how digital is changing TV ad industry @tkawaja @zimbalist @prnaylor @GayleFuguitt https://t.co/MRWE2uIxio,Thu Apr 21 10:26:44 +0000 2016,en,8,False,3,False,,Dave Morgan,davemorgannyc
RT @ismaelnafria: Ad tech is broken. Here's how newsrooms can help fix it - By @mkramer https://t.co/8y5AIvxymv vía @poynter,Thu Apr 21 09:04:48 +0000 2016,en,1,False,0,False,,Dave Morgan,davemorgannyc
