Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Facebook makes me feel like other people are better than me. Better parents, better people.

I feel totally fine on Twitter.",Mon Apr 25 17:18:24 +0000 2016,en,10,False,40,False,,Dave Pell,davepell
Another Dumb and Dumber sequel is on the way. https://t.co/3YGM9IYxbb,Mon Apr 25 16:29:02 +0000 2016,en,5,False,19,False,,Dave Pell,davepell
"For those falsely accused &amp; imprisoned people waiting for your day in appeals court, the Brady deflategate appeal is finally out of the way.",Mon Apr 25 16:00:35 +0000 2016,en,6,False,14,False,,Dave Pell,davepell
@melvyndotme Hadn’t heard of that one. I need something light on the desktop.,Mon Apr 25 05:35:40 +0000 2016,en,0,False,1,False,,Dave Pell,davepell
"No one talks to Khaleesi that way.

No One.

Not the Dothraki.

Not even Trump.",Mon Apr 25 05:32:29 +0000 2016,en,0,False,16,False,,Dave Pell,davepell
@jimgaynor It’s just a little too heavy for me for some reason.,Mon Apr 25 05:31:10 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
"I want to use Apple Notes. But I want the Evernote menu dropdown quick note take (and I want that to be saved).

How can I make that happen?",Mon Apr 25 04:18:30 +0000 2016,en,1,False,9,False,,Dave Pell,davepell
Coming this weekend on HBO! https://t.co/HeooSxP1Zh,Mon Apr 25 03:19:40 +0000 2016,en,1,False,10,False,,Dave Pell,davepell
"Winter is coming.

(But honestly, not for a while. It’s April.)",Mon Apr 25 02:30:54 +0000 2016,en,25,False,54,False,,Dave Pell,davepell
Someone came up with seedless watermelon and you want me to get excited about your bot?,Mon Apr 25 01:48:00 +0000 2016,en,9,False,32,False,,Dave Pell,davepell
I’m looking for the best iPhone wallet case for a 6s. It’s for my sister. It’s gotta be sweet.,Sun Apr 24 23:17:31 +0000 2016,en,0,False,3,False,,Dave Pell,davepell
"After watching Beyonce’s latest release, I renamed my private parts Lemonade Stand.",Sun Apr 24 23:12:51 +0000 2016,en,0,False,4,False,,Dave Pell,davepell
@sacca I sometimes get curious about employment.,Sun Apr 24 17:30:47 +0000 2016,en,0,False,14,False,,Dave Pell,davepell
I sometimes endorse someone’s skills on LinkedIn to be ironic.,Sun Apr 24 17:02:32 +0000 2016,en,12,False,50,False,,Dave Pell,davepell
RT @DebraMessing: Repost:David Epley https://t.co/yImNFKOa7j,Sun Apr 24 04:54:47 +0000 2016,en,227,False,0,False,,Dave Pell,davepell
Google’s decision to broadcast Coachella in 360 is why you never bring an engineer to a media meeting.,Sun Apr 24 04:13:02 +0000 2016,en,6,False,39,False,,Dave Pell,davepell
"What’s Tidal?

Why would I need Tidal?

No way Tidal can make it.

(Beyonce releases Lemonade)

So, I signed up for Tidal…",Sun Apr 24 03:53:36 +0000 2016,en,12,False,41,False,,Dave Pell,davepell
@anildash I think it depends on who’s getting philandered on.,Sun Apr 24 03:41:33 +0000 2016,en,0,False,1,False,,Dave Pell,davepell
Game of Thrones should end with Beyonce sitting on the unified throne.,Sun Apr 24 03:38:47 +0000 2016,en,11,False,29,False,,Dave Pell,davepell
"Beyonce just debuted an entirely new musical format.

And I’m pretty sure we should call it Beyonce.",Sun Apr 24 02:35:29 +0000 2016,en,9,False,24,False,,Dave Pell,davepell
@nilslofgren Nailed it when it counted on the Purple Rain solo.,Sun Apr 24 02:01:50 +0000 2016,en,0,False,1,False,,Dave Pell,davepell
"Bruce on Prince: “I always left one of his shows humbled.”

https://t.co/Bx0Kh1aSfS",Sun Apr 24 01:59:12 +0000 2016,en,8,False,12,False,,Dave Pell,davepell
"When I was a little kid, I wanted to grow up and be a social critic.",Sat Apr 23 18:18:39 +0000 2016,en,2,False,9,False,,Dave Pell,davepell
"RT @tabletmag: It is, according to @davepell, a right of Jews to complain about Passover: https://t.co/bzmQvMDUAC",Sat Apr 23 16:04:39 +0000 2016,en,4,False,0,False,,Dave Pell,davepell
@pmarca @johnhenderson @fredwilson I’ve seen a down round destroy a company’s in-office lunch options plenty of times.,Sat Apr 23 07:46:56 +0000 2016,en,3,False,18,False,,Dave Pell,davepell
Thomas @Middleditch just gave one of the best guest performances ever on Real Time with @billmaher. Maybe the best.,Sat Apr 23 07:37:09 +0000 2016,en,1,False,7,False,,Dave Pell,davepell
@sacca I’m pretty sure I have the product tweak that can addresses this key issue. That makes Twitter as imperative on the other days.,Sat Apr 23 07:20:22 +0000 2016,en,0,False,3,False,,Dave Pell,davepell
"Writing tip:

Trust your art when you’re high.

Don’t trust your edits.",Sat Apr 23 06:19:21 +0000 2016,en,9,False,36,False,,Dave Pell,davepell
The outcry for Prince is about him. But it’s also about our increasingly unmet desire to be talking about the same thing at the same time.,Sat Apr 23 05:53:33 +0000 2016,en,105,False,238,False,,Dave Pell,davepell
"@alyssonsev Here it is:

https://t.co/48YY65HGL0",Sat Apr 23 05:35:28 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
"And Moses went unto Darth Seder and said, ""let my people go.""

#kidstoday",Sat Apr 23 01:37:07 +0000 2016,en,2,False,8,False,,Dave Pell,davepell
Coachella crowds are way down as all the A listers sit down to Seder.,Sat Apr 23 01:06:54 +0000 2016,en,4,False,11,False,,Dave Pell,davepell
"@pmarca You got compared to Moses, so net net, you’re having a pretty good day.",Fri Apr 22 20:46:21 +0000 2016,en,0,False,3,False,,Dave Pell,davepell
"Let’s Go Crazy

Prince-inspired headlines, weekend reads, and more.

https://t.co/UkTV3Ru8z7",Fri Apr 22 20:34:14 +0000 2016,en,0,False,4,False,,Dave Pell,davepell
"Moses led, but god barred him from the promised land. That's like @pmarca not being able to watch Internet porn.

https://t.co/hOCxfs4jhr",Fri Apr 22 20:09:59 +0000 2016,en,4,False,4,False,,Dave Pell,davepell
"This is for everyone who is celebrating Passover tonight. And for those lucky enough not to be.

https://t.co/fLrc2ra3gr

#IRunJewishTwitter",Fri Apr 22 17:37:10 +0000 2016,en,1,False,2,False,,Dave Pell,davepell
"Let my people go … on to the Internet and complain.

https://t.co/OBYz39yIU4",Fri Apr 22 16:39:44 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
"In their domain, TMZ is a dominant force. Amazing how many stories they get first and right.",Fri Apr 22 16:12:31 +0000 2016,en,0,False,10,False,,Dave Pell,davepell
Real Sports on HBO is one of the best news shows anywhere. This month’s episode is just tremendous.,Fri Apr 22 15:55:06 +0000 2016,en,0,False,6,False,,Dave Pell,davepell
"If the reports of an overdose are accurate, the discourse about prescription opiates in this country are about to enter code purple.",Fri Apr 22 06:01:06 +0000 2016,en,8,False,19,False,,Dave Pell,davepell
"Let My People Groan: A Passover Tradition

https://t.co/hOCxfrMHSR",Fri Apr 22 04:46:13 +0000 2016,en,1,False,10,False,,Dave Pell,davepell
"If Jews had realized they forgot the ingredients for decent bread midway through the Red Sea, they would have stopped and turned back.",Fri Apr 22 01:45:14 +0000 2016,en,4,False,23,False,,Dave Pell,davepell
"Two Hipsters walk into a bar.

That's it. I left when that happened.",Fri Apr 22 00:32:44 +0000 2016,en,30,False,76,False,,Dave Pell,davepell
"I put my NextDraft Prince take on @medium today.

https://t.co/nkqLnxFlwF",Thu Apr 21 20:57:16 +0000 2016,en,6,False,11,False,,Dave Pell,davepell
"In a down market, dumb money runs, and smart money invests.

There’s a lot of dumb tech money now. But in the first boom, it was all dumb.",Thu Apr 21 20:51:57 +0000 2016,en,6,False,5,False,,Dave Pell,davepell
"Purple Tears

https://t.co/JfFW07DYu5

CC: @anildash",Thu Apr 21 19:42:45 +0000 2016,en,5,False,9,False,,Dave Pell,davepell
"Bowie and Prince provided such a key reminder:

It’s not just ok to be weird. It’s cool to be weird.",Thu Apr 21 18:00:08 +0000 2016,en,423,False,488,False,,Dave Pell,davepell
@anildash Write a post in time for me to lead with it.,Thu Apr 21 17:32:08 +0000 2016,en,0,False,5,False,,Dave Pell,davepell
"Think of all the instruments that make up a band.

One of the greatest players of each of those instruments died today. And he was one guy.",Thu Apr 21 17:23:58 +0000 2016,en,129,False,133,False,,Dave Pell,davepell
"Congrats to the @HotelTonight crew as Aces comes up aces. And for deciding to make the chatbots human.

https://t.co/PHFAC1jdjn",Thu Apr 21 16:10:00 +0000 2016,en,0,False,6,False,,Dave Pell,davepell
@guygal you missed a word in my tweet. Quality.,Thu Apr 21 14:44:21 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
I want my kids to understand what it was  like to have to adjust the vert. hold.,Thu Apr 21 07:35:04 +0000 2016,en,1,False,12,False,,Dave Pell,davepell
@castirony Not really. Just the stuff I can get with my bunny ears.,Thu Apr 21 07:34:29 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
@adamnash I agree. Amazing. I just think there’s an outer edge and I’m feeling the shows weaken a bit. Just a hunch.,Thu Apr 21 07:33:56 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
"The body of quality television shows can’t keep expanding endlessly.

And my gut tells me the peak size of the market has been reached.",Thu Apr 21 07:23:28 +0000 2016,en,1,False,11,False,,Dave Pell,davepell
@joshmedia @beninato @hunterwalk Even better to get compared to my bankers when they’re tweeting.,Thu Apr 21 07:05:01 +0000 2016,en,0,False,4,False,,Dave Pell,davepell
"Update: Everyone is fired.

Everyone.

https://t.co/iM4qLtKNxV",Thu Apr 21 04:32:43 +0000 2016,en,0,False,7,False,,Dave Pell,davepell
"Fifty is the new twenty-five.

Unfortunately, we’re talking about startup equity.",Thu Apr 21 01:20:22 +0000 2016,en,3,False,19,False,,Dave Pell,davepell
@jblanton All you need to know is that the target is running.,Thu Apr 21 01:20:19 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
@jblanton Pretty sure the makers of the Hunger Games addressed that limitation in the sport.,Thu Apr 21 01:18:46 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
@amyjrosenberg Those dates were just a joke. I am an occasional fan.,Thu Apr 21 01:01:33 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
@amyjrosenberg That’s only my online persona. My offline self will be high in about two hours.,Thu Apr 21 00:59:18 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
"I need a connection @WiseSonsDeli so I can get a Fri Passover order in even tho it’s late.

Otherwise my family will give my seat to Elijah.",Thu Apr 21 00:56:47 +0000 2016,en,0,False,2,False,,Dave Pell,davepell
"Schilling gets fired for being offensive on social media.

Trump gets the Republican nomination.",Thu Apr 21 00:40:31 +0000 2016,en,15,False,33,False,,Dave Pell,davepell
The American Psychiatric Association just added “Trump Supporter” as a diagnostic category.,Thu Apr 21 00:34:42 +0000 2016,en,6,False,24,False,,Dave Pell,davepell
"@chrislarlee Yeah, and it was a choppy tweet anyway.",Thu Apr 21 00:25:35 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
Americans used to have to seek political craziness abroad. But now the domestic market is saturated. Imports are way down.,Thu Apr 21 00:23:16 +0000 2016,en,8,False,16,False,,Dave Pell,davepell
"@medium I don’t want to tell you how to do your business, but this one ain’t gonna work as well in a few hours.

https://t.co/XRiT9DabR5",Thu Apr 21 00:21:32 +0000 2016,en,0,False,1,False,,Dave Pell,davepell
"@ekriessmann Those were a little too downmarket for me.

San Pedro, Santa Venetia.",Wed Apr 20 21:38:03 +0000 2016,en,0,False,0,False,,Dave Pell,davepell
@landonhowell I really don’t use any. But I’ve see tunnel bear mentioned here and there.,Wed Apr 20 21:25:38 +0000 2016,en,0,False,1,False,,Dave Pell,davepell
