Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
My wife and I love Indie Mag @offscreenmag -- read about “Indie Magonomics” by @kaibrach https://t.co/9oWsLu3gro cc: @brangien,Sun Apr 24 17:56:05 +0000 2016,en,0,False,0,False,,Dave Schappell,daveschappell
Our new London wheels--it's a practical city car. Also good in war zones. @ Drama Park Lane https://t.co/7Jer00rm7g,Sun Apr 24 13:13:59 +0000 2016,en,0,False,6,False,"{'coordinates': [-0.1488865, 51.5057068], 'type': 'Point'}",Dave Schappell,daveschappell
#TSDemoDay is over. Congrats to the #BarclaysAccel startups and thank you to all who came to support them! #fintech https://t.co/2i1CT4cBAQ,Mon Apr 18 16:30:14 +0000 2016,en,0,False,1,False,,Dave Schappell,daveschappell
Good luck to the 11 #BarclaysAccel Techstars startups about to crush #TSDemoDay Check out the future of #FinTech https://t.co/6wulEHMwTW,Mon Apr 18 13:30:11 +0000 2016,en,1,False,1,False,,Dave Schappell,daveschappell
"Hey @daryn, it's #Friday! https://t.co/CTagz7JYhQ",Fri Apr 15 05:49:49 +0000 2016,en,0,False,2,False,,Dave Schappell,daveschappell
@bkwellsphotos life is pretty good.  how's LA?  problems solved?,Thu Apr 14 18:27:31 +0000 2016,en,0,False,0,False,,Dave Schappell,daveschappell
.@Listpedia launches! Nice list of London VCs - https://t.co/JQWooa9kv9... congrats @calbucci!,Thu Apr 14 06:59:43 +0000 2016,en,0,False,4,False,,Dave Schappell,daveschappell
My thoughts on Listpedia on @ProductHunt cc @Listpedia @calbucci https://t.co/wEJExS5QG4 https://t.co/teUyZmcA59,Thu Apr 14 06:29:33 +0000 2016,en,1,False,3,False,,Dave Schappell,daveschappell
RT @bencke: 1/2 It's launch day @spare5's #intelligentcrowdsourcing platform! #machinelearning #artificialintelligence https://t.co/BsHHTI2…,Wed Apr 13 18:18:11 +0000 2016,en,4,False,0,False,,Dave Schappell,daveschappell
"RT @localglobevc: Why London is gt place to be in future vs New York, Mumbai and Shenzhen cc @liamcasey @albertwenger @DanielKorski https:/…",Wed Apr 13 18:17:47 +0000 2016,en,1,False,0,False,,Dave Schappell,daveschappell
"Huge congrats to @gregbettinelli at @upfrontvc -- really good guy, getting props https://t.co/qsEjQv2xqd",Tue Apr 12 18:47:40 +0000 2016,en,0,False,3,False,,Dave Schappell,daveschappell
@aronchick an idiot,Mon Apr 11 19:50:23 +0000 2016,sv,0,False,0,False,,Dave Schappell,daveschappell
RT @deapubhi: Awesome work @lynchseattle! Inspiring.  https://t.co/GCR4NNrQeq,Mon Apr 11 19:48:35 +0000 2016,en,1,False,0,False,,Dave Schappell,daveschappell
