Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@thePREFCT @BoxGroup thanks!,Tue Feb 02 19:39:30 +0000 2016,en,0,False,2,False,,David Tisch,davetisch
Had so much fun with @HarryStebbings on @twentyminutevc discussing the vision for @BoxGroup &amp; Future for @spring https://t.co/57EFaO5agi,Mon Jan 11 14:29:25 +0000 2016,en,13,False,36,False,,David Tisch,davetisch
"@andreawass Good, so we agree… :-)",Tue Dec 22 21:11:53 +0000 2015,en,0,False,3,False,,David Tisch,davetisch
"@andreawass experience doesn't create urgency… it create habits and repeat customers, not urgency.",Tue Dec 22 21:09:23 +0000 2015,en,0,False,5,False,,David Tisch,davetisch
"@andreawass hey Andrea, we have awesome and satisfied customers, I don't think anyone in retail creates urgency other than price/exclusive",Tue Dec 22 21:04:52 +0000 2015,en,0,False,0,False,,David Tisch,davetisch
About to start a @ProductHunt AMA - Join me: https://t.co/Z7mhc4cGuY,Tue Dec 22 19:55:10 +0000 2015,en,9,False,25,False,,David Tisch,davetisch
Warming up my fingers for tomorrow - AMA on @ProductHunt on December 22 @ 12pm PST 😀 Join me: https://t.co/Z7mhc4cGuY,Mon Dec 21 17:48:58 +0000 2015,en,5,False,22,False,,David Tisch,davetisch
"@JeffProbst Congrats, this is the best season yet (never missed an episode)… Jeremy has played a flawless game, excited to see him tonight…",Wed Dec 16 14:44:47 +0000 2015,en,0,False,0,False,,David Tisch,davetisch
@sir so long…,Mon Dec 14 22:01:41 +0000 2015,en,0,False,1,False,,David Tisch,davetisch
"@sir we're getting old, and it was just an office… love watching what you are building…",Mon Dec 14 21:01:07 +0000 2015,en,0,False,3,False,,David Tisch,davetisch
"@sm @winnielabs launch already...! And thanks, she's pretty cool... And mine was born on the same day as zucks, different stroller...",Wed Dec 09 20:01:02 +0000 2015,en,0,False,6,False,,David Tisch,davetisch
"@sm @winnielabs hey, I have a 7 day old, please help ;-)... Been following your ride, already been helpful, what a trip this is...",Wed Dec 09 19:56:22 +0000 2015,en,0,False,7,False,,David Tisch,davetisch
@mslagh @ProductHunt delayed a week or so. Coming soon,Tue Dec 08 22:37:06 +0000 2015,en,0,False,2,False,,David Tisch,davetisch
@CollectableInc @mcuban @garyvee @marcericlore @caldbeckj @KevinColleran mine was New York Sports Cards (nysc)... Peaked in 1997-99...,Wed Dec 02 22:24:58 +0000 2015,en,0,False,1,False,,David Tisch,davetisch
"@CollectableInc @mcuban @garyvee @marcericlore @caldbeckj @KevinColleran for me, it sure was... Set up at local and national card shows...",Wed Dec 02 19:46:56 +0000 2015,en,0,False,0,False,,David Tisch,davetisch
@alexrkonrad ESPN about the break the story…,Mon Nov 30 00:04:26 +0000 2015,en,0,False,2,False,,David Tisch,davetisch
"@danzigstudio yeah, that's my biggest concern…",Fri Nov 27 21:17:39 +0000 2015,en,0,False,0,False,,David Tisch,davetisch
@ejn for sure...,Fri Nov 27 18:51:26 +0000 2015,en,0,False,0,False,,David Tisch,davetisch
"@gsiener interesting, never knew that, so that is a non-issue really… thanks Graham",Fri Nov 27 18:28:13 +0000 2015,en,0,False,1,False,,David Tisch,davetisch
"@paulcanetti I'll take the under... Have a good weekend, thanks for the help!",Fri Nov 27 17:27:29 +0000 2015,en,0,False,0,False,,David Tisch,davetisch
"@j0rdanfox that's my plan, thanks Jordan.",Fri Nov 27 17:24:56 +0000 2015,en,0,False,1,False,,David Tisch,davetisch
"@paulcanetti exactly, weekend project... Thanks Paul",Fri Nov 27 17:21:52 +0000 2015,en,0,False,0,False,,David Tisch,davetisch
"@j0rdanfox awesome, thank you. So you did them simultaneously? This is my weekend project that will take weeks...",Fri Nov 27 17:21:22 +0000 2015,en,0,False,0,False,,David Tisch,davetisch
